comment,token
매그넘 루비는 CU GS25 마켓컬리에서 구매 할 수 있어요렌즈는 렌시스 신디 그레이에요✨-❤️챌린지 참여하고 선물받아가요 송충이들❤️,"['매그넘', '루비', '마켓', '컬리', '구매', '수', '렌즈', '렌', '시스', '그레이', '린지', '참여', '선물', '송충이']"
I honestly can't understand how someone can be this pretty I--,[]
*당신은 너무 귀엽고 아름답습니다*🤍🤍,['당신']
いつもメイク動画楽しく見させてもらっていて、ほんとにソンイちゃんはいつ見ても綺麗で同じ女性として憧れです！♡,[]
ソンイちゃんのメイクとか参考にさせていただいてます！ほんと可愛くて大好きです！日本から応援させて頂いてます！사랑해요♥,['사랑']
めっちゃ痩せたましたね！！！すごい！笑笑ウチも頑張ろwダイエット,[]
아이스크림인데 색이 개예쁘다,"['아이스크림', '색', '개']"
か、かわいすぎる,[]
きゃわいい！！！！！,[]
はぁ〜本当に可愛い⸜❤︎⸝メイク相変わらずお上手です🧚♀️,[]
언니 옷 정보 좀 알려주시술 있나용 ,"['언니', '옷', '정보', '좀', '시술']"
ほんとにほんっとに美しい,[]
日本から見てます！！일본에서보고 있습니다  아주 좋아합니다 당신처럼되고 싶어요,"['일본', '보고', '아주', '당신']"
ほんと可愛い♥️,[]
こんにちは！안녕하세요  나는 일본에 살고 있습니다아루무손이 씨의 동영상을 언제나 볼 수 있습니다아루무손이 씨의 동영상을보고 나서 정말 한국에 매혹을 느끼고 있습니다앞으로도 사랑 해요,"['나', '일본', '살', '루무손', '씨', '동영상', '볼', '수', '루무손', '씨', '동영상', '보고', '정말', '한국', '매혹', '앞', '사랑', '해']"
There’s finally English subtitles,[]
日本のパルムみたい可愛い〜( ˊᵕˋ ),[]
언니가 하시는 메이크업 영상을 보면서 항상 저도 메이크업을 하고 있어요🥰오늘도 메이크업 잘하시고 이뻐요,"['언니', '메이크업', '영상', '항상', '저', '메이크업', '오늘', '메이크업']"
リップかわいい！！,[]
편집 방법 예전처럼 해주세요 ,"['편집', '방법', '예전']"
언니 진짜 대조녜 ♥️♥️,"['언니', '진짜', '녜']"
인형같아여 피부화장만 했을때도 이뻐서 깜놀;;,"['인형', '피부', '화장', '때', '깜놀']"
언니 너무 귀여워서합니다 학생 메이크업거나 요청할 수 있습니까,"['언니', '학생', '메이크업', '거나', '요청', '수']"
너무 예뻐요 ,[]
服とても可愛いですね！,[]
언니 리프팅 관련 영상도 찍어주시면안될까여,"['언니', '리프', '팅', '관련', '영상', '여']"
メイクブラシ全部、見たい！메이크업 브러쉬 다 보고 싶다！❤️,"['메이크업', '브러쉬', '보고']"
언니 너무 예뻐요 오늘 진짜 ,"['언니', '오늘', '진짜']"
귀여워( ´•ω•`)♡,[]
언니야오늘두 넘 이뻐워,"['언니', '오늘']"
앞머리없는게 더더이뻐욭 ><,"['앞머리', '더더', '욭']"
前髪が前よりも重くなってるのかな？凄く可愛い❤,[]
옷정보몬가유 이뻐여,"['옷', '정보', '몬', '가유']"
めっちゃ良い人そう…！,[]
오늘 영상 진짜 짱 예뻐요 역시 미모에 다 했어  매그넘 챌린지 하러 가야겠어요 ,"['오늘', '영상', '진짜', '짱', '역시', '미모', '매그넘', '린지']"
前回のソンイちゃんの動画見て私も昨日黒髪にしました！ソンイちゃんみたいに可愛くはなれないけど気に入ってます！そして今回のメイクもすごくかわいい,[]
진짜 매일매일 언니한테 맞는 찰떡메이크업 하는게 정말 잘어울려용 언니 진짜 넘 이뻐용,"['진짜', '매일', '언니', '찰떡', '메이크업', '정말', '언니', '진짜']"
너무 이뻐요♥ 공주야 공주 ,"['공주', '공주']"
누드 컬러가 어울립니다  입술이 깨끗합니다🤍🤍,"['누드', '컬러', '입술']"
아이스크림 맛은 어때요 사실 낮에 저 아이스크림 광고 봤는데 댓글들이 립스틱 맛 날거같대서 젤 궁금,"['아이스크림', '맛', '사실', '낮', '저', '아이스크림', '광고', '댓글', '립스틱', '맛', '대서', '젤', '궁금']"
前髪かわいい‪︎‬︎‪( Ꙭ)‼︎,[]
This hair color looks great on you  Very pretty ❤️,[]
loved this,[]
언니 앞머리 자르는거 찍어주세요,"['언니', '앞머리']"
Love From India ❤️❤️❤️,[]
넘 예쁘고 다 좋은데 마이크 소리가 약간 답답해요 울린다고 해야할까 쫌 통화하는거 같아요,"['마이크', '소리', '약간', '쫌', '통화']"
언니 흑발하고 완전 리즈,"['언니', '흑발', '완전', '리즈']"
日本のコスメ使ってくれて嬉しいです！最近わたしも暗めのヘアカラー にしたので、参考にさせて頂きます🥰可愛い〜,[]
언니 너무 예뻐요♥♥♥ - from Malaysia ,['언니']
韓国は何でもオシャレで可愛いなぁ…,[]
Watching from Philippines ❤️ lovin your vedeos ,[]
원피스정보좀주세요,"['원피스', '정보']"
かわいい♡♡ᵕ̈日本語訳いつもありがとうございます！！,[]
역시 매우 귀엽다일본에서 지원번역기 사용문화 이상하지,"['역시', '매우', '일본', '지원', '번역기', '사용', '문화']"
アフレコだ！！！,[]
내일 바로 찍는걸로,"['내일', '바로', '찍', '는걸']"
오늘 완죤 핑크굥쥬🤍,"['오늘', '완죤', '핑크', '굥쥬']"
언니 사랑해요🤍🤍🤍,"['언니', '사랑']"
저도그런색을좋아해요 약간핑크빛도는색이 산뜻해보이네요더 마니 보여주길바라며화이팅입니다,"['도', '색', '약간', '핑크', '빛도', '색', '더', '화이팅']"
립은 뭐바르신거에요,"['립', '뭐', '거']"
언니이뻐용,['언니']
우앙❤️❤️저도 참여할게요,"['저', '참여']"
대박 넘예,"['대박', '예']"
오늘 영상도 핑쿠핑쿠 자막란도 공주같고 예뿌네용,"['오늘', '영상', '핑쿠핑쿠', '자막', '란', '공주', '뿌', '용']"
Stunning,[]
예뽀라,['예뽀']
언니이고 나도 할수있어요나 지금 일본인데어떡하지나도 언니랑 하고싶엉,"['언니', '어요', '지금', '일본', '언니']"
언니 입고계신 옷 정보좀 주세용,"['언니', '옷', '정보', '좀', '세용']"
언니 리프팅관리영상도 찍어주세용,"['언니', '리프', '팅', '관리', '영상']"
매그넘 아이스크림 어디서파나욤지에스에있나욤,"['매그넘', '아이스크림', '파', '욤', '지에스', '욤']"
omaygashhhhhjdiwjwnswna you need to be a cast on the true beauty ur soo perfecttt ;c,[]
Hello from germany:) great video,[]
피부화장 뭐 한거에요 어떤제품 사용하셨는지 알고싶어요,"['피부', '화장', '뭐', '거', '제품', '사용']"
Don't give up Fighting,[]
I want to participate but I don't understand the hashtag  I don't speak korean,[]
언니 메르시비앙 원피스랑 신은 신발 정보좀요 이름이 너무궁그매요 원피스랑 같이사서 신고싶어요 저도 제발 알려줘요 디엠도 누락되는거같아요 자꾸 그래서 유튜브 댓글로 남겨용,"['언니', '메르', '시비', '원피스', '신발', '정보', '좀', '이름', '무궁', '매', '원피스', '사서', '저', '제발', '디엠', '누락', '자꾸', '유튜브', '댓글']"
IloveU,[]
Enak pasti,[]
귀여워요,[]
ほんとに可愛い、、使ってるコスメ全部欲しくなる🥺🥺,[]
