,youtube_id,comment,like_num
0,아이,"근데 재시작하면서 용량은 작아지고 가격은 터무니없이 비싸다고 말 많더라구요 마케팅도 문제가있고...구매하시는분들 참고하세요 
그리고 한별릠 오늘영상도 잘봤습니다ㅎㅎ
겟레디윗미도 애타게 기다리고있어요 ㅠㅠ흑",947개
1,댁아리뚝딱뚝딱,"아멜리 한번 개쳐망하고 새로 차렸더니 감 잃었음 ㄹㅇ 가격은 올리고 용량 줄이고 섀도우 색 변하고(마카롱 그레이ㅂㄷㅂㄷ,,,,)아멜리 정신 차려 이 각박한 세상 속에서,,,",301개
2,삐뺘쀼뾰,아멜리를 좋아하는 이유를 물은건 아무래도 인스타에서 논란이 좀 있었어서.. 그런게 아니었나 싶네요... 돌아오면서 용량은 확 줄고 가격은 몇배나 뛰고.. 마케팅 또한..🤔 그래서 한별님은 그일을 모르시나..? 싶어서 질문을 했던게 아닐까 싶네요,635개
3,달보드레,솔직히 핑크텍스..장난하냐 4만원이면 거의 백화점입점브랜드 수준인데..,170개
4,SophieYa,아멜리가 가격만 내렸어도ㅠㅠ 인기가 더 많지 않았을까 싶어용..,516개
5,박영주,개창렬..명품화장품보다 가격대비더비쌈ㅋㅋ 마케팅도 너무 실망이고;,131개
6,이김,뱀파이어 진짜 유명했죠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 추억이다,210개
7,택자스키,"다시돌아온 아멜리...시장조사를 잘못해도 한참잘못했지요ㅠㅠㅠㅠㅠ 
가격대비좋고질좋은제품들이 시장에널렸는데... 한때 아멜리 모으던게취미였는데 좀 실망스러운부분이있어용 ㅠㅠ",82개
8,Jen박젠,1:53 아멜리 전성기는 옛날.... 그리고 그 전성기와 함께 했던 나 😭 아멜리 분할 공구하던 시대 기억하는 동년배 있나욥,353개
9,여윤도경,솔직히 이런모습의 아멜리는 구입하지 말아야한다고 생각함,52개
10,쉐킷제리,"혹쉬 마카롱그레이 구매하실분들은 색상 많이달라져따는거 염두에두세용ㅠ 전엔 자연스러우면서 회기돌앗다면 지금은 그냥 흰기가섞인 회색이라 엄청별로입니다..
모르고두개나샀는데 짜증남ㅎ..",35개
11,꿀비,분할로 유명했던 아멜리ㅋㅋㅋㅋㅋㅋㅋ...추억이긴하네요,162개
12,박영민,아멜리 진짜.. 아리따움 모노아이즈도 없던 시절에 로드샵에도 섀도우 종류 그렇게 다양하지 않았을때 한줄기 빛 같았던 브랜드..,85개
13,,2:10 저렴한 퀄리티..?,14개
