,youtube_id,comment,like_num
0,ziPxny,진짜 씨발 존나 예쁘다....................,371개
1,사랑해요,근데 진심 거짓말 안 치고 역대급 레전드예요 특히 립...,300개
2,MeLlow,미쳤다 언니 웜톤이라면서요.........쿨톤인 저보다도 잘 소화하시네요 진짜 희주 님 쿨톤메잌업이라니.....ㅠㅠㅠㅠㅠ감사합니다 감사합니다,83개
3,TanyaPant,She's hell pretty...❤️❤️❤️❤️❤️❤️✨,72개
4,LMoon,"Intenté maquillarme, me sentí miserable ahr. :'v",32개
5,Annabellacuriqueo,"hola, te sigo hace poco y me encantan las comvinaciones de maquillaje que haces en todos tus videos... espero que te cuides del contagio del virus y sigas haciendo maquillajes fabulosos. Saudos☺☺😊😊",82개
6,everyj,하 진짜 이쁘다 하기도 입아프다.. 저 내츄럴하면서도 섹시하고 성숙한 분위기는 정말 독보적인 것 같음,29개
7,rosarioJimenez,Yoo's cada vídeo que aces parece un personaje diferente que te aces en el pelo para tenerlo cambiado en casi todos los vídeos?? az un vídeo ablando de peinados y de tu color de pelo por fa✨✨✨💕💕💋✌,46개
8,따따,진짜 너무 이뻐 언니.... 당신이 진정한 톤파괴자야,40개
9,설탕맛쿠우,쿨톤 소리질러어ㅓ어어어어ㅓㅓ💜💜😭내일 이 메이콥대로 외출할거에요. 진지해.,22개
10,손지원,악세사리 영상도 올려주세요💓,24개
11,OsirisYasmnZarate,"Eres muy linda☺️, me encanto el maquillaje❤️",22개
12,YB,헉 언니 연보라목걸이 어디꺼예요? 진짜 잘어울려💜,13개
13,TitikshaArya,When I see the video I was confused and then I saw it was uploaded 2 minutes ago,14개
14,스마sma,🍇🍇그냥 언니는 메이크업 장인이야...다 잘어울려요🍇🍇인간 포도야 뭐야,14개
15,김하진,제가 쿨톤인거 어찌아시고ㅠㅠ 진짜 쿨톤 메컵 보고싶었으요ㅠㅠ 오늘 레전드 찍으셨다 울 희주님☂️☂️,21개
