,youtube_id,comment,like_num
0,MJ,"아진짜페코쨩ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ9900원이었으면1등ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니대체어떻게 저럴수가있죸ㅋㅋㅋㅋㅋㅋㅋㅋ
그나저나 그날밴드는 뭔가 좀 괘씸하네요...효과없는것도 모자라 오히려 더 자극적...인간적으로 생리로 돈벌려고 사기치지마라...",35개
1,그린푸,"2020년에 본사람
⬇️",14개
2,오리지날덕,옷이 거의 박나래님이 좋아하실 스타일이네 ㅋㅌㅌㅋㅌㅋㅌㅋㅌㅋㅋㅋㅋㅋㅋ,872개
3,10907김서진,굳이 그날밴드라고 제품명을 했어야 할까...제품명부터 싫다..,685개
4,밀우,생리통 약 내성 생긴다는건 케바케에요.. 지인분이 약사분인데 내성때문에 아픈거 바보같이 참지말고 약 먹으라고 하더라고요,730개
5,힝힝,칫솔...... 절대 못쓴다에 한표.... 그냥 들어가있음 빼고 썻을텐데 ㅠ ㅠ 뽑는 그 느낌도 싫어..!!,271개
6,고구마,진짜 생리통약은 아프기전에 먹어야함 그냥 터지면 반사작용으로 무조건 먹어야함,335개
7,뚱이,여러분 진통제 내성 잘 안생겨요 한주먹씩 먹는것도 아니고 ㅠㅠㅠ 그냥 약 드세요,255개
8,,생리 시작하고 생리통이 심해서 생리통약 드시는것보다 생리 시작하자마자 미리 먹으면 생리통이 현저히 줄어요!!! 꿀팁입니다 ㅎㅎ,126개
9,김아미,허르ㅠ 저도 그날밴드 피해자입니다ㅠ 저는 피부가 원래 약해서 피부과까지 갔지욜....... 열뿐들은 절때로!! 사용하지마세요~~,83개
10,임보린,11:16 썸넬에 저거 비키닌줄 알고 이 언니 또 비키니를 샀네 라며 들어왓느느뒠ㅋㅋㅋㅋㅋ 이 언니 진짴ㅋㅋㅋㅋ,93개
11,ChaeeunLee,언니 진통제는 일반인이 생리통땜에 평소에 먹는 정도 가지고는 내성이 안온대요 아플땐 참지말구 먹으세요ㅜ,94개
12,꼬꼬새,"가발은 솔직히 너무 이쁜데 
그거 쓰고 모자 쓰시면 진짜 이쁠거 같아요 ㅡ짜미씨 모자 좋아하시잖아요ㅡ
물론 한겨울 방한용으로 짱이겠죠! ㅋ",87개
13,남주연,"그날밴드 핑크택스 오진다...ㅋㅋㅋㅋㅋㅋ
그냥 테이핑하는건데 무슨ㅋㅋㅋㅋㅋㅋ 그냥 약국에서 스포츠테이프 사서 쓰시면 되어요ㅠ__ㅠ",21개
14,xX,11:03 아 개웃겨 언니ㅠㅠㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋ,71개
15,호호,13:29 이 언니 무슨일이야...너무 예뻐..,92개
