,youtube_id,comment,like_num
0,UNDERkg,"- 풀버전 개봉기는 https://bit.ly/35OwTYa
- 갤럭시 A51이 5G가 되면서 Exynos 980이 들어가고, 그래서 Snapdragon 730/730G가 들어간 갤럭시 A71 4G보다 성능이 높아졌습니다...??
심지어 같은 5G 모델끼리 비교하면 A51만 배터리 용량이 4500mAh로 늘어나고 A71은 원래 그 용량이던거 그대로 유지해서 오히려 화면은 작은게 더 무거워 졌어요.
여기도 족보가 좀 많이 꼬였는데... 하여튼 572,000원의 출고가에 6GB RAM과 128GB 스토리지, 그리고 인피니티-O 디스플레이가 들어간 모델입니다!",186개
1,킴로보,이거보고 벨벳보니까 엘지는 사람 기만하는거다,463개
2,홍태규,벨벳은 얼마나 까일까 기대중ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,221개
3,SJeon,시장바닥 생선도 이렇게 모델명 덕지덕지 갖다 붙이지는 않을듯.,135개
4,11,벨벳은 몇번죽는거냐 ㅋㅋㅋㅋ,116개
5,JS2,7:26 두목 신기술,84개
6,SuperRacer,무슨 이대로 가다가는 갤럭시 A10 A10e A11 A20 A20e A21 A30 A30e A31 A40 A40e A41 A50 A50e A51 A60 A60e A61 A70 A70e A71 A80 A80e A81 A90 A90e A91  다 나올듯!!!!!!!!!!!!!!,161개
7,시티팝럽,!!!!! 케이스 구매하실 분들! 알려드립니다! 4g모델 국내5g모델 케이스 모양 달라요!! 어떻게 아냐고욧!? 개통전에 제가 7개 잘못삿거든요ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,126개
8,YaHo,하극상이라고 헌병대 썸네일 보소ㅋㅋㅋㅋ,162개
9,ImCheolChoi,막 휘두르다 보면 맞겠지하는 펀치에 엘지가 맞음...........,74개
10,배유진,3:17 순간 A51 언더디스플레이 카메라인줄...,121개
11,fumi,"이쯤되면 그냥 모델 넘버링대로 가격표 다는거 같음
a31 37만 a51 57만 s20 125만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",109개
12,선풍기,"A시리즈가 뒤죽박죽일 수밖에 없는게....
해외에서 인기 있는 가격대가 다 달라서 그런거임...
그래서 그거에 맞춰서 일일이 만들다보니 이꼴이 된거...",13개
13,이승기,이번에는 스튜디오51 띵동~ 부를까 했는데....,55개
14,,벨벳  관짝에 들어가  관짝춤 추는 브금,9개
15,용사,a50 시리즈하면 그럭저럭 괜찮은 외관에 160내외 무게가 장점이었는데 갑자기 190그램이라니...ㅠ,7개
16,drJ,링이 있으면 빛을 더 많이 받아 들인다는 말이 있더군요.,28개
17,IXAC,3:16 순간 뉴 인피니티인줄 ...,21개
18,에이프릴나은,중급기 라인 산으로 가네...,31개
19,DavidFalkbeard,5:24 이렇게 놓고 보니까 구분이 안되네 ㅋㅋㅋㅋㅋㅋㅋㅋ,25개
20,황유선,우왕 이중에서 벨벳의 자리는 어디가 될지.....,35개
21,윤동욱,링의 효과인지는 몰라도 A51은 하얀화면에선 펀치홀티가 잘 안나네여,36개
22,찜상어,5:30부터 진동 나만 느껴짐..?,31개
23,AcoMedicine,이대로 가면 A시리즈로 시험 출제 가능하겠누..,20개
24,먹다남은몽쉘,5:49 컨베이어 위의 캐리어,2개
25,pureboyk,나는 형의 벨벳 리뷰 보고싶어ㅎㅎㅎ,10개
26,피까쮸파란,0:08 염따 같으십니다 두목님. 빠끄!,3개
27,Antares,썸네일 하극상ㅋㅋㅋㅋㅋㅋ,3개
28,김동건,형은 정말 녹화할때 빨리 말해서 컷편집 안해도 되겠다. ㅋㅋㅋㅋ,24개
29,Wayne2157,"???: 야! 예쁘면 다냐! 예쁘면 다냐고!!!
벨벳 : 그래 예뻐서 다다!! .....?
SE: 엌ㅋㅋㅋㅋㅋㅋㅋㅌ
A51: 이쁜거밖에 없네ㅋㅋㅋㅋㅋㅋㅋ
G8: ^^l발 나보다 비싼거 실화냐ㅋㅋㅋㅋㅌㅋㅋㅌ",68개
30,어줍잖은플레이,폰이 개족보가 되어부렀다,7개
31,CARnIT,0:45 펜타일 지글지글..,2개
32,엔라,3:35  뭐야 51 카메라가 사라졌는디??,20개
33,TracyGrace,"가장 아쉬운 점
A51 : 방수방진
아이폰se : 배터리
벨벳 : 가격 + LG.....

가장 좋은 점
A51 : 배터리 5G
벨벳 : 메모리
아이폰se : 성능 + 애플...",2개
34,발빠닥,"🕴     🕴
🕴⚰🕴 LG벨벳 관짝 들어가는 소리
🕴     🕴딴따라딴단 딴따람단당",8개
35,DavidFalkbeard,"2:30 - 땡글뱅이 땡글뱅이
이제는 굳이 돈을 더 들여서까지 티어 구분을 하고자 하는 샘숭의 의지..",29개
36,대구월서초등학교,ㅋㅋㅋㅋㅋㅋ벨벳은 가격부터 ㅋㅋㅋㅋㅋ,1개
37,김예준,제발 4g도 좀내줘ㅠㅠㅠㅠ 5g 너무 비싸ㅠㅠ,4개
38,MaxKimIzak,벨벳 흥하자..ㅠㅠ,1개
39,johnkim,"ㅋㅋㅋㅋㅋㅋ 엘지 벨벳 보고 왔는데 목소리 톤, 기분 완전 차이남 ㅋㅋㅋㅋㅋㅋ",1개
40,수습생,1:20 마치 갤럭시 S5 광대역 LTE-A 같은..,10개
41,초코쿠키,"스피커는 갤럭시는 개구리긴 하다. 
언제쯤 엘지의 스피커 정도 음질을 내줄지...????
갤럭시는 스피커만 엘지로 바꾸면 최강이 되지 않을까???? 엘지는 망하겠지만.",1개
42,장래희망장군이여친,사실 홀도 51이 71보다 더 작다는거 ㅋㅋㅋㅋㅋㅋ,2개
43,할꺼없음,이거오늘샀는데 사자마자 렉오짐ㅋㅋ,1개
44,JIHWANSHIN,"1:14
 두목님 대한항공 기내 안전 비디오 바뀐지 꽤 됬어요.. ㅋㅋ",17개
45,쭌이,1:14 대한항공 기내방송 참 그시기하게 바꿨어요 유튭에서 한번 보시죠,10개
46,김예준,LG벨벳은 아이폰SE 2한테도 처맞고 갤럭시 A51한테도 처맞고.... 참,18개
47,부르릉,깔금하게 정리하더만 다시 완전 지저분 해졌내 ㅋㅋㅋㅋㅋㅋ저런게 깔금하고 딱딱 정해져 있어야 고급브랜드 느낌이 좀 나지..,0개
48,JackPark,a71 사려다가 유튜브 들어왔더니 이런 영상이 ! 격렬한 감사,0개
49,모형깡패동글,이분은 몇년째 똑같은 오프닝ㅋㅋ,1개
50,전우찬,라인업 타노스 필요,2개
51,CeChoose,A51 vs A71 뭐가 더 나을까요ㅠㅠ,4개
52,Huserbb,엪취리취님 벨벳 구하셨죠?!?! 내일영상 기대할게요!><♡,0개
53,jinwoolim,"아 그냥 갤럭시 a**e, a**S 얘네들은 그냥 싹다 없앴으면... 지저분하게 많음 a시리즈는",18개
54,개소리근육,a71 국내 출시일은 아무것도 안나왔죠?,2개
55,DK,오늘따라 랩하시는줄 ㅋㅋㅋ,0개
56,오리헨티나,펀치홀이 크~,0개
57,김민호,내생각에는 저거 은색링 카메라 화면이랑 같아보여서 카메라가 없는거같아보여요.,4개
58,롤리조이,"언더케이지님 a51 5g 사전예약 사은품 신청 기간이 15일까지라는데 어디서 신청하나요?
도와주세요.",2개
59,솔병장,"7:11 
와 사진 지리누",0개
60,유열매,항상 제밌게 보고 있꾸요~~>_<,0개
61,뽀로로짱,월요일에 사러 가는데 좋은 정보 감사합나다,1개
62,재민재민,오늘 샀는데 좋네요ㅎㅎ,0개
63,Qwerty,2020 1분기 판매량 1위 폰..(4g모델 같지만),1개
64,HEXxsky37,이거 거의 엔비디아 족보가 되버렸는데ㅋㅋ,0개
65,GST호떡,롤토체스 돌아가려나??,1개
66,blasusSchwein,전세대 a50 에는 스마트 캡처(스크롤캡처) 같이 소소하게 유용한 기능들을 빼버렸던데 이번건 어떨련지...하드웨어로는 차별해도 소프트웨어적인 부분에서 차별하는건 너무 치사해요,1개
67,양성진,Lg가 보고 배워야함ㅋㅋ,5개
68,POP,요즘 리뷰보단 개봉기가 많네요 ㅜ,2개
69,도콩리,노트10+ 살까요 아님 갤럭시a51살까요 너무고민되네요 ㅠㅠ,1개
70,전원버튼,이젠 A 시리즈가 뭐가먼지 모르겠다ㅋㅋㅋ,3개
71,Venti,하이 스튜디오51,0개
72,팬더자림,z플립을 연상시키는 패턴ㅋㅋㅋ,0개
73,도도사,여러분들 A51스피커 관찮나요?,5개
74,김프,A A2 A3 A4 A5 A6 A7 A8 A9 여기다 몇년형 이렇게 쓰는게 낫지않나,1개
75,우리동네슈퍼맨,3번 이면 어떻습니까 10번이라도 더 봐드리겠습니다. ㅎㅎ,0개
76,김준오,1:14 몇달전에 바꿧어요! 이상한 아이돌 나오고 노래하는걸로 바꼇어요,0개
77,궁둥짝,성능으로치면 가격은 묫인가요? 궁금해요용!!!^^,0개
78,뺡쁋삨빩쁋뻌,a51쓰는 사람으로서 그냥 좋음,0개
79,김대원,뒷면이 플라스틱인가요?? ㅠㅠ,0개
80,김종욱,지금 제가 노트8 쓰는데 이거써도 게임돌리거나 스펙상 문제가없을까요? 아님 더 좋으려나요 ㅎ,0개
81,,0:08 염따,3개
82,0로더아웃,폰을 바꾸고 싶지만 약정이 2년이 남아서 참는다  ㅠㅜ,0개
83,Tech144,벨벳아...😞😞,1개
84,킴리아,lte  버전도 내놨으면 좋았을것을 국내정발은 5g,1개
85,licon,"Note10 5G랑 폴드가 안드로이드 10업데이트되면서 One UI 도 2.1로 업데이트 되서
내파일 앱에 FTP기능이추가됫던데 A51 5G도 내파일에 FTP기능이 있나요?",0개
86,주현주현,5분45초,0개
