,youtube_id,comment,like_num
0,Wooo,I’m extremely jealous of the cubed chocolate chips. I wish I could find some like that. They just look so much better! Hahahaha,350개
1,Maj3sticHayDi3,"I am actually gonna make this Ice Cream without the chocolate, its gonna be a cookies and cream one

Edit:I did it, the final result was creamy and sweet. Overall it was a success",231개
2,LiewEnXi,use me as the watches cooking tree’s videos but never makes them,126개
3,BoBoCooking,Who’s also Cooking Tree’s biggest fan and watch pretty much all of the videos? 🙌,106개
4,CookingChronicles,the chocolate chips are in such perfect cubes LOL,77개
5,두연,당신은 이 영상에서 한국인을 찾았습니다,43개
6,디디,쿠킹트리님 쿠킹트리님 이제 초콜릿아이스크림 하셨으니까 이제 리조하셔야쥬? 쌀 아이스크림!,69개
7,wafflecone,Aahhhh this is perfect because it’s summer for me right now,62개
8,humanbeansmeow,"Me: * buys chocolate chip ice cream * 
Me: * watches youtube and finds this *
Me: "" WAIT I JUST SPENT LIKE $50 ON ICE CREAM WHEN I COULD OF MADE IT BY HAND""  ￣︿￣ WHYYYYY xD",1개
9,vieraveira,Finally an ice cream recipe that looks delicious and it doesn’t need an ice cream maker 😍 Thank you!!,5개
10,cherryday,Haha for some reason I thought this was going to be those cookies which are shaped like ice cream scoops 😅,15개
11,AnjaliGarg,Yesssss I am so early!,9개
12,LizLee,아이스크림이 맛있지만 파는건 안정제랑 화학첨가물때문에 31사장도 자기네꺼 안먹는다는... 근데 홈메이드는 밍밍하거나 질감이 영 아니던데 아이스크림 메이커없이도 간단하고 너무 맛나보여요! 꼭 해봐야겠어요!!,30개
13,MissBlossom,I wanted to make this but then my dad said we can make it with cool whip and chocolate syrup ;-; so me and my dad did that and then we froze it and it actually came out pretty good,1개
14,CasualCookery,Watching this just after you woke up makes you want to have chocolate ice cream for breakfast 😂,39개
15,KaijinDM,I wanted to try making this but i don't have the materials to make one T__T,1개
16,QUEENSENORITA,"Hello
Open the CAPTIONS and than watch this video again
You will find something new which is not shown 
If it's true than like",3개
17,camcam,wow this is the earliest i've ever been. I love your videos and i've been watching them for a long time. <3,13개
18,DomeLeca,I’m finally having high hopes on this one to try! 😂,3개
19,Happy,so YUMMM! (can't believe im so early),18개
20,TeresasSweets,"This looks soooo creamy, almost like fudge!",10개
21,이제영,진짜 맛있겠네여....저도 만들어봐야 겠습니다!오늘도 좋은영상 감사해여!❤❤❤❤,20개
22,KibosEatsCookingChannel,omg these cubed chocolate chips are sooo perfect 😋 where can i find them 😫,13개
23,진진꾸,"영상  진짜  잘보고 있어요!!!
볼때마다 군침이 돌네요 
다먹고싶네요 ㅋㅋㅋ
근데  초콜릿은  아무거나 써도 되나요??",7개
24,Sayacooking,I wonder why would someone dislike this perfection?,3개
25,별하리,"쿠킹트리님, 해동 시킨 생크림은 안 되겠죠??ㅜㅜ 휩을 해야하니 냉장만 가능할까요.???",2개
26,베이비밍깅,이거 한입만 먹으면 당 충전 엄청나게 될것같은 비쥬얼🥺❤️,6개
27,RiskayRaven,"Somehow I’m early to this video but I’m so glad I am, this is amazing as all your food is. Thank you for your awesome content, love it all (:",2개
28,ShaynaWimble,so here we have two lovely cute guests also who's besides cooking tree❤️❤️well icecream is way tooo yummy it's worth eating for sure😍😍nom nom🍽️,1개
29,LovelySalmon,"우오 초코 아이스크림!!!😍😍
요즘 슬슬 더워서 아이스크림 자주 먹는데 초코가 짱이에요🍫❤🤎❤🤎",2개
30,CaitlynKim,진짜 보면서 너무 맛있어 보였어요. 늘 좋은 영상 만들어주셔서 감사합니다. 잘 보고 있어요~~♡,1개
31,MariVassoller,"Eu gostaria que fizesse receitas típicas de outros países. Aqui no Brasil 🇧🇷 o brigadeiro e beijinho é muito famoso. São doces que geralmente servimos em festas de aniversário. Mas em casa tbm podemos fazer pra matar a vontade de doce. Uma coisa que dá muito sucesso também, é o bolo de cenoura com cobertura de chocolate. É sucesso. Amo esse canal ❤️",0개
32,콩이먹방Tv,크 초코 알멩이가 오독오독 ㅜㅜ씹힐듯,1개
33,양재골TV,"아이스크림 만드는거 어렵다고 들었는데
이거 실화인가요....???😱",1개
34,IrenesHome이린이의집밥,i can not go a day without ice cream! will definitely try this recipe out!,2개
35,딸딸딸기달콤,요새 날씨가 더워지는데 시원하고 달콤한 아이스크림 ㅠㅠ 정말 맛있겠네요,1개
36,HappyBailey,I can already imagine this dessert is in my mouth already 😋 🤤,5개
37,이미소,집에서 간단하게 먹을 수 있을 만한 홈베이킹 레시피들 요즘들어 더 자주 올려주사는거 같아서 너무 감사해요 ㅠㅠ❤️❤️,5개
38,조은우,음~~맛있겠다,3개
39,GiulianaHeshler,"Oh my goodness, this recipe was AMAZING! You could eat it right after it's made like it's a moose but then had the texture of store bought icecream after frozen! I'm gonna adjust the recipe and make a banana one!",0개
40,담담벌레,쿠킹트리님 초코 아이스크림 너무 맛있어 보여요! 혹시 피스타치오나 녹차 아이스크림도 가능할까요? 제가 제일 좋아하는 맛들인데 만들기가 많이 까다로워 보이지는 않아서 한번 만들어 보려고 해요! 늘 좋은 영상 감사합니다~,1개
41,namrakhan,Omg the way she chops the chocolate in the beginning is so beautiful. Someone needs to make a compilation of that,0개
42,지니어스민트바닐라,어머 드디어 아이스크림 계절이 돌아왔군요 초코칩 아이스크림 꾸덕꾸덕하고 맛있겠네요 😍😍,1개
43,ChristyTina,"I just looked up the Tovolo ice cream tray. I can get it in my area, and it's reasonably priced. Yay!",1개
44,dmswlsz,바닐라나 딸기아이스크림도...해주심안될까용ㅠㅠ 다른분이만든거보다 훨맛있어보여서..,1개
45,동그라미,초반에 나오는 초콜렛...그냥 입으로 오독오독 씹어먹고싶다...다크다크한 쪼꼬였음 좋겠넹,1개
46,IamAmc,When I need to relax this is where I come.,0개
47,jhaycCapili,"Hi 👋 I’m a fan of yours, your making an amazing desserts. I’d like also to know if you can make a video of vanilla ice cream. I’d try the chocolate and it’s awesome 👏 continue doing this kind of videos. Hoping for vanilla ice cream 🍨 Thank you",0개
48,강지연,아이스크림 정말 맛있겠네요!! 항상 좋은 영상 감사합니다^^,1개
49,박현규,와 아이스크림 미춌다..,1개
50,배은채,아이스크림 레시피 찾고 있었는데ㅎ,1개
