,youtube_id,comment,like_num
0,디렉터파이,"안녕하세요, 디렉터파이입니다. 누락된 내용이 있어 고정 댓글로 올립니다. 영상 내용에 소개한 광동제약 새치 커버 염모제는 촬영 전에 사용설명서에 나와 있는대로 1제 사용 후 약 5-30분 방치, 2제 사용 후 다시 5-30분 방치하는 사용법과 1,2제를 한번에 바르는 사용법 2가지로 테스트해봤습니다. (총 40~-50여분 정도 해야 새치 커버가 잘 나오는 정도)                  이번 영상에서는 상대 평가를 위해 서로 다른 브랜드  제품을 동시에 사용 후 염색 후기를 비교해 보는 내용이 들어갔는데요, 광동제약 염모제의 경우 1,2제 한번에 발라도 새치 커버가 잘 되었다는 점, 4가지 제품을 한번에 바르고 20여분 정도의 방치 시간을 설정한 점  등의 이유로 후자의 방법으로 사용해서  촬영했습니다.  위 내용을 영상 내에 자세하게 설명드리지 못해 혼선이  생길 수 있다는 생각에 영상 올린 후에라도 댓글로 고지드립니다.사용 순서에 대해서는 각 해당 제품내에 들어있는 사용설명서에 자세하게 나와있으니 참고해서 사용해 주세요. 댓글 적어주셔서 감사합니다.",62개
1,EunSei,"This video came right when I needed it! I wanted to try to dye my hair, and I've actually bought the etude house one, but wasn't sure about hair dying at all. So, thank you so much for this informational video! ❤

And also, I'm in love with the english subtitles that you put in the videos!

And a question: Is it okay to use a hair dye more than once? Even if it's for a one time use. :)",5개
2,잔망덩어리호두,착한바디워시해주세효..♡,136개
3,,디파님! 염색이면 더 번거로웠을텐데 시간을 오래 들여서라도 최선을 다해주시는 모습이 너무 멋져요 덕분에 매번 부족함없이 귀한 정보 얻어갑니다ㅠㅜ 역시 이번편도 정성 가득이네요.. 고생하셨습니다 항상 감사해요!,98개
4,지니쓰,"여태 테스트 해주셨던 것 중에 가장 많이 번거로웠을텐데..정말 감사합니다. 전 염색을 자주 하는 편이라 이번영상 보자마자 너무 감동 받았습니다... 저라면 두손 두발 들고 못했을 거에요..^^ 다행히 현재 제가 사용하고 있는 것들은 괜찮은 제품이라 해주셔서 안심이 되네요. 저는 염색제 메디힐 애쉬그레이, 탈색제 이지엔 블랙빼기, 두개 사용 중인데 사용감 괜찮아서 한달에 1회 정도 사용 중이에요. 아무래도 제 머리는 탈색 2번한 탈색모 이기 때문에 색 유지는 일주일 밖에 못가는 편 이고 냄새가 좀..ㅠㅠ 약간 좋진 않지만 두피 따가움 이라던지 두통은 따로 없었어요. 진짜 집에서 하는 셀프 염색 아닌 동네 미용실 정도 퀄리티로 이쁘게 올라오더라구요☺️ 가격도 올리브영에서 세일 할 때 마다 몇개씩 쟁기는 편이라 훨씬 저렴하게 구매하곤 합니다😅 다만 리뉴얼 제품이 걸리긴 하지만 이번에는 ppd 성분이 있는지 확인 해보고 구매할게요~~ 감사합니다!! 디파님!!!🙇🏻‍♀️💕💕",30개
5,선다연,2020년 샴푸편 부탁드려요ㅠㅜ18년 추천 샴푸 중에 성분이 바뀐 샴푸들이 몇 있더라고요ㅜㅠ,33개
6,와플,"디렉터 파이님 미백크림, 톤업크림 탑오브탑 다시 한번 해주실 수 있으신가요?😂🙏
톤업크림 많이 나왔는데 그중에서 착하고 가성비 갑인 톤업크림을 알고 싶어요~!",83개
7,유하랑,감사한 디파님❤️ 딥하게 파는 “물티슈” 편도 부탁드리고 싶어요ㅎㅎ,44개
8,toee55,저는 올리브영에서 파는 푸딩 염색약 사용을 했는데 두통때문에 고생했어요... 원래 미용실에서 아베다 염색약을 사용했는데 그때는 두통이 없어서 아베다 염색약도 성분 궁금하네요,17개
9,주나나,진짜 너무 감사드립니다ㅜㅜㅜ번거로우셨을텐데 수고하셨어요:) 셀프 염색을 하고싶은데 뭘써야 그나마 머리가 안상할지 고민하고 있었는데 디파님 영상 덕분에 좋은정보 알아갑니다! 정말 감사드려요❣❣,2개
10,잔망덩어리호두,어두운 색만 잇어서 아쉬워용...로레알껀 어떤가용,14개
11,p피피,정말 감사합니다❤,5개
12,박미건,진짜 염색 하면 눈나빠져요?,8개
