,youtube_id,comment,like_num
0,방구석리뷰룸,이쯤 되면 정말 거의 일부 영역은 맥북에 가까워졌습니다 ㅎㅎㅎ 강연 출장을 더욱 편하게 떠날 수 있겠어요!,40개
1,WhaleWhite,"진짜 모르시는 분들 많고 제가 개인적으로 많이 쓰는 키노트 사용 방법중 하나 공유합니다
오피스365사용자가 아니면서 아이폰/아이패드/맥 을 쓰시는 분들에게 유효한 방법입니다

물론 방구석 리뷰룸님 채널 구독자분들은 애플을 많이 쓰시긴 하겠지만
호환성이라 여러가지 문제로 키노트 대신 파워포인트를 쓰시는 분들이 많을 겁니다
그리고 파워포인트를 쓰다보면 예전에 비해 클립아트가 매우 빈약해진걸 보실 수 있으실겁니다
오피스 365구독자만 아이콘 사용이 가능한지라...
저와 같이 365 구독 사용자가 아닌 사람은 어울리는 아이콘을
일일이 찾아 검색이나 이미지를 구입해야하는 상황이죠

이때 유용한게 바로 키노트 입니다 
키노트에서는 간단한 기본 도형만 제공하는 파워포인트와 달리 
도형에서 다양한 아이콘들을 제공하기에 이를 이용하여 아이콘을 사용할 수 있습니다

방법은 우선 키노트에서 원하는 아이콘들을 찾아 파워포인트 방식으로 파일을 저장 후
이를 파워포인트로 불러들이는 겁니다

그냥 아이콘을 키노트에서 바로 복사해서 
붙여넣기 혹은 인터넷 이미지 아이콘을 사용하면 되지않냐라는 분들도 계실테지만

이 방식의 가장 큰 장점은 그런 인터넷 아이콘 이미지와 달리 색상과 테두리 그리고 점편집까지 
완전히 원하는 형식으로 커스텀 가능한 아이콘으로 저장된다는 겁니다

그리고 당연히 배경도 투명한 아이콘에 편집이 쉬워서 응용해서 쓰기도 좋습니다

다만 이방식은 반드시 키노트에서 고른 아이콘을 파워포인트 형식으로 저장하여서 불러들여야 합니다
그냥 원하는 아이콘이나 도형을 그대로 복사하여 파워포인트에 가져다 붙이면 
PNG파일로 붙여넣기가 되서 배경은 투명일지언정...편집을 하기가 애매합니다

사실 예전에 방구석 리뷰룸님 컨텐츠중에 구독자랑 만나서 꿀팁방출하는 컨텐츠 신청을 했는데...
제가 게을러서...어영부영하다보니 흐지부지했었던 기억이 있네요ㅠㅠ
그때 키노트와 파워포인트에서 같이 쓸 수 있는 팁같은거 막 이야기 하는게 꿈이었는데...
이렇게 글로 제가 쓰는법 중 하나 공유합니다!
너무 장문의 글을 써서 죄송하고...누군가에겐 도움되는 글이었으면 합니다!",47개
2,이현수,1:30 이 상태에서 보노보노 땀흘리는 사진만 갖다붙이면...,16개
3,Witner,우와 키노트가 생각보다 PPT에 있는 기능들을 많이 대응하네요? ㄷㄷ 직관적인 거 같아요,23개
4,바나몽,"와 진짜 너무 좋아요! 사진 영상을 바로 끌어다놓을수 있다는게 너무 좋네요
이제 정말 노트북을 들고 다닐 필요가 없을거 같아요..... 오늘도 유용한 정보 감사합니다!!",7개
5,크림우유,고퀄의 자료 항상 감사합니다. :-) 건강 잘 챙기세요!,7개
6,JunhoSeo,10:10 이거 하려고 예전엔 픽스아트까지 써가며 했는데 이젠 이게 되네요ㅎㅎ 너무 만독스러워요,2개
7,이국환,윈도우에 있는 ppt를 키노트에서도 불러와서 수정할 수 있나요??,4개
8,진혜복,"영상 감사 합니다 항상 보며 공부하게 되네요 
iworks에 활용으로 한가지 질문이 있어서 답글 남깁니다. 제가 k380 블루투스 키보드를 사용하는데 iworks이용시 스페이스나 방향키를 누르면 띄어쓰기가 아니라 메뉴창으로 이동해서요... 불편함이 많은데요 
혹시 변경할수 있는 방법이 있나요? ㅠㅠ",0개
9,Timetoshine,와 방구석님 역시 대박! 진짜 이렇게 알려주는 사람은 방구석님 밖에 없네요!,2개
10,두룽지TV노래일상,항상 잘 보고 있습니다!!!,1개
11,JinYeongGwak,키노트 진짜 자세하게 리뷰해 주셨네요! 역대급 영상 ^^ 저는 키노트만 잘써도 아이패드 본전 뽑고도 남는다라고 생각하는 사람입니다. 좋은 영상 고맙습니다!,1개
12,wisdomly,와 이런 기능 들이 잇엇다니... 일할때쓰지않는데... 혼자 끄적끄적 해보면서 기능 익혀볼래요 ㅠㅠㅎㅎㅎ 너무너무유익합니다 ㅎㅎㅎ,1개
13,초bora,"와우! 이번에 동영상 만들 때 사용해 봐야겠어요~~감사합니다! 마우스 없이 하지만 ^^
참! 루마퓨전 할인해서 구입했어요. 아직 사용은 못해봤지만. 곧 루마퓨전 동영상도 시청해야 할 덧 같아요~^^",0개
14,Gene,짝짝짝 good ! you're the best!!,1개
15,BraveBahc,너무 좋아요 방구석님 튜토리얼. 짱짱맨!,1개
16,비니,오 멋져요 :) 방구석님 강연하는 영상도 보고싶어요,0개
17,국수님,저기에 보노보노만 들어가면 완________벽,6개
18,StarkKim,썸네일의 아이폰8 골드 아름답네요ㅎㅎ 아이폰 se 2세대와 비교 리뷰 기대할게요!!,0개
19,윤여은,항상 잘 보고 있습니다. 좋은 강의 감사합니다.,0개
20,HyunchulChoi,방구석 리뷰룸님 ~ 유용한정보 감사합니다 잘보구가용^^,0개
21,biblelim,항상 너무 유용한 자료 감사해요 잘 보고 있어요 정보기기 활용영상은 방구석 리뷰룸을 대체할 수 있는 유투버가 없는 것 같아요! 설명도 매끄러우시고 목소리도 듣기 편하세요 ㅎㅎ 앞으로도 좋은영상 부탁드려요❤️,0개
22,과학일상,오 좋습니다.. 저도 수업에 예전에 알려주신 키노트로 잘 사용하고 있어요,0개
23,장상규,제목 보고 좋아요와 댓글 먼저 달고 시청합니다 ㅋㅋㅋㅋㅋ,0개
