,youtube_id,comment,like_num
0,도매니저,출고가 60만원대로 나왔으면 이렇게 극딜까지 안먹었을텐데 ㅜ ㅠ 가격정한 직원 내부 스파이라는 썰이,153개
1,슈파,"엘지 벨벳 스마트폰이 단돈 89만9800워언~!
미쳤군 가성비가 사망했잖아
도와줘요! 말방구 갓성비!!!",90개
2,SteveRogers,"정보가 하나 빠진거 같은데요..
2년뒤에 반납하는것도 a급상태로 반납해야 하고 반납하고 다음 폰을 lg로 구입할때만 할인해 준다고 하던데..
이럼 가격경쟁이 더 떨어지는거 아닌가요?",34개
3,TheSpidic,솔직히 이거 살빠에야 공시지원금 받고 S10이나 S20 사는게 나음 ㅋㅋㅋㅋ ㄹㅇ루다가,54개
4,쵸x파,OIS 없지 퀴드덱없지 가격은 어이없지,79개
5,RickyHong,(대충 나오자마자 관짝노래나온다는 덧글),51개
6,김은별,베스트샵에서 실물 봤는 데 너무 이쁘더라그여 근데...가격이 안이뻐ㅡㅜ,61개
7,아리스토텔레스,2년 후 기기 반납이 보기엔 좋아보이지만 의외로 조건이 까다로움...,47개
8,BreedloveJack,"4년전에야 나왔어야할 컨셉
한줄평  - 그냥 엘지폰",9개
9,양성진,리뷰는 좋게 해주셨지만 가격이 너무 에바인듯 사는사람이 그닥 많지도 않을듯 하네요,7개
10,손공수쩝쩝,스냅 765 달고 출고가 89만이라니....무슨자신감인가...,7개
11,yongsunlee,화면 시원시원하고 좋네! 인공지능 사운드도 들어가고!,3개
12,세종,소름돋는건 출고가가 g7 g8보다 비쌈 ㄹㅇㅋㅋ 거기다가 경쟁작인 a71 a51 se2 가 훨씬 싸고 경쟁력있음 ㅋㅋ,4개
13,꿈을향헤,"저 기형적인 화면비가 단일 휴대폰으로는 별로인데 듀얼 스크린을 염두하면 의외로 괜찮아 보입니다.
단지 가격이...... 적어도 쿼드덱만 있었다면;;;;;;;",2개
14,DreamHGold,이제야 모서리 엣지를 적용한 것으로 볼 때...LG스럽다면 LG스러운데...그리고 좀 S사의 노트 같은데...폴드2에 펜 적용되서 나오면 또 묻힐 것 같은...,2개
15,구독안하면내프사니집에찾아감,제 다음폰으로 하자 LG패이 있겠지!,3개
16,테리로,듀얼스크린 많이 좋아졌네 v50 때는 좀 답답 했는데 근데 기본으로 줬으면은 더 좋았을듯 하네요,11개
17,위성찬,"엘지가 칼을 갈고 만든 이쁜 폰이네






근데 나오자마자 졌네",26개
18,이름,너무 예쁜데?,11개
19,드르륵,중급기치곤 비싸다 비싸,5개
20,한국스나,주말에는 말방구님  오늘도 좋은 소식과 제품리뷰 고맙습니다 항상 좋은 소식과정보 감사합니다 앞으로도 좋은소식부탁드려요  저도 폰색깔 오로라 그린 이쁜거 같아요,23개
21,Ewan,"말방구님의 리뷰가 기대 되었는데, 업체의 스크립트 기반 홍보 위주가 아닌지.",13개
22,김09,"잘못된 정보가 있는것 같아 말씀드립니다
2:11초 화면비 20: 5.9가 아니라, 20.5:9가 맞는 스펙인걸로 확인됩니다. 별건아니지만. 벨벳에 관심이 많다보니....
 확인후 말씀드립니다.
참고로 전 구독자입니다^^",21개
23,오뤼궁댕,엘지의 눈물인가.....ㅜ ㅜ,2개
24,ChangH,엣지 스크린.. 엘지 너마저.. ㅂㄷㅂㄷ,1개
25,스팅어,Life has been good.....,1개
26,JgPark,"2번째네.. 전 V50S
사양치고 비싸네요.. 공장까지 베트남으로 옮겼는데 좀더 쌌어야",24개
27,두잇,오늘 참지 못하고 실물보고 왔습니다! 실기기는 화이트만 전시되어있고 그레이 그린 선셋은 목각이었는데 디자인 정말 잘 빠졌더라구요!,5개
28,현란한마우스질,"와 엘지 이건 진짜 괜찮은데?






삼성이나 애플 폰 써야징  ㅎ",44개
29,쥬리보유국,업체당 100여대 팔고 품절 드립 ㅋㅋㅋ 안사요 ㅋㅋㅋㅋ,1개
30,연봉킹,쿼드DAC를 빼면 진짜 경쟁력이 없어지는것 같은데요.,2개
31,윤상준,"Ios 없고 쿼드덱 없고 스냅 765인데 이부분에 대해선 별 얘기가 없네요.
89만원이면 돈 조금 더 보태서 아이뻐 SE나  S10 살수 있는데...아니면 A51나 A90 심지어 V50 을사도 이거 보단 좋을거 같은데",6개
32,jsbaek,60만원대라면...ㅎㅎㅎ 색깔은 진짜 예쁘네...,1개
33,챌린저,가격이 ㅠㅠ,2개
34,REGION,"LG벨벳 보니까 실용성도 있고 디자인 그립감 
듀얼스크린 중량감소 좋네요 ㅎㅎ",1개
35,농기구,쿼트덱을 왜 .. 대체 ㅠㅠ..,1개
36,슈퍼깡통,"칼라 의미 없음
케이스 깐우니깐
내 핸드폰 칼라가 머였드라?",7개
37,이따금,"에헤이....
다 알고 왔는데 어디서! ㅋㅋ",1개
38,,화면 디자인이 삼성 중급기같아보이는것이 기분탓인가??,6개
39,강민,오늘 실물 봤는데 그립감도 딱히 장점이라고 내세우긴 아쉽고 디자인도 후면은 예쁘지만 전면은.... 무엇보다 옆에 아이폰se는 52만원에 팔던데.....,1개
40,FirstQueen,"딴트공 : 스마트폰 구매를 고심하고 계시다면 이 영상을 끝까지...
나 : 계속 고심만 할께요 ㅠㅠ 사랑해요 LG",0개
41,박진수,엘지 가격 보면 지들이 삼성이랑 투톱인줄알어,1개
42,DIDROD양갱,"이번에 자급제 할인도 하고 사은품도 있고
듀얼 스크린하고 펜은 별매지만
디자인 색상 예쁘고.. 은근 괜찮은거 같아요.
저는 일루전 선셋이 가장 예쁘네요!
모두 실물 한번씩 보시길! 그립감 지립니다",22개
43,,a51 보다 구린데 가격은 a51보다 40만원 비싼 벨벳,1개
44,여다경,S20 펀치홀 보다가 벨벳물방울 보니까 보급형 느낌 가득함.,5개
45,ERGAMING에르유튜브,RIP LG,1개
46,ollaP,생각했던것보다 괜찮은데?,1개
47,가람,"영상 항상 잘보고 있습니다!:)
펜은 와콤 것으로 보이는데 맞나요?",0개
48,희찬Q,와 1분전ㄷㄷ,1개
49,xingxi,걍 나중에 업무용으로 중고구매나해서쓸까ㅋㅋㅋㅋㅋ듀얼스크린+펜은 기능적으로는 노트보다 좋네요.업뎃 신경안쓰고 메모용으로 들고다니면 오래쓰겠네,0개
