닉네임,댓글,좋아요수,날짜
문복희EatwithBoki,"자막은 설정에서 활성화 해주세요 💗

안녕하세요 복희예요 🥰
날이 더워서 시원한 음식이 마구마구 땡기는 요즘 ,, 오늘은 살얼음 동동 올라간 막국수가 먹고싶더라구요 🙃
물막국수랑 비빔막국수 둘다 먹고싶어서 집 근처 봉평메밀막국수집에서 주문 !
명태회무침으로 쫄깃함 한번 잡고 무절임과 오이채, 열무김치까지 곁들이니까 아주 풍성한 비빔막국수를 먹을 수 있었어요 👏🏻
거기에 부들부들한 수육 한점(으론 아쉽고 두 점^^)이면 끝났쥬? 
매콤새콤한 비빔막국수로 입맛을 돋구고 살얼음 동동 물막국수로 마무으리 ~!
조금은 거친듯하면서도 연약한 씹는 식감도 좋고 구수한 메밀향도 은은하게 나는게 정말 맛있더라구요 🤗
오늘도 너무 맛있어서 정신줄 놓고 흡입했네요,,^^,, 잘먹었습니당 🙏🏻💕

Hello everyone ! This is Boki 🥰
These days, it is so hot that I can only think of cool food💦
So I brought spicy and sweet makguksu and cold buckwheat noodles.
I ordered it from a restaurant near my house and brought it with ice so I could eat it coolly !
I wanted to eat meat together, so I prepared boiled pork.
It was good to start with spicy and sour,  and finish with something cool 😆
Enjoy your meal too 🙌🏻

🍎복희 daily instagram🍎 @_luvmun
🍒Mukbang instagram🍒 @eatwithboki",698개,2020. 6. 1.
dundunshark,Who's watching this while on fasting??? 🙋🏽‍♀️,35개,2020. 6. 1.
InahMaeBoholano,"Boki on her first bowl of noodles.
Me: oh she's almost done eating 😢
Boki: Pours the 2nd batch of noodles.
Me: shookd Calm down gurl!
🤣🤣🤣 I underestimated Boki's eating capacity. 🤣",113개,2020. 6. 1.
sophia223,"""Let's continue eating😋""

Me: ""Let's continue starving😤""",48개,2020. 6. 1.
Shelly셸리,Who’s laying hungry on bed?,345개,2020. 6. 1.
natashajuffa,"boki: “lets continue eating”

sis what have u been doing",9개,2020. 6. 1.
AllanYap,"Does she have really strong lungs it something , how can she slirp those noodles like that ʘ‿ʘ",21개,2020. 6. 1.
SiaPhares,I used to not have an appetite when it comes to eating....I could stay the whole day without eating but these videos definitely gave me an appetite...I used to be underweight but now I’m gaining weight...❤️❤️,7개,2020. 6. 1.
sophia223,"""My mouth is full of happiness""
Again, ""Her EYES is full of happiness""",7개,2020. 6. 1.
DogloverDog,You know the foods good when she smiles after taking a bite,13개,2020. 6. 1.
마쁠렌,복희님 안녕하세요 이거 혹시 복희님이 허락하신건가 싶어서 댓글달아봅니다.. 제가 일본 게임을 좀 해서 광고를 볼때 일본 광고가 가끔씩 나와요 그런데 다이어트 약? 같은 광고 였는데 거기 문복희님이 한입만 하는 영상이 잘려서 나오더라고요 이 먹방 유튜버는 우리 다이어트 약먹고 살뺀다 같이요 캡쳐 다 해놨고 필요하시면 메일로 보내드리겠습니다 만약 허락 하신거라면 죄송합니다 문복희님이 보실 수 있게 위로 올려주시면 감사하겠습니다,585개,2020. 6. 1.
Aennie,She's very feminine and clean when eating that makes me more hungry uwaaaa 🤤,10개,2020. 6. 1.
Twink자이라,"Her face:😊
her mouth:🌀",8개,2020. 6. 1.
thisisforstoragemanagement,"""Boki has only korean supporters""
Every international supporters of Boki, where u at!!!!!! 💞",50개,2020. 6. 1.
시아시아,오 ㅏ... 진짜 먹짱 전공출신이신가. 비빔 다 먹구 거기에 물막국수 넣어서 먹을 줄이야. 진짜 보키언늬 찐이야 찐 ㅠ,12개,2020. 6. 1.
BARMY,She takes out her plate from the side like a weapon overall it's a sudden attack ;-;,2개,2020. 6. 1.
VannieEats,My mouth is watering when I watch Boki take big bites and eat all this delicious Korean food 😍 the noodles with the meat look super tasty!,70개,2020. 6. 1.
LizzyWoodhouse,When I grow up I want to have Boki's ability of picking up sauce with chopsticks.,20개,2020. 6. 1.
EvitPapadaki,Have you noticed that in all of her videos she takes more then 1 million views?,5개,2020. 6. 1.
하우세상HaUWorld푸들TV,아니 원래 내 내일 점심 메뉴가 보쌈인걸 어떻게 알고...? 오늘의 명언...’삶의 의미는 삶은계란을 먹기위해...’,8개,2020. 6. 1.
RosemarineTT,When Boki didn’t add eng sub but you’re still watching it,14개,2020. 6. 1.
정영민,면의 시작과 끝점을 정확히 보는분인데 어딜봐서 씹뱉의혹인지.. 편집된부분 잘보면 씹어서 목구멍으로 삼키는 소리가 딱딱 다 맞아떨어지는데?! 부러우니까 배아리꼴리는 소리들 하지말자^^,17개,2020. 6. 1.
michaelarose,"WHO ELSE THINKS BOKI IS GORGEOUS??🙋🏻‍♀️🙋🏻‍♀️

small youtuber here",40개,2020. 6. 1.
HanifAhsan,"Request: Instant noodle from Indonesia like Indomie(any-kind), Spicy Noodle, Chicken Noodle(mie ayam), bakmi, or other. Whether you can make any food from Indonesia, like sate, rendang, ketupat, gado gado, seblak, etc
please Bokii, It doesnt have to be fast, but another time u will upload it.
Thank youu, Mbak(miss) Bokii :*",2개,2020. 6. 1.
ChloBelleLee,she can fit a lot in her skinny and fragile body 😂,2개,2020. 6. 1.
공백,"입안에 저렇게 많은 음식이 들어가는데 겉보기로는 입안 가득 먹은티가 1도 안나는게 레전드,,,,",4개,2020. 6. 1.
JY,"아니근데 다들 먹을만큼 적당히 드셔서 좋다고 하시는데 원래 양자체도 많으셔,, 국수 2인분에 난 저 보쌈들 한줄만 먹어도 배부를듯ㅠㅠ 결론은 짱...",79개,2020. 6. 1.
ClarissaChavira,"Ah, I love when Boki eats crunchy foods! The noise makes me happy.",2개,2020. 6. 1.
RyanCHOI,아 문복희 너무 좋아 그냥 좋아 그냥 최고야 사랑해요 언니,8개,2020. 6. 1.
오빠그,"와 진짜 물막국수 추가할 때 무릎을 탁 쳤따
먹방천재 문복희ㅠㅠㅜㅠ",58개,2020. 6. 1.
전인수,6:17 와 언니... 나는 비빔막국수 반 먹고 육수 추가해서 물막국수 먹는 줄 알았지... 언니 진짜 최고야...,4개,2020. 6. 1.
MANGO,언니ㅠㅠㅠ간만에 한입만 모음 또 올려주심안될까여ㅠㅠ,13개,2020. 6. 1.
DouglezLee,Boki look cute when she eat her food,2개,2020. 6. 1.
