닉네임,댓글,좋아요수,날짜
한세HANSE,"안녕하세요 오늘은 구움 과자 티그레를 준비했어요
티그레는 호랑이 무늬와 비슷해서 티그레라고 부르는 디저트인데요
초코 + 버터가 잔뜩 들어가서 맛없을 수가 없는 과자입니다 :)
달지 않은 아메리카노, 홍차와 먹으면 정말 맛있습니다
 
최근에 초콜릿 디저트를 자주 만들었네요 한창 초콜릿에 빠졌나봐요 하핫
태운 버터를 넣어서 버터 향이 정말 좋고 초콜릿이 들어가 달달한 디저트입니다 :)
 
▶재료 (미니 도넛틀 기준 18개 분량, 약 3시간 소요)
+ 
무염버터 160g, 흰자 150g, 설탕 90g, 물엿 20g, 바닐라 익스트랙 4ml, 아몬드가루 120g, 박력분 50g, 다크 초콜릿 60g
+ 코팅용
실온에 둔 버터, 설탕
+ 가나슈
다크 초콜릿 60g, 생크림 60g
 
1) 냄비에 무염버터를 넣고 약불에 올려 끓여줍니다
2) 밝은 갈색이 되도록 계속 끓여줍니다
3) 태운 갈색 버터는 미지근하게 식혀줍니다
4) 볼에 흰자와 설탕, 물엿, 바닐라를 넣고 섞어줍니다
5) 아몬드가루와 박력분을 체에 걸러 넣어주고 섞어줍니다
6) 식혀둔 버터를 체에 걸러 넣고 섞어줍니다
7) 다크 초콜릿은 잘게 다져 넣고 섞어줍니다
8) 짤 주머니에 담아 묶거나, 볼에 랩을 씌워준 다음 냉장실에 2시간~6시간 넣어둡니다
9) 실온에 둔 버터를 준비한 틀에 발라줍니다
10) 설탕을 틀에 가득 부어주고 뒤집어 붙지 않은 설탕을 털어냅니다
11) 오븐은 180~190도로 켜서 10분 동안 예열합니다
12) 반죽을 틀 80% 정도 채워줍니다
13) 예열된 180도 오븐에 15분간 구워줍니다
14) 구운 과자는 틀을 뒤집어 빼내어 식혀줍니다
15) 볼에 다크 초콜릿과 생크림을 넣고 전자레인지에 돌려 녹여 섞어줍니다
16) 재료가 모두 섞이면 짤 주머니에 담아 식은 과자 가운데 채워줍니다
17) 식용 금박 등으로 장식합니다
+ 만든 디저트는 밀봉해 냉장보관 하고 3~4일 이내로 다 먹습니다
(먹기 전 실온에 잠시 꺼내 두면 됩니다)",187개,2020. 5. 3.
졘졘,만들지도 않을건데 보는건 너무재밌음...,58개,2020. 5. 3.
SarahPardasany,"Me: should I make this?
Brain: yes
Stomach: yes
Wallet: nOOOOOO-",206개,2020. 5. 3.
엘리버,눈 붙인거 너무 귀여워서 심장 부여잡고 들어옴...,61개,2020. 5. 3.
고래상어,"5:11 날 먹을 거야....? 진짜로...,.?",20개,2020. 5. 3.
워터미네랄,ㅋㅋㅋㅋㅋㅋㅋㅋ 한세님 마지막에 너무 잔인한거같아여,59개,2020. 5. 3.
CasualCookery,They look so cool! But this moment is so cruel 5:21 😂,58개,2020. 5. 3.
이하민,나 왜 만들지도 않는데 구독하고 계속 보고있자나.,42개,2020. 5. 3.
cherryday,"Ooo I’ve never heard of this dessert before - I searched it up but there’s not much info on them, are they French?",51개,2020. 5. 3.
유라,티그레라는건 처음 들어보고 보는것 같아서 신기하네요! 오늘도 즐거운 주말 보내시고 연휴 보내세요~ 저도 기회되면 만들어볼께요!❤️,73개,2020. 5. 3.
한비,호랑이와 닮아 어흥 하려했능데 저건 어흥도 아니잖아요ㅠㅠㅠㅠ뀨웅 이잖아요 귀여워....,8개,2020. 5. 3.
