,youtube_id,comment,like_num
0,yeondukong연두콩,지가 불안하면 네일이랑 손근처 다 뜯어가지고 손이 좀 안이쁜디 양해를.. ㅎㅎ 아니근데 어찌하라고 내 손인디~ (자격지심) 안이뻐두 그냥 보셔유 ㅎㅎ,275개
1,네스퀵,두콩언니 저는 개인적으로 이제 화장은 하진 않지만 그래도 언니 영상은 꾸준히 보고 있어요 ❣❣ 세상에서 제일 사랑하는 유튜버 연🙏두🙏콩🙏 언니 영상 보면서 기분좋게 치맥 합니다~~~~~😍,88개
2,슈붕붕,러블리를... 의인화하면... 이 사람일거야....,17개
3,자몽해,"저번에 반지 보여달라고 했는디.. 이렇게 빨리 가져와주실줄 몰랐슈..😭
언니 손도 반지도 예쁘구먼유🥰❤
반묶음 머리 진짜 공주같고 잘어울리는구먼유💕",53개
4,청청,아니 언니 얼굴이 제일 큰 거짓말 아니에여?!??저게 어딜봐서 10학번이야!!,27개
5,나대지말자,이게 뭐여 썸네일 완전 아이돌 티저 컨셉포토 재질..... 💖💖💖,19개
6,쨍jjaeng,언니 요즘엔 요정도 유튜브하는거에유...? 진짜 짱소중해 연두콩언니ㅡㅜㅜㅜㅠ,21개
7,Soyoung,"쪼꼬망🐶한 콩언니 손가락에 열 가락지라니, 판도라 당장 구매해 나만 아는 언니오ㅏ의 커플템 합니다 총 총 총 💸💸💸",39개
8,TreeLe,오늘 역대급으로 이쁘다..,10개
9,Lovelylaile,"오늘 메컵 진짜 너무너무 이뿌다 
이 메컵도 영상 올려주세영!!!",7개
10,얌얌,본인피셜..귀걸이가 안어울려 잘 차지않았다 하여찌만 저번 영상 칭찬이 수두룩 백백 하여 착용하신 거 맞으십니까!!!!!!!!!물론 찰떡입니다!!!!!!!,8개
11,가현,그러니까 연두콩님이 서른이면 난 열아홉이니까 11살 차이겠ㅅ꾼요 근데 왜 때문에 언니가 더 10대같응건ㄱㄹㄹ가요....... ㅎ ㅏ .!ㅠ,5개
12,희건,와 듀콩온닝 오늘립 모에여!!!완젼 찰떡쓰!!,8개
13,su01231,언니 립 모 발랐어여???,7개
14,Jin,언니 로이드 탄생석 너무 예뻐서 다음에 매장에 가보ㅘ야겠어요!!!!!!!!!!,7개
15,지금은희망으로,반지를 봐야할지 언니를 봐야할지 아주그냥 눈호강 👀❤️ 감사합니다 (언니 요즘따라 더 예뻐요 비결이 뭐유),6개
16,초코퍼지,"두콩찌 손도 작고 귀엽고 소중해,,❣ 그리고 귀걸이 낀 것두 이쁘잖아유 거봐유 맨날 껴줘유😏
빈티지한 반지 안 어울리는데, 여기서 몇 개 찜했슈,, 고마워유 알럽유",4개
17,yerinlim,"언니이 진짜 연두콩언니 기다리는게 진짜 하루하루가 10년인줄...알았자나요ㅜㅜ
연두콩언니 오늘도 정말 존예시궁....반지고르시는데 소질이 말할것도없이👍🏻
연두콩언니가 구매하신거 다사고싶어욜...ㅠㅠㅠㅠ 코로나 조심하궁...앞으로도 하울이나 재미있는영상 기대할게요~❤",15개
18,채롱언니,콩언니 왜 손등 다쳤어욥 ㅠㅠㅠ아푸지 마용😭😭😭,6개
19,잔망아,마침 반지 살라했는데 저 새끼부터 엄지까지 다 사겠어╭( ･ㅂ･)و ̑̑₍₍ (ง ˙o˙)ว ⁾⁾,4개
20,리스,아니 연두콩님 제가 반지 좋아하는건 또 어떻게 알고..!!저는 반지없으면 시체거등요..ㅋㅋㅋㅋ그리고 반지 하나하나의 의미를 담아서 사용하는?그렇게 뜻깊게 사용하고 있어서 그런지 반지에 더 애착이 가요><이 영상 보고 또 다른 반지도 사고 싶어지네요!!,5개
21,보라BOLA,공주야 뭐야ㅠㅠ너무 예뻐요ㅠ 반지가 두콩언니 빨 받자나유.. 오늘 진짜 공주에요💕,5개
22,bbbrilliantbird,다 이뻐유 다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ❤️❤️❤️,4개
23,lulu,언니 써지컬스틸 목걸이 하울도 나어나욤??저번에 하트 목골이 궁금해욤❣️,5개
24,수냥SUNYANG,언니 사랑해유 을매나 기다렸는지 몰러유,8개
25,js,전 반지 잘 안 끼지만 언니 반지낀거 보고 대리만족 할래융❣️,7개
26,씨앙이다나는,일찍왔어유ㅠㅠ오늘되 여신 이십니다ㅠ아우 미치것내 진짜  10손가락 다 다치시면 안될이쁜 손이에유ㅠ❤코로나 조심하시고 사랑합니다ㅠ고정 해주시면 감사할것가타유ㅠ기분 나쁘셨다면 죄송해유ㅠ,4개
27,황선미,"언니... 초록색 반지...
내가 사랑하는 사람이 내생각하면 색이 변한다는 그 반지 알어유?
내 동년배들, 문방구에서 한번쯤 사봤을겨
그거같어서 끄적여봐유",6개
28,감귤,"휴.,두콩언냐
질러버렸어유 반지-ㅋㅋㅋㅋㅋㅋ 유일하게 믿고 보고 사는 유튜버에유~",2개
29,정원숙,"꺅 언니 넘 이뻐요( 물론 악세서리도요)
담에는 언니의 생활 이야기나 요새쓰는 화장품 겟레디윗미 보여주시면 좋겠어요 그리구 최애  옷 5가지도요~~~",3개
30,이하연,헐.. 영상 처음부터 귀걸이 너무 찰떡이구ㅠㅜㅜㅠ 미쳤다...하ㅏㅏ 고급스러운데 귀엽고 러블리한데 프리티하다...ㅠㅠㅜㅠㅠㅠㅠ,0개
31,차태식,뭐여 애기 손이여..? 작다.. 진짜 네일 안한 자연스러움이 굉장히 이뻐요,2개
32,젤리빈JELLYVIN,울언냐는 나랑 백년만년 유튜브하자❤️,3개
33,아지,할ㅠㅠㅠ반지 소개영상 부탁드렸던 많은 사람중 한 명 이예요!!!오늘도 영상 잘 봤어요❤️ 언니 오늘 공쥬같아여👑👑,1개
34,이연우,오늘 뭐ㅅi여 ㄷ6신.. 프rin세스ㄱr ㄸr로 없90000... ㅅrㄹ6ㅎhyo 연두콩... 언ㄴiga ㅉ6ㅇiㅇㅑ ...🤍,1개
35,K민정,언니 오늘 영상 메이크업 튜토리얼도 궁금해요!,3개
36,연웅이,반지들 짱이뻐요,4개
37,박서희,바로왔떠여ㅠ안그래도 반지 살까했눈뎅💚역시 연두콩언니짱,1개
38,정희온,언니 ㅠㅠㅠㅠ 보고싶어써요 ㅠㅠㅠ,1개
39,주영JuYoung,언니 너무 이쁘시고 반지도 전부다 너무 이쁘세용 ❤❤,1개
40,소이짱,피부가 애기야💕💕💕💕,1개
41,YEON뀨둥,4:58 맞아유 저두 초록색인디 예뻐유 언니두 황소자리여유?!,0개
42,분홍율,아니 세상에 언니 너무 잘 어울리는 거 아니에여 ㅠㅠㅠ진심으로 ㅠㅠㅠㅠㅠㅠㅠ,0개
43,옹마,마지막 안녕~~! 인사가 너무 밝아서 저까지 기분이 좋아졌어유~~반지 도 다 넘 사고싶다 ㅠ ㅜ 건강해요!,0개
44,정수현,언니 오늘 왜이렇게 이뻐요ㅠㅠㅠㅠㅠ언니 미모에 치임 역대급 메이크업과 헤어스타일이에요 언니랑 넘 잘어울려용❤❤❤❤❤,0개
45,또융,나지금까지.... 언니 대학생인줄알았어.... 미안해언니 영상 많이볼게.....,2개
46,별,언니~ 윙블리도 악세서리맛집이에요😊 추천해드리고싶었어요,2개
47,yeeunP,연두콩님은 어느나라 공듀님이예요? 미모로 공듀 먹었죠? 왤케 천사같아요 연두콩니무ㅜㅜㅜㅜㅜ?,3개
48,최다인,진심 다 너무 이빠요 ㅠㅠㅠㅠㅠ 호주 뭐하냐 힘조~!~!~!~! 진짜 한국이... 하 한국 가고싶다 ㅠㅠㅠ,0개
49,이진경,"헉 언니 썸네일 넘 이뻐서 기절할뻔 했슈~~~ 선댓글 후감상❣❣ 코로나 조심하셔유!!!! 
연두콩님 영상은 항상 다 넘 재밌을것 같아서 후닥닥닥 들어온다구용~~ 

하얗고 이쁘기만 하구만 뭐가 할머니손이여??? 울 언니보다 동안인사람 있으면 나와보라고혀!! (부산이지만 언니 사투리 따라해보고 싶었어용 ㅋㅋ)",4개
50,소소한하울유투버소하,두콩언니 뜬금없지만 mbti 궁금혀유!!@ 오늘도 영상 넘나 잘 보고가유...😍,0개
51,유부,듀콩님 ㅠㅠㅠㅠㅠㅠㅠㅠ 렌즈 뭔가여 너무 예뻐요,0개
52,단이,난 아..저기 중에서 내가 같고싶은건 뭘까..생각했는대 생각할 필요가.없었네..왜냐...다 갖고싶으니깐..ㅋㅋ,0개
53,강승희,반지 전부 우리 스따일ㅠㅠ,0개
54,울타리,언니 나중에̆̎ 팔찌 하울도 해주세요ㅠ̑̈ㅠ̑̈,1개
55,롬뿌ROMBBU,"두콩언니 영상은 항상 성공적이져,,, 사랑해여 😉",0개
56,나레이,저는 사루비아 좋아했어욬ㅋㅋㅋ 연두콩님 요정이시네요 오늘듀!!♡,0개
57,쭈,티르리르도 예뻐용〰️💝 오늘도 두콩언니 하울보면서 열캡쳐질 했다( ˘ ³˘)♥,0개
58,쟌이,두콩님 잠시망유 손을 봐야되는디 입술색이 너무 예뻐서 자꼬 입술에 눈이가쟈너유ㅠㅠ 립 뭐 바르신거에유?.?,0개
59,김가현,오늘 알림 울리자마자 달려왔네요^^반지를 너무 예뻐요 근데 반지 녹이 쓸때도 있는데 관리 어떻게 하시는지 궁금해요 잘 보고 갈께요,1개
60,ainaaaR,이런거 너무좋아.. 이언니 컨텐츠 넘 좋아..,0개
61,송율이,영상에서 바르신 립 정보점요....진짜 존예입니더....💞,1개
62,SooYummy수야미,나 실버쟁인데완전~~ 언니 내 취향 완죠니 저격했쟈나~~~ ><,0개
63,유강민,"언니 오늘 너무 이쁘세용♡
오늘 메이크업 방법 알려주세요>ㅁ<#",1개
64,YEON뀨둥,"손 이쁘구 귀엽구만유 뭘 새삼시럽게 그래유
다 이뻐유💕",0개
65,검은콩,인트로 분위기 예쁘네요  반지 너무 예뻐요~~저도 데이지 좋아했는데 대부분 릴리 피치 팬이더라구요,0개
66,,노무 이뻐용,3개
67,므양,저도반지좋아요ㅠㅠㅠ,0개
68,진달,저 요즘 친구랑 우정링할려고 생각하고 있었는데!!ㅎ 컨텐츠 넘나 유익ㅠㅠ🥰,0개
69,임혜란,방금 언니 영상 보고 있었는데 이렇게 올려주시네유 ㅎㅎ,1개
70,주하,언니is 뭔들ㅎㅎ 이번 영상도 너무 좋아요! 요즘 실버 악세사리에 빠졌는디.. 덕분에 소비하러가요!,0개
71,김미리,언니 무난무난한 거 구매하셨으니까 포인트 악세사리 추천하자면 누누핑거스 예쁩니닷!,0개
72,정다경,언니 이번 영상 너무 예쁘세요!! 그리고 유익하게 잘 봤습니당😘,0개
73,김미지,오늘 넘나 요정요정해ㅠㅠㅠ,0개
74,수진,왕 이런 영상 넘 좋아여.... ❤️ 앗 그리고 두콩님 옛영상 정주행하다가 느낀건데 옛날 영상이랑 비슷한 느낌으로 화장하기? 이런 콘텐츠도 보고 싶네요ㅎㅎ헤 영상 잘 보고 가요🙏❤️,0개
75,박지선,두콩언니쓰 오늘도 넘 상큼 낭낭하니 아름답고 소중하구만유 ~~~ ✋🤚💍💍,1개
76,이선화,뭐래 손 겁나 예쁘구만~~~~~~~~~~ 귀엽고 예쁜 손이라구욥,0개
77,JIWONKIM,언니가 영상 찍을 때 가격 잘 기억 안나하면서 사만원대였나? 이러는게 난 너무 좋아유 진짜 옆집 언니가 알려주는거 같아유❤️❤️,0개
78,서지원,"반지들 다 너무예쁘네요 ♡♡
두콩님 향수 추천 영상도 보고싶어요!!",0개
79,뽀리,예 ㅠ 뻐,0개
80,Yjhappy,영상 대박❤️ 언니 저 1학기 전부 싸강 되었어용 아싸뵤오옹ㅎ}!~!~!~,0개
