닉네임,댓글,좋아요수,날짜
피지컬갤러리,"면도날 너무 비싸지 않나요?
더 이상 속지마세요.
전세계 26억개 판매,
글로벌 3위 면도기 브랜드 
5중날 면도기가 지금 100원!
http://bit.ly/백원_요잇
 
면도기는 레이지소사이어티!",24개,2020. 4. 24.
힙으뜸,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ 혁주니 지짜 너무 조아여ㅋㅋㅋㅋㅋㅋ 담주에 가정방문할겁니다. 혁주니 기다려~~~~~,32개,2020. 4. 24.
소련여자SovietgirlinSeoul,9:05 워웍이죠,25개,2020. 4. 24.
sorrywhite,"벤의 사생활 혹은 벤의 시점 컨텐츠 어때요?? 벤은 절대 말하지 않지만 자막으로 심경을 보여주는 거에요, 벤의 기여움과 피지컬갤러리 제작자님들의 센스면 충분히 재밌을 거 같아요",185개,2020. 4. 24.
gosarinamul,남편분인가? ㅋㅋㅋㅋㅋ 뭔가 쫒겨나는게 흔한 아빠들 보는거 같아 ㅋㅋㅋㅋㅋㅋ 개귀엽네 ㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋ,401개,2020. 4. 24.
예성찬,지단박치기 미친건가 ㅋㅋㄲㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,64개,2020. 4. 24.
남자의자신감,혁준이가 이제 계란형이랑 친해졌다고 좀 대드는데 거기에 또 받아주며 강약 조절 지리는 계란형 ㅇㅈ,57개,2020. 4. 24.
백수앞을본백수,1:10 아니 계란님 무슨 인형같네 ㅋㅋㅋㅋㅋ 넘모 귀엽자너,54개,2020. 4. 24.
윤진홍,빡빧이 아저씨  우리 아이가 달라졌아요가 아닌 공혁준과 우리결혼했어요 라고 바꿔주세요 그게더 잘어울려요 ㄹㅇㅋㅋ,56개,2020. 4. 24.
아침형닭고기,확실히 혼자 케릭터 로 이끄는 것보다 두명 세명 케릭터들이 서로 이야기를 만드니까  tv 예능보는거 같넹 ㄸ,13개,2020. 4. 24.
quartz9,와... 처음 운동 시작했을때랑 비교하면 혁준이 살 진짜 많이 빠졌다... 대단하네.,318개,2020. 4. 24.
띵,14:06 Daegebu is man..,44개,2020. 4. 24.
CPA합격,16:07 내가 뭘 본거지...;; ㄷ ㄷ,160개,2020. 4. 24.
StarLightL,5:05 와 지단박치기 진짜 옛날부터 친구들한테 하던건데 이걸 하는사람이 또 있어서 행복합니다.,0개,2020. 4. 24.
크크크,"진짜 혁준이가 지금 계란님이랑 뺀다해도
 그이후 이 프로젝트가 끝난 이후에도 유지했음좋겠다 바로 원상태로 돌아가면 서로 맘상할듯..",19개,2020. 4. 24.
우주비행,"9:07
그라가스 갱당함 ㄷㄷ",10개,2020. 4. 24.
치킨먹고맴맴,"둘이 이렇게 캐미가 잘 맞을 줄이야 ㅋㅋ
진짜 엄청 친해진게 눈에 보임 ㅋㅋ",36개,2020. 4. 24.
츠츠츠츠,"1:09 김계란 구멍난거 
1:22 양말 챙겨줌
5:14 초딩싸움 , 시끄러운 어머님",48개,2020. 4. 24.
전부다해보는선생님전생님allcher,10:12 노량진과 가락시장의 차이 ㅇㄷ,58개,2020. 4. 24.
이용,레깅스 광고효과 오진다 혁준이가 xs를 입는걸 눈으로 보다니;;;,13개,2020. 4. 24.
프로도전러PRODO,3:44 ㅋㅋㅋ와 진짜 많이 빠지셨네 ㅋㅋㅋㅋㅋ,12개,2020. 4. 24.
KimSpin,16:07 매드맥스ㄷㄷ,44개,2020. 4. 24.
장혁재,"16:12  타코상! 타코상!! 타코상!!!
아 겁나웃엇넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",19개,2020. 4. 24.
ZZI,12:00 뒤에 서장훈 ㅋㅋㅋ,4개,2020. 4. 24.
