,youtube_id,comment,like_num
0,가자나들이,"1. NYX 립 란제리 #러플트림 #ruffletrim
1:06 1:54 
가장누디함+세팅빠름+지속력+건조할수있음

2. 어퓨 트루 매트 플루이드 #썸 아몬드
2:30 2:55 
좀더핑크

3. 컬러팝 울트라 블로티드 립 #싸이프레스칠 #cypresschill
3:08 4:10
써니최애톤다운(딥)핑크+blotted lip

4. 에스쁘아 립 플루이드 벨벳 #세레나데
4:50 5:32
3보다 살짝 밝은핑크 가볍게 발림

5. 힌스 무드 인핸서 마뜨 #소프트디멘드 
6:05 7:32
써니취향의 완벽한 포뮬러, 텍스쳐의 립스틱 +4보다 좀더 웜한 컬러감

6. 페리페라 잉크더벨벳 #여주인공
7:50 8:21

7. 롬앤 쥬씨 레스팅 틴트 #핑크펌킨
8:34 8:59
6보다 글로시+편하고 촉촉+이쁘게 착색

8.레블론 슈퍼래스팅립스틱 #베리리치 #veryrich
9:30 10:08
발색좋고 촉촉한립스틱 뜨지않는베리핑크

9. 샤넬 루쥬 코코플래쉬 #도미넌트 #dominant 
10:42 11:12
오일같은 글로시한 텍스쳐+로즈~딥한 버건디

10. 웨이크메이크 립페인트 #베리페인트
11:32 11:46
핑크끼가 도는 피빨강+다른 웜한 누드립이랑 매치하기 좋음",36개
1,이윤지,13:24 ‘졸라 많잖아요’ 발음 정확한 거 넘귀 ㅠㅠㅠㅠㅠ,533개
2,JiwonJinySong,헐 오늘 메컵 넘 예뻐요ㅠㅠㅠㅠ 이거 튜토리얼 보여주세요ㅠㅠㅠㅠ,282개
3,Youzinlee,2탄 보고 싶어요 그리고 가을에 찰덕같이 잘어울리는 블러셔 추천템 알려주세욤! (저렴이도욤!),203개
4,cup,하얀 상의하고 목걸이+귀걸이ㆍ피어싱까지 깔끔하게 매치하니까 세련되보여요🤩☺️,138개
5,yup,"교정하고 점점 예뻐지는 써니,,,아니야 원래부터 예뻤어ㅠ❤️❤️❤️",147개
6,PinguLee,me begging for a winter version,62개
7,puccupuccunadonadodolphinboiChenle,"Me: * i'm not getting another lip product, i have way too many already *
Also me:  buys everything you recommend",71개
8,김은우,"써니님,,,,, 이 영상 메이크업 박제해주세요 유튜브에,,,, 넘 고급지고 적당히 광이 있는 매트한 메이크업 너무 예뻐요,,",68개
9,팀장,뭔가.... 가을 웜톤보다는 겨울 쿨톤 같아 보이시는데....,81개
10,이름뭐하지,핡 아이메이크업 너무 예뿨여ㅠㅠ조합좀 알려주세요오😘🥰,56개
11,영수,2편 당연히 원해요ㅠㅠㅠㅠㅠㅠ 써니님은 색깔 진짜 넘넘 예쁜거 잘뽑고 저렴이부터 고렴이까지 다양하게 추천해주셔서 넘 좋은거같아용💞💞💞💞,21개
12,며나,맨날 오렌지톤이 강한 벽돌레드나 톤다운 오렌지만 많이들 추천하셔서 아쉬웠는데 정말 핑크계열 로즈mlbb만 가져오셨네요 ㅠㅠ 취향저격 당했어용 사랑해요 써니님💗,27개
13,,아이즈원 안유진 메이크업 해주세여ㅠ,29개
14,백현아러비,ㅜㅜ 립2탄 블러셔 셰딩 파데 다 상관없어유ㅠㅠ 다해주세영 ㅜㅜㅜ,30개
15,소다플로트,힌스 설명 저거 ㄹㅇ입니더 ..... 저 설명 완벽해 !!!! 제 인생립이예요 힌스 얼루어 ~!!,12개
16,Sonny,영상 자주 올려주새요ㅠㅠㅠㅠㅠㅠ흐규ㅠ규ㅠ😭,32개
17,유정,블러셔 아이섀도우 소소하게 요즘쓰는 파데도 알고싶어요!,15개
18,지예,0:00 - 0:30  그냥 x6 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,22개
19,커피체리,9:01 진짜 이뿌다ㅠㅠ,5개
20,또밍밍,핑크성애자인 저는 써니님이 요새 핑크에 빠졋다는게 너무 좋아요...! 벌써 설레!!!! 2탄 3탄 4탄 172020탄을 내놓아라!!!!!!,8개
21,MrMirareruno,"Can you do video about eyemakeup for weird-colored lipsticks? I recently bought really dark and cool-toned purple and brown lipsticks and the struggle is real! I thought they would be sheer and glossy ones, but they so opaque and unusual. Please send help",2개
22,Palmatree14,"Yes please do a winter version!! :3 (or any type of version, I enjoy your chilly makeup videos, its nice and great for my morning tea <3 )",3개
23,검은옷그만사자,렌즈 뭐에요!??!!??!,9개
24,,"Thank you for the recommendation, definitely will buy some of them 💖",1개
25,예블링,ㅋㅋㅋㅋㅋㅋ초반에 그냥 왤캐 많이 말해욧??!! 귀엽당ㅋㅋㄱㄱㅋㄱㄱㅋ,13개
26,보단Bodan,갈웜착붙이 아니라  써니착붙인듯ㅠㅜ 다 너무 잘어울리잖아요ㅠㅜㅜ,6개
27,이주은,아니 ㅠㅠㅠㅠㅠ립 모든 색이ㅜ다 잘어울려요 ㅠㅠㅠㅠㅠㅠ진짜 너무 예쁘시다 ㅠㅠㅠ써니님 항상 영상 잘보고있어요 알러뷰합니다🥰,7개
28,반유진,꺄악 써니이~! 기다렸어욤 O(￣▽￣)o,7개
29,성빈,써니언니 진짜 목소리가 너무 듣기 좋음ㅠㅠㅠ 언니 목소리 진짜 사랑해ㅠㅠ,3개
