,youtube_id,comment,like_num
0,구구GG,내 댓글 베댓되면 유튜브 본사앞에서 똥싸고 온다 (드립이예요ㅠㅠ),436개
1,BaKcass,ㅇㄴ ㅋㅋㅋㅋ 짝퉁에서 넣어주는 충전기가 애플 아이폰 11프로 이하에 넣어주는 거보다 좋으면 어쩌자는거 ㅋㅋㅋㅋ,45개
2,MasterPiece,8:06 짝퉁이 더 좋아보이는데...?,41개
3,베린이,0:00아네 ㅅㅂ엠알입니다,54개
4,손유승,8:13 짝퉁이 더 선명한거 나만그릏냐..?,14개
5,심심해나는심해,"""MADE IN CHINA""",77개
6,달리기맛우유,역시 땅 크기와 그 나라 인구의 뇌 크기는 반비례 하는것인가...,8개
7,Nogame,8:07 나만 짭이 화질 더 좋은것같냐,22개
8,김진현,"5:29 조선민주주의인민공화국 무엇ㅋㅋㅋㅋㅋ?ㅋㅋㅋ
와 근데 진짜 짝퉁 기술도 좋아졌네요
펀치홀 카메라도 적용하고 지문인식은 기대안했지만ㅋㅋ 저 폰 만든 사람은 얼마나 좋아할까 여기 자비로운 엠알형이 사주기도 하는데 폰팔아서 좋아하겠네..ㅋ",15개
9,이재욱,"와 ㄹㅇ 똑같이 똑같이 보인다,,
근데 MR님은 이런거 어케 구하누..?",29개
10,stmo,짝퉁리뷰할때 제일 신나보여ㅋㅋㅋ,3개
11,곰돌이푸우우우,형 나중에짝퉁도 분해해보자!!글고 형 진짜 개 존잘 이야,18개
12,KAMI유튜버카미,Tof 센서있는 갤럭시분들 Night vision이라고 플레이스토어에 쳐서 깔아보세요 ㅋㅋ 야간투시되요,16개
13,즐겜러,성능이 진짜보다 10배 딸리니깐 가격도 10배싸네 의외로 정직함,6개
14,,"뭐 리뷰하는건 상관없지만 짝퉁을 사는건 좋지 않습니다
짝퉁을 파는 사람들은 짝퉁을 팔아 진퉁을 산다-사망여ㅇ
그렇다고 리뷰하신 mr님이 나쁘다는건 아닙니다 ㅎㅎ 오히려 이런것이 짝퉁이라고 알려주시는 유익한영상이니깐요",37개
15,박찬수,이정도로 잘만들었으면 알고보니 원래진퉁도 15만원인데 브랜드 갚만부친거면 래게노,5개
16,아이소셀브라이트GN1,7:58 ㅋㅋㅋ,8개
17,김영훈,15만원도 펀치홀인데... LG는..... 주르륵..,8개
18,KAI,저번에 아이폰 11짝퉁 본게 엄청 오래전 같습니다!! 이런 짝퉁은 보면서 떨어진 기술력을 보면 웃음이 절로ㅋㅋㅋㅋㅋ,42개
19,아이소셀브라이트GN1,8:43 짝퉁 얼굴에 선크림 바른줄 ㅋㅋ,25개
20,띠용,짝퉁폰은 어디서 사는겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19개
21,가성BH,15만원에 지문인긱까지 기대하면ㅋㅋㅋ,27개
22,으으,아니 저런 짝퉁은 어디서 구해오는거야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개
23,이인호,와 15만원에 펀치홀을 구현한건 신기하네요ㅋㅋ,7개
24,이솸,8:12 나만 짝퉁이 화질이 더 좋아보임?,10개
25,저는친구가없어요그래서,1기가 램에 64기가는 무슨조합이얔ㅋㅋㅋㅋ,5개
26,박동규,"8:42 짝퉁에서도 저  빛나는  얼굴 
완벽 or 완벽
와 진퉁은 당연히  빛나네",13개
27,약속지킴이,2:43  ㅋㅋㅋ 갑자기 이뻐짐 ㅋㅋㅋ,2개
28,익명,형 나 짝퉁이라도 좋으니까 가지고싶어..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4개
29,박찬수,ㅋㅋㅋ100배 말고 1배라도 재대로찍엌ㅋㅋ,19개
30,안유주님,ㅋㅋㅋㅋㅋㅋㅋ 한숨쉬고 볼때마다 으윽.. 하는겈ㅋㅋㅋㅋㅋㅋ 진짜 찐텐이다ㅠㅠㅋㅋㅋㅋㅋㅋ 짝퉁 언박싱이 제일 재밌어ㅠㅠㅠㅠㅠㅠ,1개
31,IT시나쓰,8:55 그럼에도 불구하고 잘생긴거 뭐냐구여ㄷㄷ루ㄷㄷ,1개
32,달별,조선ㅋㅋㅋㅋ인민ㅋㅋㅋㅋ 둘이 다른가 궁금하네요,4개
33,블랙허니youtube,근데 짝퉁 어떻게 구하는 거에여 엠알님 참 집에 짝퉁만 30개 넘었겠닼ㅋㅋㅋㅋ,3개
