,youtube_id,comment,like_num
0,Cookingtree쿠킹트리,"*자세한 레시피 설명은 유튜브 자막 기능을 켜서 확인해주세요~
초콜릿 칩을 듬뿍 넣은 달콤하고 촉촉한 초코칩 머핀을 만들었어요~
퍽퍽하지 않고 촉촉한 스타일의 머핀이라서 입안에서 부드럽게 녹아 드는 느낌이 정말 좋은 것 같아요~
낮은 온도에서 구워야 더 촉촉한 느낌이 잘 나더라구요~
간단하고 쉽게 만들어 먹을 수 있는 디저트라서 좋은 것 같아요~
냉장실에서 차갑게 식혀 드시면 좀 더 진하고 묵직한 초콜릿 맛을 느끼실 수 있답니다~^^


시청해주셔서 감사합니다~♥
Thank you for watching~
 
▶영상을 좋게 봐주시고 좋은 마음으로 제안을 주시는 건 감사하지만
   자유로운 영상 제작을 위해 광고와 협찬 등은 받지 않고 있습니다~^^
 
▶Community Subtitles
 
If you can translate into another language,
I would appreciate it if you could use the video Settings subtitle add-on to add subtitles to this video~^^
다른 언어로 번역이 가능하신 구독자님들께 도움을 요청드립니다~
비디오 설정 자막을 추가 기능을 통해 자막을 추가 해주시면 감사하겠습니다~^^
 
▷인스타그램 : https://www.instagram.com/cooking_tree/
▷블로그 : http://blog.naver.com/winterhaha",91개
1,Renee,am i the only one who's never seen cubed chocolate chips before,701개
2,HanjiSan,"For anyone who doesn't have a scale, I tried the recipe and it's DELICIOUS. here's what I used: 
1.5 medium eggs
4 tbsp sugar
1/3 tsp salt
2.15 tsp honey 
3/4 unsalted butter stick
5 tbsp whole milk
3/4 cake flour
1 tsp baking powder
2 round tbsp cocoa powder
3.5 tbsp almond powder 
Chocolate chips 
*you can make cake flour by filling a a cup of all propose flourthen taking out 2 tbsp of it and replace it with 2 tbsp corn starch then sift twice. After that measure the amount you need and save the rest.
* I didn't have almond powder so I putpeeled almonds in a food processor for a few seconds (too much time will turn it to paste) then sift it.",712개
3,2poSanya,"Nobody:
Actually nobody:
Cooking Tree: 70 g egg
Me: okfine maYBE IT MEANS 2 EGGS??",490개
4,BoBoCooking,"Cooking Tree has the most gentle and graceful gestures.
Makes everything look so relaxing and peaceful.",307개
5,Mahya,"Why am I watching this while fasting 
Its like I’m torturing myself 😐",48개
6,MichiK,"Cubed chocolate chips...and they didn't even melt in the oven??
What kind of sorcery is this??!!",23개
7,GALAXY360,this channel is gonna kill me with its beauty,88개
8,SindhuAby,Me craving this in quarantine,71개
9,Kirsten,Is anyone else bothered that she didn’t fill up the whole cooking tray ;—;,36개
10,JellyPenguin,I never see cubed chocolate in my life. OMGGG THEY LOOK AESTHETICALLY YUMMMMMYYYY,29개
11,AyelaV,"Everyone : I wanted to TRY this !!
Ingredients : .....




Keep Safee",38개
12,WineStory,would be amazing to have this with some milk.,24개
13,FarahAli,"Who else wants to make this, but all the shops are out of flour 😖😭😭😭",24개
14,CoolCucumbers,These look delicious. Thank you for the recipe! 😊,18개
15,쏭이SSONGE,진짜 쿠킹트리님은 잘때 조용히 조명하나켜두고 이어폰 껴고 들으면 지상낙원이에용😄 항상 재밌게 보고 잇어용!!,43개
16,SarahS,"I made these for my boyfriend but I made twelve and they're so good...they're like really good mini chocolate cakes. Would recommend, I hope my boyfriend will like them! :)",14개
17,주디,보조 진짜 잘할수있는데.. 가서 보조하고 설거지하고 다할테니까 완성작 하나만 먹고싶어요..🥺,14개
18,세상의모든취미세모취,"04:45 베이킹은 만드는 과정도 물론 재미있지만
이상하게 저는 오븐에 들어간 빵이
부풀어 오르는 장면이 가장 재미있는 것 같아용!!
빵이 부풀어 오를 때면 제 마음도 같이 부풀어 오르는 기분😍😍",17개
19,작은행복,머핀 깜찍해요 ><  당충전에 짱 일것 같아요❣,10개
20,뭉개moonggaerecipe,"레시피는 간단해 보이지만
전혀 간단해 보이지 않는 비쥬얼ㄹ..
초코머핀 급땡기네요ㅠ",16개
21,베이지곰,초코칩은 어떤거 쓰시나요?,8개
22,성꿀seongkkul,쫀존하구 달딜한게 새벽에 먹으면 확깰듯 존맛탱이겟당!,9개
23,MimmyLee101,"That chocolate chip is hella big , i need that in my life✌️",1개
24,NorieJane,"Wow you're really good at this, I'm gonna make this at home 💖",7개
25,KibosEatsCookingChannel,omg these look so delicious and fluffy! i cant wait to try them :o,3개
26,BenedineChen,I need to know where you got your muffins tray. I really like the straight up look.,2개
27,LovelySalmon,어쩜 저리 초콜릿이 꽉찼을까 꼭 케이크 먹는 느낌일 것 같아요 우유 한모금 해서 소록소록 먹구 싶네요😍,5개
28,서현메이드seohyunmade,버터를 크림화 하지 않고도 이렇게 촉촉하고 부드러운 머핀이 되네요! 마들렌이랑 과정이 같아서 엄청 쉽겠어요☺️ 참고해서 맛있게 만들어볼게요💛,4개
29,NicoleC,Can the almond powder be substituted with anything? (for allergy reasons),7개
30,연보라빛,"와우... 영상보니 넘 만들고 싶어져요ㅜㅜ
청크초코렛은 어디꺼로 사면될까용??",3개
31,CakeCheese,오 초코청크머핀도 있었구낭.,3개
32,RocioHerreraSuarez,"Amazing and simple recipe, I love It! 😍 These are delicious.",1개
33,지니어스민트바닐라,어머 초코칩 머핀이랑 우유랑 같이 먹으면 얼마나 맛있게요 😍😍,4개
34,PetitDragon,I like when the chocolate on the cookies or muffins is melted and those chocolate chunks sounded very hard 😅...,4개
