닉네임,댓글,좋아요수,날짜
골드드골,"하승진 선수랑 링 위에서 싸우섰다고 들었는데  이기실줄 알았어요 
인스타  디엠 답장안하면 
각오하시라는데용?",7개,2020. 5. 24.
홍정훈,꽁병지 형님은 저  골키퍼 중에 독득한 캐릭터가 있는거 같다 머리스타일이나 그 시대에 하프라인까지 공몰고 가는거 보면,7개,2020. 5. 24.
김승우,잘 모르는 사람이 많은데 진짜 김병지가 이상한거를 많이해서 그렇지 진짜 선방이랑 이런거는 김병지가 대한민국에서 1등이라고 해도 과언이 아님 ㅇㅇ,41개,2020. 5. 24.
노란딱지,"제가 초등학생때 축구부가 있었는데 축구부 골키퍼가 드리블하고 슛해서 골넣었어요...



꽁병지형이 롤모델이었나봐요",43개,2020. 5. 24.
leeduplicate,내 인생 최고 키퍼는 김병지 이운재 끝..,4개,2020. 5. 24.
JaySeo,2위의 예능 퍼포먼스는 1위지ㅋㅋ,36개,2020. 5. 24.
DONGHOJUNG,정성룡은 별로 인정하지는 않지만 김영광은 진짜.. 난 포스트 김병지가 될거라고 생각했는데..,41개,2020. 5. 24.
박성열,"국대 골키퍼라면
강심장을 지녀야 할듯
그런면에서 정성룡이나 최인영은
뭔가 새가슴이랄까..... 큰 경기 .. 중요한 경기 에서 떨어버려서 제 기량을 발휘 못하는",26개,2020. 5. 24.
ZZANGYOON,솔직히  김영광이  정성룡보다  낫다  ㅜㅜ,11개,2020. 5. 24.
국가직,김병지의 동물적 감각은 우리나라 역대급 최고다 그 후계자가 김영광인데 아쉽네,23개,2020. 5. 24.
그남자,나는  김병지가  1위다  98프랑스를  봤거든,48개,2020. 5. 24.
EarnedNotGiven,조현우는 선방능력은 탑인데 킥이 너무 큰 약점이라...조현우가 킥만 장착했어도 유럽도전 할 기회라도 있었을텐데...아쉽,12개,2020. 5. 24.
PhilFoden,외국 골키퍼도 해주세요,4개,2020. 5. 24.
허점례,김병지님은 우리나라 레전드 아닌가요? 골넣는 키퍼라는 부분에서 그리고 드리블치고 나오는 키퍼 우리나라에선 유일했던 유형인듯 ㅋ,26개,2020. 5. 24.
얄tv로,김병지 1위 ㅋㅋ,7개,2020. 5. 24.
King,"조병득이 잘했죠. 당시의 다른 나라 키퍼에 비해서도 밀리지 않았다고 생각합니다. 
국민학생 때 이세연이 명키퍼라 했는데 하도 어릴 때라 가늠이 안되네요.",2개,2020. 5. 24.
TheNewKorea,학교에서 축구할 때 골키퍼를 자원하는 친구들이 늘어난건 김병지 선수 덕분이죠. 골키퍼를 부각시킨 최초의 프로선수가 아닐까 싶네요.,28개,2020. 5. 24.
연님,초딩때 자기성따서 김용수 이용수 최병지 강병지 이랬으니 병지님이 0순위죠 2002때 출전이 아쉽긴해도 레전드이심,3개,2020. 5. 24.
강아지카톡개,"실력만 놓고 보면 병지형님 1위, 스타성까지 포함하면 0위입니다 병지형님",3개,2020. 5. 24.
민롤,형 그건 그렇고 하승진 답장좀 해줘 ㅠ,3개,2020. 5. 24.
내사랑복희,정성룡 2위는 진짜 에바다,12개,2020. 5. 24.
자라나라머리머리,조현우선수 대구가 2부리그에 있을 때 직관 처음 갔는데 조현우 선수밖에 안보였어요ㅋㅋ친구랑 저 키퍼는 뭐지? 왜저렇게 잘막지? 왜 국대 안뽑히지? 했는데 바로 뽑히더라고요 ㄷㄷㄷ,25개,2020. 5. 24.
LoveSonny,1위 김병지!,3개,2020. 5. 24.
울산치킨쟁이,병지형님은 0위! 조현우 선수에게 정성룡 선수의 킥력이 있었다면...ㅠㅠ,21개,2020. 5. 24.
최의혁,서동명 선수 애틀란타 올림픽때까지만해도 앞날이 밝아보였는데...,25개,2020. 5. 24.
오봉산날다람쥐,90년생인데 2002년의 이운재선수를 직접봤지만 그래도 내맘속 1위는 김병지다..,5개,2020. 5. 24.
ainP,"공동1위 이운재,김병지
정성룡선수는... 어이없게먹힌골이 너무 많아서 이미지가 굳어진거같아요. 나름 런던까지는 잘했었는데",48개,2020. 5. 24.
HKLee,2006 프랑스전 이운재 활약은 타의 추종을 불허,8개,2020. 5. 24.
민국현,홍덕영은요 ???,3개,2020. 5. 24.
초천재,"하승진 영상보고 왔습니다 ㅋㅋㅋ
디엠 답장 좀 해주세요!",2개,2020. 5. 24.
K,"순위...?
경기 횟수, 능력, 카리스마 등으로 볼 때 순위를 매길 수가 없지요. 
오늘도 좋아요 👍",1개,2020. 5. 24.
박지성보호위원회,"형님 1998년 월드컵에서의 기량을 평가하자면 신의손 이상입니다.
형님!!!!",1개,2020. 5. 24.
팬더,혹시 언젠가 영상 김병지형님 ㅡ발음 챌린지  가능한가요??ㅋㅋㅋㅋ,2개,2020. 5. 24.
리더쏘,GK도 GK지만 수비가 앞에서 잘해줘야 마무리를 GK가함,10개,2020. 5. 24.
제임스,정성룡 월드컵에서 국민들 암걸릴뻔한적이 한두번이아닌데 의외네,5개,2020. 5. 24.
미주랑,"제 마음속의 1위는 김병지 선수입니다
그런데 김병지vs이운재 비교 영상은 삭제 되었나요??",4개,2020. 5. 24.
NKM,병지형은 예능 순위 원탑임,12개,2020. 5. 24.
손흥민,2위 정성룡???,8개,2020. 5. 24.
shy,병지형님 골키퍼가 신기 좋은 축구화 추천 컨텐츠 부탁드려요 ㅋㅋ,1개,2020. 5. 24.
JInW,형 포함해도 운재형이 닥1위야ㅋㅋㅋ,0개,2020. 5. 24.
송지훈,역대 논하는데 형님을 왜 뺍니까? ㅋㅋㅋ,1개,2020. 5. 24.
최지원,1위: 김병지,1개,2020. 5. 24.
츤데레,이운재 1위는 ㄹㅇ 인정,1개,2020. 5. 24.
에이블맨,"1위 김병지!
운만 따라줬다면 월클이었을텐데ㅠㅠ",10개,2020. 5. 24.
