,youtube_id,comment,like_num
0,ClareShim,손흥민이 참 여러 유투버들 먹여살리네요 ㅎㅎㅎ,78개
1,김미란,"ㅋㅋㅋㅋ레비 이적료 많이주면 보낸다 인정!
쏘니가 트로피들어올리는거 보고싶다😭",7개
2,준혁척척박사님,"기다리고 기다렸던 PL ,,",7개
3,햄볶,이게 진정한 뇌피셜이짘ㅋㅋㅋ,31개
4,포근한비버,저형이랑 술마시면 존나 재밌겠닼ㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케,41개
5,YELLOW카드,바다 접경지역ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,22개
6,럭키훈이,손흥민선수도 이번 리그재개 경기 결과에 따라 움직이지 않을까요? 토트넘이 4위안에 못들면 이적한다 한표! 케인도 마찬가지 ~,16개
7,halford614,공감이 전혀 안돼네요,8개
8,이재민,내가 몇번째지ㅋㅋ,4개
9,배뚠뚠,풋볼앤토크를 여기서 하네 ㅋㅋㅋ,20개
10,UP,너무 뇌피셜인데.....,12개
11,JungHyunKim,잼있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 마지막이 젤잼씀 ㅋㅋ,3개
12,한영남,쪼호님 여러사람이 보는데 너무 잔망스러운 진행방식이 참 제 스타일이네요,37개
13,RalGonzlez,00:19 쪼호 아닌데???ㅋㅋㅋㅋㅋ,2개
14,백종우,펠레형 대신에 만수로 시즌2하면 쪼호형이갑시다 재미는 동완이 진리죰,2개
15,김태영,뇌피셜 주의가 없어지질 않네요 ㅋㅋㅋㅋ,7개
16,문선홍,"쪼호형 고정이신가요? 너무 좋은데ㅋㅋ
더 잘생겨지셨네요bb",36개
