닉네임,댓글,좋아요수,날짜
유디티TV,"안녕하세요 여러분 오늘은 곱창파는 청년들 이라는 곳에서 소곱창과 소대창을 보내주셔서 이렇게 준비해 봤습니다. 곱창과 대창은 무엇과 먹어야 맛있을까? 라는 생각에 1초만에 불닭볶음면이 생각났는데 여러분들도 그렇게 생각하시죠? 헤헤 그래서 불닭볶음면과 함께 준비했어요! 
 곱창파는 청년들 곱창의 경우 스팀초벌을 먼저 하고 진공포장을 해서 수분과 지방이 1차적으로 제거가 된다고 합니다. 그래서 곱창 특유의 비린내가 적고 조리시간이 짧다고 그러는데 정말 비린내가 전혀 나지 않았습니다. 제가 비린내에 굉장히 예민한 편인데 먹는데 비린내를 전혀 느끼지 못했어요. 그리고 조리하는데 조리시간이 길지 않고 짧아서 먹고 싶을 때 그냥 후딱 후딱 해먹을 수 있을 것 같습니다. (혹시 구매를 원하시는 분들을 위해 링크를 걸어드릴게요) 
https://m.smartstore.naver.com/udfc1991/products/3011990630
 요즘 여러분들 외출해서 식사하기 좀 고민되시죠? 사실 고기나 곱창은 고깃집 곱창집에가서 먹어야 정말 맛있는데 오늘 제가 먹은 곱창은 집에서 조리해 먹었음에도 불구하고 곱창집에서 먹는 것처럼 정말 맛있게 먹었네요. 저 어린이입맛인거 아시죠? 근데 진짜 농담 아니고 너무 맛있게 잘 먹었습니다. 
 많은 자영업자분들 정말 많이 힘들고 속상 하실 텐데 절대 포기하지 마시고 힘내서 꼭 지금 이 힘든 시기 반드시 이겨내실 거라 믿어 의심치 않습니다! 진심으로 응원합니다. 
감사합니다, Thank you very much. Cảm ơn, ขอบคุณค่ะ/ครับ, धन्यवाद,,  ありがとうございます, 谢谢,  Terima Kasih 
사랑합니다 I love you, Anh yêu em, รักนะครับ, आप से प्यार करता/करती हूँ , あいしています, 我爱你。
힘내요 Cheerup. Vui lên. がんばって. ออกแรง (किसी काम से टकराने या निरंतर करते रहने के लिए) बल बटोरना, हिम्मत .  bertenaga. 加油
www.instagram.com/semosemo77",93개,2020. 5. 31.
hoyajun,즐겨보는 먹방중 하나인데 옛날엔 악성악플러도많고 댓글볼때마다 속상했는데 구독자도 많아지고 표정도 더 밝아지신거같아 좋네요 ㅎㅎㅎ항상 응원합니다,12개,2020. 5. 31.
MarPill,i am now convinced that he's my brother's doppelganger everytime he stuffed his face with food.,4개,2020. 5. 31.
AmosCPresley,"Excuse, me but I have to say that there's Some good eating over there_",2개,2020. 5. 31.
AyannaFaletagaloa,He made me hungry but it's currently going onto 1am in the morning where I am😩🤧😂,1개,2020. 5. 31.
JarellTupe,"Idk about his profile pic, but he may not be lookin like dat now.....",2개,2020. 5. 31.
YiMaster,From VietNam <3,3개,2020. 5. 31.
짱성제,와 진짜 개맛있겠다 사고싶다 미친,2개,2020. 5. 31.
OttieSueWhite,Need English cc,7개,2020. 5. 31.
먹제쉬ASMR,"으.. 이새벽에 곱창을 보다니ㅜㅜ
내 최애음식인데😋",2개,2020. 5. 31.
soumadityanath,2:25 thank me later..,1개,2020. 5. 31.
꽃길걷자,저기다가 소주나 맥주같이 먹으면 좋은데...ㅜㅜ,1개,2020. 5. 31.
지민,그렇다 풀떼기는 입에 대는것이 아니다,1개,2020. 5. 31.
Jmh,상추와 깻잎은 데코였나ㅇ..ㅛ?..,1개,2020. 5. 31.
유이,早く見れた~幸せ~♡♡,2개,2020. 5. 31.
AsepSandi,More Double Shot Spicy for This Delicious Meal 🌶🌶🌶🔥🔥😋😋😋👍👍👍,0개,2020. 5. 31.
AYR,형 ㅋㅋㅋ 나중에 가능하면 인트로 소갯말할 때 헬륨가스 마시고 해주면 안돼??,1개,2020. 5. 31.
엘리시아,참 항상 볼때마다 웃으면서 먹는것도 쉬운게 아닌데 그어려운걸 해주시네요 대단합니다,4개,2020. 5. 31.
FIagLiBoy,유디티님 항상  웃으면서 먹으시는게 보기 좋네요.,1개,2020. 5. 31.
96대장,와 행님 이조합은 반칙이죠~~~~/~  진짜 먹는소리 넘좋다,1개,2020. 5. 31.
이재우,식단 하면서 이 영상 보고있는 나는 ..,1개,2020. 5. 31.
만능장갑,"곱창종류가 많아서 골라 먹을 수 있겠네요 🤭
곱창 굽는소리가 정말 ... 맛있게 들려요 ㅎㅎㅎ",5개,2020. 5. 31.
