,youtube_id,comment,like_num
0,김령은,난 언니가 예쁜 척하는 게 너무 조아요... 왜냐면... 진짜 너무 예쁘거든...,11개
1,lucascansitonmyfaceandillbeblessed,i love how they literally add too much foundation on a sponge but apply none of it on the face in these commercials,355개
2,Chrustyne,I liked the post for this on Instagram and thought that the model was really pretty. I didn't even know it was Pony LMAO,512개
3,보혜,1:13 덫에 잡혔나바 너무 귀여워ㅠㅠㅠㅠㅠㅠ,337개
4,BoraTVKoreanBTSARMY,Wow...this year is mouse year^^very cute and pretty❣️,406개
5,팡팡서유니,갓포니 솔직히 화장안해도 이미 완성된 페이스 ☺️,301개
6,디비립눈누난나,난  진짜 예쁜 사람이 예쁜척하는 거 너무 좋더라♥,161개
7,MochiJimin,Her hair is so cute! Happy New Years everyone! 🥰🥳,284개
8,두둥칫,도대체 소화 못하는 컨셉이 모야 이언니ㅠㅠㅠ,81개
9,숲동,"진짜 이언니 뭐지 ,,, 광고계의 신이다 사고싶게
만들고 퀄리티 미쳤잖아ㅠㅠㅠ",81개
10,,진짜... 댓글들 너무 인정이다... 예쁜 사람이 예쁜 척하면 진짜 너무 좋죠 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,42개
11,BellaRose,Imagine doing your makeup this fast in about two minutes and looking this puuuurfect get it purr like a cat,58개
12,dreamilky,imagine being this perfect,47개
13,421069,다음엔 톰 버전두 있는거쥬???제발 있다구해주세요오ㅠㅠㅠ🥺🥺🥺🥺,36개
14,,"Please, I can't be the only one who thinks she looks so much like Sulli here",54개
15,띄어쓰기없이보낼게,아이디어미쳤어ㅠㅠㅠ,42개
16,riaklauna11,Even her makeup products looks cute😂🌸❤,29개
17,ohsehun940412,예쁜사람이 예쁜척 한다 너무 예쁘다......이젠 놀랍지도 않을만도 한데 매번 새로워,7개
18,RonielieManuel,Damn i need to have a skin like hers T.T,16개
19,KevinThai,"Happy new year everyone! 
Here’s to another year of beautiful/gorgeous/pretty Pony videos!",55개
20,빠마머리앤,0:16 성인되서도 이런 헤어스타일 잘 어울려서 부럽다.. 뭐 워낙 미인이시니까 ㅎㅎㅎ,26개
21,sweetoit,내 인생은 포니언니를 알기 전과 후로 나뉜다 이젠 존재만으로 내 삶의 질이 올라간다 포니 is 뭔들,17개
22,MYOH,"Happy new years, everyone! Pony, you look stunning and these colors look great! I love this! It's too darn adorable and fun! There's even a cheese make up sponge! I'm smiling! Ha, ha! I'm looking forward to this!",3개
23,PhanKhnhVi,"She hasnt been THIS cute lately. I'm all over the place right now ❤️. 
Happy new year everyone ❤️❤️❤️",8개
24,미대생오로지Rosy,너무 귀여워요 언니.. 작년부터 기다렸어요💖 새해 복 많이받으세요!!!,19개
25,Danielle,imagine being that pretty,5개
26,JihanNS,It gives me cheese in a trap type of feeling (the drama),6개
27,DearChriss,우와ㅏㅏㅏㅏㅏ !!! 누나 이 메이크업은 정말 이뻐용 ~~ 새해 복 많이 받아요🎆💕,14개
28,이희주,"너무 예뽀요,.. 다 소화하시네 진짜💖",12개
29,EstephanyaPerez,This next level advertisement is actually amazing ! I want to buy everything now haha :) pony always makes the best videos,2개
30,EyesOnYou,OMG PONY'S LOOKIN VERYY CUTE! KYEOPTANG! 😍😍,43개
31,TVEXX,OMG this makeup it’s so gorgeous so cute and girly I love it 🥰,21개
32,chanelmochi,She’s giving me Jhope vibes with those cute dimples oml🥺💕,1개
33,멜마,0:15 진짜 너무 예뻐 ㅜㅜㅜㅜ,5개
34,noturhyung,im early for once omg happy new year!!,16개
35,MrFitzwilliamDarcy,"This was the cutest video ever! It makes me want to buy the whole collection, but too bad I'm broke :/",2개
36,IndiaRoss,So good at make up I can’t even do the basic make up ❤️😂,3개
37,유우,내가 붉은 색으로 화장하면 부은 것 같던데....ㅠㅠ역시 금손🌸😭,4개
38,HeartbeatDippy,When you are a 100 even without makeup,6개
39,나링Naring,와 진짜 너무 기여워.... 포제리.....,4개
40,DHB,헐 이번 기획 누가 했어요 당장 상줘요ㅠㅠㅠ 경자년 언니 새해 복 많이 받으세요!!!,4개
41,SHINeefouzia,I can feel Edward Avila screaming through my scresn,4개
42,두나,너무기엽다ㅠㅠㅠㅠ,5개
43,부리부리,진짜 연예인.. 슈스 최고다,2개
44,BngBng,"Happy new year !!!!!
You look so cute and pretty 💖",11개
45,김유진,갓포니 이런 컨셉마저 소화하시다니ㅠㅠㅠ 영상 더 늘려주세요 풀버전 궁금합니다ㅠㅜ,1개
46,임수예,"I liked Pony from the beginning (even knew about her before her Youtube career) but all these sponsored videos are making me not watch her anymore... Just look at her recent contents... >_>""",0개
47,지나가는중의대생,"영상 마다 리즈 찍는 포니님,,,❤️",4개
48,정성원,0:14  레전드,13개
49,,"可愛い！！
欲しい😍",11개
50,눈코입헤쳐모여,톰이 보구시퍼여ㅠㅜㅠㅡㅠ,1개
51,mushroom,she looks like HyunA at some areas especially in this video.,1개
52,Nawrasahmed,"Ooh Tom&Jerry😍
I remeber that I was watching it when I a toddler it is my favourite cartoon ever",0개
53,z,"웜톤이지만 톰이 더 존예
톰 올려주실때까지 이 영상에서 존버합니다",2개
54,ItzAnimeQueen,"U so cute
Pony Syndrome <3
Love you c:",2개
