,youtube_id,comment,like_num
0,StardustBae,"The background,  just like when her early mukbanger days isn't it?",18개
1,EnyuZeeMukbang,"Seeing food makes me hungry.
Seeing Fran eat food makes me feel like I havent ate in 3 weeks.",16개
2,TastyASMR,"My stomach when I clicked on this video:
- why are you torturing me?!",12개
3,더조아studio,"면은 진짜,,, 프란님이 최고야,,,,,,👍👍",134개
4,입벌려음식들어간다,0:10 Start eating,15개
5,최여울,앞으로도 프란님이 맛있어 하시는 음식만 먹어주셨으면 좋겠어요ㅠㅠㅠ저번처럼 매운거 억지로 드시지말구...ㅠㅠㅠㅠ🥺🥺,19개
6,쿡준sCookjunASMR,0:10 Start Eating!!❤❤,15개
7,RizwanaArshad,"Me: I think I am hungry 😭
Also Me: wait a minute how am I suppose to make this food I don't even know the ingredients 🤔",1개
8,미뉴잇트ASMR,"0:10 start eating👍👍😝

Who else want to eat this noodles and ricecake⁉️🙋‍♂️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♀️",13개
9,SongByrdASMR,I love dishes with noodles and rice cakes mix together :-),5개
10,,フランさんこんばんは😃平たい麺は春雨かな⁉️とっても美味しそうだね😋,3개
11,0교시자취영역0CLASS,꾸덕 꾸덕 하니... 미쳐버리겠다 ㅠㅠ,8개
12,전소라,하트벽지😆뭔가 처음의 프란언니 보는 느낌이라 반가워요👍🏻💕,16개
13,PipeBeth,WOW THIS CHEESY FOOD LOOKS SO YUMMY OMG😍😋😋,1개
14,MishsLife,THIS LOOKS SO CREAMY OMG 😍😍😍,1개
15,아라,언니는 왜 살 안쪄?ㅠㅠ 나는 겁나 찌는데 언니는 왜 안찌는거야ㅠ 닮고싶다.. 유전인가여ㅠ,35개
16,곽필쌍,언니 사랑해,3개
17,meimarimo,"あ〜美味しいぃーと言う
明るい表情が見れて
嬉しかったです(^-^)",1개
18,연아,5:50 카레냠냠,3개
19,빡친강쥐,채도가 강해서 눈이 너무 아파요,10개
20,EYasu,"0:10 start eating🍜🍝

本当に毎回いい音すぎる✨✨✨",0개
21,jijiARMY,I’m starving ☹️,1개
22,RabellaL,오늘 표정이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,15개
23,이수민,프란님 음식취향 확고하셔.. 매콤고소💗💗,2개
24,FernandaCavalcanti,"Eu sou Carioca (Brasil) 🇧🇷 e amo assistir seus vídeos! 
Rainha do macarrão! ❤️",1개
25,ASMRMuKbang맛형,0:10 Start eating,0개
26,poorin,낣작 당면 너무좋아여 ㅠㅠ!!,2개
27,아인,프란님 크림 위주로 많이 올려주세여ㅠㅠㅠ침샘어택..,1개
28,꿀미,"배떡인가요?
여기 로제떡볶이 맛나요~ㅎㅎ",4개
29,chaymachichi,😘😘😘♥️😘😘♥️😘😘😘,1개
