닉네임,댓글,좋아요수,날짜
박서준,후식이 초밥인데 이젠 아무렇지 않은 사람들이 너무 웃기닼ㅋㅋㅋ,342개,2020. 5. 24.
제이제이살롱드핏,저희 채널 구독자들이 입짧은햇님 채널을 구독한다고 유튜브가 알려줬어요  😏,179개,2020. 5. 24.
신정민,먹방중 가식없고 젤 편하게 먹는분인듯 최고,172개,2020. 5. 24.
SongByrdASMR,I wish I had her stomachcapacity 😳,11개,2020. 5. 24.
SJK,"정말... 망원동으로 이사가고싶어지는 영상...
망원동 맛집 왜이리많나요????ㅋㅋㅋ
몇개없는 지점도 존재하는 망원동..",54개,2020. 5. 24.
단밤태태,이거 생방보려구 십분 쯤 지나서 들어갔는데 떡볶이가 거의 없어서 내가 시간을 잘못 알고있었나 당황했었던ㅋㅋㅋㅋ 다시 봐도 맛있어 보여요 ♡,53개,2020. 5. 24.
디케이DKASMR,"이 시간에 분식이라니ㅠ🤤🤤🤤
주문해야되나..🤣",8개,2020. 5. 24.
insung,와 저 새우튀김 엄청오랜만이네요 어릴때 학교 앞 분식집에서 팔던..ㅎㅎ,6개,2020. 5. 24.
냉이냉이,"집게살 튀김 진짜,,,,,,,,,짱맛있잖아요,,,,저거 분식 튀김계 개미친놈이야 진짜",5개,2020. 5. 24.
먹슈mukshuEatingSoundsASMR,"아하! 후식이 초밥집 이름이구나ㅎㅎㅎㅎ
난 또 후식으로 디저트 삼아 초밥 한 두 점 먹는다는 줄 알았자나용^^
이 언니도 참~~~❤️ㅎㅎㅎㅎㅎㅎㅎ",47개,2020. 5. 24.
딸기톡톡,햇님 옷이 군대 취사병 조리복이랑 너무닮아서 소오름,3개,2020. 5. 24.
정선영,"몬가 요기 댓글창은 연령대가 30대 이상분들이 많은 것 같은 느낌이에요!
근데 그래서 그런가 다른 곳에서는 느낄 수 없는 몽글몽글함이 있는 것 같아 넘 좋네요♥️",26개,2020. 5. 24.
MinjeePark,으어어엉 배에서 꼬로록꼬로록ㅠㅠㅠ 진짜 오몽조몽 뭐든지 맛있고 이뿌게 드시는거같아염❤️,8개,2020. 5. 24.
