,youtube_id,comment,like_num
0,JimmyChang,Shes is the real mukbang and she really enjoyed it.,10개
1,LucyDebs,"After she ate that much, she cooked ramen again.. I was like., WHAAAATTT!!!!!! 

Daeebaakkkkk... !",24개
2,MUKKINGASMR,"If I was in her spot, I would have put that kimbap into that rice cake sauce
and have the big katsu bite so to ease out the spicy ness
and finish it off with dumplings (in my dream)",58개
3,StevenTroyRogelineMiranda,Tzuyang you are such a joy to watch even though I feel starvingly tortured doing it.❤,10개
4,caribonara,"""This is a good amount of food.... for a snack"" 😳",28개
5,맥심,"와...이씨 쯔양 먹방보면서 댓글볼려고 
댓글창 내렸는데 전부 외국인이야...
쯔양영상보는 재미중에 한국인들반응이 젤재밌는데ㅠ",242개
6,TrefiaJung,"You're totally amazing! I think, i couldn't eat all the ramen but you can eat all foods that served on the table :') Honestly, when i saw your mukbang vids, make my stomach full enough. Goodbye hungry~~ lol",9개
7,MheisyRamos,Even though i didn't understand what her saying I'm still starving 😂😂,131개
8,CactusCoffee,i really wanna see tzuyang collab with yuki kinoshita 😆,38개
9,MOZHDEHASMR,These foods are tempting 😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋,13개
10,lynlyn,I really envy her for eating alot without getting fat🤗,15개
11,묻고더블패티로가,오늘 네이버 기사보다가 쯔앙님 한달 수익 뉴스에 악플 많이 달리던대 그런 악플 신경쓰지 마시고 열심히 해주세요 쯔앙님 욕하는 사람보다 응원하는 사람이 훨얼씬 많습니다 ^^7,781개
12,김준성,아아 결국 한국인들은 유튜브에서조차 격리당한건가.. 한국인을 찾을수가없다,194개
13,michangxoxo,The variety of foods in one table just amazed me 🤩 i always want to do mukbang but i cant eat a lot .. even one spoon is too much for me 😂 eottoke... seeing tzuyang eat is more than enough for me .. 😋😋,27개
14,술시루SulSIRU,She eats every bite like the first bite. ^^,25개
15,sunnyson,"밥상이 점점 더 올라가고 있는 것 같아요 
불편해보여요 조금만  낮추셔도 될듯...
개인적인 의견이었습니다
언제나 쯔양님 좋아합니다",729개
16,AkshayaBaji,Because of you I wanna teach the Korean language soon ...I love you the most ...kind hearted tzyuang....❤️🇮🇳love from india..please manages English subtitles for us..🤗🤗😍😍😘😘love love...,14개
17,EmmaJeanBalmes,Yum😋  Now I get hungry😭 Im such a huge fan❤️,6개
18,VannieEats,Wow I love the food display today! Who wants to try this korean food??🙋🏻‍♀️😋,22개
19,Hokim,"허겁지겁 먹는것보다...
저렇게 여유롭게 일정하게 먹는다는게....
더무서움 ㅠㅠㅋ",527개
20,michelle,I wanted to eat like tzuyang without counting the carbs and calories 😂,65개
21,유,"이 언니 진짜 착해보여서 좋음 예쁘기도하고 잘먹기도하고 맛없어도 맛있게먹어주고 , 맛없다고해도 완전 이쁘게 돌려서 말하고 그냥 너무 좋음",433개
22,캐미쿡방,This is my dream job. I mean i love eating and i love money so why not do and get both at the same time? 😂😂,3개
23,JomelsMenorias,Imagine getting paid just by eating and not getting fat this must be everyone's dream.,305개
24,WilsonGeorge,'This is a good amount of food for a snack' ...that food will be enough for me for the next 1 month,39개
25,feyfeyybts,I binge watch her videos for a week and every meal if i dont watch hers i feel like i cant eat 😭 btw really love u Tzuyang 🙆🏻‍♀️,3개
26,셀럽,다식엇지만 맛잇다고 드시는듯한 ㅠ 떡볶이 위에 사각치즈가 안녹은거부터 느낌 다식은 음식이라는거 ㅠ ㅠ ㅠ ㅠ,139개
27,이재은,쯔양한테 라면1개는 마트 시식코너 수준인가?,5개
28,홍대백수,와~~이사람 뱃속에 머가 든거냐 대체.......ㅋㅋ,3개
29,SwastikaChatterjee,There's still no subtitles 🤘🏼😂(I'm early) lol xx,3개
30,CozeASMR,"Tzuyang: Eating an actual feast
Me: Feeling like a starving peasant",5개
31,YilsiaBonilla,YAS I got here just in time for the subs 💃🏼💃🏼💃🏼💃🏼,3개
32,NoDa,I’m so hungry 😋 every night because of you😂❤️❤️,2개
33,휜지류옞나사랑하누,When she said it's a GOOD amount for SNACKS. I almost choke on my fries omg,43개
34,TastyASMR,"tzuyang: eating
everyone: starving",247개
35,BrittanyWarren,I just started watching her I wish she would put the words back in English on the bottom of the screen 😊,1개
36,SariMantan,How can u eat the whole family pack meal..,19개
37,팟치밍,쯔양언니랑 맛있는 녀석들이랑 만나면 어떨지..,4개
38,gachaIceLattetutorials,Tbh its 1:19 am here and im hungry and you make me more hungry,1개
39,mamamootwice,first time i’m here before english subs lol 💕,3개
40,이유빈,네이버 댓글 보지마시고 대신 신고 하고있으니까 쯔양님은 좋은거만 보세요. 먹방 재미있고 잘먹어서 기분이 좋네요.,74개
41,Jennykim,매번 볼때마다 드는 제 생각이지만 ㅎㅎ 쯔양님 먹방 테이블 규모?를 보고 있으면 꼭 장사할려고 준비 끝낸 시장매대같아요 ㅎㅎㅎㅎ 예쁜 쯔양님 늘 건강하세요~,5개
42,김주원,이건 인기메뉴가 아니라 전메뉴 같은뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌ,30개
43,LuzDls,"Im hungry,  but Is so easy for me to gain weight,  watching her makes me feel full 😂",1개
44,피오야나랑결혼하자,아진짜 항상 내가 먹고싶은거만 드시니 너무 행복합니다.....🥺❣️❣️❣️❣️❣️,12개
45,유아름,"how u can eat too much like this??😂😂
but u really thin
i can’t do🤣🤣",1개
46,HabibaKhalil,"anyone caught that that too: ""It' a good amount of food...for a snack.""
hahaahah",35개
47,구독안하면베어형점심됨,Don't worry korean is here,309개
48,Enise,Y’all know what’s good watching this while fasting 🤤,9개
49,김준원,"진짜 먹방을 넘어서서 어찌,저렇게 자기관리 잘하시고 예쁘신지 항상 건강하기만을 기원합니다~^^",60개
50,리우,라면이 불어버릴 정도로 놔뒀다면 안 뜨거울텐데 아무생각 없이 후~불고 먹는거봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽네ㅋ,42개
51,닝겐,우왕 메뉴가 다 맛있어보이네용,23개
52,MooNVaL,Cute girl eating a lot😍i love this!,1개
53,AaronCho,I'm sitting here at 3:27 am  starving while watching her vids... everything looks so good D:<,8개
54,꼬,이 새벽에 맛있겠다...ㅠㅠ하고 보다가 간식거리☜에서 순간 손이 멈춘 ㅋㅋ큐ㅠㅠㅠㅠ어케 저게 간식거리냐구요ㅠㅠㅠ쯔양님 뭘 먹든 항상 대리만족 쩔지만 요즘 제 픽은 분식류 먹는 쯔양님인거 같아요 일어나면 분식 조져야지😭😭😭,5개
55,가현,"저렇게 작은배에 저게 다들어간다는게 대단하다,,",44개
56,쯔양만봐,"방금 밥먹고 배부른데도 보게되네 
이젠 쯔양님 영상보는 게 일상이 되어버린 것 같음ㅎㅎ",12개
57,남민우,아주 먼 옛날 애들 생일파티할때 반애들 많이 대꼬가야 저 정도 먹지않나ㅋㅋ,4개
58,영훈,"솔찍히 김밥천국 맛에 비해 가격이 너무 높고.. 맛도 그렇게 맛있는게 아니라서요.. 휴... 
저 맛 없는걸 다 먹을실까 궁금했는데.. 역시 맛 없는건 맛없다. 이야기하고 
라면 끊여먹는 솔찍한 모습에.. 좋아요 누르고 갑니다!!",14개
59,먹거리Meokgeori,"오늘은 김밥천국을 접수하셨군요!! 😃😃
쯔양~ 대단하다^^ 👍👍
쯔양 홧팅!! 👏👏",8개
60,IslandSaltWaterQueen,Tzuyang do you have T-shirts I’d buy some,1개
61,fleurdalbit,Anyone else here watching Tzuyang’s mukbang while fasting? 😂🤘,1개
62,Washingmachine,why do i make myself hungry on a diet,1개
63,KenjiiWolfred,"Yieeeeee I freaking love you >///<

Keep up the good work!!!! Fighting!!!",1개
64,최지혜,우왕 맛있는 음식이 한가득♡ 언니는 역시 진짜 잘 드시죠~♡,7개
65,ALLEYAHAK,Idk why..... but I like seeing Korean slurp their ramen🤭😋,1개
66,HCK,진짜 신기한게 저렇게 두고 먹으면 먹는데 시간이 오래걸려서 음식이 식어서 맛이 떨어질텐데도 맛있게 잘 먹는다는게...,9개
67,middaylia,that jjol-myun reminds me of spaghetti..? :o,1개
68,밍머,10:09 김천.... 떡볶..이 달다........ 메모....,26개
69,수안뚜,"와 저렇게 먹고도 저렇게 ....저...저렇게 말랐네_
부럽 ....",57개
70,SNOWSFAMILYVLOG스노우패밀리,our family loves watching your mukbangs while we film ours HAHA,1개
71,LWH007aa,"I am eating my low salt, low oil diet food while watching this 
, imaging I am eating what are on her plate😂",3개
72,AlicePalice,이렇게 맛있게 드시면 나는 어떻게 ㅠㅠㅠㅠㅠ,9개
73,제니뽀쟉,"와 .. 쯔양님 새벽에 보는 새벽러입니다 ❤️
지금 보는데 너무너무 먹고 싶어지네요 ㅠㅠ
댓은 자주 못 달았고 영상은 항상 잘 챙겨보고 있어요 오늘도 잘보고갑니다 !",5개
74,SufiJahirah,still too early for English subtitles 😂,1개
75,alqemaharun,"Am fasting why am I torturing myself with watching this, someone help me 🤤🤤🤯😭😭😭😫",1개
76,양도윤,쯔양씨는 50인분드셔도 살안찌시니...쩝.. 김밥에 반은떡볶이에찍고 반은 돈가스 소스에 찍으면 아주 맛있죠.. 색다른맛.. 어묵꼬챙이에다가 어묵반짤라서 꼿고 다음에 돈가스/떡/김밥/이것저것 찍으면 맛있어요♥ 저거전부 다합쳐도 5마넌 인될거같은데 (김밥에 안가본지 3~4년은됫는데 한번 가봐야겟군요,36개
77,권채은,김밥천국 인기메뉴ㅋㄱ 나도 저렇게 시키고 싶다,2개
78,김종원,응원합니다 쯔양,4개
79,방지,언니 복스럽게 옴뇸뇸 거리면서 먹는거 너무 이뻐여ㅠㅜ,16개
80,조화현,"근데 라면 진짜 3개 맞음?
더 끓이고 3개라고 하는건아닌쥐~!",2개
81,Natalie,역시 쯔양 언니의 먹방에선 매실이 빠질수없지 ㅋㅋ ㅇㅈ?,12개
82,방부제,0:02  👏(탁)   13:56 짠,3개
83,고기굽는남자,"0:20
역시 쯔양은 
주유시작!",1개
84,김태현,3:50 진짜 배우신 분 쯔양...👍,10개
85,재쿡tvJaeCook,"퇴근하고와서 보는데 너무 맛있게 드셔서 집앞 김천포장해왔네요.쯔양님 항상 응원합니다!!
화이팅!!!!",2개
86,김수민,진짜 저 모든 음식들을 천국으로 보내셨네 ...,5개
87,곽두팔,아 영어댓글 위로올라오는것좀 어케ㅜ안막아지나ㅠ 댓글보면서 영상보는게 재밌는건데 하...,3개
88,힝구힝구,아..진심 부럽네요..저렇게 많이 먹을 수 있다면 얼마나 행복할까ㅠㅠㅠㅠ으ㅓ유ㅠㅠ 5:05 이 정도 양이 간식거리..,2개
89,왕승목,0:24 쯔유는 공식이지...,26개
90,TamYamamoto,She's living the dream : eating whatever she wants and not having to count calories,69개
91,김윤진,면 삼키는 소리 넘나 좋은것...,16개
92,윤아의러브쿠키,0:46 시작!,4개
93,아이유내꼬얌,먹어도 먹어도 살 안찌는 체질이셔서 부럽습니당 ㅠㅠ,4개
94,끼난kinan,"쯔양님 영상 너무 잘봤어요! 저 구독도 했어요. 항상 응원할께요 ♡ . 

인도네시아 팬이에요💚",8개
95,Levi,"진짜 사랑스럽다....
목소리는 짱이에요....",3개
96,,미친 이거 고문이야 아아이애이이ㅣ네이ㅡ,2개
97,lezaru,아 부러워 나도 저렇게 먹고 싶당..ㅜㅜ,1개
98,JINee,위(가 거)대한 쯔양ㅋㅋㅋ,2개
99,Louise,"Daily routine during lockdown? Watch Tzuyang's various mukbang😊
Keep safe Pretty Tzuyang!❤",2개
100,씨유,예쁜 사람중에 제일 많이 먹는사람 그래서 더 예쁜사람,13개
101,미뉴잇트ASMR,"0:47 start eating😆😆😆👍

Who else want to eat try this food⁉️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♂️",27개
102,종땡이,영상볼때는 먹을만하다 싶은데 막상먹으면 먹방유튜버분들 대단하다고 생각듬👍👍👍,29개
103,은긍은긍,사람이 먹는 양을 먹으면 배가 고프댘ㅋㅋㅋㅋㅋㅋ,2개
104,karl,"악플은 아니구 진심 걱정되서 하는 이야기
건강검진은 주기적으로 받으시나요?
걱정되네요 ㅠ",9개
105,마몰,이상하게 김밥천국 라볶이가 가끔 먹고싶더라구요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ주변에 없어서 못 먹으니 아쉽네요ㅜㅜㅜㅜ...,1개
106,수성구이별남,와.......살빼고있는데 저거 보고 바로 시킴 근손실 개이득.....,2개
107,굼밈섬,"6:49 언ㄴi 너mo cute ㅎrㅅi네요r
ㅇl렇🐶 ㅎr면 외coc in 댓글을 ㅇl길 su 있ㄷr던데..",3개
108,김태규,6:51 what the...,45개
109,채소볶음,"와 진짜 제 최애 분식들만있네요ㅠㅠ
저도 나중에 저렇게 쌓아놓고 먹어보고싶네요!",4개
110,김송호,"쯔양을 응원하는 팬으로써 근심가는게 칼로리가 과다하면 언젠가는 건강에 심대한 영향이 있을텐데요...
아무쪼록 건강에도 신경 쓰면서 좋은 컨텐츠 좋은 먹망 부탁 합니다~~~.👍",48개
111,서정현,생각해도 생각해도 잘먹어서 좋은데...볼땨마다..저게 다 들어가는게..신기....,1개
112,박현홍,김밥천국이 이렇게 맛있어보이는 음식이던가??,1개
113,신현,쯔양님 초록매실 따르실때 컨트롤 잘하시네 ㅋㅋㅋ,4개
114,김진호,3:34 ㅋㅋㅋㅋㅋㅋㅋ졸귀,1개
115,서녕seonyeong,오랜만에 김밥천국가서 밥먹고싶다 ㅎㅎㅎㅎ,5개
116,HI,"엥 ??근데 예전부터 쯔양님 구독했었는데 그 때는 한글댓글뿐이였는데 오랜만에 와보니.
..온통 영어네?? 외국에서도 유명해졌나보오...부럽구먼 (눈물)",1개
117,김동만,쯔양님 어떻게 많이먹어도 살이 않쪄욤??,2개
118,양승용,"오 국물 튀실줄 알았는데 안 튀셨네 ㅋㅋ😁
쯔양님 언제나 응원할게요 항상 힘내시길 바래요😉",1개
119,이하얀,3:34 야~..안됑 너무 귀여우신고 아닙니까 🤣,1개
120,SongByrdASMR,Sitting here wishing that I had her stomach capacity 😳,19개
121,인생대박,5:09 ㅋㅋㅋ 간식이레 잘보고 가요 항상응원합니다!!!!,9개
122,가자요기,아 배고파진다...,3개
123,갑스티비GAPsTV,정말 복스럽게 많이 드시네요!,3개
124,뇸뇸,다이어트 중인데 너무 맛있어 보이네요 .. ㅠㅠㅠ,2개
125,안시영,"넘 잘드세요.♡♡
언니 먹는 모습 예뻐요♡♡
근데 배 않불러요???",1개
126,라떼는말이야,매일 아침 입맛이없을때마다 요즘 계속 보고있습니다. 앞으로도 아침에 계속 볼수있게 항상 건강하셨으면 좋겠습니다!! 오늘도 잘보고갑니다~>_<,1개
127,JamayMay,I wish there is english subtitle. I always watch you Tzuyang! ❤,1개
128,아메리카노,"다 식어서 맛없어 보여  ㅠ
어쩔수 없는거지만 더 맛나게 드셨음하는 바램이쥬",2개
129,최준서,쯔양님 진짜궁금한게 있는데 한달 식비는 얼마나 드시나요???? 궁금쓰......,2개
130,mikiyou,Finally I found you! I really love Korea food but most of the big eater do ASMR😰. Sound too big I can’t accept it but yours is just fine!! Thank you Tzuyang!,0개
131,이주현,오늘도 너무 맛깔나게 먹는거 아니오?? 쯔양님 항상 잘보고갑니닿ㅎㅎㅎ,2개
132,별픔,쯔얌님 영상 항상 잘챙겨보고 있어염!!,4개
133,김예린,책상이 좀 많이 높아보이는건 나만 그런가?,1개
134,푸른나무,쯔양언니 너무 예뻐요♡,1개
135,이경환,화면의 반이상이 벌개...ㅋ,1개
136,뽈뽈,생각해보면 탄수화물 파티네 ㅋㅋㅋㅋㅋㅋ 부럽다 ㅠㅠㅠㅠㅠ,1개
137,임재원,"지금 체지방 줄이는 중인데 알림설정한거 첨으로 후회한다...
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
누나 부러워영 ㅠㅜ",1개
138,라라,라면 20봉지 먹을때가 레전드ㅋㅋ,1개
139,케이시아,쯔양님 방송보면서 제 밥량도 늘었습니다 물론 제가 수영을 시작해서 그럴수도 있긴하지만  원래 저 라면 2개 간신히 먹었는데 이젠 3개까지도 먹습니다,1개
140,팡파라팡,5:09 간식거리?? ㅎㅎ 놀랍다 역시 쯔양ㅋㅋㅋㅋ 너무 맛있겠다 ㅜ,2개
141,신준석,"얼굴도 이쁘고 맛있게 먹는 쯔양님 
저는 다이어트를 하는 중이라 너무 부럽습니다",1개
142,DJNETTEN,OMG ❤️❤️❤️❤️❤️❤️,0개
143,우당탕쪈,"아,,, 다 침고여요 꼴깍 🙊",5개
144,뚜이,오늘은 자메이카 치킨이랑 간지 치킨 해주세요,2개
145,강민재,나두 잘먹을 수 있는뎀...ㅠㅠ,2개
