,youtube_id,comment,like_num
0,햄지Hamzy,"❤300만 구독자님들 진심으로 감사드립니다❤
❤Thank you very much for 3 million subscribers❤
 
첫입 1:46, Start eating 1:46 
요즘엔 두꺼운면이 좋더라구요ㅋㅋㅋ
 
※ 토마토소스 넣는장면 깜빡하고 못찍었어요ㅠㅠ
 
※ 짜장이가 영상찍기전에 너무많이 먹어서 일부러 
간식 안준거에요🤣
 
※ 옛날에 초코파이 전자렌지 돌려 먹는거에 빠졌
었는데 하루에 5~6개씩 먹었던 생각이나서 오랜만에 한번 디저트로 먹어봤어요~ㅎㅎ 
이렇게 안드셔본분들은 꼭 해보세요 ㅋㅋ
 
※ 요리영상만 따로 모아서 업로드요청을 하셔서 
조금씩 틈날때마다 편집하고있어요😆
 
★예상질문★
Q: 팬 어디서 사셨어요??
A: 궁금하신점 인스타로 디엠주시면 최대한 답변드리려고 하고있습니다! 링크 보내드릴게요~~
Q: Q&A 안해요??
A: 다음달안으로 꼭 올릴게요ㅠㅠ
먹방처럼 한메뉴를 요리하고 연속적으로 촬영하는게아니고 질문마다 영상을 다르게 촬영해야해서 시간이 
오래걸리네요😭지난번처럼 재미있게 만들어볼게요!
 
★자주하는 질문★
Q: 몇살이에요? 직업이뭐에요? 남자친구있어요? 
결혼했어요? 등등
A: https://www.youtube.com/watch?v=VEKcM1LP7SQ (햄지's Q&A) 
Q: 사용하는 제품 (주방도구,강아지장난감,악세사리 등등) 어떤건가요?
A: 제가 댓글확인을 웬만해서는 하려하는데 못보고 지나가는것도 많이 있어서 대답을 못해드린분들도 많을꺼에요~ 
인스타로 디엠주시면 사진이나 링크 보내드릴게요♥
Q: 앞에 뭐보면서 드시는거에요??
A: TV음소거하고 보면서 촬영하고있어요~ 
(시선처리때문에)
 
오늘도 시청해주셔서 감사합니다❤😍",1개
1,DeepChipFryer,Why does the starting music sound so challenging?,8개
2,Christina,"Time right now: 1204 a.m.
Me: hungry af but still wanna watch Hamzy's vd",12개
3,AkankshaArya,here i m watching her while eating bread jam 😂,17개
4,hohoho,독보적이야 아무도 못 따라가,168개
5,BaristaBae,"I have never thought about eating pickles on 
the side of spaghetti 😍😍 I love sweet and sour pickle chips! I can’t wait to try this combo",23개
6,VlnaCheck,It's so satisfying watching Hamzy's cooking~ bon appetit~love Choco pie too,19개
7,BidishaJM,I love her smirking face whenever she eats something delicious 💗,11개
8,JoscelleTan,"Today is my birthday unnie Hamzy, spaghetti is one of my favorite feast. Please notice me. 💕 from ph fan 💕",13개
9,STANBLACKPINKTREASUREYGSTAN,"She is the only mukbanger who has her own swag😉
I love that!",10개
10,HamiltonFranke,"🥰Hamilton Frank de Cruz alta RS , Brazil",4개
