닉네임,댓글,좋아요수,날짜
ssin씬님,"[4월씨딩 화장품정보]

[BVLGARI] Omnia Golden Citrine Eau Ce Toilette 126,000 w
[불가리] 옴니아 골든 시트린 오 드 뚜왈렛

[LUSH] Bubble Bars & Bath Bombs
[러쉬] 버블 바 & 배쓰 밤

[LANEIGE] Water Bank Hydro Essence 40,000 w
[라네즈] 워터뱅크 하이드로 에센스

[LAGOM] Revive Essence Toner 30,000 w
[라곰] 리바이브 에센 토너

[COSRX] Pure Fit Cica Toner 20,000 w
[코스알엑스] 퓨어 핏 시카 토너

[COSRX] Pure Fit Cica Serum 23,000 w
[코스알엑스] 퓨어 핏 시카 세럼

[COSRX] Pure Fit Cica Cream 25,000 w
[코스알엑스] 퓨어 핏 시카 크림

[KLAVUU] Green Pealsation PHA Calming Serum 24,000 w
[클라뷰] 그린 펄세이션 파하 카밍 세럼

[KLAVUU] Green Pealsation PHA Calming Toner 21,000 w
[클라뷰] 그린 펄세이션 파하 카밍 토너

[ACWELL] Betaglution Ultra Moisture Toner 28,000 w
[아크웰] 베타글루션 초보습 토너

[ACWELL] Betaglution Ultra Moisture Milk Oil 30,000 w
[아크웰] 베타글루션 초보습 밀크 오일

[ACWELL] Betaglution Ultra Moisture Cream 34,000 w
[아크웰] 베타글루션 초보습 크림

[HOLIKA HOLIKA] Goldkiwi Vita C+ Brightening Serum 28,000 w
[홀리카홀리카] 골드키위 비타 씨플러스 브라이트닝 세럼

[LE’NUBELE] Essential Moisture W Cream 35,000 w
[르누베르] 에센셜 모이스쳐 더블유 크림

[BE READY] Supermild Sun Primer 20,000 w
[비레디] 슈퍼마일드 선 프라이머

[BE READY] Level Up Foundation #02 Ryan 20,000 w
[비레디] 레벨 업 파운데이션 #02 라이언

[BE READY] Puff For Level Up Foundation 5,000 w
[비레디] 레벨 업 파운데이션 전용 퍼프

[BE READY] Pride Up Eyebrow For Heroes #Dark Brown 10,000 w
[비레디] 프라이드업 아이브로우 포 히어로즈 #다크브라운

[BE READY] Wake Up Vitalizing Lip Balm 10,000 w
[비레디] 웨이크 업 생기 립밤

[BE READY] Mood Up Eye Palette For Heroes 20,000 w
[비레디] 무드 업 음영 아이 팔레트 포 히어로즈

[BE READY] Mood Up Dual Eyeshadow Brush 10,000 w
[비레디] 무드업 듀얼 아이 섀도우 브러시

[ETUDE HOUSE] Double Lasting Cushion Glow #N21 20,000 w
[에뛰드하우스] 더블 래스팅 쿠션 글로우 #N21

[BVLGARI] Perfecting Foundation 70,000 w
[설화수] 퍼펙팅 파운데이션

[CONCHIC] Allday Cover Cushion Black 38,000 w
[컨시크] 올데이 커버 쿠션 블랙

[CONCHIC] Classic Multi Palette #02 Classic Rose 45,000 w
[컨시크] 클래식 멀티 팔레트 #02 클래식 로즈

[CONCHIC] Unique Eye Palette 32,000 w
[컨시크] 유니크 아이 팔레트

[CONCHIC] Allday Fit Eyeliner 38,000 w
[컨시크] 올데이 핏 아이라이너

[CONCHIC] Allday Fit Coating Mascara 22,000 w
[컨시크] 올데이 핏 코팅 마스카라

[CONCHIC] Color Mark Intense Lipstick 20,000 w
[컨시크] 컬러 마크 인텐스 립스틱

[TCFS] Artclass By Rodin Shading 16,000 w
[투쿨포스쿨] 아트클래스 바이로댕 쉐딩

[TCFS] By Rodin Finish Setting Pact 16,000 w
[투쿨포스쿨] 바이로댕 피니쉬 세팅 팩트

[TCFS] By Rodin Highlighter 17,000 w
[투쿨포스쿨] 바이로댕 하이라이터

[TCFS] By Rodin Blusher 17,000 w
[투쿨포스쿨] 바이로댕 블러셔

[UD] Wired Palette 57,000 w
[어반디케이] 와이어드 팔레트

[UD] Moondust Glitter Liquid Face & Body Illuminizer 45,000 w
[어반디케이] 문더스트 글리터 리퀴드 페이스 앤드 바디 일루미나이저

[UD] Eyeshadow Glitter 25,000 w
[어반디케이] 아이섀도우 글리터

[AMUSE] Sparkling Jelly #Champagne 17,000 w
[어뮤즈] 스파클링 젤리 #샴페인

[AMUSE] Cheek Bouquet #1 Marmalade 38,000 w
[어뮤즈] 치크 부케 #1 마멀레이드

[AMUSE] Sparkling Jelly #Champagne 17,000 w
[어뮤즈] 스파클링 젤리 #샴페인

[AMUSE] Dew Tint 20,000 w
[어뮤즈] 듀틴트 8종

[AMUSE] Light Matt #106 34,000 w
[어뮤즈] 라이트 매트 #106

[RAREKIND] Mix & High #3 Brown 30,000 w
[레이카인드] 믹스앤 하이 #3 브라운

[YSL] Tatouage Couture Velvet Tint 47,000 w
[입생로랑] 따뚜아쥬 꾸뛰르 벨벳 틴트",112개,2020. 5. 17.
세이소,언니 이 시리즈 절대 없애지마요 ㅠㅠㅠㅠㅠㅠ 이거 보면서 밥먹는게 내 행복한 일상이라구,568개,2020. 5. 17.
잡식녀투디쓸디,언니가 이제 등산유튜버인지 속옷유튜버인지 아니면 루키 집착녀인지 헷갈리기 시작해요......,403개,2020. 5. 17.
노아,0:56 완전 좋은 팁 알아갑니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대박이야 정말ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,219개,2020. 5. 17.
유초연,오 씨딩영상 너무 좋아요ㅜㅜㅜㅜㅜㅜ 속옷이랑 같이 최애컨텐츠...,75개,2020. 5. 17.
내이름은비만살이쪘죠,우워ㅠㅠㅠㅠㅠ언니가 21호를 쓰다니!!! 21호라니!!! 우리언니 25호일때가 엊그제같은데 언니 언제 이렇게 하얘진거야!?! 으어 언니 이럴순 없어 빨리 25호 메이크업 해죠이이이ㅣ잉이잉,78개,2020. 5. 17.
민지,0:56 난 무슨 썸넬보고 마카롱인줄알았더니 ...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 컵케익일줄이야,49개,2020. 5. 17.
차진영,"1:34 이제 씬님한텐 호텔에서까지 연락이 오는데,,",67개,2020. 5. 17.
망망,헠ㅋㅋㅋㄱ컵케잌 저렇게 먹는거구낰ㅋㅋㅋㅋㅋㅋ2n년간 헛살았네ㅋㅋㅋㅋㄱ,46개,2020. 5. 17.
최유리,"5:20 
..너무 귀엽다 몇 번째 돌려보는지 모르겠다
만날 봐야지 ㅆ",74개,2020. 5. 17.
채식냥이,이렇게 점점늘어 12월시딩영상은 1시간짜리가되었ㄷ..,46개,2020. 5. 17.
파프리카PAPRIKA,이 영상이 올라올 때마다 좋은데 너무 싫어요.... 아니 벌써 한달이 갔다고?!?! 이런 느낌...,30개,2020. 5. 17.
사랑이가득한올라프를사랑해,17:09 헐 대박...,40개,2020. 5. 17.
봄봄,없애버리고싶어ㅋㅋㅋㅋㅋㅋㅋ 속마음 나온거 개웃기닼ㅋㅋㅋ,9개,2020. 5. 17.
SJDianaYoon,"투쿨포스쿨 “드 진저” 블러셔 어떻게 활용해야할까..너무 색이 진한 것 같은데 햇는데...씬님이 하니까 찰떡.. 완죠니 가을가을한 분위기네유 낙엽이 볼에잇네

🍂2020 F/W에 
🍂돌쇠반다나랑 드진저 블러셔 열풍 예상",9개,2020. 5. 17.
JH,13:23 명가 하는데 표정이랑 말투랑 너무 부처같은거 아닌가욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ취저,17개,2020. 5. 17.
사랑이가득한올라프를사랑해,18:04 처음치고 ㅇㅈ.ㅋㅋㅋㅋ,13개,2020. 5. 17.
사랑이가득한올라프를사랑해,19:35 갑분 감사합니다.ㅋㅋㅋ,10개,2020. 5. 17.
문서영,1:00 ㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅌㅌㅋㅋ,3개,2020. 5. 17.
사랑이가득한올라프를사랑해,4:05~ 어디까지 닦으시는거죠?ㅋㅋㅋㅋ,13개,2020. 5. 17.
암낫언엠티멜론,"언니ㅠㅠㅠ 오늘도 농협은행🏦
아아아유ㅠ 언니ㅠㅠㅠ 저거 라네즈 나 너무 갖고 싶던건데ㅠㅠ 학생이라 사지도 못했다요ㅠㅠ 너무 갖고싶어유ㅠ😭 언니가 너무 부럽다요ㅠㅠㅠ 요즘에 집에서 언니 영상 몰아보거나 코빅 몰아보는데 이용진->이진호-> 현재 황제성이라서 말투가 이렇다요 이해해주시람둥♡",3개,2020. 5. 17.
coeyunhyi0815,"요즘에 언니가 점점 더 좋아지고 이써요,,, 입덕 초기보다 100배는 더 좋아진거 같아요ㅠㅠ 언니 요즘 언니 숏컷 그리워서 그런데 자르라하기에는 장발도 너무 이쁘고 숏컷 메이크업 해주세요ㅜㅜ 드레스 메이크업두요 존버할게요🙏🙏❤",2개,2020. 5. 17.
사랑이가득한올라프를사랑해,씬님 팬분들 모두 코로나 조심하구 앞으로도 씬님 마니 사랑하자구요♡,10개,2020. 5. 17.
요호포로리,아 입생틴트사고싶다 ㅋㅋㅋㅋ씬님 어뮤즈 발색하고 다음제품 보여줄 때 손에 발색남아있는거보고 빵터짐욬ㅋㅋㅋㅋㅋㅋㅋㅋ,3개,2020. 5. 17.
사랑이가득한올라프를사랑해,2:51 시카트랫흐 시카트랫스 따라해보앗어요.ㅎㅎㅋㅋㅋㅋ,2개,2020. 5. 17.
이름성,17:25  결국 팔 못지우셨어ㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 17.
김가빈,진짜 볼때마다̆̎ 느끼는거지만 너무 매력적이에요🙆🏻‍♀️🙆🏻‍♀️,6개,2020. 5. 17.
응애,ㅋㅋㅋㅋㅋㅋㅋ아ㅋㅋㅋ곤지암에서 안터질수가 없다ㅠㅠㅠㅋㅋㅋ,0개,2020. 5. 17.
이윤정,언니 너무 보고싶었어요ㅠㅠ❤️😳,3개,2020. 5. 17.
황진우리,너무 이쁘시다ㅠㅠ,1개,2020. 5. 17.
BoPilNaHyeKim,씨딩영상 볼 때마다  참고하고 리스트에 작성하고  구매해서 사용하고 있어요. 항상 좋은 영상을 올려 주셔서 고맙습니다.,1개,2020. 5. 17.
랑말,씨딩뷰티 넘 조아여ㅜㅜㅜㅡ편하게 쓱 보기 좋아용❤,0개,2020. 5. 17.
수으잉,1:25 씬언니 직업 오조오천만개 중 한개 등산유튜버ㅋㅋ,0개,2020. 5. 17.
권귤귤Lucca,씬님 언박싱 마음에 드는거 꺼낼 때마다 눈커지는거랑 오~하는 표정이 귀여워서 두번씩 돌려봐용ㅋ,1개,2020. 5. 17.
coeyunhyi0815,내가 이럴줄 알았어..... 설마 또 나도 모르게 언니가 영상 올린거 아니야? 했는데 또야 또... 언니 나 좀 혼내줘요 제발.. 정신 좀 차리게 제일 사랑하고 기다리는 언니가 올리는 완벽한 영상을 맨날 늦으니.. 제발 따끔하게 혼내중셍ㅇ요 ㅠㅠ,1개,2020. 5. 17.
사랑이가득한올라프를사랑해,12:53 꺄아 키스 조아♡,0개,2020. 5. 17.
이승아,"듀틴트ㅋㅋㅋㅋㅋ착색봐 에뛰드  입생로랑 틴트색깔진짜이뻐 ㅜㅜㅜㅜ
에뛰드 쿠션사러 가야겟네용 :)",0개,2020. 5. 17.
V세리,시작 언니 헤어밴드 수건 둘러 놓은줄 알았담...,0개,2020. 5. 17.
Dananeul,Cica는 Centella asiatICA 의 줄인말이에요!,1개,2020. 5. 17.
YeseoLee,씬님!! 이번에 맥에서 썸머에디션으로 브론징 컬렉션이 나왔다고 하는데 전색상리뷰랑 메이크업 보여주세요오❤️,2개,2020. 5. 17.
성예지,배쓰밤 여름에 바다 가서 놀고 바다보이는 욕조에서 쓰면 좋아요! 저는 삼척해수욕장 리조트에 머물렀는데 아주 노곤노곤 힐링됩니다,0개,2020. 5. 17.
Whasauboam봄봄레드벌벳봄봄,이 언니는 진짜 선물로 줘도 너어무 좋지 않으면 칭찬 안해줌....진짜 최고 브라...아잇 아니 뷰티 유튜버..ㅎㅎ,0개,2020. 5. 17.
안성빈,키쮸마쿠를 어디에 할라나~~~~~ 응 내손......,1개,2020. 5. 17.
쑈징,0:15 넘호 귀엽자나여 언니ᆢ!,0개,2020. 5. 17.
