닉네임,댓글,좋아요수,날짜
오라잇스튜디오AllRightStudio,이제 온라인 쇼핑 공식은 선 네이버검색 후 오픈마켓?!! 살면서 궁금했던 속설들! 댓글로 많이 남겨주세요~ 쇼핑속설이 파헤쳐보겠습니다😎,6개,2020. 4. 10.
xxaustin,"이걸 모르는 사람도 있었구나... 네이버쇼핑, 에누리, 다나와, 3개의 사이트 들어가서 검색해서 들어가보고 비교해보고 가장 저렴한 곳에서 구매하시면됩니다.",5개,2020. 4. 10.
박군,무조건 네이버경유한다고 싼건 아니더라구요 네이버를 경유하면 쿠폰이 적용안되는 곳도 있어서  둘중 비교해서 구매해야합니다,7개,2020. 4. 10.
돼지코악마,가끔 티몬에서 하루 이틀 짧게 하는 딜들은 네이버에 최저가 검색해도 잘 안 나와서 항상 둘 다 비교해보고 사요~><♡ 다들 최저가 득템 하세요!,4개,2020. 4. 10.
윤수정탱글요정,04:40,3개,2020. 4. 10.
윤윤영현,안녕 하세요 채널 처음 들어왔어요 수신함에 하트 보내 주세요,2개,2020. 4. 10.
감차니,헐 뭐야 네이버..❤️ 왜 쿠폰 주고 있으면서도 말 안 해줬냐..🥰,1개,2020. 4. 10.
이물감,그대신 네이버로 들어가면 다른 쿠폰은 적용이 안됩니다. 옥션에서 쿠폰을 가지고 있다면 옥션에서 쿠폰 적용된 가격이랑 네이버 경유로 들어간 가격이랑 비교하시고 그냥 옥션에 쿠폰 없으시면 네이버가 더 싸긴합니다.,2개,2020. 4. 10.
나박사TV,내가 좋아하는 개그우먼 정말 매력 쪄는데 왜 요즘 안보이지??????,0개,2020. 4. 10.
교육참,존나 이쁘다 이분때문에 그나마 개콘봣는데 더 못버티고 코빅봅니다,0개,2020. 4. 10.
이경화,좋아요,0개,2020. 4. 10.
노는언니,라벨기비교좀 해주세요 브라더 로드메일코리아 앱손~블루투스기종 호환테이프 가성비등등~~,0개,2020. 4. 10.
임시정부,"소영님 너무 이뻐용
가격비겨는 확실하 꼭 꺼진불도 다시보듯이 꼼꼼히 보셔야해용",0개,2020. 4. 10.
거거,비싼건 네이버보다 다나와가싼듯,0개,2020. 4. 10.
감차니,헐 뭐야 네이버..❤️ 왜 쿠폰 주고 있으면서도 말 안 해줬냐..🥰,0개,2020. 4. 10.
투영럽,죄송한데 이분 성함이 어떻게 되세요?!저희아들 컨텐츠에 많이 나오시는데 ㅋ,0개,2020. 4. 10.
