,youtube_id,comment,like_num
0,5분전퇴실,"가장 좋은 카메라 악세사리는 
타조다리같은 팔근육, 대포알같은 어깨근육, 독수리날개같은 등근육입니다^^",31개
1,최신,0:28 그러다가 나사선 갈아버리고......,18개
2,강하라,리안님 점점 흑화하시네ㅋㅋㅋ,27개
3,박지원,"저는 달 카메라가 없구요
제가 가진 카메라 라고는
밤에 사진을 못 찍는 2년된 아이폰 8뿐이랍니다 ㅠ",18개
4,잘살고싶다,오 카메라는 없지만 뭔가 편할것 같다 ㅋㅋㅋ,8개
5,김동일,라이브영상 없어져서 너무 아쉬워요 ㅠㅠ,15개
6,theWhat,연기실력만 보면 구독자 100만인데ㅋㅋㅋㅋㅋ,1개
7,정해령,"미리 숙제하기....
업체님아 숙제 줘여 ㅋㅋㅋㅋ",1개
8,온리주현,진지한영상인데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃겨,0개
9,파트로네,뜬금포 지름신 유발자 서울리안님 ㅋㅋㅋ 미니삼각대부터 릴리즈까지 딱 맘에 드는 걸요? 월급날을 기다려야지ㅋㅋㅋㅋ  ㅋ,1개
10,박재원,1:23 턱 진짜 귀여워요 ㅎㅎ,0개
11,GDAMTV그담,저 쉼표 쇠덩어리 함 구입 해봐야 겠군요. ㅋㅋ,1개
12,연의,볼살 귀여웡,2개
13,최현종,짤짤리안전자~~~~ ㅋㅋ,1개
14,김비오,4:05 (저거 가지고는) 어림도 없지! 암!,1개
15,이웃집처키,핵공감입니다.ㅋㅋ 동전 찾기 진짜 힘듦,0개
16,GalaxyKim,"난 서울리안을 실제로 보았다. 그랬다..... 휴게소였다
오늘....3/10 휴게소에서(오후 2시~3시 사이??), 서울리안님은 마약 핫도그를 사드셨다. 그랬다.
나는 보았다. 서울리안님이 마약 핫도그....를 계산하고 들고가시는 모습을.....
아는척을 할까? 말까? 할까? 말까? 고민했다...... 그랬다.....
그러나 나는 아는척 하지 않았다... 추리닝을 입고 있었기 때문이다.
실물은 이쁘셨다. 잠시 기분이 좋았었다. 그랬다....
지금 서울리안님 영상을 보며 아쉬워 하고 있다.... 아는척 할껄..... ㅜㅠ 흑... 흑.....
""서울리안님...!! 마약 핫도그 맛있게 드셨나요??""
""전 일반 핫도그 먹었어요""..... 흑흑 ㅠㅜ",15개
17,K해이,이 분 볼때마다 유진배우님 딸 로희 닮았어요ㅎㅎ토끼상,1개
18,김재횬,아마존에서 품절 됬네요 ㅠㅠ 진짜 좋아보이는데 다음에 재입고 되면 사야겠네요,0개
19,검은발상디,미니피규어가 있군요. 레고 컨텐츠 한번 가시죠 ㅋㅋㅋㅋ,0개
20,JustinJJeon,우와.....진짜 신기하네요!! 대-박,0개
21,HelloR,에델크론 대체품 찾고 있었는데 너무 좋네요! 바로 삽니다 누님,0개
22,김재식,와~ 넘 좋은 거네요 대박,1개
23,정채영,뜬금 rx100 핸드그립이 너무 고급져보이네요 ㅋㅋㅋ Rx1R시리즈 인쥴... 악세사리 너무 잘 고르시는거 같아요 ㅠㅠ,0개
24,행복가족,좋은 영상 감사합니다.,0개
25,뭘봐이자식아,만취리안 누나당..!,2개
26,JasonLee,오~ 이런 아이템이!! 제가 가진 카메라에도 달아야겠네요 :) 좋은 정보 감사합니다!,0개
27,chacha,나 서울리아님 점점 미모가 점점 이뻐지셔 ㅋㅋㅋㅋㅋㅋㅋ,0개
28,broadbandlte,스트리밍 영상 왜지우셨어요?ㅋㅋㅋ 매력넘쳤는데,0개
29,GoodEnergyCameraboy,"지윤테크 트렌스 마운트 퀵릴리즈 사용해보심이 어떨지요^^
작은것 큰것 두종류로 나옵니당",6개
30,이시하,"""안녕하세요 !! 서울리안입니다 !!""(*´ ˘ `*)
이거 때문에 본다",0개
31,컴소여의모험,리안님 보면서 조립에 흥미가 생겨가지구 조립영상까지 찍었어요..그런데 모야..점점 더 이뻐지시는거같아요!!•̀.̫•́✧,0개
32,무명,오잉~,1개
33,EggandTable계란과밥상,02:34 에델크론:???!,0개
34,전경유튜브,와 너무 필요한 아이템! 꼭 사야겠어요 감사합니다^^,0개
35,상동주민,저도 그래서 동전을 가방마다 넣어뒀는데 신기하네요!!,1개
36,TTORKANG또르강,술🍺리안이닷~~~ㅋㅋㅋㅋ🤣,6개
37,Juhongsax,지리네요 ㅎㄷㄷ,0개
38,크라이시스,배송비 크리~,0개
39,이름바뀌나,띠용~,1개
40,홍기준,서울리안님 영상 잘보고있어요~ 삼각대 뭐쓰시는지 알려주실수 있나욤!?,0개
41,F8,영국 락다운동안 무척 심심하지만 서울리안님  새로운 영상 보니까 기분이 좋아졌습니다!,1개
