닉네임,댓글,좋아요수,날짜
ARIKITCHEN아리키친,"금주 전제품 품절 되었습니다. 감사합니다!!
정성스럽게 만들어 보내드릴게요 🙇🏻‍♀️!!
💜매주 일요일 12시 아리키친 PARTY TIME💜
(NEW!!) 금주는 아리카롱과 함께 뷰티머랭쿠키가 신제품으로 나왔어요!
아이디어 통통쿠킹 영상과 함께, 
온라인 주문서 오픈 ( http://www.aricarons.com )
북극곰피디의 요리영상 까지 ( https://youtu.be/5vaz6ZIjBhI )
매주 아리키친 디저트 주문서가 낮 12시 부터 오픈됩니다.
많이많이 놀러와주세요 :D 
그럼 오늘도 달콤하게 ~ 행복한 하루 되세요!!",251개,2020. 5. 30.
김혜인,내가 좋아하는 마카롱과 레모나의 만남이라니......이건 삼겹살과 쌈장의 만남을 넘어서는 만남이얌...,402개,2020. 5. 30.
ARIKITCHEN아리키친,"English subtitle is uploaded.♥
Always thanks for watching my video.
 Have a nice day :)",126개,2020. 5. 30.
김예슬,"아리언니! 혹시 마이구미로 마카롱 만들어주실 수 있나요??
제가 집에서 만들지는 못하지만 대리 만족으로 제가 좋아하는 보라색, 포도, 마이구미 조합 보고싶어요ㅠㅠㅠ
젤리를 생각하다보니 저절로 제가 좋아하는 마이구미가 생각나더라구요ㅠㅠ",69개,2020. 5. 30.
수지,저 아리카롱 받았어요!!!! 정말 맛있고 인스타에 아리님께서 직접 좋아요 눌러주셔서 감사합니다 ♥️,70개,2020. 5. 30.
HyunSePark,아리님 똭 영상 보고 주문 할 수 있도록 영상 10분전에 올려주는 센스 보소...💜 너무 너무 감동 감동ㅜㅜㅠㅠ,56개,2020. 5. 30.
JiseoLee,"아리키친은 사랑 
아리키친 인간 비타민
아리키친은





the love♡",93개,2020. 5. 30.
Kpopahjussi63,Those look so amazing. My face is squishing up just thinking about the lemon flavor! And they would be perfect in the summer. Thanks!!,2개,2020. 5. 30.
은지tv,아닛!! 언니 편집이 뭔가 병맛(?)쪽으로 변했어요!!! 레모나는...방탄!! 언니 내일 6시에 트와이스 신곡이 나오는데 what is love 때처럼 아이돌 베이킹 해주세요ㅠ 🙏🏻 항상 잘보고있어요 아리언니 사랑합니다💜🍒,5개,2020. 5. 30.
체리벨벳,"3:50 아리님인데 어떻게 걱정을 안하나요......ㅠㅜ 몸빨리 괜찮아지셨으면 좋겠네요! 영상 잘보고 갈께요-♡ 
아리님 화이팅! 이팅이팅 화이팅!ㅎㅎㅎ
 레모나 마카롱 먹어보고 싶네요! 꼭 만들어 보고싶어요 
 ((((비주얼은 장담못하지만ㅋㅋ! 전 똥손이니까염~ㅋㅋ",35개,2020. 5. 30.
btsarmy,Lemona x BTS💜 thx for promoting the product 🥰,31개,2020. 5. 30.
여너,난 레모나 필요 없는디... 아리님이 너무 상큼해서 제 비타민c가 채워지는 느낌적인 느낌느낌,3개,2020. 5. 30.
끄악,허억 구하기 힘든 호석이 ㅠㅠㅠㅠ 내가 갔을때는 왜 윤기랑 지민이만 있었는지... ㅠㅠ 호석이 ㅠㅠ 그와중에 맛있어보여요 ㅠㅠ,50개,2020. 5. 30.
DanielleHendricks,"What a great way to use the Lemona packets!
My mouth is drooling 🤤 - so sour and refreshing",1개,2020. 5. 30.
아트레빗ArtRabbit,노랑노랑에 머랭 섞는데 마음이 녹아내리는 것 같음. 레몬즙 넣을 때는 침이 줄줄 흘러내리는 것 같구요. 크림 얹일 때 아.. 고통스러워... 먹고싶어요. 격하게!!!,2개,2020. 5. 30.
정현주,11:08 🍋나 레몬이야!!🍋,9개,2020. 5. 30.
에베벱,마카롱에 젤리 들어가는 건 생각해본 적이 없는데 이렇게보니까 상큼하고 맛있을 것 같아요ㅠㅜ,10개,2020. 5. 30.
백설Cosplay,"아리님은 끼쟁이가 분명해...!!!







이건 모두가 아는사실인데 말이죠
아리님께선 인간 레모나랍니다아
/}_/}
( ♡♡)
(>♥<)",1개,2020. 5. 30.
하은haeun,6:11 하트모양!!,6개,2020. 5. 30.
