,youtube_id,comment,like_num
0,yeondukong연두콩,"Cc click please💚
컬러가 비슷비슷해 보인다구욧? 그렇다면 정확히 보셨습니다.. 제가 소나무 취향이거든유..",358개
1,모담,뭐지..? 목소리는 안나오는데 음성지원이 되는 듯한 이 느낌은..?,159개
2,먁먁,"여러분 ♥️두콩언니가 추천해주신것♥️들도 너무 예쁜데 진짜 다들 클리오 프로 싱글섀도우 펄펙션 한번만 써보세요ㅠㅠㅠ 아는 언니꺼 몇번 썼다가 결국 너무 예뻐서 고냥 홀라당 사버린 제 최애 글리터섀도우에요ㅜㅜㅜㅠ엉엉ㅇ엉ㅜㅠ한번만 콕 해도 진짜 영롱해서 용량이 진짜 3대까지 물려줄정도에요 
올리브영 지나가다가 보이면 테스트라도 해주십시오..💜연두콩님만큼 넘흐 예뿝니다💜",126개
3,나비보벳냠,"샴푸의 요정,,? 이 띵곡을 알고 있는 당신은 나와 플레이리스트 겹칠 확률 99.9999%,,, 언냐랑 취향이 비슷해서 참말로 조쿠먼유~ ~ 물론 쟈글쟈글 펄땡이 취향도~ 🖤 사랑해유 참말로~ 🤟🏻🖤",76개
4,Soyoung,글리터 왜 필요햐~~~ ✨✨✨✨✨우런니 저 멀리서도 반쨕반챡 하는디 ✨✨✨인간 글리터 ✨✨ 글리터요정 콩언니✨✨✨✨,46개
5,팥앙금redbeanpaste,왜 연두콩언니는 시간이 거꾸로 가나요? 볼때마다 어려지는것 같아유 너무 예뻐요 언니 ㅠㅠ🤭🤭😍,72개
6,쟌이,"오모 이번영상은 목소리가 안나오네유 
보는내내 두콩님 목소리 들리는건 기분탓인가유키킼
이제 언니 목소리 상상된다구요🥰",67개
7,한채연,다른건 모르겟구 자꾸 샴푸의 요정이랑 그녀는 나의편??그것만 들려유..큰일낫슈,16개
8,은수,언니가 옛날에 추천해준 어퓨 애굣살 섀도우도 진짜 잘 썼었는뎅... 지름신 막 옵니다...,33개
9,Coming2U,03:08  🔥⭐️ 주인공 등장 ⭐️🔥,15개
10,PmS,대체 누가 귀걸이 안어울린다고 했나여.....🙊,25개
11,Hang,언니! 렌즈 뭐끼셨어요?!! 😮⁉️,8개
12,김규리,난 뭔가 이 언니 눈이 너무 마음에 들어... 똘망똘망 하게 생겼음에도 웃었을 땐 또 진짜 보는 사람 녹이게 만드는 그런 눈... 아 나 주거 언니~~ 너무 예쁘당,29개
13,아기순둥,샴푸의요정이라니...................매력쩔,4개
14,신민경,헤이미쉬 섀도우에 펄 섀도우로 애굣살 입문했는데 다른 섀도우 성에도 안차유ㅜㅠㅠㅠㅠ헤이미쉬 앞에선 존재감 무,12개
15,프린스송,"글리터는 연두콩님 이잖아용(부릅)
✨빛나는 존재 그런 싸람..✨
너무 반짝 반짝 눈이 부셔 그녀녀녀녀😎",15개
16,린린이,세포라 진짜. 존좋템 입니다. 지속력이 대박이에요ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅡㅜㅜㅜㅜㅜㅜ,17개
17,Chloeee,"자막만 있는 영상도 새롭고 괜찮은 것 같아요!
언니 너무 예뻐요😭💚",12개
18,시우달링darling,우ㅜ와 이거 완전 두콩갬성 아닌가요 목소리가 없어도 언니가 계속 말하는거가태...,4개
19,김나래,안그래도애굣살에바를아가들찾고있었는데ㅜㅜ,18개
20,유진,"온니,, 혹시 영상 속 렌즈 어떤 제품 사용하셨는지 알 수 이쓰까요..?🥺🥺 글리터보다 눈이 더 초롱초롱 빛나요🤍❤️",4개
21,,"두콩씨 bgm 제 취향을 저격해버렸슈 오늘 영상이랑 너무 잘어울려유,,, 이런 느낌있는 브금에 두콩씨가 자주 입는 요즘 룩북 찍어도 좋을것 같구먼유❤️ 요즘 일이 뜻대로 되지 않아 우울했는데 좋은 노래 좋은 영상 잘보고 가유. 두콩님은 환하게🌟 웃는 얼굴에 눈망울이 참 맑아유🥰 오늘도 편안하고 좋은밤 보내셔유~~",8개
22,또또ddoddo,헐 마지막 헤이미쉬 뭐죠 애교살 뽝 튀어나오는거같단 말.. 보고나서 이해했어여 증말 참말 참인증이시군여 저 헤이미쉬에 너무 감동하고가여ㅋㅋㅋㅋㅋ,6개
23,이하연,역시 뻔하고 유명한 스틸라나 쯔위섀도우.. 그 뭐였지 그런거 말고 숨겨진 꿀템을 발견하는 도굴꾼언니🧐💓,5개
24,고양이야옹야옹,"ㅁㅊㅁㅊ....제가 애교살에 미친 인간인거 어찌아시고 이리 영롱한것들만 올렸습니까ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
또 지르고싶다 하핫",2개
25,ParkBogyung,오늘 비지엠 정말 좋네요ㅠㅠ,4개
26,이은서,넘 이쁘시자나요ㅠㅠㅠ,6개
27,채니뷰티,마지막 섀도우가 진짜 주인공이네요..✨✨너무 예쁜데.. 저거 위해서 저 팔레트 사야하나옄ㅋㅋㅋㅋ진짜 예뿌다...❣️❣️,6개
28,얍얍,오 영상 틀었는데 노래나오길래 내가 튼건가해서 끄러갔는데 아니였다,3개
29,심심해,으악 애굣살 글리터 대박 이버요 전 갠적으로 갈아쓰는게 젤 맘에 들어욤 🤤❤️,11개
30,다현,"0:23 어디서 많이 본거다 했는데
저희 엄마가 쓰시는거네요.
언니 영상보고 너무 이쁜걸 알았으니! 
제가 몰래 제 애교살에 장착해야겠어요. ㅋㅋ",8개
31,이하연,"헤이미쉬 너무 예뻐요 저도 저 펄 하나만 보고 팔레트 구매했는데 전혀 아깝지 않습니다,,,,영롱하고 색감도 이쁘고 난리나요ㅠㅠㅠㅠㅠㅠ",4개
32,수진,언니랑 취향이 같아서 행복해유..~~...ㅜ.ㅜ♡,3개
33,fatee,흐엉ㅠㅠㅠ 온니 저도 세포라 있눈데 취향이 이렇게 같아버린다니~!~!~!💖 햄보케여,4개
34,AhEun아은,연두콩님은 애굣살 섀도우를 바르셔도 이쁘시고.. 안 바르셔도 이쁘세요...ㅠㅠㅠㅠㅠㅜ,5개
35,노래하는꼬마,진짜 너무 이뻐요 ㅜㅠㅜㅜ 애굣살 글리터도 이쁘고 연두콩님도 이쁘고 ㅠ,2개
36,raphaa라파,"샴푸의 요정을 아는 당신,, 안 사랑할수 가 없군,,🥰",4개
37,heysophie헤이쏘피,왜케 이쁘세용ㅠㅠ❤️❤️❤️❤️❤️,3개
38,빠방,찐으로 제가 글리터 사려고 하니까 딱 올려주시는 콩님...,4개
39,happiness,와따! 또 지갑 얇아지겟담 책임져유!,2개
40,Yjhappy,언니 닌텐도에 빠지지 않고 영상 올려줘서 고마워 😻편집 퀄리티 진짜 무엇 놀랐다,4개
41,TreeLe,나중에 인트로들만 모아서 영상 만들면 좋겠다ㅠㅠ 인트로들이 다 귀여움ㅋㅋㅋ,2개
42,김고은,이 노래 진짜 좋아하는데ㅠㅠㅠㅠㅜ 여기서 듣게되나니..!!! 언니랑 잘어울려윱💙💙,1개
43,호로요로요로,"아 진짜 짜증나 너무 내 취향을 정곡해 버렸어요 ...
너무 예뻐요 두콩언니 ㅠㅠ  살앙해요 두콩님 ❤️❤️",1개
44,비어있지않움,언니는 왜 이렇게 귀여워요 ㅠㅠㅠㅜㅜㅜ 언니만 보이잖아요 ㅠㅠㅠㅠ,2개
45,유자,우왕 브금 모야...ㅋㅋㅋㅋㅋㅋㅋ 분위기 맛집이쟈나.....S2,2개
46,히정히정,아 몰라몰라~~ 다 사 ~~,3개
47,텐션옴걸,"아 진짜 짜증나ㅜㅜ




너무 귀엽고 이쁘셔셔",2개
48,이민경,"오늘도 이뿐 연우언니~~~~~~~ 첫번째 세포라꺼는 한국에 비슷 한거 없겠쥬ㅜㅜ 
입고 있는 블라우스는 어디꺼 인가유??",4개
49,토마토맛토,헐 저도 포니이펙트 프리게임있어욬ㅋㅋㅋ위메프인가 어디서 포니이펙트딜 올라왔을때 엄청 세일하길래 포니이펙트제품 궁금해서 사봤거든요..두콩언니 애교살템best5안에 들었다니 완전 잘산기분😍😍 닥터자르트 선프라이머 시킨거 오늘 왔어요~구성 완전 대박적이어서 기분째짐💕,1개
50,정복냥이,무슨일이야 왜이렇게 이쁜거야..... 언니 ㅜㅜㅜ,1개
51,김예진,"언니.,,진짜 자꾸젊어지면큰일나용 ... 진짜 왜자꾸반하게만들어유... ㅜㅜ💕💕💕이영상모야쥔짜 ,,,ㅠㅠ ❤️❤️",2개
52,이선영,"언니한테 안어울리는 컬러가 어딨습니까,, 뭘 해도 예쁜 연두콩언니❤️",1개
53,갱굥,꺄악 언냐 넘귀욤탱💕,2개
54,침치미,사고 싶은데 돈이 업따........ 나중에 꼭 사야지.. 언니 이뻐유♥,1개
55,신정아,"허거걱 안그래도 애교살 글리터 유목민이였는데 우째알고!,,,",2개
56,나는나,난 언니가 테스트할 때 항상 아낌없이 발색 보여주는 게 마음에 든다...,2개
57,DL,OMG오모나오마기마미친 알고리즘이 내 취향 알고 추천영상 누른 줄 샴푸의 요정.... 내플레이리스트 최애곡...  이거아는사람 진짜 없는데ㅠㅠㅜ연두콩님 모에요ㅎㅎㅎㅎ,1개
58,이주은,언니 오늘 메이크업 갱장히 찰떡이에오!! 블러셔랑 립 알려주실 수 있나용💓💓,2개
59,이셍이,알람 울리자마자 호다닥 왔는데 영상 분위기랑 브금은 넘나 영롱하고 울 두콩언니 미모에 치이고 갑니다..💓,1개
60,이민경,와 오늘 영상 미쳤다‼️‼️‼️나갈일은 없겠지만 집에서 결제할 손가락은 있따!,1개
61,hhs,섀도우 보려고 왔는데 노래 너무 좋다 헉헉,1개
62,각별한,너무 예쁘셔요.. 봄요정이 다 되셨네ㅠㅠㅠㅠ❤ 애교살템 지르러갑니다ㅠㅜㅜ,1개
63,청청,큰일났다...두콩언니가 넘 좋아서 이제 얼굴만 보여도 힐링되는 지경까지 이르렀ㄷㅏ...,1개
64,BinH,너무 예쁜거 아니에유 언니😍 화장할때 애교살 필수인데 이쁜 섀도우 추천해주셔서 감사해요❣️,1개
65,민혜에오,"아유.. 두콩님 이르케 귀여우시면 어떡하라는거유,, 오늘 밤 잠은 다잤슈",1개
66,,"ฉันชอบคุณจังเลย
ทำเกี่ยวกับประเทศไทยเยอะๆนะคะ
ติดตามตลอดรักนะคะ❤❤❤
สู้นะคะ
คุณน่ารักมากๆ
ฉันดูคุณอยู่ทุกคลิป",2개
67,민형,ㅠㅠ요즘 마스크때문에 피부 화장을 안해서 눈만 조금 하고 나가는데 애굣살 신경 안쓰고 살다가 요즘 막 애굣살에 신경쓰기 시작했는데 있는제품으로만하니 질리기도 하고 별로 안이쁘더라구요 ㅜㅜ 마침 필요한 정보였어요 ㅠㅠ영상 감사합니다 ㅜㅜ 릴리바이레드 4번인가? 그거 테스트 해보고 이뻐거 드럭스토어에 사러갈려했는데 언니 영상보구 에뛰드꺼 환장하게 이뻐서 같이 사올라구요...,1개
68,ryjh,역시 비싼 게 이쁘긴 하네요ㅋㅋ,1개
69,likilikiliki,너무 유용해 ㅠㅡㅠ,1개
70,빛한,언니... 대박 제가 어제 언니 예전에 2년전?에 한 애교살 섀도우  추천보고 최근것도 보고싶다고 맘속으로 생각했는데... 우리 통했나요??ㅠㅠㅠㅠ대박🥰🥰,1개
71,쁘융,와 귀찮아서 애굣살 글리터 안 바르는데 언니 영상만 보면 다 사고싶구 그래요 두콩언니 짱짱❤❤ 편집해주시는 (엉엉 이름을 까먹었어요 경하님이었나)분도 짱짱❤❤,1개
72,김미리,오늘따라... 잘키운 막내딸같고 뿌듯한 이 기분 뭐죠,1개
73,,와언니진짜ㅠ,1개
74,옴뇸뇸,아니 안그래도 오늘 연두콩님 영상 다시보기하면서 ‘아 애교살에 바를 펄 추천템 올라오면 딱이겠다!’ 이생각했었는데!!!!!,1개
75,예은,아유 얼굴보면 힐링됩니다❤️,1개
76,루나,달달함이 2배 저두 쓰는데ㅠㅠ 온니야도 쓰시는 군용>_< 행복케💗💗,1개
