,youtube_id,comment,like_num
0,한세HANSE,"🙃안녕하세요 오늘은 초콜릿 크레이프 케이크를 준비했어요!
노 오븐 케이크 중에서 가장 손이 많이 가는 케이크 같아요 하하
굽는 시간이 오래 걸리고 한 장 한 장 크림을 발라야 해서요!
하지만 만든 만큼 식감이나 맛은 정말 좋은 것 같아요 :)
먹는 소리를 찍었는데 소리가 너무 지저분한 것 같아서 뺐습니다
 
직접 운영 중인 홈카페, 주방용품 스토어 ‘안녕한세요‘ 입니다!
https://smartstore.naver.com/hanse
 
많이 달지 않고 적당한 단맛이에요 같이 씹히는 다진 초콜릿도 정말 잘 어울려요!
겨울에는 멀지 않은 거리면 상자에 담아 선물해도 괜찮아요
(여름에는 보냉백이나 아이스박스에 넣어 옮겨야해요)
 
종이컵으로 계량하는 크레이프 케이크 레시피도 있으니 아래 링크 참고해주세요!
https://youtu.be/J_hBwM3Umvk
 
이 레시피는 24~26cm 후라이팬 기준으로 15장 내외로 나와요!
크림 양은 생크림을 어떤 종류를 쓰느냐에 따라 다르기 때문에 동물성 크림 기준으로 준비해주세요
(식물성 크림은 완성되는 부피가 동물성 크림보다 훨씬 많이 때문에 1/3정도의 양은 빼고 준비해주세요! 되도록 동물성 크림을 사용해야 느끼하지 않고 맛있어요)
 
▶재료 (24~26cm 크레이프 케이크 1개 분량)
약 3시간 내외 소요되며 마지막에 냉장실에 굳히는 시간은 제외된 시간입니다
 
- 계란 6개, 설탕 80g, 바닐라 익스트랙 4ml, 우유 560g, 박력분 200g, 코코아가루 20g, 무염버터 50g
- 다크 초콜릿 200g, 생크림 140g
- 생크림 600g, 설탕 60g
- 다진 초콜릿 150g, 코코아가루
 
1) 볼에 계란을 넣고 풀어줍니다
2) 설탕과 바닐라를 넣고 섞어줍니다
3) 우유를 넣고 섞어줍니다
4) 박력분과 코코아가루를 체에 걸러 넣고 섞어줍니다
(우유는 1/4 정도만 먼저 넣고, 4번을 넣고 섞은 다음 나머지 우유를 넣는 것이 가장 좋습니다)
5) 무염버터를 전자레인지에 10~20초 돌려 녹여준 다음 반죽에 넣고 섞어줍니다
6) 반죽은 체에 한번 걸러 냉장실에 1시간 정도 둡니다
(냉장실에 두는 것은 생략 가능하나, 개인적으로 냉장실에 두었다 굽는 것을 추천합니다)
7) 반죽은 한번 바닥까지 저어줍니다
(이때 버터가 제대로 섞이지 않아서 모래처럼 뭉쳐진 것이 보일 수 있는데 그대로 구우면 됩니다)
8) 후라이팬에 식용유를 아주 얇게 발라줍니다
9) 아주 약불에 후라이팬을 올려 달궈줍니다
10) 크레이프 반죽을 국자로 떠서 부어준 다음 후라이팬을 돌려 얇게 펴줍니다
11) 20-30초 정도 구운 다음 조심히 뒤집어 10~20초 정도 구워 반죽을 옮깁니다
(반죽을 다 사용 할 때 까지 굽습니다)
12) 구운 케이크 시트는 완전히 식혀줍니다
13) 시트가 식으면 크림을 만듭니다
14) 다크 초콜릿과 생크림을 볼에 담아 전자레인지에 30초 돌려줍니다
15) 골고루 섞어줍니다
16) 다른 볼에 생크림 600g과 설탕을 넣고 휘핑합니다
17) 자국이 살짝 남는 정도로 휘핑한 크림에 녹여둔 생크림 + 초콜릿을 넣고 계속 휘핑합니다
18) 단단하게 휘핑한 크림은 옆에 잠시 둡니다 (여름에는 냉장보관)
19) 판 초콜릿을 칼로 다져줍니다 (믹서에 갈거나 두껍게 자르는 것 보다 다지는게 훨씬 식감이 좋습니다)
20) 케이크를 완성할 접시에 시트를 1장 깔고 크림을 얇게 발라줍니다
21) 그 위에 다져둔 초콜릿을 적당히 뿌립니다
22) 20번과 21번을 여러번 반복합니다
23) 제일 윗면에는 크림을 발라도 되고, 안 발라도 됩니다
24) 코코아가루와 다진 초콜릿으로 장식합니다
25) 바로 먹어도 되지만 냉장실에 2-3시간 정도 두어 굳힌 다음 잘라 먹는게 훨씬 낫습니다
(바로 자르면 모양이 예쁘게 잘리지 않고 크림이 완전 차가운 것 보다 조금 느끼합니다)
+ 완성한 케이크는 통에 담거나 덮개로 덮어 냉장보관 하고, 일주일 이내로 다 먹습니다",684개
1,MSK,"조수 고용할 생각 없으신가요? 일단 잘먹을 자신은 있습니다




+좋아요가 천이 넘다니... 한세님의 조수 희망자가 이리 많습니다!!!",17개
2,JustGigi,"How I'm trying to be in the kitchen: Hanse
How I actually am: HowToBasic",455개
3,EricaHan,This guy needs to own a cafe shop ASAP,143개
4,박지연,사이사이에 다진 초콜릿 뿌리는 거 좀 천재적이시라고 생각해요... 너무 먹고 싶어요 ㅠ ㅠㅜㅠㅠ,397개
5,,왜 위에 로고가 뒤집혔지 내 폰화면이 뒤집힌줄알고 폰을 뒤집었다...,811개
6,WhiiteRses,Who watches this and knows they'll probably never make it 💀💀,164개
7,robinyoo,5:41 the sound is so relaxing,136개
8,서양인,"크레이프케이크는 진짜 한장한장 굽다가 허리펴고 굽다가... 
끝났다 싶으면 다시 크림바르고 쌓아야하는 크레이프가 날 기다림..",356개
9,몰라,난 크레이프만 보면 꿈빛파티시엘이 생각난단 말이지,298개
