닉네임,댓글,좋아요수,날짜
한프로,"저놈은 가드없이 저러다
그냥한방에 간다
데뷔전이라 약한놈 붙여준거지
핸드스피드나 가드나 모든게 뒤떨어짐",2개,2020. 5. 28.
jaebumshin,김산이 절대고수? ㅋㅋㅋㅋㅋㅋ 정문홍 야도 참 보는 눈없네  ㅋ 뭐 언제든 끝낼수있어?  꿈속에서? ㅋ,4개,2020. 5. 28.
케이블랙,신윤서 잘하고 있는데 정문홍이는 뭐자꾸 안된다카노 ㅋㅋㅋㅋ,2개,2020. 5. 28.
MinWooSIN,정무농 윤서헌티 싸지먹음 발림서 그렇게 씨부리면 앙대요,0개,2020. 5. 28.
iremsung,양심있으면 mma라고 하지맙시다. 그라운드 30초 룰이 말이됩니까.. 그냥 입식에 그라운드 30초 가능한 경기라고해요..,3개,2020. 5. 28.
원펀치,"패기와  돌진하는스타일  체력이 짱인듯
나는3분만 뛰어도  죽을것같던덕",2개,2020. 5. 28.
박지성,몇번을 쳐올리노,3개,2020. 5. 28.
뻬스타,오우 패기 넘친다!!,1개,2020. 5. 28.
송기광,파이팅넘친다 대박,2개,2020. 5. 28.
Studio쨈스,와 대단,1개,2020. 5. 28.
SweetGirl,☀ 💓 😀,0개,2020. 5. 28.
jk,물건인데 잘만 다듬으면 되겠네,1개,2020. 5. 28.
JakeK,싸움 절때로 하면 안되요. 말로해야합니다,2개,2020. 5. 28.
코알라,김산을 이기다니 초보자가 ㄷㄷ..,1개,2020. 5. 28.
시바연구원,하 진짜 유망주다 스님으로 나온사람 세미프로 이상급 실력인데 리어로 끝내네,0개,2020. 5. 28.
시늬수,"절대고수란 말은 쓰지 말자. 
그 말 쓰려면 UFC에서 챔피언 자리 정도는 3회 이상 
지키고나 써야지. 
앤더슨 실바 전성기나
디미트리우스 존슨처럼 말이야.",2개,2020. 5. 28.
