,youtube_id,comment,like_num
0,yeondukong연두콩,CC Click please💚,100개
1,청청,"향수얘기 말씀하신거 너무 공감돼요.내가 좋을려고,내가 맡았을 때 좋은 향으로 뿌리는 것입니다ㅠㅠ남 좋으라고 뿌리는거가 아닌!내가 원해서 뿌리는거다!!!",234개
2,최다니,향수에 대해 말씀하실때 너무 공감됬어요ㅠㅠ!!  나 좋으라고 내 기분 좋아질려고 뿌리는건데 왜 마케팅은 그따구일까했지만 소비가 있으니까 그렇게 광고하겠지 생각하고 말안했거든여.. 그래서 저처럼 불편을 느낀다는 연두콩님 이야기 듣고 급 공감대 형성한 느낌이예요:) 나중에 추천해주신 향수 냄새 맡으러가봐야겠어요ㅎㅎ 추천감사합니다!!☺,109개
3,리호즈주,"당신의집사 막내 마케터입니다...! 전 성덕이어유
두콩님 개강메이크업 영상 보던 때가 어제같은데 살다가 이런날도 오네요 ㅠㅠ
저희 대표님께 말씀드렸더니 너무 좋아하시면서 두콩님과 구독자분들을 위한 소정의 선물을 드리고 싶다고 하십니다. 메일로 연락드려도 될까요?",32개
4,채채ChaeChae,저 연두콩님 유튜브 커뮤니티에서 프라이머 소개해주셔서 고민즁...... 왜냐면 제가 좋아하는 마스크팩도 주더라구요...... 고민중... 영상보고 더 고민중.. 설명 너무 귀엽게 잘해주시네요...❤️,104개
5,HSPark,2:43 진짜 우리언니 이러케 열씸히 하는거 닥자담당자가 알아줘씀 조케따..💚💚 믿고사는 두콩언니💚 결제하러가유,79개
6,뤼뤼미뤼,저도 향수에 대한 그런 생각 싫드라고요 ㅜㅜ 향덕은 슬프욤,32개
7,붕도리,"어느분 유튜브에 이런 댓글이 올라 왔더라구요
' 인류역사 최초로 티비 앞에 누워서 아무것도 안하는 걸로 
인류를 구할 수 있는 시간입니다. 이거 망치지 말자~' 라는 말인데 너무 핵공감!!!
그리고 허락도 없이 연콩님 보며 힐링하고 갑니다~^^*
연콩님 이모티콘이랑 그 이모티콘이나 얼굴 그림으로 굿즈 만들면 내가 살께요 ㅎㅎㅎ",31개
8,Yjhappy,나 파란 벽지방 부터 구독하면서 두콩언니 춤추는거 처음봄 언니 춤 잘추시네!!!! 영상한번 각 ???,35개
9,Chunnia,"연두콩님이 스스로를 집순이 집순이 하셔도 얼마나 착실하게 사시는지 그 부지런함에서 나오는 추천들이 소개를 받는것만으로도 머릿속에 나를 위한 계획을 세우는데 엄청 도움이 많이돼요. 이렇게 살아라하는것도 아닌데 아 나도 잘 좀 해야겠다 하는 생각이 드는? 
그래서 쓰신 안경 예쁜데 정보 좀 주실..?",31개
10,김소현,"이번에 솔라바이옴 앰플 진짜 좋다고 해서 꼭 사야지 했는데 이렇게 열일해주시면 절대 당장 삽니다. ㅠㅠ 영상 들어오자마자 바로 링크 타고 구매했어요!! 이렇게 퍼주는 구성으로 저렴한 가격에 사용할 수 있게 제공해주시면 너무 행복해여.... 아우 그냥 우리 두콩언니 사랑해요♥ 건강,코로나 조심하시구 더더더 행복해지시구 좋은 일만 가득하세용~!~!~!",38개
11,인영,주문했슈 주문했슈 영업당했슈...,16개
12,눈누난나디봉님,"언니 진짜 뱁새 닮았어요,,,슬기로운 의사생활에 배우 전미도님 닮았어여,,,,,진짜 너무 뱁새상이에여,,,,,,,,,",7개
13,JaeWonPark,전에 집사 궁금해서 이용해봤는데 한번만 쓸 줄 알았는데 계속쓰게돼요ㅋㅋㅋ돈 버는 이유가 생겼습니다:),5개
14,연주,0:08 아 언니 너무 귀여워....ㅠㅠㅠㅠㅠ,7개
15,이민경,우주인이 왜 있나 했었는데 다 이유가 있었군유 오늘 메이크업 안경이랑 너무 찰떡같이 잘어울려유~!~! 무조건 알림 맞춰놓고 사야겠어유~!~!,8개
16,최루루,언니 춤 출때 생글생글 마치 like orange 톡 talk 사랑해여,7개
17,0서,제 월급 바칠게여...,7개
18,DI,울 언니 백만 됐으면 좋겠다... 내가 진짜 조아해... 진짜 오래 언니 영상 봤어... 언니 영상은 무슨 영상이든 그냥 본다구...,6개
19,신다인,언니 오프닝 인사 넘나 발랄하네유 보는 저까지 기분이 좋아지는 텐션~!~!~~!❤️,6개
20,고구미,베리영 첫 콜라보 축하드려요❣️❣️ 이런 좋은 구성 성사해주셔서 감사합니다😍,5개
21,스폰지밥,아낰ㅋㅋㅋㅋㅋ 연두콩님 영업 말퉄ㅋㅋㅋㅋ 무조건 사겠습니다..!!!!! 프라이머 제품 어디서 본 이후로 기다리고 있었는데 이런 구성이라니ㅠㅠ,9개
22,붐붐바스틱,아니뭐야 우리언니가 준비한 구성품 대박이잖어ㅠㅠㅠㅠㅠㅠ 아니그리고 두콩언니 춤추는거 엄청귀여워ㅠㅠㅠㅠㅠ,3개
23,점점,연두콩님 젤 좋아하는거 공들이는거 소개할때 특징: 제가 00에는 돈을 안아껴요~~ 이거 진짜... 찐인데 심지어 써보면 좋음;; 두콩님 찐.. 좋템 쵝오...,6개
24,김아라,진짜 생활밀착형 유투버 두콩님😊💕,6개
25,혜미,언니 ㅠㅠ 제 통장을 다 털어가도 좋아요 ㅠㅠ ♡,6개
26,svinyl,언니 안경 정보 알 수 있을까요??ㅠ,4개
27,조영은,"언니 뭔데 이렇게 귀여워 ?.?.?.?.?..... 나보다 10살 많은 거 마졍
ㅛ ?",3개
28,변우경,두콩님 눈물을 담았으니 꼭 사야겠어요! 구성 미쳤고 직접 그린 거라니ㅠ거울 너무 귀여워요!!! 영업 당해버렸어요..저는 프라이머로 픽 하겠습니다 역시 영업요정 연두콩씨❤,5개
29,afy,영상 올라오기전에 구매했어요 ㅠㅠㅠ 완전 기대중입니다❤️,7개
