,youtube_id,comment,like_num
0,D가짜통역사주현누나,진짜.... 이분은 자기관리의 끝판왕이다 진짜 존경한다...,170개
1,안영,유나님 저 하나 추가로 알고 싶은거 있는데... 얼굴 솜털관리는 어또케 하시는지요? 잔잔한 솜털땜에 스트레스요 ㅠㅠ,134개
2,호잇윰윰,입술각질보다가 보니....발뒤꿈치 각질 너무 고질적인데...방법 알려주세요,80개
3,Laura,I so needed this video !! My lips are chipped and the lines can be seen when applying lipstick. Gonna prove this method 💓,8개
4,혜윰,설탕끊깈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠ ㅠ 저 엄청 기다리고 있어요!,30개
5,한주현,아토피로 인해 몸이 얼룩덜룩한데 이 색소침착?은 어떻게 되돌릴 수 있을까요..,7개
6,BitterTea,"Thank you so much for putting ENG translation, I will definitely try this",4개
7,샛별,언니 이제 여름 다가오는데 팔꿈치 같은 곳 관리는 따로 하시는 거 있나용??? 반팔 입을 때마다 자꾸 신경쓰여요ㅠㅠㅠㅠ,5개
8,PauleenGraceCaa,it was really helpful. 너무 많이 감사합니다.,6개
9,임사야,개인적으로 되게 쉽고 매일 실천 가능한 립밤 바르고 자기만 하고 있는데 각질 제거도 잘 되고 좋아요. 립밤 듬뿍 바르고 잔 뒤에 아침에 세안 하면서 입술을 마사지하듯 롤링해주세요. 밤 동안 불려있던 각질이 제대로 나옵니다. ㅋㅋ 립밤은 촉촉함이 오래 유지되는 제품을 사용해주시면 됩니다.,27개
10,TaiTai,"Thank youuuu, I’ve been wondering why my lips were so chapped after I tried my best scrubbing my lips with sugar.",0개
11,지니,유나님 혹시 요철 관련 영상은 없을까요 ㅠㅠㅠ 요철때문이 뭘 해도 피부가 너무 안 좋아보여서 미치겠어요 ㅠㅠ,2개
12,Bornthisway2000,와 나오자마자봄 ㄷ ㄷ 로또사야징 유나님 오늘도 넘 아름다우십니다 꿀팁 감사드려요!,3개
13,EunseKim,한국어 자막을 켜면 폰트코드랑 같이뜨는 것같아요 오류인지 확인해주세여,3개
14,함뮈,"입술에 안좋은 습관은 다갖고있어요..입술에 침바르기, 입술 뜯기....🤦‍♀️ 라네즈 제품 갖고있는데 매번 귀찮음이..지금 당장 따라해볼께요~ 좋은 습관으로 변할 수 있길🙏",6개
15,조연주,새치관리법도 알려주세요 제발요ㅠ,2개
16,e차안,드디어💕일주일 못 밨다고 반갑구ㅠㅠ 넘나 좋아요히히히,6개
17,오연재,"안녕하세요 유나님 제가 시스템을 잘 모르지만 한국어 자막보기에 오류가 있는것 같아서요ㅠㅠ 말씀하시는 문장 앞뒤에 컴퓨터언어? 같은게 같이 나오네요! <b><font color=""#ffffff""> 이런거에요! 저만 그런거면 살포시 무시해주세요....ㅎ",3개
18,mhLovely,저도 클라브 립 마스크 오래전부터 항상 바르는데 언니도 바르신다니 너무너무 기분 좋아요~^^ 언니 사랑해용~^^,3개
19,jwS,우와...진짜 이쁘게생기셨어요,1개
20,꼬미,틴트 어떤거 바르신건거요?? 진짜 안지워지네요!!,2개
21,취배남누마Numa,요즘 입술각질때문에 엄청 고민이였는데 감사합니다 :),2개
22,승환,감사합니다ㅠㅠ,0개
23,Elektracity20,I needed this. Thank you Una. Stay safe and healthy.,1개
24,hjX,아놔 방금 립 슬리핑 마스크 샀는데 아 ㅋㅋㅋㅋㅋㅋ,1개
25,윤진,언니는 정말.. 최고예요... ㅅㅏ랑해❤❤❤,0개
26,BBeumASMR쁨,정말 날이 갈수록 점점 피부도 더 좋아지시고 더 예뻐지시는거같아요🤩❤️,1개
27,miline,우왁~!!!!@.@  한국어 자막해주셨네요 ㅠㅡㅠ 놀람....@.@/ 한국어 자막에 글말고 코드?도보여요 ㅋㅋㅋㅋㅋ 그래도 이정도로라도 해줘서   귀가불편해서 자막아니고는 못보는 저한테 큰도움됐어요~  유나님처럼 피부 예뻐지고싶어서  구독 할까말까 고민했는데 ㅠㅡㅠ  언젠가 자막 한국어 자동말고 해주신다면  열심히 보고 따라하고싶다 해서 구독해놨었는데 ㅠㅡㅠ 해주셨네요 고맙습니다^^ 유나언니최고♡ ㅋㅋㅋ,2개
28,업무법규,좋은영상 감사합니다!!,2개
29,ChloesChannel,"정말 조곤조곤 설명이 귀에 쏙쏙 들어오네요!!
오늘 저녁에 바로 해볼게요!!!😊",1개
30,pak햄구이,비립종 안생기게 하는법 없나요 ㅠㅠ,0개
31,천유림,꺄꺄 올라왔당❣️❣️,0개
32,신혜영,"넘넘 이쁘세요~^^
닮고 싶은게 넘 많으신 분이네요💗
자주 올께요~~🥰😍",0개
33,Hanamiya,"Finally a lip care video!!
I always curious of your lip care",0개
34,민지적시점,"역시 UNA 언니 최고 ... 평생 저의 입술이  곰발바닥이었는데 ... 고질병을 해결해주셨네요 ㅠㅠ
역시 언니는 저의 롤모델입니다♡",0개
35,JoyJ,감사합니다^^,0개
36,AnushaSan,My lips are ALWAYS dry and chapped which leads to me constantly peeling them 😭 hopefully trying your tips will help,0개
37,설화,마사지 새로 배워가요 감사합니다♡,1개
38,Genuine,우왕 이거 찐이에요ㅎㅎ 저 어릴때부터 입술각질 떼는게 습관였거든요 ㅜ 요런 꿀팁을 주셔서 감사해요<33 진짜 유나님은 자기관리의 QUEEN! ㅎ 항상 고마웡요!!,1개
39,Dklee,넘나 예쁘심♡♡♡,0개
40,TWINSPLAN,Your tips are always useful. I have learnt a lot from you skincare wise.  Now I have to do lip massage as well. My maintenance routine is becoming more and more complicated and longer. But I believe that it is all worth it as I can see it from you. Thank you for sharing.,1개
41,TaehuiKong,입술 주변 피부 착색은 왜 그런건가요...? 메이크업을 해도 뭐 하나 먹으면 메이크업이 다 지워지고..ㅜㅜ,0개
42,lndaembbcsHnQucdrbunny,저도 비슷하게 바세린 바른후 살살맛사지해주는데 하는거랑 안하는거랑 정말 달라요!!! 입술 얇고 작으신 분들께 추천합니다❤,0개
43,안영,오호...혈액순환이구나 ㅡ.ㅡ 전 혈색은 좋은데 잔주름이랑 껍질발림이 심한편이여서 고민 중이엿는데 영상 잘 보고 갑니다. 서노군이랑 여행 잘 다녀오세요 💕,1개
44,ClaireLawrence,Wonderful. So pleased you made this video thank you 😊,0개
45,스꼬북,실제 따라하신분 계신가요? 손가락좀 눌러봐주세요!,1개
46,글뤼크운좋은언니,참 이쁘게 사신다💕👍🏻,3개
47,정유리,유나님 페이스왁싱이랑 스킨플래닝 어떻게 생각하시는지 궁금해요 ! 얼굴에 잔털이 많아서 너무 고민이에요ㅜㅠㅜㅠㅜ,0개
48,수문장누수전문업체,자기관리 중요성과 열정넘치는 모습 응원합니다!!!,0개
