닉네임,댓글,좋아요수,날짜
한국스나,오늘도 좋은 소식과정보 고맙습니다 역시 우키님 항상 좋은소식 감사합니다 그리고 영상끝까지 보고있어요,3개,2020. 4. 17.
솔직TV,"인트로 대박이었어요. ㅋㅋㅋ
클럽에서 리뷰하는 새로운 시도인줄...
조명이 대박 이네요.
완전 써치라이트같아요. 비싼게 흠이지만ㅜㅜ",3개,2020. 4. 17.
리뷰톡톡inLondon,"두둠칫 두둠 두둠칫~🕺호오!
셔플실력이 보통이 아니신데요. 아.. 제 춤 실력도 보여드렸어야 하는데",3개,2020. 4. 17.
사진찍는택시기사,"와우... 조명이 엄청나네요. 
근데 조명빨은 없네요.",2개,2020. 4. 17.
행성씨,앜ㅋㅋㅋㅋ인트로 👍🏻👍🏻👍🏻저도 사놓고 지금 소프트박스가 들어오길 기다리고 있어요:)!! 지난 라이브때 너무 감사했어요 우키님! 너무 신기한 경험이었습니다! 힘 빼고 롱런하는 유튜버가 되도록 노력하겠습니다🙏🏻☺️,3개,2020. 4. 17.
주워온하루JoansDiary,진짜 끼가 많으신거같아요ㅋㅋㅋ,2개,2020. 4. 17.
릭뷰Rickview,조명 구경가도 됩니까?ㅋㅋㅋㅋ,2개,2020. 4. 17.
데이스토리Ch,"아 이거 안그래도 요즘 쓰던 고독스가 켜두면 틱틱 소리가 나서 스트레스땜에 찾다가 이거 오늘 질렀는데 ㅋㅋㅋ 

자네와 나는 아무래도 선호하는 취향이 비슷한듯허이 ㅋㅋㅋㅋ
진짜 만족스러운 광량이라 아주 만족스럽다능!",2개,2020. 4. 17.
현이그린농장HyounsFarm,익숙한 90년대 갬성에 당황했어요 ㅋㅋㅋ,3개,2020. 4. 17.
로케트펀치RocketPunchtv,와우!!!역대급 인트로ㅋㅋㅋㅋㅋ씐나씐나!!! ㅋㅋㅋ,4개,2020. 4. 17.
펜슬리뷰,서울늬우스...ㅋㅋㅋ,2개,2020. 4. 17.
first길다하트,꼬우~꼬우~~😎😎🤷‍♀️🤷‍♂️🎶🎶,2개,2020. 4. 17.
GoodEnergyCameraboy,"ㅋ 인트로가 완전~ 80년대 전자제품 선전하는듯...골드스타! 금성!! 영상인가요? 아님 롤러장?고고장? 뭐 이런건가요? ㅋㅋ
대박! 대박!",1개,2020. 4. 17.
권감각,ㅋㅋㅋㅋㅋㅋㅋㅋ인트로 지짴ㅋㅋㅋㅋㅋ최고,1개,2020. 4. 17.
최Choi명훈Myeonghoon,진짜 다재다능 우키님 ㅋㅋㅋㅋㅋ 띠띤 띠 예~ 띠딘 딘 예~,1개,2020. 4. 17.
엔제리너스,톡톡 튀는 인트로~^^멋짐요 영상잘보고 갑니다 ㅎ,1개,2020. 4. 17.
빈군이야기,"ㅋㅋㅋㅋ 아 너무 재밋고 유익하고 ㅋㅋㅋ
:) 굿굿",1개,2020. 4. 17.
하비하비,인트로는 신나고~ 눈뽕에 취합니다 ㅋ,2개,2020. 4. 17.
오도남의드로잉,ㅋㅋㅋ 조명리뷰 ㅋㅋㅋ 아 오프닝 진짴ㅋㅋ 너무 좋아요,1개,2020. 4. 17.
만능혁키,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 형님 텐션따라갈자는 없습니다 !!!,1개,2020. 4. 17.
GoodEnergyCameraboy,"여러분! 과도한 우키님 영상 시청은~
호환 마마보다도 더 무섭습니다.. ㅋㅋㅋ",1개,2020. 4. 17.
HAMA,인트로 퀄리티 무엇입니까 ㅋㅋㅋㅋㅋㅋㅋㅋ 너무 좋아요,0개,2020. 4. 17.
염모C,오프닝이 친숙한 갬성이네요ㅋㅋ,1개,2020. 4. 17.
사진은일상이다,와 영상 진짜 크리에이티브하다!,0개,2020. 4. 17.
YTDRONE,WOW 흉내 낼수 없는 인트로 ~~~ 역쉬~~,3개,2020. 4. 17.
JeongHoonShin,재밌게 잘 봤습니다. 영상 조코 깔끔하고 재밌구먼요.,0개,2020. 4. 17.
루피토Luffyto,영상에 흥이 엄청 나네요^^ 신나게 봤어요~~~~~~~대박 나세요~~~,2개,2020. 4. 17.
분단극복,빛에 대한 과학의 시간............................늘 건강하시길......,1개,2020. 4. 17.
유쾌한생각,와우 인트로 너무나 신나 신나~,1개,2020. 4. 17.
조명가게사장,어머 난 클럽인줄~ 우키님 죽돌이?,1개,2020. 4. 17.
MomentHp,인트로너무신나요 우키님ㅋㅋㅋㅋㅋ,0개,2020. 4. 17.
타악치료사PercussionTherapistKIM,안그래도 이거 관심있어서 보고 있었는데 ㅎㅎ 바로 리뷰가 ㅎㅎㅎ 그리고 10:10 에 제 손 나왔습니다. ㅋㅋㅋㅋㅋ,1개,2020. 4. 17.
SHOWMAN,우키님만의 독자적인 스타일의 리뷰 즐겁고 유익하게 봤어요. 감사합니다.,1개,2020. 4. 17.
구스피goosp,"리뷰 영상 퀼리티 미친거 아닙니까,
무엇인가 떡상의 기미가 올거같습니다",1개,2020. 4. 17.
푸우작가PB,캬~ 요거요거 관심가네..!!! 굿굿!!,3개,2020. 4. 17.
DPMovie,낮에도 역광시 얼마나 효과가 있는지 테스트 했으면 ㅠㅠ 밤엔 솔직히 다른 조명도 ...,0개,2020. 4. 17.
일상의모든것이삭TV,"고정 켈빈값은 어떻게 될까요~? 
매우 관심이 가네요 ㅎㅎ",2개,2020. 4. 17.
KyuQ캡틴규큐,신이나 신이나는 인트롯!!,0개,2020. 4. 17.
JunLee,"안녕하세요 전 구설수에 올라서 망한 유튜버 입니다.
우키 님 예전부터 굉장히 팬이였어요. 몇년전에 집에서 라이브하실때 댓글달면 다 친절히 답변해주시고, 제가 궁금했던것들도 되게 잘 알려주셔서 감사했었거든요.
근데 채널성장때문에 힘드다고 하시는 영상을 몇번 봤어요.
우키님 IT 리뷰도 괜찮겠지만 지금 보시는 결과로는 잘 안되고 있잖아요. 전 유튜브 접으시는거보다는.. 제가 뵈기엔 엄청난 끼와 자신감과 말재능을 보유하고 계신데 혹시 토크,인터뷰,실험 등.. 새로 한번 시청자연령대랑 채널컨셉을 다시 잡아보고 새로운 마음으로 임해보는 것은 어떨까요?
우키님 너무 언더레이트셔서 ㅠㅠ 제 마음이 아프네요
전 뭣도 아닌 사람이지만 혹시나 도움이 될까해서 댓글 남겨봐요.",1개,2020. 4. 17.
KyungLee,인트로 신나고,0개,2020. 4. 17.
YOONSTAR사진찍는개그맨윤석주,댄스머신,1개,2020. 4. 17.
뱅뱅,"굉장한 악플이라고 생각하실 수도 있겠지만, 10년 유트브에 구독자 2만명... 굉장한 퀄리티의 영상에 조회수 500.... 제가 이 채널 쭉 지켜보면서 드는 생각은, 본인 스스로 크리에이터의 욕심을 내려놓고, 남을 기획 촬영 편집하는 쪽으로 재능을 써보시면 어떨까요. 본인이 아니라 남을요. 미스테리일 정도로 채널이 크지 않네요. 외모 때문은 아닐꺼에요. 개성이 오히려 장점인 시대니까요. 본인 스스로도 컨텐츠 보다는 ""촬영 그 자체"" ""장비"" 에 더 관심이 있어보이기에 그쪽으로 진로를 바꿔보는 것을 추천드립니다. 주인공은 고정된 위치에 있지 않으니까요. 욕심을 옮겨보시는건 어떨까요. 다른 쪽에도 주인공은 있습니다.",7개,2020. 4. 17.
