닉네임,댓글,좋아요수,날짜
햄지Hamzy,"첫입 2:11, Start eating 2:11 
전복첫입 8:25, Abalones 8:25 
여름 대비해서 몸보신할게요ㅋㅋㅋ
 
※ 압력솥 8인용짜리라 엄청클줄알았는데 생각보다 작아서 오늘까지만 사용하고 업소용 30인짜리로 
다시 구매했어요ㅠㅠ 
그정도는되야 닭이나 오리 2마리는 들어갈거같아요ㅋㅋㅋㅋㅋ
(근데 압력솥이 생각보다 비싸네요.....)
 
※ 요리장면을 편집해서 금방만든것처럼 보이지만 
기다리는시간이 많아서 너무 배가고팠어요~
하루종일 아무것도 안먹고 첫끼 먹었는데 조금 
지저분하게 먹더라도 이해해주세요 😭😭😭
 
※ 전복들어간거 까먹고 한참뒤에 먹었어요 ㅋㅋ
(깨끗이 닦고 전복 이빨도 제거했어요)
 
※ 뻑뻑살 남은건 짜장이 줬어요~!
 
★예상질문★
Q: 레시피 알려주세요~
A: 영상에 나온게 끝이에요 ㅎㅎ  
(닭대신 오리넣고 삼계탕용 약재파는것 넣으면돼요) 
Q: 안질겨요??
A: 가슴살빼고 부드러운데 닭고기처럼 뼈랑 막 분리되고 그렇게하려면 압력솥에 한시간넘게 삶아야
될것같아요~ (저는40분삶았어요)
Q: 김치 산거에요??
A: 김장김치에요~
Q: 남은음식 버려요??
A: 영상 안찍을때 다 먹어요~!
 
★자주하는 질문★
Q: 몇살이에요? 직업이뭐에요? 남자친구있어요? 
결혼했어요? 등등
A: https://www.youtube.com/watch?v=VEKcM1LP7SQ (햄지's Q&A) 
Q: 사용하는 제품 (주방도구,강아지장난감,악세사리 등등) 어떤건가요?
A: 제가 댓글확인을 웬만해서는 하려하는데 못보고 지나가는것도 많이 있어서 대답을 못해드린분들도 많을꺼에요~ 
인스타로 디엠주시면 사진이나 링크 보내드릴게요♥
Q: 앞에 뭐보면서 드시는거에요??
A: TV음소거하고 보면서 촬영하고있어요~ 
(시선처리때문에)
 
오늘도 시청해주셔서 감사합니다❤😍",436개,2020. 5. 4.
annaleongpc,"oops,😮🤔🤤😋👍💯 seem like healthy meal,!",18개,2020. 5. 4.
CynthiaFritze,When she chews that cartilage off the bone 🐯🦁,4개,2020. 5. 4.
AmyCurtis,I love Peking duck! This one seems tough even after a round in the pressure cooker.,4개,2020. 5. 4.
shailastar,Here I'm eating. Instant noodles duck flavor with fried chicken n green chillies,3개,2020. 5. 4.
Mannan212121,"No fancy dress
No extra decoration 
No unnecessary talking
No unwanted expressions 
So naturalistic .....
This is reason...
  I love your video ...
    ""Hamzy""..",575개,2020. 5. 4.
AsidahOmar,I feel like want to buy instant samgyetang 😂 it’s make me craving..😭,3개,2020. 5. 4.
nahidakhatun,Such a foodie like hamzy...i have ever seen in my life...shinca!..😲...bt i enjoyed her mukbang video😇..,3개,2020. 5. 4.
JOY7,"My husband: what are you watching?
Me: a girl eating chicken.
Husband: it’s so noisy. I can hear it from here.  
He is on the first floor and I am in the second floor loft. 😁😝",82개,2020. 5. 4.
Davis,"Me... cook a whole chicken for 5 people
Hamzy.....cooks a whole duck for herself 
😋😋😋😋😋 good work my favourite mukbang lady 💖",3개,2020. 5. 4.
SWARAVINES,whoever reading this will be a Successful one day just keep going,195개,2020. 5. 4.
RachelMarie,I love how clean she is with everything 👌♥️,2개,2020. 5. 4.
WinwinLlenos,"In my country, we have chicken arroz caldo.",2개,2020. 5. 4.
The경계선,난 정말이지 햄지님이랑 룸메하고프다- 어쩜 저렇게 보기만 해도 입안에 군침이 돌게끔 요리를 뚝딱해낼 수 있는걸까... 멋져요 햄지님!,11개,2020. 5. 4.
imnayeonandren,When you are single and you don't need boyfriend to make your life happy,12개,2020. 5. 4.
CozeASMR,"I love how her intro music sounds like breaking news...
""Tonight on Hamzy...Can this duck really handle the pressure? Find out at 6 o-clock""👩",221개,2020. 5. 4.
carolCristina,"Amo seus vídeos, pena que não tem tradutor pois não sei os alimentos diferentes que vc faz😪😪..",1개,2020. 5. 4.
rachellopez,Why are you doing this to me Hamzy?? 🤤🤤,1개,2020. 5. 4.
MollannaT,Omg when she brought out the rice it was like “okay now it’s really time to eat”. 😂😂🧡,5개,2020. 5. 4.
EsomASMR이솜,소금 젓가락으로 먹는거 진짜 내모습이다ㅋㅋ,8개,2020. 5. 4.
LanejaOneal,It look tasty but I'm scared too eat anything cause of the virus,1개,2020. 5. 4.
CjneelaI,Do you guys ever imagine how it would be like to sit there and eat with Hamzy??? I'll probably just stop and watch her like I do all her videos lol and pet the puppy,23개,2020. 5. 4.
zenoben,Sounds delicious but without enough seasoning I just can't eat meat.....,42개,2020. 5. 4.
HimanshuArya,"The best part for me in her video is everything cooking; eating & she is so real .She cook her food like mom's cooked in their kitchen & enjoyed her meal like a queen. 
Thank You 
HAMZY",20개,2020. 5. 4.
AnnaSavkina,"Всегда интересно смешение вкусов, утка и морепродукты. Спасибо за новое видео)",4개,2020. 5. 4.
,アワビ鶏肉美味しそう😭最後のもち米？も美味しそうです🤤,1개,2020. 5. 4.
,"Обалдеть, такая хрупкая маленькая, а целую курицу слопала, казан супа, рис, и еще что то,",3개,2020. 5. 4.
YustiaDramestalia,"Bissmillah.. 
Mana nih yang lagi puasa? :D 
Sehat teruss kak hamzy. Emot love",2개,2020. 5. 4.
Wooang우앙,야무져야무져..💗,9개,2020. 5. 4.
PocholoCubil,"She is so good at eating brooo, im jealous.",4개,2020. 5. 4.
ArmyAhgase,"Others during quarantine : bore bore and bore..
But
Hamzy during quarantine : Eat Eat and Eat..",39개,2020. 5. 4.
TabbiNieves,I wonder why she didn't just season it while in the cooker. Instead of dipping in salt n pepper while eating.,3개,2020. 5. 4.
MickeybelievemeNeverMind,Yeahhhh and I spend most the time on YouTube make me sick.,1개,2020. 5. 4.
TANYAH369,I hope to cook everything like you  ♥ all menu is look good and delicious.,1개,2020. 5. 4.
MsHoneylith,The best part is that she knows how to cook too..👏👏🤤,128개,2020. 5. 4.
,青唐辛子は毎回見てますけど辛くはないのかな？私も食べてみようかしら⁉️辛かったらどうしましょう❗️笑笑🍅🍅🍅🐕🐕🐕,1개,2020. 5. 4.
NandhiniAmmu,How she eating seasoning or any masala without add anything she is eating meat omg i cant literally i need too spicy,16개,2020. 5. 4.
BearASMR,Looks delicious. Would love to eat this!,1개,2020. 5. 4.
