,youtube_id,comment,like_num
0,gs,이거 5w이상으로 연결하면 안된대요 그래서 스마트폰 충전기에 연결하는 건 좀 위험할 수 도 있을 것 같아요,718개
1,AWM,"“WOW MISSION SUCSESS”
00:06",87개
2,문렐루,"잇섭 영상 : 인강 듣는데 수학 공식이 안보이네?
(구입 후) 톡톡

현실 : 엄마 수학 공식이 안보이는ㄷ...
엄마 : 화려한 조명은 장식이니?",250개
3,니라자고가내,"""???: 화려한 조명이 나를~~~""",65개
4,정종민,???: 화려한 조명이 나를 감싸네 ~~,117개
5,박문수,인트로 촬영 끝나고 수학공식 지우는 잇섭이 상상된다 ㅋㅋ,192개
6,Pjy,3:05     ???: 화려한 조명이 나를 감싸네,43개
7,최민국,0:03 한양대 졸업생의 엄카쓰는 방법,12개
8,더블오00,4:04 전자기기 짬에서 나오는 부드러운 조종,9개
9,고윤후,"1:16 ""He is strong""",17개
10,ImNotRank,0:07 뭔가 이거 하실 때 발음 때문에 몇 번 다시 찍으셨을 거 같은 느낌이..ㅋㅋㅋ,6개
11,서울KingGod,0:21 잇섭형이 쫀(?) 이유 : 깨지면 갬성이 날아가서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,39개
12,의사양반,1:16 서울에서 다져진 그의 엄청난 악력,118개
13,양승빈,"8:16  톡! 하면 화려한 조명이 나





비보벳따우",4개
14,구독자,좋은제품 정말 감사합니다! 저는 조명에 민감한 편이라 전등은 싫고 어두운 건 싫어서 ^^:: 잇섭채널 200만 기원 합니다,6개
15,gramerPro,"잇섭이 영상 구상하는 시간
90% 인트로 뭐할까
9% 인트로 편집 어케할까
0.9% 영상 중간에 드립 뭐 넣을까
0.1% 어떤 주제 영상 찍을까",40개
16,아니시에이팅,가격 싸게 올려서 두근두근 거리면서 들어갔는데 가격 올라가거나 배송비 몇만원씩 붙으면 화가남,6개
17,밀감,8:19 오늘은 이걸로..,4개
18,김태희,갑자기 아수스 870그람 이라는 썸네일가진 영상이 사라졌다,6개
19,MinkyunKim,오만상사 내가 제일 좋아하는 컨텐츠!!! 오늘도 영상 고마워요!,6개
20,곤게,0:07 석쎢스!,25개
21,JunyeopLim,주의 : 어두운환경에서 밝은 화면이나 빛을보면 눈이 피로해지거나 나빠질수있습니다❕,63개
22,김범준,0:07 미션 석셱스,4개
23,슈슈공장,와 진짜 조명 죽인다 .... 가성비 갑이긴 하네여 ㄷㄷ,3개
24,FPS채널BGG,0:07 미션! 서섹ㅅ... 아니 석세스!,24개
25,김수연,0:35 상품이싸면 킹리적갓심으로 봐야됨 ㄹㅇ,31개
26,서진자까,허ㅓ!! 아수스 노트북 영상 어디있어? 아직 나 들봤단 말이야,3개
27,EhrE,형 저렇게 박스나 플라스틱 쿨하게 던져버린거 나중에 다시 구차하게 줍는거 보고 싶어,4개
28,떵김,0:08 He is se...xking,1개
29,파인애플피자,0:37 형같은 블랙말랑카우라면 질러야징ㅎ,13개
30,서울KingGod,2:07 형 중국어를 몰라서 설명서 던진게 아니라 원래 쌍남자라 그냥 던진거지????,47개
31,류규호,"1:16 손 움직이는거 매력포인트ㅋㅋㄱㅋㄱㅅㅋㅋㄱ
+9:42 형 형도 이제 월클이야👍",1개
32,YT제럽SPACE,"""He is a 50000 mallang black cow""",0개
33,정이준,"1:43 
흔들리는 꽃잎이 아닌 흔들리는 칼이 게속 눈에 띄데ㅋㅋ",1개
