,youtube_id,comment,like_num
0,YogaSongHayeon,"강도있는 운동 전후에 늘 짧게라도 꼭 필요한 웜업과 쿨다운을 챙겨주시는 친절한 민수님! 
바쁘단 핑계로 요가수련 외에 개인운동을 거를 때도 종종 있는데요, 그때마다 민수님의 늘 화이팅 넘치는 에너지가 건강한 자극과 motivation이 되고 있어요. 오늘 영상은 하루만 꾹 참았다 내일 해볼게요. 여긴 한밤중이라^^
앞으로도 특유의 긍정에너지 마구마구 나눠주세요.  빠이~~",2개
1,Essoyoni,4:48 운동시작,0개
2,ESTHERshomeKim,"죽었다가 다시 살아나서 댓글 달아요!! ㅋㅋ
와우~~ 버피 30개는 제 생에 없었습니다!! ㅎㅎㅎㅎ 
감사합니다!
활기 찬 하루 시작!!",0개
3,최예주,쌤 후 너무힘들어서 계속 영상멈추고 쉬면서 했더니 한시간반동안 나눠했네요..ㅎㅎ 넘많이 쉬었어요 ㅠㅠ 담엔 안쉬고 해볼게요 ㅠㅠ감사합니다,0개
4,박미옥,민수샘 늘 영상보며 감사합니다...,0개
5,이미례,"늦은시간 운동하고 갑니다
버피 30개 넘 힘들어요~~~♡",0개
6,박미옥,"민수샘 ^^ 저는 언제나 허벅지가 날씬한 분들이부러웠는데 집에서 샘 하는 운동 보고 스쿼트는 따라 하고 있어요...근데 허벅지 군살은 안빠지고 근육만 생기는 거 같아요 ㅠㅠ
스피닝도 하고 요가도 하고 있는데 요즘은 못갔어요",0개
7,,오늘도  민수쌤만 믿고 따라갑니다,0개
8,요정규리짱,저도 버피요 헉헉 늦게 봤지만 잘따라가고 있습니당,0개
9,박진수,멋져요  민수쌤,0개
10,JieunChoi,"딴건 할만했는데 버피 30개는 엄청 힘드네요 ;; 그래도 어찌저찌 완료! 민수님과 함께 하는 운동, 할 땐 힘들지만 하고나면 언제나 기분좋고 뿌듯해요. 빡세게 운동할 땐 잡생각이 사라져서 마치 명상하는 것 같은 효과가 있는 것도 좋구요. 늘 감사합니다 민수님 <3",0개
11,박미옥,허벅지 날씬하게 하는 방법이 있을까요? 스쿼트 하면 허벅지 굵어지는거 아니에요?,0개
12,DaeyongKim,열심히 운동하는 분들은 늘 존경합니다. 저도 늘 집에서 운동하지만 주변분들 몸은 어떻게 유지하냐고 물어서 집에서 운동한다면 믿는사람들이 없어요 열이면 9명 10은 집에서 운동이 되겠어요? 그래요 꾸준히 조금씩 집에서 운동하시면 정말 건강한 몸을 유지할 수 있으니 구독자분들 힘내서 열심히 운동합시당!,0개
13,이숙희,"안녕 하세요?  지난주 그 지난주는 운동 나가서 참석 못했어요. 미안해요. 늘 고쎔의 홈트 열혈 펜 이랍니다~~💕💕
오늘은 일찍 참석해서 하다가 외부운동 나갑니다. 운동하고 밥맛 좋아져서 2 킬로 늘었어요~  살을빼는게 목적이 아니고 근력을키워 기초체력을 높이는게 저의 목적입니다.  고쎔의 일단 21 일만 운동해 보기로 했습니다. 를 읽고 운동의 동기부여와 습관을 만들고 운동의 기쁨과 즐거움 생활의 활력과 내 생의 질이 조금씩 조금씩 나아지고 높아진다는걸 느끼고. 예전의 나에 모습 찾기에 도전 하고 있습니다. 언젠가 공원에 산책 나갔다 쓰러진게 생각 나는군요... 작년 여름에... 이제는 남편보다 더 빨리 지치지 않고 걸을수 있게 되었어요. 또한 고쎔의 홈트도 자주 보고 따라하고 있답니다. 가끔 남편이 저 운동하는 모습 보면서 “ 당신 몸이 많이 좋아보여”  할때 너무 기분 좋습니다. 제가 자리에 누어만 있지안게 되었다는걸 친구들에게 자랑하고 쎔의 운동을 소개 하기도 한답니다. 앞으로도 계속 열혈 홈트 펜 할께요~~^^*. 고쎔은 제 인생에 보석 이고 제 운동인생에 지도자 입니다. 감사합니다~존경합니다💕💕💕👍👍👍💕💕💕💕💕💕💕💕💕💕💕",0개
