닉네임,댓글,좋아요수,날짜
떵개떵,"불닭까르보나라치킨 딱 적당하게 맵고 까르보나라 맛 나면서 괜찮더라구요 전 맛있게먹었습니다 
먹는시간이길어서 후반에 핫도그랑 통 편집이 되버려서 다시 잘 편집 해보도록 하겠습니다!",259개,2020. 5. 30.
KhanhL,Crunchy food is always delicious and perfect 💋,23개,2020. 5. 30.
구독하면인생성공함,이런거 보면 항상 새로운거 먹어보고 싶지만 먹어야지..이러고 딱 시킬라하면 평소에 즐겨먹던거 시켜먹게되더라...,262개,2020. 5. 30.
구독하면소원이뤄짐,돈만 많으면 새로 나온 치킨 다 먹어보고싶지만 용돈이 떨어져서 못먹는데 대리만족 하겠습니다 떵개님 쫭,253개,2020. 5. 30.
JaneUyesato,I love how he eats and the sounds he makes when eating those Chickens that it just makes me want to join in. Help him finish his food.,2개,2020. 5. 30.
omarbdarne,اذا انتي تشوف تعليقي عربي روح اعمل فولو لتيكتوك bd750x انصحك❤❤بس يوصل عدد كبير راح يبدا بتنزيل مقاطع له رهيبه وجامده,7개,2020. 5. 30.
WokRop,매운거 원래 잘먹는데 불닭치킨은 먹으면 진짜 죽을뻔했는대 형이랑 먹었다가 다음날 지옥이 시작되었었는데 ㅋㅋ,4개,2020. 5. 30.
바쿠,미춰버리겠다 진짜 ㅋㅋㅋㅋㅋ 너무 맛있어보인다,59개,2020. 5. 30.
,にこにこ美味しそうに食べてるトンゲさんがいなくなってしまったような気がする…気のせいか,20개,2020. 5. 30.
펀퍼니,오늘 치킨 먹었는데 혼자 한마리도 다 못먹고 배불러 죽을뻔 했는데 먹으면서 유투버들은 정말 대단하다는 생각들음..,40개,2020. 5. 30.
SilverreploidCLE,"좋아요!
THIS is a must try! :D
Masigge meokkesseumnida!",3개,2020. 5. 30.
루키,우리나라처럼 치킨이 다양한 나라가 있을까,25개,2020. 5. 30.
AnaMara,Cheese balls are my second favorite kind of balls...,1개,2020. 5. 30.
승기,웬만해선 댓글 안다는데 ㄹㅇ 구독취소 해야되나 대회 준비중인데  알람 뜨면 안볼수도 없고 ..소리도 좋고 ..마싯게 드시고 ..그냥 이렇게만 만족해야되나 ..,6개,2020. 5. 30.
nakagawakurumi,"👄👅♪♬いつも美味しそうな食動画ありがとう😊💞❤️
今日食べた物と数
ブルダックカルボチキン🍗　　　　　　→13本
チーズボール🧀🟡　　　　　　　→10個
チーズ🧀コロッケ？🟨　　　　　→7個
チーズ🧀スティック　　　　　　→4個",19개,2020. 5. 30.
PAULKOH,8:48??? 먹으면서 꾸르륵?? ㅋㅋㅋㅋㅋ 떵개 개웃곀ㅋㅋㅋㅋㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋ천상 먹방 크리에이텈ㅋㅋㅋㅋㅋㅋㅋㅋ,29개,2020. 5. 30.
어쩔,나도 메인 메뉴 말구 사이드 메뉴 많이 ㄹㅇ 배터지게 쌓아 먹구싶다...부럽다 용돈도 없는데..,20개,2020. 5. 30.
StockholumCentralStaytionNoruway,He's the best mukabanger I wander around other channels and come back here ♥️😭🤤,9개,2020. 5. 30.
MaryAnnMorales,best mukbanger  he finish all of his food nothing left,1개,2020. 5. 30.
FFFBleus,Omg this looks so good !,1개,2020. 5. 30.
WWEFigureCollecter10,"TBH, this is my favorite channel yet! He takes big bites and gets the sounds on point! I love how some of them are boneless and he chews with his mouth open and that sounds hella weird but that's what makes the sounds better",23개,2020. 5. 30.
혜야,4:35 떵개님 맘처럼 안된... ㅋㅋㅋㅋ,14개,2020. 5. 30.
ASMRcravings,"Would love to eat with you one day lol, you can eat! Always eating good food. The chicken looks amazing as always",1개,2020. 5. 30.
읭읭이,맛평가가 필요합니다!!!떵개님!!!,28개,2020. 5. 30.
Eek,今日チキン出前して食べたけど、この量食べられるのは本当にすごいです、、,12개,2020. 5. 30.
Cherry,あれ？最近日本人コメ少ない？😢,7개,2020. 5. 30.
유민아minah,이시간에 치킨이라니요ㅜ,19개,2020. 5. 30.
이아영,나도 치즈볼 저렇게 많이 먹어보고 싶다 ㅜㅜㅜㅜ,13개,2020. 5. 30.
shiba,最近少し食べ方が荒れてる（？）ような気がします、、昔のトンケさんに戻って欲しい、、、🥺,3개,2020. 5. 30.
lolo로로,떵개님은 언제봐도 좋아염...♥,27개,2020. 5. 30.
베레베레,치킨은 떵개님!,2개,2020. 5. 30.
암살교실,이제 곧 짜장불닭맛 치킨 나올듯,28개,2020. 5. 30.
VannieEats,The chicken and the cheese balls look sooo good! My mouth is watering 😍,16개,2020. 5. 30.
노은찬,12:23 와 너무좋다,2개,2020. 5. 30.
수박씨MrWatermelon,"너무 맛있겠다..흐얽 드시는게 장난 없으시네 ㅠㅠㅠ
특히 1:13 닭다리 흡입.🤤🍗🍗",13개,2020. 5. 30.
녹색제비,"까르보나라 불닭 치킨이라니..ㄷㄷ
나중에는 핵불닭 치킨 나오면 찍어주실거죠? ㅋㅋ",44개,2020. 5. 30.
완소라니,"꺄아~ 오늘도 제가 좋아하는 치키니^^
역시 떵개님이 먹으면 대리만족 good!
잘보고 가요♡",1개,2020. 5. 30.
0교시자취영역,오늘도 어김없이 귀에 때려박으신다능 ㅋㅋㅋ,10개,2020. 5. 30.
최숙례,캐나다에는이런게없어요ㅠㅠㅠㅠㅠㅠㅠㅠ,1개,2020. 5. 30.
김소방,11:05 닭다리먹는거 기다리고 있었는데 갑자기 닭다리실종.. ㅠ,5개,2020. 5. 30.
후위짱,"6:54 
우리들의 생각 이만큼 먹으니 좀 배부르네
떵개님의 생각 이거 빨리 먹고 후식으로 얼큰한 라면 먹어야지",4개,2020. 5. 30.
아포방포,소리 완젼 좋아여!!,1개,2020. 5. 30.
삥뽕삥뽕,너무 맛있겠다.. 이 시간에 올리는건 반칙이예요ㅜㅜㅜ,10개,2020. 5. 30.
효진먹방hyojinASMR,어 매워 ㅠㅠㅠㅠㅠ 형님 속챙겨야해용 ㅠ 힝 ㅠㅠㅠ,1개,2020. 5. 30.
조용한,미친 치즈가 몇개여ㅋㅋ,1개,2020. 5. 30.
먹쟁이Eater,우와~~~ 엄청나신~~,1개,2020. 5. 30.
unfu,예전엔 맛 설명도 해주시더니..ㅠㅠㅠㅠㅠㅠ,1개,2020. 5. 30.
쥐람다,와우 진짜 맜있게 먹는당ㅋㅋㅋㅋㅋㅋ,6개,2020. 5. 30.
DAgust,떵개님! 운동도 열심히 하시나봐요ㅎㅎ 살이 안찌시네요ㅎ,1개,2020. 5. 30.
