,youtube_id,comment,like_num
0,로즈하ROSEHA,"안녕하세요! 여러분 :)
3달 전에 출장으로 갔던 엘에이에서 찔끔찔끔(?) 영상을 찍었었는데요,, 재미없어서 안올릴까 하다가ㅠㅠㅋ 우리 로즈말이들의 요청이 많아서 요번에 편집해서 가져왔어요,,🖤
부디 재밌게 봐주시길 바라용🌹〰️🌹 히히 그럼 모두 굿밤!!🌙✨",12개
1,헤이즐Heizle,ㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋ너무너무 아쉬운 여행이였다ㅠㅠㅠㅠㅠ 그립네...ㅠㅠ😭😭😭,765개
2,Yejin,이제 헤로,55개
3,Forever,🌸믿고보는 갓즈하 브이로그 🌸 그 전에 브이로그들을 몇탕을 봤는지ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ💖💖💖💖,384개
4,후추,진심 헤이즐님하고 로즈하님은 천생연분인가봐여... 맨날 의도치않은 트윈옷 차림 이여서 저도 여행갈때 두분 처럼 사이가 좋고 또 친구랑 저렇게 간즤나고💖 이쁘고💖 화려하게 입고싶넹요ㅠㅜㅠㅠ  오늘도 영상 잘 볼게요🔥,286개
5,이윤아,"쌩뚱맞지만 .. “엄마에게 메이크업받기” , “엄마에게 로즈하메이크업해주기”  이런 영상 재미있을것같아요 ..ㅎㅎ ❤️❤️",403개
6,이희수,"로즈하님 해외 브이로그는 볼때마다 꿈을 꾸는 느낌으로 푹 빠져서 보는 것 같아요! 그 전 브이로그들도 얼마나 돌려 봤는지 몰라요:) 이번 영상은 해질녘 야자수 거리, 디즈니랜드가 정말 대박이었어요!!  오늘은 볼때 얼마나 남았는지 계속 확인할 정도로 아껴서 봤네욥! 항상 좋은 영상들 올려주셔서 감사해요💖💖💖",239개
7,JJ,로즈하님 여행브이로그가 짱... 막 다채롭고 몽골한 느낌 개죠아 로즈하님 여행브이로그 몇번씩 돌려보는지 모르겠어ㅜ,286개
8,sophiXD,나만 로즈하님 브이로그가 제일 재밌는 건가...❤️,431개
9,박반솔,"즈하언니 착한줄 알았는데 안착하네요
 
 
 
 
 
 
 
내 마음에 안착",86개
10,보송,제가 왠만하면 댓글을 달지 않는데 제가 너무너무 좋아하는분이라 안 달 수가 없네요. 진짜 너무 예쁘시고 귀여우시고 존잼이예여 진짜 너무 사랑합니다(⊼⌔⊼ ),161개
11,Yebbuni1,언니 브이로그가 최고인듯 진짜 ...❤️❤️ 편집을 이렇게 이쁘게 신경쓰는 언니는 정말.... 보는 로즈마리들 기분이 너무 좋다 ❤️❤️ 코로나 조심하세요 언니 ㅠㅠ,126개
12,퍼플아미,"🌈저만 그런가 9시 10분까지 있다가 오늘 안올라올 줄 알았는데 영상 올려주셔서 감사해요!! 오늘 영상도 꿀잼🍯
언니 요즘 열일 하는것 같아요.고맙구 사랑해여🥰❤️💕",14개
13,슬기로운서연생활,"장미 언니의 LA브이로그!!!!!짱 좋아유!!
진짜 디즈니 랜드 가는거 버킷리스트인데
한번도 못갔어요;;😳대리만족❤
스티치모자 짱 잘어울려요!!💓
귀염귀염😆",8개
14,말하는껌,"즈하언니 브이로그는 한번 터치하면 항상
모든브이로그를 정주행하게 되요.......🤭😚
봤던거 보고 또보고 한두시간 뚝딱 사라져 증말!
나라에서 허락한 유일한 마약=즈하언니브이로그
랍유해요😘",23개
15,yoesmik,언니ㅠㅠㅠ제가 진짜 언니한테 말해주고 싶은 문장? 이있었는데 제 기억에서 사라져버렸네요😂😅 다음에 생각나면 꼭 댓글로 달겠슙니당...(어쨌든 즈하언니는 세달 전에도 이뻤네요..😉🥰),9개
16,bemyJ,즈하님ㅠㅠ 앞으로 LA 자주 가주세욤... LA편들이 너무 재밌어용 😘,9개
17,수샒,헤로 조합은 진짜 사랑입니다 ❤️,4개
18,은상이,15:36 하늘 뷔스티에랑 그 옆에 옷들 너무 이쁘지않나요ㅜㅜ보였으면 바로 샀을텐데 엘레이..^^,3개
19,512진아인,로즈하&헤이즐 언니의 미모는 오늘도 열일중! 둘다 생얼도 너무 예쁘자나요❤❤,30개
20,쥬쥬,3:28 뭔가 nurture your dreams일 것 같아요!! 꿈을 키워라!!,50개
21,김수진,헐헐 언니! 아디다스에서 이쁘다고 고르신 그 운동화!!! 저도 너무 예뻐서 사려고 돈 모으는 중인 운동화에요❤️❤️❤️ 우연히 언니랑 같은거 골랐다는게 갑자기 행복해지네요ㅎㅎㅎㅎ 매번 언니 영상 보면 그 나라나 지역 꼭 가고싶어지고 추천템들도 막 사고ㅠㅠ 역시 믿고보는 즈하언니😍,9개
22,나기소,"하 역시 로즈하X헤이즐 브이로그가 제일 재밌어 ㅠㅠㅠ 
오늘도 그녀는 존예롭다",51개
23,혜쁘미,아징짜 한부분도 놓치지않을라고.... 눈 완전 크게떴다고 나...... 즈하 짱....사랑해 내 즈하 언니 .....💗💗💗💗,59개
24,예영,언니 여행브이로그는 뭔가 알록달록...❤️💜💙 그래서 기분 좋달까... 옷이 알록달록해서 그런걸까요? 아니면 언니가 넘 알록달록 아름다워서..?,7개
25,정다히,우와 잠시만 이따 더 자세히 봐야겠어 일단 keep 언니 오늘두 너어어무 예뻐요ㅠㅠ 🥰🥰🥰 요런 브이로그 영상은 아껴봐야 돼.... 하 너무 좋다,5개
26,휘자TV,이번 브이로그는 눈이 되게 즐겁네염 영상살려주셔서 제가 다 감사합니다🙈😊집밖에 못나가는 이시점에 대리만족으로 정말 즐겁게봤어요ㅠㅠ❤️얼마전에 언니 경주브이로그 한번 더보면서 아..여행브이로그 새로 업뎃되길기다렸는데👍💋,7개
27,예은,"6:22 편하게 입고 가는거 치곤 너무 명품이고 이쁜데여..♡
울 언니들이 입으면 뭐 다 이뿌징❤❤❤",21개
28,라은,"조회수많이많이올라서울언니여행다니면서힐링하게해주세여장미언니웃을수있게해주세여우런니오늘도짱짱예쁘고귀엽다큐티뽀짝프리티당신이렇게브이로그를올려주니내가기분이너뮤좋은걸,,,❤❤❤",36개
29,죽방멸치사랑해,뭐 한게 없다니...언니 미모가 다했어...,9개
30,지원,이번영상 절대 노잼 아니였어요 ㅠㅠ  이번에도 힐링 제대로하구가네요 헤헤 역시 편집이 핑크핑크 하구 너무 이뻐요 ㅠㅠㅠ 글구 자막에 언니 손글씨 들어갈때 너무너무 좋아요 ㅠㅠ 이뻐요너무 😍😍😍 근데 언니는 모자 안쓴게 훨씬 이쁜데 이쁜얼굴 가리지말구 좀보여주세요 ㅠㅠ 흑흑 ㅠㅠ 그리구 언니 저번영상에 가발 너무 잘어울려서 깜짝놀랬어요 썸네일 너무 이뻐서 ㅠㅠㅠ😭😭😭🥰🥰🥰🥰 그 색으로 염색 하셔도 잘어울릴거 같아용😍😍😍 언니 항상 화이팅이에용😍😍😍😍,12개
31,김가현,"즈하님 영상은 씻고 자기 전에 누워서 보면 
정말 몽글몽글 하니까 이따 자기 전에 볼게요 ╭( ･ㅂ･)و ̑̑",44개
32,san,하 너무조아 진짜 일주일에 2개라니’ㅜ💓,5개
33,김혜진,브이로그가 엄청  포근한 느낌이에요💖 자기전에 이 영상보고 힐링해요🥰,10개
34,WitchLeopard,컨버스 완전 제스타일인데ㅜ한국에 없는것만 사오셔서 앓고 있어요.....😱🐆😱,36개
35,socha소차,"헤로야ㅜㅜㅜㅜㅜ
이조합을 기다리고기다리고기다리고ㅜㅜㅜㅜ
너무 좋아아ㅏ앙ㅇ💙💙💙",6개
36,jess,14:15 여기 노래 뭔가요,16개
37,승은승은seungeun,로즈하님 브이로그는 너무 아기자기하고 영상미가 너무 예뻐요ㅠㅠ,3개
38,이하영,여행 못 가고있는 나에겐 선물같은 영상♡,2개
39,AngKyo앵교,"이렇게 연달아서 올려주시면,,, 감사합니다😍♥️",11개
40,김주하,"언니 넘 잼써요!!!
즈하언니가 헤이즐언니랑 함께있는
브이로그 넘 좋아하고 그랬는디
이렇게 또 ❤️❤️
난 언니가 넘 좋아❤️❤️",6개
41,겅겅겅,로즈하님 덕분에 힘들고 고단했던 하루를 몽글몽글한 기분으로 기분좋게 잠들 수 있을 것 같아요😊❤️ 오늘 꿈은 로즈하님 영상처럼 분홍 분홍한 예쁜 꿈을 꿀 수 있을 것 같네요❤️ 로즈하님도 좋은꿈 꾸시고 많이 사랑합네다..😍,35개
42,비용이,유일하게 절대 건너뛰기 안하고 배속 안하고 처음부터 끝까지 행복하게 보는 로즈하님 영상:) 오늘도 좋은 영상 잘봤어요 언니ㅜㅠ,10개
43,1학년7반13번유수아,마침 이젠 추억속..☆ 의 그 많은 브이로그들 보면서 그리워하고 있었어유... 이번 엘에이 브이록도 재밌었어욥!! 저이제 댓글 마니다려구유☆☆ 이렇게 해외 브이록 보면 항상 너무 대리힐링이랄까 그런게되는거같아용 너무조앙♡♡♡,54개
44,ABCABC,와 .... 진쨔 개잘어울려요 모자까지 ... 완전 울언니꺼 😘😘,4개
45,찰리,하.. 언니 저는 원래 여행 자주 안 가서 두분이나 헤로하 여행 브이로그가 제일 좋은데 진짜ㅠㅠ 여행 브이로그가 나오다니 너무 기뻐욤 체고입니당.. 여행영상 마ㅏ마마ㅏㅏ많이 찍어주세요ㅠㅠ❤️❤️🌹🌹,2개
46,Jennytime,핑크색 나이키 점퍼 정보 좀 알고 시퍼요ㅜㅜㅜ ㅜ흑흑 ㅜㅜㅜ,5개
47,이유라,언니 진짜 어제드 영상 올리구 오늘도 올려주시면 너무 고맙자나요오...😭 정말루 빨리 올려구 노력했는데 늦어버렸네용...💧 메이크업영상두 브이로그 영상두 편집이 너무 이쁘구 언닐 가장 좋아해서 그런지 언니 영상은 항상 기다리게 되고 댓글도 꾸준히 다는것 가타영😊 영상볼때마다 힐링되고 편안해서 자주자주 돌려보네요😍 언니한테 고마운점이 정말 많아요ㅎ 사랑해요오❤❤❤❤❤❤,3개
48,고구마,진짜 왜케 이쁜 것일까🥰,2개
49,위즈원DANITY,17:51 에 저기 가게 어디이신지 아시는 분 알려주세요🙈 저 원피스 취향저격인데 ㅠ,5개
50,sudal,헐... 장미언니 진짜 너무너무너무너무 사랑해요!! 제가 젤로 좋아하는 브이로그네요!!!,6개
51,이경희,헐 대존예!!! 항상 로즈마리를 위해 노력해주시고 이렇게 편집해서 올려주셔서 감사합니당💓🌹💖,49개
52,진짜잘생김아니근데세븐틴,"세상에ㅠㅠㅠㅠ 전 언니 브이로그가 제일 좋아요ㅠㅠㅠ 언니는 진짜 매일 예쁘셔,, 사랑해요 언니ㅠㅠㅠ❤❤",5개
53,영은,원래 언니 영상 자기전에 보고 편하게 자는데 언니 인스타 스토리보고 화나서 당장 달려왔어.. 말도 안되는 소리 하는사람들 끈질기게 많아도 그냥 그러려니..넘겨요ㅠㅠ🤯😭언니 상처받고 슬퍼하는것 같으면 약간 같이 다운되는..아! 그이구 우리가 좀 부족하게 볼테니까 수익 포기하zl마..😫 난 언니가 적게 일하고 돈 많이 벌었으면 좋겠어❤️❤️❤️,9개
54,디어방탄,둘이 넘 잘 통해요ㅠㅠㅠㅠ 행복해보여서 제가 다 기분이 좋네요... 여행가고싶다 ㅠㅠㅠㅠㅠㅠㅠ😭😭,1개
55,HSS,19:36 헤이즐님의 최애 구찌가방ㅋㅋ,9개
56,심서영,"역시 언니 브이로그가 재일 짱이라구요💖
즈하언니 최고야💖",4개
57,와랄랄라,강제 집콕 중 랜선 여행 같은 느낌ㅠㅠㅠ 게다가 러블리한 로즈하 언니!!!!! 선댓후감상이지만 벌써 기분이 좋습니당💕,2개
58,정한나,아껴뒀다가 드디어 보는ㅠㅠㅠㅠㅠ로즈하님 브이로그 특히 여행(외국) 브이로그는 최고예요.. 울언니 행복만해ㅠㅠㅠㅠ항상 응원해요 건강도 항상 조심하구 완전 사랑해요ㅠㅠㅠㅠ❤️,3개
59,서연마리,알람이 왜 안뜬거죠... 진짜 장미언니 사랑해요 어엉어어엄청 기다렸어요 브이로그...🌷❤️,14개
60,애옹이,헤로갑시다 헤로~!,3개
