닉네임,댓글,좋아요수,날짜
노란딱지,형 저번 주차장 컨셉처럼 한국에서 보기 힘든 빈티지컨셉 운동 한 번 더 보여주라. 주차장 약빨다함,419개,2020. 6. 2.
정지환,2:31 ㄷㄷ 개존잘,44개,2020. 6. 2.
궁두한,"급하신 분들을 위한 요약
0:04
1:23
 2:31",163개,2020. 6. 2.
이주언,2:31 zonzal,78개,2020. 6. 2.
MSK,0:58 I feel 자지?????!!? ㅗㅜㅑ,53개,2020. 6. 2.
이은태,1:23테크닉ㅗㅜㅑ,32개,2020. 6. 2.
김태웅,1:23 영상 하이라이트,32개,2020. 6. 2.
임주현,"동기부여 받고 갑니다!  








물론 1:23에서..",51개,2020. 6. 2.
사이결튜브SIGYOLTUBE,01:23,244개,2020. 6. 2.
이번생TV,지금처럼 꾸준히 운동하는 모습 보여주셔서 너무 감사합니다. 매일 운동전에 아메리카노 마시면서 영상보고 자극받고 감탄하며 헬스장갑니다.,36개,2020. 6. 2.
MSK,0:20 푸짐하다,23개,2020. 6. 2.
김민기,01:23 해명하자,63개,2020. 6. 2.
먹골,말왕님 사이즈가 좀 커지신건가??,4개,2020. 6. 2.
킹동혁,2:22 말이 묘기도 부리네🐎,84개,2020. 6. 2.
99,1:23 말깡말깡,28개,2020. 6. 2.
손민국,1:24 수행능력,42개,2020. 6. 2.
신상현,1:23 제일 중요한 운동 !,47개,2020. 6. 2.
뿌노스,1:23 안에서 뭔가 가 춤추는데??,24개,2020. 6. 2.
starbucks,음악 존나 웃기네ㅋㅋㅋ,20개,2020. 6. 2.
부상조심,"말왕 형 드디어 돌아왔구나~~~~~~~ 
진지하게 운동하는 모습이 너무나도 그리웠다 ㅠㅠ.....",46개,2020. 6. 2.
전지훈,1:54 음악소리에 맞춰서 발 움직이는거 귀엽다,15개,2020. 6. 2.
성우,00:58 쟈지 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ,22개,2020. 6. 2.
하이,"0:46 
I'm so 자지",53개,2020. 6. 2.
쿠마몬,요약: 운동효율 200% 늘리기=마스크 쓰고 해라,28개,2020. 6. 2.
김동현,2:23 솔직히 몇번 실패했다,51개,2020. 6. 2.
아자아자,잘한다! 말왕!! 헌데..허리쪽 이랑 승모근 목쪽을 좀더 보강을 하여 운동해야 겠다..💪,1개,2020. 6. 2.
착한가드,0:42 공사장에서 일하시는 50대 아저씨,20개,2020. 6. 2.
이도용,1:08 1:08 1:08 뇌가 깡에 절여져서 꼬잡춤으로 보임....한국다람쥐,1개,2020. 6. 2.
ElliotPark,zzzzㅋㅋㅋㅋㅋ 아 진짜 동네 바보형 얼굴 웃음벨이네,1개,2020. 6. 2.
산타크루즈,노래 갸꿀이네 말왕 모티베이션 노래에 추가요~ 근데 노래 제목이 뭔가요??,19개,2020. 6. 2.
하이하이,진짜 스트랭스 존나 세시다,2개,2020. 6. 2.
덴경대,처음부터 뻘하게 터지네 ㅋㅋㅋㅋ,12개,2020. 6. 2.
정소연,0:47 앞으로 자ㅈ..?,8개,2020. 6. 2.
만춘식,초반에 넘어져서 갑자기 사라지는거 졸라 웃기네ㅋㄱㅋㄱㄱㄱㅋㄱㄱ,1개,2020. 6. 2.
다맞는말이에요,"형 주차장 컨셉 좋았는데 
그것처럼 이번엔 어린이집 놀이장에서 운동하자",1개,2020. 6. 2.
김성군,집에 잇는 가구로 운동하는거 찍어주실 수 있나여,1개,2020. 6. 2.
하리보쩰리,1:23 아.. 야발,50개,2020. 6. 2.
박짜장,"매네네네넨넨넨매네네넨ㄴ네넨넨
와ㅇ와이와아앙ㅇ아앟",1개,2020. 6. 2.
김민철,"점점 소림사 시절 몸이 돌아오네...ㄷㄷ
미쵸따",1개,2020. 6. 2.
그려그려,1:09 스쿼트 인거 같은데~,1개,2020. 6. 2.
슈퍼로더SuperRoader,"지금까지 ""나 ㅈㄴ 멋있지??""  영상이었음다 ㅋㅋㅋ",1개,2020. 6. 2.
박동삼,"2:18  옆에 여자잡지 ㅋㅋㅋ뭐냐ㅋㅋㅋ
해명가ㅋㅋ",0개,2020. 6. 2.
UbS,형 오늘은 왜 윙크 안해줘잉ㅠㅠ,1개,2020. 6. 2.
기태,1:23 나도 저렇게 잘해지고 싶다.,0개,2020. 6. 2.
남우기Namwoogi,"마스크 쓰고 운동해야겠네요! 
2:32 꿀맛👍",1개,2020. 6. 2.
용우,2:32 와꾸가 무슨 욕망의 항아리누ㅋㅋㅋㅅㅂ,16개,2020. 6. 2.
파워음악감상맨,00:03 표정 개웃기네 ㅋㅋㅋ,12개,2020. 6. 2.
