닉네임,댓글,좋아요수,날짜
llllll,강도질로 13억을 뺏을 수 있는 거였구낭..,17개,2020. 5. 14.
심윤진,1:07 베르통언이 없었다 뿐이지 베르통언 아내와 아이들은 집에 있었다고 들었는데 아닌가요?,10개,2020. 5. 14.
조부승,민구씨가 유학파일 것같다는 생각은 했지만 영국 유학파일 것은 생각을 못했어요.,12개,2020. 5. 14.
nunobett,집에 현물을 13억이나 갖고 있다니...ㄷㄷㄷ 그럼 벽금고라도 해놓지,14개,2020. 5. 14.
몬스터박,손흥민 선수에게 강도들면 한국팬들 분노하겠다....,10개,2020. 5. 14.
korea07,1:32 독도 울릉도 넣어 주셔야 할듯,4개,2020. 5. 14.
안민혁,옛날 부터 궁금했던건데 이분 석섹x 한사람 맞아요?,7개,2020. 5. 14.
YouTube조커,헐 ㅠㅠ 내가 알리진짜 좋아하는데ㅜㅡㅜ,10개,2020. 5. 14.
FernandoVilla,어릴때는 신사의나라 이미지 지금은 훌리건의 나라 ㅋㅋㅋㅋㅋ,15개,2020. 5. 14.
JayLee,형 왜 저런 촌스러운 티비안에 들어가있어여?,15개,2020. 5. 14.
니코의게임채널,ㅠㅠ 아이고. ㅠㅠ,0개,2020. 5. 14.
ddokkkim,우리나라가 돈만 많으면 참 살기는 좋아..ㅋㅋㅋ,0개,2020. 5. 14.
김기준,알리..,0개,2020. 5. 14.
가오잡지마라,철구피시방에서 아우디우산 들고간 초딩 잡히면 뒤진다,1개,2020. 5. 14.
코빵마이,전두환이 잘못이 많지만 제일 잘한 것은 삼청교육대를 통해 길거리 잡범들과 깡패들을 다 잡아넣어서 치안이 엄청 좋아졌다는 것이다,6개,2020. 5. 14.
K,"오늘도 잘 봤습니다 
좋아요.",0개,2020. 5. 14.
전현태,집에 13억원이 있노..,21개,2020. 5. 14.
원종연,역시 유럽의 일본,1개,2020. 5. 14.
chansooPark,"손흥민 선수의 보안도 걱정되네요 
물론 손흥민 선수 집엔 손웅정 아버지가 심플한거 좋아하셔서 집에 별게 없긴 하지만 
코로나때문에 아시아인 혐오증에 걸린 미친놈이 언제 어떻게 아시아인을 대표하는 손흥민선수를 표적으로 삼을까봐 무섭습니다 돈도 많이버시는데 집앞에 경비로 쫙 깔아놔주셨으면 ㅜㅜ 손흥민 선수는 인간문화재 그 이상의 가치입니다",2개,2020. 5. 14.
이지훈,우리나라가 진짜 안전한듯,17개,2020. 5. 14.
광포한광냥이,런던 진짜 위험하구나 스포츠 스타들이 털리네.....,0개,2020. 5. 14.
장정윤,어느나라나 10대들은 다똑같네 ㅋㅋㅋㅋ,1개,2020. 5. 14.
1324황인호,13억 ㅎㄷㄷ,0개,2020. 5. 14.
템플러하이,실시간 방송 언제 하나요???,0개,2020. 5. 14.
니얼굴리트,이걸 어떻게막아,0개,2020. 5. 14.
음탕해,치안은 한국 일본 싱가포르가 진짜 오지지,0개,2020. 5. 14.
JhK,👍,0개,2020. 5. 14.
클라쓰어나더,우리나라 총기 허용안되고 CCTV곳곳에 있는게 정말 좋은거임,0개,2020. 5. 14.
chungaomchi,"생각해보면 우리나라는 참 신기하네..
아이러니한게 우리나라는 다른나라에 비해 범죄에 대한 형량이 적은편이라하던데 치안은 세계최고네.. 
80년대 90년대 범죄와의 전쟁으로 그때 대통령권한을 모두 총동원해 조직폭력배들 다 잡아들이고 소탕했다고 들었는데 그거 때문에 우리나라 조폭들이 세력이 작아져서 그런건가?? 
민구님말로는 영국내에서 이주민들은 상상을 초월한 범죄를 저지른다하던데 우리나라로보면 조선족들이 한국와서 보이스피싱 불법도박사이트 운영 장기 인신매매 오원춘사건같은 강력범죄등을 일으키는거랑 같은듯..",3개,2020. 5. 14.
건강한팬다,안전이 제일 중요하지.....  코로나 +  강력범죄 == 영국 ㅋㅋ  최악이구만,0개,2020. 5. 14.
김중석,영국이나 일본이나,0개,2020. 5. 14.
연봉52만원,영국 후진국이구만,0개,2020. 5. 14.
MarkS,영국 현지의 범죄 사진이나 델레알리 영상자료가 조금 더 포함되어 있으면 좋겠음.,0개,2020. 5. 14.
꼬미,파란색 볼펜 쓰시는구나,0개,2020. 5. 14.
천허권래,한국와서 살자,0개,2020. 5. 14.
박현준,치안수준이 아프리카수준이네,0개,2020. 5. 14.
DannyKim,"한국 정말 살기 좋은 나라이에요 (집이 좋은건 나가봐야 안다. 또한 몇일 ""여행"" 다녀오고 뺴애액 거리는 분들 이해 안됨)",0개,2020. 5. 14.
KevinLee,한국사람한테는 한국처럼 안전한 곳이 없어요,0개,2020. 5. 14.
문채원이유,델리알리가 발로 괴한 찼으면 델리알리가 감옥 갈뻔했다 괴한 운 좋네,0개,2020. 5. 14.
순간의아픔,"영국은 이슬람화와 난민들이 문제지 
뭐 한국 치안도 점점 안좋아지고 있지
해마다 늘어나는 중국인에 해마다 늘어나는 실종사고...그리고 마약들 ㅋ
뉴스에 안나올뿐 ㅋ",8개,2020. 5. 14.
s푸른날개,사실 저도 2년간 영국 유학  생활 당시에 강도가 숙소에 들어왔던 적이 있어요 저는 그당시 어렸고 아무런 저항도 못한채 우리나라 돈으로 350만원정도 금액을 빼앗기고 커플링 반지도 빼앗기고 해서 경찰들에게 도움 요청하고 한국대사관에 협조 공무서 적고 신변보호차원에서 3일간 대사관에서 지냈는데 3일후 범인 검거 소식 받아서 350만원만 되찾았습니다 추후 금액 더 준다한거 사실 찝찝하고 불안해서  제 원래 가진 돈의 액수만 받았는데 범인이 수사협조할때 말한 내용이 지금도 소름돋아요 제가 있는 숙소 맞은편이 커피파는 작은 카페같은곳인데 거기서 제가 들락날락 거리는걸 유심히보고 일주일을 저의 동선과 주변 지인들 동선 파악하면서 완전범죄를 꿈꾸고있다고 하더라구요 아시안이라서 비교적 수월하게 일을 치룰수있다고 판단해서 저를 타겟 삼았다합니다 쨌든 우리나라 치한은 진짜 좋아요 타국에서 지내시는분들 항상 몸조심하세요,1개,2020. 5. 14.
DiamondbackHide,우리나라도 전두환정권때 깡패들 안찍어발랐으면 지금우리나라도 조직이 판치는 나라였을걸 ㅋㅋㅋ 근데 지금은 조직보다 더한 정치쟁이 새끼들이 숨쉬고 있는거도 골머리지 ㅋㅋㅋ,5개,2020. 5. 14.
백수보틀BaegsuBottle,I,2개,2020. 5. 14.
올레WEARE,"앜 6등 ㅠㅠ]








알리띠??",0개,2020. 5. 14.
류규민,김민구 해설위원 님 굉장히 싼 흑인지역 보다는 그냥 굉장히 싼 지역이라고 해주세요,1개,2020. 5. 14.
