,youtube_id,comment,like_num
0,조효진HYOJIN,"여기에도 정보 달아 놓을께요!
제가 오늘 사용한 지베르니가 올리브영에서 단독 프로모션을 진행한다고 합니더!! 대박대박!!!!
제 최애템이자 영상에서 소개한 밀착 센서티브 마스카라 1+1 기획세트를 만나 보실 수 있고,
신제품 마스카라, 아이라이너 전-부 다 만나볼 수 있으니 매장가서 얼른 테스트 해보자규요!!! 여러분!!


♥ 지베르니X올리브영 아이 메이크업 프로모션 ♥
지베르니 신제품 마스카라, 아이라이너 단독으로 만나보세요!
일시 : 4/1(수) – 4/30(목) 
장소: 전국 올리브영 매장


그리고 올리브영 강.남.본.점(강남역 10번출구) 에서는 팝업스토어도 한다네용! 워우워우우
경상도 화장쟁이는 광광 웁니다 ,,,, 서울가고싶다며ㅠㅠㅠㅠㅠ
눈 돌아가게 예쁜 팝업스토어라고 하니, 요리조리 지나가다 들려보시는거 추천!추천!!!
지베르니에서 이벤트도 진행한다고 하니 잊지 말구 참여해서 선물도 받읍시다!!!!!


♥ 지베르니X올리브영 팝업스토어 ♥
일시 : 4/1(수) – 4/30(목) 
장소: 올리브영 강남본점 1층, 2층",327개
1,이젠Egen,"1:38 언니 에쎔알하시는데 표정은 왜 ㅎ ㅎ,,",784개
2,김혜,언니 코로나 잠잠해지면 미친듯이 놀고싶은데 엄청 화려한 메이크업 보고싶오요 확 티는 렌즈랑 하이라이터 뽝!! 몬주 알지..? 예쁜척 타임은 최대한 오래 🙏,576개
3,JessiePham,Anyone knows name of the song that she uses in the intro? It sounds so good ~~,6개
4,휘,20:50 지금까지 들은 말 중에 제일 웃긴 얘기,210개
5,하헤히호후,"메컵도 메컵이지만 의상 착장도 무진장 궁금합니더,,,넘 이쁘고 메이크업이랑도 넘나 찰떡인것,,,, 궁금해서 쓰러집니다요 공유가능하실까요오🥺🥺",157개
6,밥먹었니짠,11:54 옆모습너무예뻐서 편집자분이 넣으신듯 😘 넋놓고보다가 너무예뻐서 깜짝놀램,116개
7,김가은,"11:54 와.,,언니 옆태미인❤",88개
8,YHP,"헐 효진쓰 존예🤦‍♀️ 그리고 혹시 귀걸이 정보 알려줄수있는지,, ?",116개
9,이유진,"11:48 이렇게 구독자 의견 반영 잘해주는 유튜버 본 사람ㅠㅠㅠ 게다가 쓰담쓰담 해달라는 언니,, 너무 귀여워욤😍",47개
10,아탑,효진님! 저번영상부터 신경쓰였는데 ‘외각’이 아니라 ‘외곽’이 맞는 표현이예요~😉😉🥰 봄나들이 못가는 제 심정을 이리 알아주시다니.... 집 앞이 공원인데 아주 답답해 죽겠어요ㅠ.ㅜ,36개
