,youtube_id,comment,like_num
0,헤이즐Heizle,"삼성 갤럭시 찐 유저 헤이즐이 알려주는 갤럭시 Z 플립!!📸👍
오늘은 요즘 최 인.싸.템인 갤럭시 Z 플립의 카메라 기능에 대해서 알려드리려고 왔어용!!

미러퍼플 다들 보셨죠??존예…진짜 핵존예!!😍
사실 디자인이나 기본적인 기능 정보는 요즘 여러 매체에서, 미디어에서 많이 보셨을꺼에요~!

하지만 정작 Z 플립의 엄청난 셀카 기능은.. 아직 제대로 못보셨을듯 합니당~.~

진짜... 칭찬의칭찬을 넘어서 왜안사?? 왜 안바꿔?? 를 백번 외치고 싶은 심정이에요!!!!!💙💙

사진 많이 찍으시는 분들, 셀카 매니아 분들은 이 영상을 주목해주세요~!!

갤럭시 Z 플립으로 혼자서 전문가처럼 화보를 찍는 방법을 알려드릴게요! 기대하시라~~~!! 고고🤟

오늘 영상은 유료광고(삼성)을 포함하고 있습니당~!😘",278개
1,이채원,아이폰 찐사랑하는 사람인데 갤럭시 사고 싶다는 생각 첨 들음,361개
2,김민혜,이때껏 많은 리뷰를 봐도 별로 흥미 안갔는데 이 영상보고 진짜 사고싶어짐 ㄷㄷ,146개
3,무료,언니 로즈하언니랑 z플립 폰꾸영상도 해주시면 재밌을거같아요♥️,271개
4,minchae민채,기본카메라로 사진 찍으시네.. 근데 저세상 미모,106개
5,수빈,언니는 뭔가 항상 아이폰만 쓸 것 같았는데 삼성만 썼다니 충격ㅋㅋㅋㅋㅋㅋ😳,128개
6,심심,광고보고 뭔가 점점 폰들이 특이해지고 있다고 생각이 먼저 들었는데 언니 영상으로 장점?!을 알게되고 유용하게 쓸수있는 방법을 알게된것 같고 뭔가 새로운 영상이라 관심이 더 가는것 같아요!! 그리고 인스타에서 본 지붕에서 찍은 사진? 이거로 찍은거라면 진짜 혼자서도 분위기에 맞게 찍을 수 있는것 같아 진짜 편리할것 같아요!!,162개
7,윰북이,"10년 넘게 아이폰만 사용했는데, 이번 갤럭시 Z플립은 진짜 사고 싶네요..
카메라 기능이랑 모니터 듀얼기능 알고는 있었는데.. 헤이즐님 영상 보니 현실성이 느껴져서 사야겠다는 확신이 드네요 !!",110개
8,홍윤주,애플충으로서 관심없었는데 갖고싶어졌어 ....,138개
9,김유림,"집이 포토존이 따로 없네요 진짜 인테리어에 신경쓰는 이유를 알겠어 코로나 땜에 밖에도 못나가는데 테라스 위에서 쉬고 정말 좋은것 같애💕💕
헤이즐 언니 오늘 머무 예뻐요👍🏻😍😍",100개
