,youtube_id,comment,like_num
0,디렉터파이,"맨 아래 댓글 많이 올라온 문의 답변 적어 놓았습니다. 
00:38 컨실러, 파데 차이
02:03 컨실러 바르면 건조해지는 이유
02:36 아쉬워요
04:07 성분 C등급 컨실러 
10:11 성분 B등급 컨실러 
15:10 성분 A등급 컨실러 
16:00 2020 컨실러 TOP of TOP


1. 따로 표기하지 않은 경우, 브랜드별 전 색상 같은 등급입니다. 
2. 16:11 다음엔 예쁜 '살구색'으로 사용할게요.
3. 모든 제품은 해당 피부인 테스터와 디파가 사용한 후 리뷰 작성합니다.",192개
1,에스제이,"디파님...곧 여름인데 제모부탁드려용!!
여자 향수도....",740개
2,아가코알라,16:01 TOP OF TOP,385개
3,민경,"정리글 

성분 B, 여드름 커버 탑 - 한스킨 블레미쉬 커버 12000원 
성분 B, 촉촉 커버 탑 - 웨이크메이크 디파이닝 커버 컨실러 15000원 
성분 a, 촉촉 사용감 - 바비브라운 인스턴트 풀 커버 컨실러
촉촉 / 사용감 / 가성비 - 미샤 순수그램 컨실러 13000원",205개
4,쏘쏘,나스는 일본브랜드라 안하신듯 합니다~,209개
5,조민희,"디파님을 처음뵜던기억이  수년전
티비케이블 화장채널이 였던걸로
기억합니다 
많은 메이크업아티스트중 한분이라고
생각했어요..
디파쌤 채널을 구독한지 1년..
이제 믿고보는 채널이예요
디파쌤은 최초이자 최고의
화장품 디렉터 이십니다
멋짐!!",187개
6,누리,"디파님이 작년 한해동안 TOT으로 뽑으신 제품들, 제 피부에 맞는걸로 하나씩 사서 쓰고 있는데요~ 제 피부가 진짜 많이 좋아졌습니다!!!! 메이크업 하면 피부가 다 들뜨고 각질부각되고 트러블나고 뒤집어지기도 하고 했었는데 디파님이 딥-하게 파주신 덕분에 제 피부가 좋아지고 있습니다! 앞으로도 디파님의 영상 보면서 제 피부관리에 더 신경쓸게요~ 항상 열심히 분석해주시고 또 영상 만들어주셔서 너무 감사합니다♡

내일은 미샤 컨실러 사러가기 :)",106개
7,김동영,16:11 디파님 채널에서 이런 실수가...베이지 빛 또는 살구색은 어떠신가요..ㅎㅎ,95개
8,Deadassworkingout,First!!! Here I commmmmme!!🙌🙌,3개
9,MinYuna,더샘 컨실러는 진짜 조심하세여 ㅠㅠ 저 진짜 둔한피부고 트러블이나 알러지도 잘 안일어나는 피부인데 더샘쓰고 얼굴 전체에 닭살처럼 돋아나서 두달동안 너무너무 힘들었어요 퓨ㅠㅠ,61개
10,씅씅,2020년 피부별 썬크림도 해주세용 😭😭,81개
11,휴지,"삐아 라스트 컨실러 미쳤읍니다 항상 2개사서 하나 쟁겨두고 쓰구있어요ㅠ~ㅠ 아아니 값도 싼 컨실러가 심지어 국산이기까지~~🤦🏻‍♀️
저는 건성에 가까운 피부고, 간간히 미간사이나 코 옆 볼이나 턱라인에 뾰루지 한두개 나는 정도에 홍조가 많은 편인데 *기초를 촉촉하게 하고* 컨실러로 전체적으로 파운데이션처럼 펴바르면 지속력도 오오지고 코옆끼임도 없어요! 전 쿠션은 먼지붙고 비위생적이라 느껴서 수정화장도 안하고 쿠션도 안쓰는 사람입니다 ㅎvㅎ
확실히 디파님 말대로 건조한편이니 꼭 기초 탄탄히 하구 피부가 준비됐을 때 써주세요! 인생 컨실러가 될 수 있읍니다..S2 하지만 사바사겠죠 ?? ㅠ...ㅠ",77개
12,하선생,헐 저 디파님 채널보고 공부한 정보로 성분 따져서 구매했던 컨실러가 탑오브탑이네요ㅠㅠ 넘 뿌듯,5개
13,홓홓,어멍 내가 쓰는게 탑오브 탑이였다니...! 이유없이 기분좋다,35개
14,yt,16:05 TOT,28개
15,결론은엽떡,진짜 드디어드디어드디어 기다리던 컨실러 ㅜㅜㅜ 디렉터파이님 감사해요 이제 누군가가 정리한댓글이 달리겠지??,47개
16,김채윤,에뛰드하우스 빅커버 팟 컨실러는 어떤가요 ???,9개
17,WendyJung,"나스 불매제품이라 안넣으신것같은데요? 
저는 웨메컨실러 로드샵 백화점제품 통틀어 인생템입니다 
진짜좋아요ㅠ",45개
18,Eliza,omg thank you director pie ♥️ be safe during corona time T.T may god bless you always ♥️ ilyy ✨✨✨✨,1개
19,채세인,미샤 색 다양하게 만들어주세요! 느무 좋은 컬러그램!,18개
20,남동우,"디파님 항상 너무 잘 보고 있습니다 제가 보는 유튜브 채널 중에 제일 전문적이면서 유익한 채널 같아요..
근데 이번에 립밤/립케어 제품을 구매하려고 디파님 예전 영상을 봤는데 2년전 영상이더라구요 게다가 거기서 뽑아주신 top 제품을 샀는데 얼마 전에 리뉴얼을 해서 성분이 오히려 더 안 좋아졌었더라구요(?) 그래서 다음엔 립밤 및 립케어 제품들도 부탁드립니다!
항상 감사한 마음에 영상 보고 있습니다 잘 보고 갑니다 최고..",17개
21,람람,항상 테스트 하시는 분이  양조절도 잘 안하시고 좀 별로였는데 오늘은 훨씬 깔끔하고 좋네요!,19개
22,tiaMoinc,"세상에... 고생 많으셨어요 너무 감사합니다
오늘도 아름다우시네요! 영상 감사한 마음으로 잘 보겠습니다 >_<",4개
