,youtube_id,comment,like_num
0,상윤쓰Sangyoon,"여러분,, 부랴부랴 업로드 하고 차분히 다시 댓글을 씁니당! 요즘 유튜버 분들 사이에서 업로드 안되는 문제가 많이 발생했는데 그 문제가 저한테도,,😱 사실 어제 업로드 하려고 했던건데 업로드 못하고 오늘도 겨우 업로드가 됐습니다😭

아 참! 그리고 이번에 마이크 한 쪽을 수리 맡겨서 음질이 보통보다 안좋을 거예요,,😥 볼륨도 오락가락해서 시청하실 때 주의하시면서 봐주셔요.. 죄송합니다🙇🏻‍♂️ 그리고 마이크는 보통 먹방 유튜버 분들 사용하시는 고가의 마이크를 사용하고 있어요! 이어폰으로 녹음하는거 아니에요! 제가 먹방치고 말이 많고 톤도 높아서 찢어지는 소리가 들리는거 같아요😔 대화형 마이크도 사용해봤는데 영상에 이질감이 너무 느껴져서 사용못하고 있어요..! 대책을 강구 해볼게요..🙏🏻 하트만 누르고 무시하는게 아니라 피드백은 모두 잘 받아보고 참고하고 있습니다😁🧡

라이트 불닭볶음면은 처음 먹어 봤는데 대체 뭐가 라이트하다는건지,, 맵기는 비슷하게 매운거 같은데 양이 확실히 라이트한거 같아요🤣 (가격은 더 비싸다는 것이 반전) 그런데 건면이라 면발이 맛있어요.. 뭔가 더 야들야들한 느낌이에요! 1년만에 다시 먹어본 신전은 두말하면 혓바늘 날 정도로 여전히 맛있었어요👍🏻 저는 불닭볶음면이나 떡볶이를 친구들과 함께 먹을 일이 있으면 뿌링시리즈는 필수코스로 같이 먹는거등요! 여러분들도 친구들이랑 돼지폭식파티 하실때 나 오늘 뿌링이 아니면 안된다고 발라당 으름장을 피워보세요! 후회 안하실 거예요👍🏻👍🏻👍🏻

요즘 저는 많은 분들이 요청 해주셨던 쵸큼 조용히 먹는 먹방을 준비하고 있어요! 벌써 테스트로 여러번 촬영해봤는데 생각보다 조용히 먹는게 제게 너무 어려운 일이드라구용?🤣 조금 편안한 느낌으로 음식에 집중하는 시리즈도 곧 보여드릴게요! 조금만 기다려 주세요🙏🏻

저는 오늘 마무리 편집으로 정신이 없어서 새벽 5시가 돼가는 시점에서 차분히 댓글을 씁니다😁 부랴부랴 편집한다고 한끼도 안먹었는데,, 오랜만에 야식으로 라면으로 위로 삼으며 여러분들 댓글 찬찬히 살펴보며 먹을게용😆 여러분 댓글이 최고의 후식쓰니까,,🧁 오늘도 정말정말 저엉-말 감사드립니다🙇🏻‍♂️❤


I overslept today,,,💤 So the translation is a little late. Actually, I used the translator myself...! So it might be a little awkward😉 I ordered from my favorite tteokbokki store, and cheese corn dogs and cheese balls are my favorite too!!! Many Korean subscribers really want to try this combination🥳 Once you get this taste, you'll keep thinking about it~! It's a good thing you don't know the taste😉🧡

❤INSTAGRAM :https://www.instagram.com/SANGYOONCE
📩sangyoonce@gmail.com (비즈니스 메일함)",28개
1,희주,나중엔 남성 시청자분들을 위해서 썸녀컨셉 해주세요.,8개
2,비데오늘,2:06 앞접시에 담은 의미가 뭔데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,38개
3,루즈,"턱 밑이 묻은 소스 불편했는데 
얼굴에 많이 묻히고 드시니까 편안해진다",833개
4,표링댕길LOVE,"0:58 아니 나만 이거 졸라 웃기냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그게 왜 저기 붙어있는뎈ㅋㅋㅋㅋㅋㅋㅠㅠ
이거 왜 아무도 언급안해욬ㅋㅋ하ㅠㅠ진짜 너무웃겨ㅠㅠㅠ
맨날 이거보러 들어와서 끅끅대며 웃고가네...",320개
5,혜안오빠내사랑,4:55 어ㅏ 존잘 누가 현타가 저렇게 잘생기게 옴..,712개
6,공포의주먹,썸남 그렇게 할 거면 관둬 썸남이 아니라 싸움거는 쌈남같아.... ..,19개
7,IamfromKorea,1:04 멈춰서 보세요~,351개
8,네,4:40 그거앎? 거꾸로봐도 존잘임 미쳤어 진짜,242개
9,안개꽃,이분 그분이구나 그 무슨 팔공티인가 먹고 중간에 라면 끓여먹었던 ㅋㅎㅋㅎㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ 아 진짜 잘생겼는데 하는 행동 하나하나가 다 웃겨서 좋음ㅋㄹㅋㄹㅋㄹㅋㄹ 매력 터진다 진짴ㄱㅋㄱㅋㄱㅋㄱㅋ,201개
10,다운,이분은 분명 잘생긴거 같은데 하는 행동이 모자라 보여서 너무 좋..아....,198개
11,섀딤모띠섀딤,이정도면 반말 컨셉이 아니라 그냥 반말하는 먹방 유튜버 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 볼때마다 넘 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅌㅌㅋ,15개
12,예슬,6:05 ㅋㅋㅋㅋㅋ 좋은말이 하나도 없잖아 ㅋㅋㅋㅋ,61개
13,연서퐁퐁,2:30그와중에 브이 ㅋㅋㅋㅋㅋㅋㅋ,144개
14,elsa,"2:30 when you're not okay, but someone suddenly took a picture of you",58개
15,VictoriaPietnik,I love your faces when you listen some noises outside 😂😂😂 please don’t let to do it. Greetings from México 🇲🇽,3개
16,izzahpizza,"your probably finding a comment that isnt in Korean, me too. this dude is funny",48개
17,akamango,7:13 내가 보고 싶어서 올리는 내가 생각하는 킬포,65개
18,MinXAnne,The coke might have been too much for his throat LMAO,20개
19,단꼬,"죄송해요 채널 이름이 생각이 안나서 저에여 라고 쳐서 들어왔어요💦
+헐...좋아요 감사합니다!",143개
20,흐헣,"진짜 나 이런사람이랑 겸상하면
진짜 밥 한입도 못먹고 계속 개뿜기만
할거같앸ㅌㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋ
중간중간에 눈 뒤집히는거 나만 개웃기냐곸ㅌㅌㅌㅋㅋㅌㅌㅌㅋㅋㅋ",21개
21,유현서,1:21 난생 처음 썸남이지만 주걱 들고 댕기는 썸남은 당신이 처음이야,4개
22,정소혜,2:03 다시 꺼낼꺼면 왜 넣는지...ㅋㅋㅋㅋㅋㅋㅋ,22개
23,최민영,7:13 아 ㅠㅌ ㅌ ㅋ ㅋ ㅋ ㅋ  여기 옷에 떡볶이 국물 묻을까봐 혼자 괴로워했음 아 ㅗㅠㅠㅠㅠㅠㅠㅠ,16개
24,예나,"2:06 이럴거면 앞접시에 왜 담았댘ㅋㅋㅋ
입안에서 지진 났냐구ㅋㅋㅌㅋ",41개
25,도토리,먹방이 아니라 음식들한테 얻어터지는 느낌인데.......,24개
26,이빈,3:12 여자친구한테 왜이렇게 띠꺼워 오빠ㅋㅋㅋㅋ ㅋ ㅋㅋ ㅋ ㅋㅋ ㅋ ㅋㅋ ㅋ ㅋㅋ ㅋ ㅋ,24개
27,탄아인사해네형수야,4:25 아니 이건 뭐 면발을 빨아드리는 게 아니고 면발이 형 영혼을 빨아드리는 거 같은데?̊̈?̊̈ ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬,28개
28,오슷퍼,2:17 세상에서 제일 난잡한 면치기ㅋㅋㅋㅋㅋㅋㅋ 이런 면먹방 처음봄..,7개
29,도은doeun,오빠 아무래도 썸남컨셉인데 썸녀 앞에서 이렇게 먹는거야 ? ㅋㅎㅋㅎ❤️❤️❤️ 다조아 2:21,1개
30,야옹야옹,나중에 흰 색 와이셔츠 살짝 걷어 입고 검정 넥타이 하고 금테 안경 쓰고 쉼표 머리 아니면 포마드 하고 메탈 시계 딱 해서 소주에 안주 썸남st 먹방 해조쓰면 조켓다 (+ 뒤로 가면 술 마셔서 덥다고 넥타이 풀고 단추 두 개 정도 풀어야 함),17개
31,YBL,1:40 아...네..오빠....이건 썸남이 아니고 그냥 혼자먹기 미안한데 츤츤거리는 우리 개같은 동생새끼가 생각나네,30개
32,권순호,2:05 이럴려면 왜 담은거냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,17개
33,람다름,썸네일 역대급 잘생겨서 들어왔는데 무슨 일이고 이게... 머선일이고,11개
34,HyorinLee,4:18 표정 개귀엽다,39개
35,이재정,아니 갑자기 비커에 라면 담았다가 왜 먹을땐 이동해서 먹는거야??? 비커는 오로지 비커인거야???,944개
36,Zeyneprem,I am from TURKEY 🇹🇷🇰🇷 I love you soo much 사랑해 💕☺️👏🏻🇹🇷🇰🇷,2개
37,MEGABATLOVER,2:13 진짜 썸녀/썸남이 이랬으면ㅋㅋ,12개
38,유나,"2:33 ㅇ,,,어,,어,,? 난 괜챃ㄴ하,,,어,,,",15개
39,NorilYani,he's still cute even in a messy way of eating 🤣,8개
40,승구야화내지마,2:05 이럴거면 왜 계량컵에 담은건데..,14개
41,예빈,ㅇㄴ... 오빠때문에 오빠 영상이 너무 재밌어서 숙제를 한 시간 전 부터 하고 있었는데 5줄밖에 못 했어요...,2개
42,하솔,'너도어서먹어'다음에'꾸물대지말고먹어' 실화임?ㅋㅋ,8개
43,늘해랑,짜증나서 썸녀한테 종종시비터는걸로 보이는 먹방 처음ㅋㅋㅋㅋㅋㅌㅌㅌㅌㅋㅋ 와 정말 강렬하네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,16개
44,DLsh,이렇게 심란한 먹방은 처음봤다.,20개
45,DK,상윤쓰 썸남 콘셉트라면서 왜 썸을 우리랑 안 타고 떡볶이랑 타냐고...,245개
46,아름,하씨 첨에 불닭 먹을 때 썸남 컨셉인거 까먹었닼ㅋㅋㅋ,1개
47,민,2:06 오빠 이럴거면 컵에 왜 담은거야.....?,3개
