,youtube_id,comment,like_num
0,신성조,응? 목 머임 몫 아님? -ㅅ-?? zne도 오타났네..  그래도 이번영상에는 오타 두개밖에 없다!!!!!!! 6개 난적도있는데 봐주셈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ (10400 장점이 하나 있긴했네요 이거 생각해보니 f아니라서 내장글카가 있었지..?),30개
1,락귀어2,8700k산 내 친구와 작년부터 3600쓰고 있는 내가 승리자인거 같은 느낌입니다.ㅋㅋㅋㅋ,35개
2,김종하,amd가격 인하 했데요 ㅋㅋ 가성비로 이제 못이길듯,19개
3,몰랑아,아...나는 비교영상에 노래가 너무 좋아ㅋㅋㅋㅋㅋ,8개
4,KimJuyeon,컴터를 새로 맞춰서 보드를 사야한다고 도 B460 보다야 B560이 훨 쌀텐데... 그리고 인텔은 이제 암드보다 더 싸도 괘씸해서 안사줌,15개
5,윤닝겐,"저라면 보드값 때문에 amd
인텔 기존 보드 못씀 새로 산다고해도 오버 가능한 보드는 비쌈
반면 amd는 기존 보드도 사용 가능하고 램오버 정도는 웬만한 보드 거이 다 가능",11개
6,김성구,전세대와 현세대가 ?..? ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ....... 인텔 쓰라고 할 수 없는 1인 ... ㅠ..ㅠ,15개
7,GoYangiJoa,저 3733 클럭 문제가 10400 쓰면서 누가 비싼 상위 보드를 쓰냐고 ... 3600 사길 잘한 거 같습니다 :),9개
8,TheLegeno,둘이 비슷하거나 인텔이 소폭 앞서긴 하는데... 이전세대 씨퓨와 신제품비교라 잘 생각하시길...,8개
9,사람,안돼 내cpu가 관짝...ㅜㅜ,2개
10,JaeWooPark,AMD는 이미 모든 상황을 지켜보고 있을텐데.. 과연 이번 가을은 그냥 축제네,3개
11,이성준,결론... 인텔이 사골이다...,2개
12,띠아,인텔도 보드 램 오버만 풀어줘도 많이 좋아질거 같은데 이런거 볼때마다 아쉬운 부분,9개
13,Cyclone,"종합:현시점에선 3600에 시금치 3200이상 땡기면 된다.
만약 인텔이 z 보드  말고 렘오버를 풀어주면거나 가격다운이 되면 10400 더좋은 선택이 될수 있다.
어짜피 z보드 살사람들은 10700k 이상 사는것이 현명하다",3개
14,김세연,cpu가 좋아도 메인보드가격때문에 갈수가없네 ㅋㅋㅋ,0개
15,Centre,잘보고 갑니다. 중립적 리뷰 너무 좋아요.,0개
16,지팡이,인텔 시퓨 온도에서..ㅈㅈ,0개
17,조영흠,인텔빠와 암드빠의 보이지않는신경전 ㅋㅋㅋㅋㅋ,1개
18,루로우니,렘오버 생각하면 인텔은 비싼보드 사야됨 가성비로는 아직도 amd네요 가을에 나올 신제품부터는 인텔이 모든라인에서 밀릴겠군요,2개
19,taesoopark,일주일의 시작인 월요일에 잘보고 갑니다...수고하셨어요...^()^,0개
20,캔뚜껑,3500x 사길잘했네요 ㅋㅋㅋ 이제 가을까지만 존버하면되겠네요 ㅜㅜ,0개
21,김재성,5252 이걸 기다렸다구~,0개
22,수소주,오 퀄이 점점 발전하는데요,0개
23,박건우,어째 가면 갈수록 인텔 확인사살 하는 것 같냐ㅋㅋㅋ,0개
24,샤샤샤,잘 보고 갑니다 감사합니다,1개
25,교수님이찾는다,램오버까지 생각하면 메인보드 가격때문에 암드가 가성비가 아직 좋군요,0개
26,KyoungTaekim,3600이 저정도로 선방하는거 보면 4천대 라이젠 젠3 나오면 인텔 개처발리겠네요 ㄷㄷㄷ,39개
27,호빵호떡,오버 안할거면 3600이 답인가...,0개
28,한나,잘보고 가요~,0개
29,beomjinKim,13:11 소비자의 목 ㄷㄷ,23개
30,JGK,인텔 10세대용 각종 보드 리뷰해주시면 감사드리겠습니다.,0개
31,UnknownY,새로나온 b450 게이밍 프로 카본 맥스 WIFI 리뷰해 주실 수 있나요 개인적으로 이게 보드 종결자인것 같은데,0개
32,TEDMASTER테드마스터,고생하셨습니다!!! >_<,1개
33,RiptionEakl,아직 인텔은 h나 b보드가 안나왔다는점. 이게 나올시점에는 라이젠은 아마 가격을 내릴겁니다.,2개
34,JoongGyuJo,보드값 생각하면 답은 암드,1개
35,광산구팬더,그래도 아직은 amd...,0개
36,비텔,옵치 닉 상태가...?,0개
37,이승사자,라이젠 4000대 시리즈를 더 기대하게 만드는 인텔 10세대.,0개
38,LucasLee,커피포트...,0개
39,유재용,"성조님 영상 기다리고 있었는데 
가장 객관적인거 같아 좋습니다
좋아요 세번 누르고 갈께요 ^^",1개
40,착한아저씨컴PC,수고하셨습니다! 직접 조립해볼 기회가 아직없었는데 영상보고 도움이되었습니다🙏,0개
41,이재형,온도 차이가 기본 10도가 나네,0개
42,leejongsang,"인텔이 메모리오버를 하위보드에서못하게 막는 이유를 모르겠네요 cpu오버는 안정성때문에 출시도 k시리즈 따로하고 거기에 맞춰 상위보드 쓰는 정책을 찬성은 못하지만 이해는 해줄만 한데...

메모리오버는 데체 왜?

이럴거면 멤컨은 왜 좋은걸 달아놓은거지?

가격 경쟁력보다 프리미엄이미지를 가져가려는건지 아니면 똥존심인지...",7개
43,사람힘쌘,더 상위급 글카 넣은 비교도 한번 해주시면 안되나요 ㅜㅜ,1개
44,peacepeace,생각대로 뻔한 결과네요 ㅎㅎ,0개
45,JuwanHong,램오버 때문에 amd갈듯 그놈에 보드값,0개
46,전현철,오~ 예전에 잠깐 들은건데 헛소문이 아니고 에즈락이 진짜 준비하나보네요.. 기대됩니다.,0개
47,Unizen07GD,올라왔다!!!,0개
48,김허수,스카이레이크부터 지금까지 발전없는 인텔이 레전드다,0개
49,허각친구직각,라이젠이지 이젠..,0개
50,IT소비자,애초에 10700K 10900K말고는 기대도 안하고 있었는데 역시는 역시나;;,1개
