,youtube_id,comment,like_num
0,YoosBeauty희주,보송보송 복숭아같은 유후들 좋은밤 보내요🍑🍑🍑🤍🤍🤍,197개
1,PaulaJaramillo,Yo intentando maquillarme como ella.Todo salio mal😁,116개
2,권진희,렌즈 정보 너무 궁굼합니당...😭,108개
3,덕만이,항상 느끼는건데 진짜 힙한 오마이걸 승희같아요..,139개
4,AlejandraJimnezArizmendi,"Hola, primero quería decirte que me encantan tus videos, tu estilo y que me pareces muy linda ☺.
Quería proponerte un vídeo: Creo que sería muy interesante que enseñaras  tu rutina facial, porque tienes una piel muy bonita, o  decir si utilizas algún remedio casero, o algún truco tuyo para mantener bien tu piel. Espero que te hagas muy famosa, porque te lo mereces, adiós 🤗",18개
5,채롱언니,다이쁘신데 입술이 젤 이쁘신듯💋 ㅠㅠㅠㅠ외귝인 입술이여ㅏ요 ㅠ💕,45개
6,JP,언니 진짜 어떻게 이렇게 항상 이쁠수가있어여..... 반해진짜 ㅠㅠ,53개
7,EllieShanti,How does she get her makeup to look so fresh and clean? And polished? 😭,28개
8,Milktea,"Intente llegar temprano pero pues a esa hora yo estaba dormida :v 
Te amoo",19개
9,soberry,"언니 진짜 너무 예쁘고 진짜 메컵도 찰떡이고 새로운영상 너무 고마워요 ✨🤍 머리 땋은거 이렇게 세상 찰떡일수없잖아 울언니 최고야 언니를 알게되서 너무 행복해요 진짜 ✨🤍
언니 이날 사진 있는거 다알아요 다 풀어줄거라 믿어요 ...!!! 진짜",25개
10,SarahMansor,pls i need detail of the lensss goes so well with the look <3,4개
11,ModestFeraLa,"Hi as always so pretty.
If i had this beauty i would never ever wear makeup, not even in mu wedding day 😂",16개
12,뮤화dailylook,"희쥬님 피부 진짜,,🥺💛 기초케어도 궁금해요오",10개
13,tjkim,왜 뭔가 오랜만인거같지ㅠㅠ...?,17개
14,,언니...ㅠㅠ귀걸이 정보 좀 부탁드려요..💗😭,5개
15,송유진,"진짜 너무 이뻐서 홀리듯이 들어오고 홀리듯이 보고 다 끝나버렸네 ,,,",8개
16,SarahS,"damn those lips, you're gorgeous young lady!",6개
17,혜원처럼Hyewon,나 진짜 요즘 이언니때문에 현생이 힘들어ㅜㅜㅜㅜ언니ㅜㅜㅜ사랑해여ㅜㅜㅜ,5개
18,MariaAlejandraTrillos,Que hermosa eres 🥺 la verdad me gustaría seguirlo pero sé que tal vez me quede horrible xd,15개
19,스마sma,진짜 에스쁘아 열일한다..아니 색깔 왜이렇게 예뻐ㅠㅠ다 갖고싶게..톤생각안할래ㅠ,4개
