,youtube_id,comment,like_num
0,나름다름DareumNareumtwins,"#좋아요와구독은힘이됩니다♥️
여러분 내일 드디어 틴트공개합니다 흐흐
나름다름채널도 사랑해주시고
https://bit.ly/nareumIG 맨투맨도><
(나름이맨투맨 판매중♥️)",324개
1,STANKPOP,You look so adorable when you’re drunk lol me on the other side look like a beast when I’m drunk lol 🥺😭,5개
2,akubocil,your flushed face is similar to tingker bell (fairy in my favorite cartoon) when she's angry😆,10개
3,동동이,"01:15 eating start",25개
4,lululala21,"Hai, I'm from Indonesia 🇮🇩
Love you",39개
5,TimekaBriars,"OMG 😂.. She was so drunk it's adorable. Love her English. So S.P.E.C.I.A.L...😂😂😂 and what happened to the cute intro. The pat, clap, heart at the beginning. I miss that",2개
6,ThiHcTHH,Love you 🙆🏼‍♂️💛🇻🇳,3개
7,공두리하루,이정도면 흑역사생산 아닌가요?ㅋㅋㅋ,118개
8,손들어,"성인들은 맥주,소주
우리는 콜라,사이다",98개
9,Ryujinsshoulders,"Why am I awake
I miss the out side
I'm hungry 
It's 5 am
Hehe
💙💙💙💙💙❤️❤️❤️❤️❤️",18개
10,감자씨,"나름언니도 수빙수님 말투 전염되셨구나... 
나나난나나나도 나도 해볼래   허의야~",53개
11,이떡볶이먹고싶다,6:24 목소리에 입모양까지..언니 넘 귀여워서 사망..,36개
12,MarekSotys,"You need to try polish beer OMG they have so deep taste 👌 perfect with our kielbasa sausage especially grilled, with mustard and pickled cucumber 😋😋",1개
13,슬아다슬기,음주방송하면서 이렇게 감찍한건 반칚이지니여ㅠㅠ,7개
14,지우이,..... 술 드시면 혀가 아주 많이 혼또니 매우 엄청 짧아지시는 군요...,38개
15,동동이,왜 내가 빨리 보는 영상들은 왜 다 새벽에 보면 안돼는걸까..다이어트 하고 있는데 6시가 넘었지 모얌..,41개
16,V아나,아 이언니 정말ㅋㅋㅋ 매력포텐터지네 ㅋㅋㅋㅋ 뭔가 취한거같은데 안취한거같으면서도 취한것같아요ㅋㅋ 이 영상보면서 왠 입가에 미소갛ㅎ..❤ 언니 진짜 흑역사 생성과 동시에 귀여움만렙 레전드 생성❤ 저보더 나이많은 언니한테 이런 귀여움 느낀적은 처음이에요❤,37개
17,ThPhm,Feel special TWICE ❤,2개
