,youtube_id,comment,like_num
0,WonBumJeong,나혼자산다 클립보는데 유튜브의 알 수 없는 알고리즘이 날 여기로 데려온거보니 유튭도 인정하는 편집 천상계의 극강퀄리티구나....,271개
1,플플FLOWFLOWERS,"앵글이 진짜 방송같아요,, 스케일,, 👍",196개
2,뚭뚭이,"스치면 인연, 스며들면 스폰지밥이라는 데 이 영상과 제가 그렇네요..운명..",140개
3,shp,10:00 언니 먹는 양 실화야...? 엄청 적게 먹는다......,130개
4,음이탈,잉 에어프라이기 안빠져서 환불햇다는말에 급당황햇어여ㅋㅋㅋ꙼̈ 농담이엇넹,40개
5,SarahLee,친구분이랑 통화할때 목소리가 씬님같다 생각했는데 씬님 본명이 수혜시군요?!,18개
6,짱아찌더쿠,뭔가...보고나니까...몸이 편해.....(치즈처럼 침대에 추욱),25개
7,그저빛,1:00 처음나온노래제목아시는 귀인분ㅠㅠ,21개
8,히끽,진짜 라뮤끄님 영상 볼 때마다 너무 고퀄이세요...❤❤,17개
9,범또유,루루 수수 진짜 세상 천사들ㅠㅠㅠㅠㅠ😍😍,13개
10,매생이양식장,애옹이들 이렇게 많이 보여주시면 정말 오예입니다!!,13개
11,뚜둠뚜둠,이번 영상컨셉 너무 좋아여ㅎㅎㅎ!!!,6개
12,예블리의하루,언니 초반에 나온 노래 뭐에용 ..!,9개
13,NowEyh,언니가 쿠션 만들면 그냥 아묻따 살거에요,13개
14,뀨뀨,"아이고 언니 왤케 귀여워욬ㅋㅋㅋㅋ ㅠㅠㅠㅠ 진짜 보면서 광대가 안내려왔어요,, 고양이 탈취제 어때요.,,?! 좋나요..?!",4개
15,지뇽,거의24시간만이넼ㅋㅋㅋㅋㅋㅋ,9개
16,RAINZombie레인좀비TV,0:27 귀여워요 ㅋㅋㅋ,9개
17,예민,"언니ㅠㅠ 람뀨채널 잊지않으셨죠??ㅠㅠ
더 많이 올려주세여어어어어🥰",5개
18,사연라디오인생사연,"집이 제일 좋아요 집순집순🤗
고양이가 있다면 더더❤❤",15개
19,코랄해코랄,에어프라이기 ㅋㅋㅋㅋ 농담ㅋㅋㅋㅋㅋ 영상 너무 재밌어요 아니 람뀨님 피부 왜 혼자만 좋아지세요 ㅠㅡㅠ,6개
20,젤리,언니 사랑해 알지?ㅠ,5개
21,옹뇽뇽,꺅 브이로그 넘좋아요❤️,8개
22,김민주,언니 사랑해요 ㅜㅜ 브이로그 넘 좋아,7개
23,응두,"헐.. 홀린듯이 다봤어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
뭔가 잠올랑말랑 나긋나긋 나레이션톤이여서 너무좋다 💖
mbc 나혼자산다 말고 라혼자산다 정착할게옄ㅋㅋㅋㅋㅋㅋ:-)",3개
24,수희,고양이 너무 귀여워요...❤️🥰,11개
25,토마토맛토,카메라 앵글이 진짜 나혼산 보는기분ㅋㅋㅋㅋ저도 집에 마침 옥수수콘이랑 치즈있는데 김치밥해먹어야겟어요😚,2개
26,YeonjooLee,오마이갓 집이 왜이렇게 커요? ㅠㅠ,6개
27,응애,ㅌㅋㅋㅋㅋㅋㅋ24시간만에 먹다니ㅋㅋㅋㅋ 꿀키님 집만 나오면 냉장고에서 맥주를 꺼냅니다,2개
28,다연,언니 플레이 리스트 공유 해쥬세욤💚,5개
29,임아기사랑,진짜 언니는 천상 유투버...사랑입니다❣️,2개
30,Alicia,Thank you for putting english subs <3,0개
31,롱잉,"아니 이영상을 누가좋아해
.
.
.
.
.
저는 누입니다🙋🏻‍♀️💛💛",25개
32,이혜진,뭔가 잔잔...하니..-.- 편안해지는 영상이에요..^^ ㅋㅋ진짜 티비 보는거 같다.....,2개
33,에이,언니 브이로그 자주올려주세요 진짜 최애해요ㅠㅜ보는내내 행복 ㅠ❤❤❤,2개
34,DUI,뮤끄님!에어프라이기는 어디껀가요???😆😆,4개
35,내이름은둥희,와 이 컨텐츠 너어어무 좋아요!! 귀여운 냥이도 있고 맛있는 요리도 나오고 언니 관리하는 모습도 나오고 무엇보다 관리퀸인 언니의 화장 안 지우고 잔 인간적인 모습까지...ㅋㅋㅋㅋㅋ 저 진짜 언니 일어난 모습 보고 제 눈을 의심했어욬ㅋㅋㅋㅋㅋ 저건 분명 화장 안 지우고 일어난 모습인데... 라언니는 그럴리가 없어서 저 혼자 수십번을 의심...,2개
36,박여름TUBE,"오오 저거 냥스프레이 저도쓰는데 좋아요 ㅎㅎㅎ
저거 냥털브러시 궁금햇엇는데 잘되네요!!",5개
37,GOOYOUNGKim,뾰루지는 짜야 제맛입니다ㅋㅋ냥이들 넘넘 귀여운데 무슨 종인지 알수있을까요~~~~~~?!,2개
38,잉개굴,진짜 사랑스러워 이 언니 ㅠㅠ,0개
39,잉개굴,진짜 사랑스러워 이 언니 ㅠㅠ,0개
40,SoYoungYoon,"라뮤끄님 집순이 일상 너무 보고팠어요ㅠㅠㅠㅠㅠ
이런 영상 넘나 죠아욬🤗🤗🤗🤗🤗🤗🤗🤗",3개
41,hes21,하루하루~~난기다러왓죠~~이 노래 아시는 분 퓨ㅠㅠ,2개
42,5UCH11,Thank you so much for the English subtitles!!~ :]]],0개
43,김가현,"오늘 알림 울리자마자 달려왔네요
잘 보고갈께요^^",3개
44,강동주,"야옹이들 너무 사랑스러워요~♡♡♡
라뮤끄님은 여자가 봐도
참 좋아요♡",2개
45,신지영,거의... 24시간만ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 브이로그 넘좋아여!,2개
46,재유jaeyou,0:24 집 진짜 크다...,0개
47,장은희,넝담 ㅋㅋㅋㅋ 개웃경,3개
48,유승화,울 떵웅노래가 라뮤끄님 영상에서 나오다니ㅠㅠ 지나가던 하늘 괜히 흐뭇 하성운 다시 찾아온 12월 이야기 많이 사랑해주쉐요ㅠㅠ♥️,0개
49,키커바시리얼현미맛,1:13초쯤 나온 노래 뭔지 아시는분 있을까요? ㅜㅜ,2개
50,김팽봉,고양이 브러쉬 정보랑 고양이들에 좋아하는지 궁금해요!,2개
51,아영,아침에 틀었던 플레이리스트궁금해용!!:),1개
52,랗,메컵안지우고잔거먼가신기해용ㅎㅎ😊,1개
