,youtube_id,comment,like_num
0,예영,이 채널은 구독자가 다 망치는 것 같네,596개
1,Hihihihicrying,Where are you? :’) it’s been 11 months,217개
2,밍밍,"편집자는 바꿔야될듯,,, 유튜브 편집을 처음 해보시는건가 너무 루즈하고 이영상 제대로 편집하면 8분도 안나올거같아요 보는 내내 답답했네요;",691개
3,현리,아니 정말ㅋㅋㅋㅋㅋ한사람이 뭐라하니까 그게 충고인냥 알고 댓글 막다는 사람들 너무 많네.. 그리고 왜 화장진하고 안어울린다고 욕하는건지? 자기가 뭔 화장을 하던 뭔 상관이야 보기싫으면 보지마 다또아님한테 특히 애정있는 구독자도 아닌데 댓글 보다보면 존나 속터져요;,160개
4,정예원,"팬도 아니라서 댓글 처음다는데, 여기 세계최강유튜버들 참많네요ㅋㅋ 남들이 욕하니까 이때다싶어서 물어뜯는 사람들.... .. 팬으로서 필요한 피드백은 당연히 할수있다고 생각하지만 ,도를 지나친 이유없는 비난 정말 눈살 찌푸려집니다. 하루이틀 일궈온 채널도 아니고 잘하고싶은 마음은 채널주인이 누구보다 클겁니다. 저번보다 개선된 모습도 많은데 무조건 자기눈에 아니꼽다고 가시돋친 말을 던져대는데, 어느 누가 자유롭게 채널 운영할 수 있겠어요? 정말 다또아님 발전하는 모습 보여주길 원한다면, 그냥 응원해주세요",436개
5,먀옹,편집가지고 하도 뭐라하길래 사람들이 또 별것도아닌거가지고 난리다 생각했는데 영상보니까 좀 심각하긴하네요..ㅜ ㅜ 편집하고나서 또아님이 확인안하시나요..?ㅠㅠ,82개
6,YCB,"오랜만에 생각나서 들어왔는데 댓글에 이렇게 지능적 비꼬기 댓글 많은 백만유투버 처음봤고 이사람이 내 또래란 것에, 이걸 몇년동안 버텨냈던것에 정말 박수 쳐주고 싶네요. 그만뒀다길래 댓글들 쭉 보는데  진짜 잘 그만둔거같아요. 그냥 백만 뷰티유투버 경력 배경으로 사회에서 자기 능력펼치면서 일반인1로 행복하게 사세요. 익명뒤 여포들한테 치이지말고 안돌아오시는게 본인 장수하는 길일거같아요.",81개
7,뚜아,"요즘들어서 악플이 많아지는 것 같네요
또아님 영상보러 들어왔다가 저까지 기분이 안좋아져요
물론 구독자로서 시청자로서 댓글로 의견을 표현할 수는 있지만
한 분이 시작하시니까 너도나도 좋지못한 얘기들을 하는 경향이 있는것같아요
저 또한 또아님이 처음 영상과 현재 영상의 변화가 있다는 것을 느꼈고 메이크업을 조금 더 깔끔하게 하면 어떨까 라는 생각을 했지만
부정적인 의견만 읽으면 또아님이 감정적으로 너무 힘드실 것 같다는 생각이 들어요
또아님도 격려가 필요하지 않을까요?
앞으로도 계속계속 조금씩 발전해나가는 모습 기대되구요~
지금도 잘하고 계세요! 저는 또아님의 영상을 계속 보고싶습니다❤",736개
8,이안,편집자 분 일하세요...!.!!!넘 루즈하고 효과도 좀 넣으시고..브금도..리뷰가 넘 지루해..,866개
9,,이 사람이 무슨 잘못이라도 했나 살이 좀 찔 수도 있고 화장을 마음대로 할 수도 있지 왜 유독 다또아한테만 박하게 구는 건지?,22개
10,이예원,화장도 남들 하라는대로 해야 됨? 웃기는 사람들 너무 많다 진짜..,765개
11,SilberKey,"Girl, you don't need that. You already have full lips, that look like you got lip fillers 😀",151개
12,CreamBbread,"악플 쓰면 끝이 아니에요
님들도 똑같이 상처받을일이 생깁니다 !! 좋은거 많이해야 님들도 행복한일들이 많이 생겨요 ! 악플 그만 쓰시고 좀 착하게 살아요 제발 🙏",99개
13,khs,편집이 되게 루즈..,188개
14,Ahfmwy,립필러 리뷰 하나가 15분인게 일반적이진 않죠.....,49개
15,땅콩,오늘 눈화장 진한 거 같지 않은데요ㅠ 내가 보기엔 예쁜 것 같은데ㅋㅋ 화장은 자기만족이죠~,342개
16,lomarlay,다들 괜히 편집 뭐라하는게 아니네......너무 루즈하고 오디오도 엄청 비게 느껴짐ㅋ...,107개
17,유희경,새로운 편집자분과의 첫영상이라 그런지 리뷰 자체의 주요 내용보다 사설이 더 많은거 같아요😭 그걸 걸러낼 만큼은 걸러내서 영상 제작하는게 편집자가 아닐까요..? 리뷰보다가 잘뻔했어요,211개
18,키키뿌뿌,"편집이 많이 아쉽네요..ㅠ 자막이 없을때나(말을 안할때) 똑같은 긴 반응을 보일때 좀 짧게 끊고,효과음을 넣거나 클로즈업해서 편집하면 좋을거같아요. 이번 편집자는 영상 자르는 편집을 거의 안한거같아요 ㅜㅜㅜ자막이랑 화장품설명만 넣은 느낌..",330개
