,youtube_id,comment,like_num
0,전혜진,빤스자랑쟁이... 못말려 진짜..,21개
1,이예린,도대체 저만큼 늘어나는 팬티가 있는 이유가 뭐야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그만큼 편하다는건가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,23개
2,Skyophelia,아닠ㅋㅋㅋㅋ 여기가 뷰티채널을 빙자한 속옷전문채널이얔ㅋㅋㅋㅋㅋㅋ 얼마있다가 뷰티영상보다 속옷방송잌ㅋㅋ더많아지는거 아니죠???,16개
3,백척,아이앀ㅋㅋㅋㅋㅋㅋ 저 썸네일보고 어떻게안들어왘ㅋㅋㅋㅋㅋㅋㅋ,992개
4,권현지,"씬님채널 :방앗간
권현지: 참새 
여긴 방앗간이고 저는 참새입니다. 지나칠 수가 없네요 빵꾸난 빤스가 참 인상적이네요🤪",842개
5,최현서,역시 태생이 속옷유튜버였어..씬님은...👙👙,695개
6,정민교,나는 왜 뷰티유튜버의 속옷 리뷰 알림에 이리도 열광하며 달려오는가.......,421개
7,처돌이,이 썸네일보고 어떻게 안들어와욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,578개
8,서윤채,모짜렐라 치즈도 저렇겐 안 늘어날텐데,195개
9,얌얌야미야미,14:44 언니 이거 안샀어요? 언니한테 찰떡인데,216개
10,Hansum,언니의 빤쮸사랑을 보고 하나 조심스래 추천합니댜.. 베이코(한국꺼)라는 사이트에  풍기인견이라는 빤쮸가 있습니다. 정말 강추 완전 편해요.. 널널한 옷입으면 안입은듯한 착각을 느낄 수 있습니다..:),183개
11,용담,이정도면 씬님 팬티사러 미국가시죠?ㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋ,292개
12,랄루랄루,첫번째 샵 뭔가ㅋㅋㅋㅋㅋㅋ.... 밖에서 보기엔 안도 삐까뻔쩍 할것같은데 의외로 들어가니까 약간 돈키호테식 DPㅋㅋㅋㅋㅋㅋㅋㅋ 한번 가보고싶어요ㅋㅋㅋㅋㅋㅋㅋ,214개
13,용담,참새와 방앗간이라니...... 씬님에게 속옷가게란... 마음의 고향같은 그런거...?★,238개
14,o3o,16:27 와... 발음 영어사전튼줄,21개
15,후앵,14:44 이거 너무 이쁜데여???ㅠㅠㅠ,445개
16,킹태민,"지나가다가 우연히 댓글이마주쳐

모든사람들이 행운이 가득하길빕니다

오늘하루모두 수고하셨습니다",49개
17,투명케찹병,ㅋㅋㅋㅋㅋㄲㅋㅋㅋㅋㅋ 경기도 방구석에 앉아서 미국 빤스 트렌드 알 수 있는게 넘 웃겨ㅜㅜ,20개
18,JinAh,언늬.. 속옷 하울 영상 올라올 때마다 얘기하는건데 제발 킴 카다시안이 낸 언더웨어 라인 Skims 하울 해주세영 ㅜㅜㅜㅜ,130개
19,김소현,"언니 진짜 진지하게 나중에 속옷 브랜드 런칭해줘요..
ㄹㅇ 잘 될거 같다고요ㅋㅋㅋ",56개
20,SimBa,"빤스 안 보구 계속 루키 보고 있었는데
16:03 루키야 뭐 봤길래 꼬리 움직임이 그래?ㅋㅋㅋ",32개
21,JiHyeLee,6:23 앜ㅋㅋㅋㅋ내가 대신 당황스러워...,54개
22,jko,14:43 아닠ㅋㅋㅋㅋ이 부분 전까진 다 가슴 모자이크인데 여기부턴 갑자기 모자이크가 왜 배로 가욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,51개
23,MustardMayo,19:25 뒤에 구경하는 하츠도 놀라는 늘림 파워 팬티 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,66개
24,아프리카청춘이다,"나 : 아 이제 자야지...
유튭 : 야 속옷하울 영상 보러왕
나 : 아 뭐래...
유튭 : 빤스 개잘늘어나는것도 있는데?
나 :",22개
25,이은채,"썸네일이 참 씬님 스럽네요ㅋㅋㅋ




제 스타일 이기도 하고여(크흠...)",61개
26,yeeunkeem,6:20 웃겨서 죽겠어욬ㅋㅋㅋㅋㅋㅋ,12개
27,썰면한접시,시작부터 똥구멍에 바람ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ,44개
28,KimZoe,2:20 가게 내부는 뭔가 들어가면 안 될 법한 인테리어야,35개
29,의대생연붕이,모짜렐라 치즈도 저렇게 안늘어날텐데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ......,23개
30,렘,와 대박 근데 진짜 와 대박 팬티가 와 실뜨기 실보다 실이 덜 들어갔을 거 같고 좋네요 와,30개
31,서네,모짜렐라 인 더 빤스☆ ㅋㅋㅋㅋ썸넬 보고 허겁지겁 왔습니다ㅋㅋㅋㅋ,27개
32,RIMRIM,아 세상에 내 웃음 동영상 올라왔네여 아 진짜 행복햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ언니 다른 동영상도 좋고 재밌고 보면 행복하지만 속옷 리뷰가 진짜 제 웃음벨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런거 좋아해서 죄송해요ㅠㅠㅠ근데 언니 표현력도 진짜 찰져여ㅠㅠㅠ엉엉 재밌어ㅠㅠㅠㅠ언니 덕분에 진짜 또 한창 웃었어요ㅠㅠㅠ감사해요 허엉ㅠㅠㅠ,28개
33,LaLaHa,언닝언닝 그 곽토리님이랑 옷 바꿔입는 컨텐츠 마지막 옷 정보 뭔가요!?!ㅠㅠ 아직 답글이 없으시네유,35개
34,silverChoi,나 ...이언니 속옷 살때마다 완젼 설램 ㅋㅋㅋ 돈 벌어서 속옷만 살것 같은 기세와 눈빛 ㅋㅋㅋㅋㅋㅋ,10개
35,JihyunKim,"19:26 아 놔 진짜 빵터짐!! 근데 에어리 진짜 소재 너무 부들부들 짱 좋아요!! 단점은 씬님도 말씀하셨지만 자주 입으면 늘어나서 1년이상 못 입음 ㅎㅎ 
22:21 으악!!!!!으하하하ㅏ하하카ㅏ카캭 크크큭!!!",17개
36,김민지MinjiKim,20:02~20:08 뒤에 회색고양이 이때보고 진짜 조각상인줄 그래서 움직일때 깜짝 놀랐어ㅠ,10개
37,도연,근데 씬님 한국 부라자들도 하울 찍어줘요ㅜㅜㅜㅜ 한국부라자들 넘나리 불편해서 지대짱나,8개
38,김나경,6:51 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이정도면 세뇌수준아닌가여,24개
39,밴드오브브라더스,"아 친구분
오마이가쉬
진심 리얼 oh my goshhhhhㅋㅋㅋㅋ
팬티 허벅지 늘리는데
나쓰러졌네 어이구우우우",13개
40,행운성,존버 성공이다,18개
41,김승재,아니 이제 여기 뷰티말도 속옷 채널이얔ㅋㅋㅋㅋㅋㅋㅋ언제부텈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 매일 언제 나오나 기대중이었움ㅋㅋㅋㅋㅋㅋㅋ,21개
42,이숨,인생팬팈ㅋㄱㅋ앜ㅋ늘어날때 진짜 깜짝놀랬네,7개
43,spacedaughter,스크롤 내리다가 웬 치즈가????하고 다시 봤더니 팬팈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4개
44,베키박스Beckybox,19:25 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜 웃다가 뒤로 넘어갓넼ㅋㅋㅋㅋ 앜ㅋㅋㅋㅋㅋ 사랑해여 언닝ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3개
45,박정하,25분 순삭ㅋㅋㅋㅋㅋㅋㅋ 너무.속옷 하울인데 왜이리 재밋죠,1개
46,강도연,19:36 아니 ㅋㅋㅋㅋㅌㅌㅋ어ㅐㅋㅋㅋㅋㅋㅋ아 너무눗곀ㅋ큐ㅠㅠㅠㅠㅠ,6개
47,jun금손이지니,아 진짜 누가 속옷유튜바 1등하래요 씬님땜에 좋아 미치겠네ㅋㅋㅋ,17개
48,피곤도키도키,24:04 웃음버튼ㅋㄱㅋㄱㅋㄱㄱㄱ앜ㅋㄱㄱㅋㄱㄱㄱ,7개
49,안녕하세요,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 이언니 미쳤나봐ㅠㅠ 뒤로 갈수록 미쳤어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ❤️,5개
50,UE,"에어리 진짜이쁘네ㅜㅜ 
아그거랑 털 슬립 강추 개강추ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0개
51,킹나무,우리나라 탑 팬티리뷰 유투버ㅋㅋㅋㅋㅋㅋㅋ,4개
52,김주희,"그녀의 신상
이름,씬님
특이점,뷰티유튜버에서 뺀티 브라자전문유튜버로 전직",10개
53,나야나,귀엽다면서 엉덩이 흔든거 ㅋㅋㅋㅋㅋ 빵터졌어요 ㅋㅋㅋ 씬님 속옷 후기 넘 재밌어요!,3개
54,l양갱,이러다가 팬티런칭해서 홈쇼핑에 나오는거 아니에여 ㅋㅋㅋ그럼 살래,2개
55,BonnieKim,바로똥을싸다뇨 언닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 너무 웃겨,1개
56,kelly1225,남 빤스사는거 보는게 이렇게 재밌는 일인감...🙈,4개
57,버나,이언니는 돈쓸때도 재밌냐ㅠㅠ내가본 광고가 아깝지않아ㅋㅋㅋㅋㅋ,4개
58,뭐야넌,아니 해시태그 씬님팬티 먼데 ㅠㅠㅠ큨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠ,10개
59,양양,"숨김없고 가식없고~~!!
언제 5탄을 볼 수 있을지 ㅠㅜ 코로나 조심하세요오❣️",4개
60,Seol예지,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 웃곀ㅋㅋㅋㅌㅋㅋㅋ 그놈의 매칭팬팈ㅋㅋㅋㅋㅋㅋ,2개
61,파이Pie,속옷 맞깔나게 알려주는 뷰티유튜번 언𓆗𓂭 바께 없을꺼여 ㉵ 징쫘 부라자부터 y빡에다㉮ 종기나서 네모팬티 샀다가 디게많이 실패를 했다는 그런 이야기 이야 🤩 네모팬티 살뻔했다㉮ 내 통장쓰를 지켰다는 전설⍤⃝𓂭 ..😂,13개
62,mmm,하 이 언니 뷰티유튜버인데 속옷리뷰가 진짜 너무 맛깔남;; 하 이러시면 너무 좋다구요,1개
63,,아 진짜 빤스 사는거 너무 재밌어ㅋㅋㅋㅋ,2개
64,윤하,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ언니 가둬두고 속옷리뷰만 찍게하고싶어요ㅜㅜㅜ여기가 맛집ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저두 저번에 언니리뷰보고 미국에서 빅시랑 에어리 다녀왔어요 많이 건지진 못했지만ㅜ0ㅜ,1개
65,용담,저 빤티 요가할때 땅기는 그 손수건같이 생긴거 아니에요...?,6개
66,CHAENI,ㅌㅌㅌㅋㅋㅋㅋㅋㅋ봐봐 하면서 보여주니까 실시간 영통하는거같앸ㅋㅋㅋㅋㅋㅋㅋㅋ대답하구있는 나를 발견,1개
67,,진짜 언니 속옷 리뷰 영상 너무 재밋어요ㅠㅠㅠㅠㅠ한국에도 저런데 있엇으면ㅜㅠ,3개
68,yuejin,인스타에서 보고 얼마나 기다렸는지 몰라요ㅠㅠㅋㅋ 속옷 쇼핑은 역시 씬님과 함께♥,6개
69,이진,ㅋㅋㅋㅋ 아 시작부터 존나 웃기다 전 참새구요 여긴 방앗간이에요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언니!! 진짜 사랑해!!,4개
70,꿀꽈배기,아니 무슨 빤쓰가 모짜렐라피자처럼 늘어나네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
71,꼬마마법사,19:25ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아진짜 미쳤냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
72,홍석천머리끈,9:02 이게 뭐얔ㅋㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋ,6개
73,이채원,진짜 궁금해서 그런데 언니 속옷 서랍한번만 보고 싶다..얼마나 많을까 궁금해 ㅋㅋㅋㅋㅋ,1개
74,눈누난나,새벽 두시에 팬티 리뷰를 보는 날이 올 줄이야..씬님최고,4개
75,Resonance,으앜ㅋㅋㅋㅋ 썸네일 보고 한참 웃얶넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
76,치즈떡볶이,썸넬 보고 들어왔는ㄷㅋㅋㅋㅋㅋㅋㅋ ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 그렇게 늘려욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 얼굴은 왜 넣는거에욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
