,youtube_id,comment,like_num
0,박희용,"화면정환이 정신 없어요
쓸데없이 화면전환이 많아요",6개
1,테크룸,ㅋㅋㅋㅋㅋ진짜 항상 유니크한걸  어쩜 저렇게 잘하시는지 !!!,8개
2,ChanP,형 화면전환이 너무 빠르고 많아서 정신없어요...,3개
3,KOKO,오 스팀다리미 좋아보이네요 추가리뷰 강력요청..!,4개
4,알뜰살뜰정궁핍,"마지막 가습기는 손잡이를 뒤로 보내서 물이 빛나게 하는거 아닌가요?ㅎㅎ
항상 가성비가 중요한거라 ... 그냥 수건 빨아서 널어야겠네요 ㅠㅠ",1개
5,RyutopiaRyutopia,"형님 오랜만에 봤습니다
스팀다리미 기대되네요
화이팅하시고 건강조심하세요",2개
6,아르미몽,"죄송합니다 전에 adhd 댓글달았던 사람인데요 
무의미하고 잦은 시점전환이 보는 사람을 힘들게 하네요",2개
7,일상여행,스팀다리미 좋아 보이는데 사용기를 기대해 봅니다.,2개
8,신용승,디어마 다리미가 땡기네요.ㅋㅋㅋ,1개
9,박수련,영태형! '나 카메라 많다' 편 인가요? ㅠㅠ ㅋㅋ,3개
10,세탁설LaundrySSul,와... 오늘은 다 제가 써보고 싶은 제품들입니다~~,1개
11,HyukjoonLee,영태형~~~~~,0개
12,노한빈,잘보고 있습니다,1개
13,BOSSDS1,"디어마 스팀 다리미는 진심 사고 싶네요.
무선 가습기도요.",1개
14,나고수,형님 건강조심하십쇼~~,0개
15,THEREYOO,선추!,0개
16,류승범,가운 벗은김에 영상 중간중간 들어가는 이상한...그것도 같이 빼시면 안될까요..ㅠㅠ,0개
17,TGH,알리 동영상과는 차이가 크네요!  간단한 리뷰 감사합니다. 다목적다리미 상세한 리뷰 부탁드립니다.,0개
18,까마귀,다리미 끌리는데... 리뷰는 언제올라올까요..,1개
19,곤수니,오늘 물건 다 좋은거 같아여  접이식 다리미만빼고 ㅋㅋㅋ,0개
20,황선오,접이식 다리미 오징어나 쥐포 구울때 좋을꺼 같아요.,1개
21,JinPark,컷편집  너무자주하니 정신없어요.,0개
22,박허리케인,디어마 스팀다리미 리뷰 해주세요~!,0개
23,SantiagoJeon,디어마 다리미는 일반 다리미로 쓸 때 열판에 열이 골고루 전달되는지가 중요해 보이네요.,0개
24,톰브라운,"오랜만에 올렸네요^^ 
일단 좋아요와 댓글 후 영상을^^
근데 순간 온수기는... 무조건 필요하다?라고 볼 수는 없지만, 우리나라야 원래 냉 온수 잘 나오니.. 
그럼에도 너무 간편한데요? 그냥 전원만 꼽으면 되는? 대학생들 자취 할때, 보일러 켜지 않고 사용할 때는 좋을 수도... 
일단 궁금은 하네요;; 잘 되는지는.. ㅎ
디어마 다리미는 살려고 장바구니에 넣어 둔 건데... 일반도 되고 스팀도 되는.. 완전 기대가 되는...",0개
25,최우성,자동차 소형청소기요,0개
26,키키짱,요새 매우 만족하면 쓰고 있는 두가지 제품 추천해드립니다. 샤오미 미지아 손세정기. 샤오미 유핀 TOWNEW 자동센서 스마트 휴지통. 특히 휴지통은 화장실에 두고 쓰면 깔끔하고 아주 좋아요. 코로나 이후로 구하기도 배송도 엄청 오래 걸리고 가격도 비싸졌더라구요.,0개
27,하나,"영태형님!! 쇼핑중독 초창기 때부터 본 구독자입니다. 오랜만에 영상 봐서 반갑게 잘 봤네요. 근데 구독자 유입이 안되는거 같아 속상해요. 영태형님 구매 성향이 주류보단 가성비나 유니크한 제품이니까 사람들이 잘 안보는거 같아요.. 제품영상의 반 정도는 새로 나온 인기있는 제품 리뷰하시고, 나머지 반은 영태형님의 성향?에 맞는 제품 추려서 리뷰하시면 구독자가 조금 더 늘지 않을까해요. 영태형님 응원합니다~",0개
28,iopiop83,판매 좌표좀주이소 형님,0개
29,mikepark,"답답해서 지나가려다 한말씀...
도대체 영태형채널 시청자는 대부분 중년여성분들인가요? 상품설정이 정말 따분합니다. 그리고 너무 그 따분한상품들이 계속 중복되고 있어요. 새롭거나 신기하거나 미친가성비 등이 전혀 결여된 쓸데없는 중년여성분 취향의 제품들...
이시국에 마스크 소독용 uv소독기 라든가 비접촉식 체온계 라든가 뭐 이런거좀 리뷰해주세요. 영태형 사랑해요!!!!",3개
30,송나미,영태형님물건최고♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥^^,0개
31,김대호,"짜증나네..
광고가 몇개냐",0개
