,youtube_id,comment,like_num
0,IsadoraBorges,"gente, muitos brasileiros acompanham a Jella 
Pensava que não tinham muitos",20개
1,진강,"아 진심 좋은 뜻으로 암사자처럼 생기셨어요..
+영어 (번역기 돌려서 틀린 거 있을 수도 지적해 주면 바로 고치겠음)It's a compliment, but you really look like a lioness... This is a translator, so it might have been wrong in English.",169개
2,nasheeda13,When Jella uploads better drop everything 💃🏽💜💜,14개
3,뇽안뇽,와 샤넬 가방 언니랑 진짜 잘어울려요,176개
4,먹보리,"언니 너무 섹시한거 아녜요,,,,? 무리하지 마요 제 심장에 무리와요,,,",150개
5,OrionsOutro,HAPPY BIRTHDAY!,6개
6,milkteakitty,happy birthday!!! ur makeup and outfits are on POINT like always😍💖,8개
7,MyrahAlam,HAPPPPYYYYY BIRTHDAYYYYYY JELLA WE LOVE YOU,3개
8,박쭌,"금장부분 스티커는 바로 떼셔야해여 ㅎㅎ 전 사는 당일 다 뗍니다, 그게좋다고 매장에서 말씀하시더라구용",22개
9,AreGup,Belated 🤗 hope u enjoy your day sweetie,6개
10,꺄뀽,정말죄송하시만 저 타미진스 위아래 구매처 아시는분있나요? 너무이뻐서요ㅠㅠ,5개
11,bellek,"Happy birthday Jella! Let's see if I can get this right:

생일죽하행요",48개
12,iaL,"까리함을 인간화하면 바로 젤라님,,
젤라님을 위한 선물이라니 너무 좋은 것 같아요!
수고많으셨구 앞으로 꽃길만 걸어요❣️❣️",5개
13,SachiMourya,"I love how excited and appreciative you are about every gift, its so sweet. I nice to see you so happy! 💕🌸",2개
14,김선린,와 사람이 이렇게 까리하게 생길 수 있군요,48개
15,AriesBorja,Pamper yourself  once a week. 💜,4개
16,김달,"진짜 세련되고 멋있다 젤라님 닮고 싶어요 제 이상형이세요,,, 젤라님 같은 진짜 어른으로 크고싶어요",65개
17,머메이드,"와 가방 진짜 예뻐요! 기존 클래식, 보이백보다 백배 예쁨ㅠㅠ",44개
18,뤼찬,샤넬 가방 너무 고급지고 이쁜것이 언니랑 찰떡이네요ㅠㅠ,51개
19,체리,언니는 언니자체가 빛나는 명품이에여......!,6개
20,nekodesu,Legenda em português!!!! Por favor ;-;,23개
21,무명,좋은 사람 곁에는 좋은 사람들이 모이기 마련이죠ㅠㅠ💜,40개
22,GraceS,어머머머머 젤라님 헤어밴드하고 사진 잠깐 나온거 너~무나도 이뻐요!!!,12개
23,준희,언니 구독자80만명 너무 축하드리고 오늘도 너무너무 이뻐요!!!♥,21개
24,윤기가최애인아미,헐 언니 오늘 메컵 넘 이뻐요ㅠ ㅋㅋㅋ아직도 안듣으셨 ㅋ,18개
25,정혜인,"늦었지만 생일 축하드려요 언니ㅠㅠ
다이슨 탐난다,,,",13개
26,,볼때마다 감탄나오는 얼굴이야... b612필터 효과 뷰티효과 넣은것처럼 생겼어ㅠㅠㅜ,8개
27,은지,최고 예쁘다... 완전 예뻐요 정말 제 모든 친구들에게 구독 하고 영상 좀 보라고 최고라고 홍보 열심히 하고 있어요 사랑해요... 🥰🥰,19개
28,초코처코,샤넬백 너무 예쁘고 언니랑 너무 잘어울려요ㅠㅠ,5개
29,Livy,"I Love you Jella.
I'm from Brazil 🇧🇷🇧🇷♥️",24개
30,애기야할미해봐할미,헐 언니 오늘 완전 중세 귀족같아요... 귀티뿜뿜,15개
31,김민영,패션 찰떡 아이템!!,9개
32,자신있어려욱은,"언니뜨자마자 왔어요 
싸랑해💕💕❤️

+코로나조심해요
+HAPPY❤️birthday to you💕💕🎂🎂🎂🎂🎂🎂🎂😘",18개
33,cvtherlne,생일축하해요 언니! 💖,4개
34,SaddeS,"Happy birthday Jella, I wish you a lot of happiness, success and good health <3",8개
35,민서minseo,"와,, 언니 이번영상 메컵진짜 잘 어울리고 이쁜데요 ?? ㅠㅠㅠㅠㅠㅠㅠㅠ 취저 ㅜㅠㅠㅠㅠㅠㅠ😭💜",7개
36,권예지,아 진짜.. 언니 너무 매력있게 아니 너무 섹시한데 또 아니 너무 예쁘게 생겼어요 진짜 와 ..,2개
37,TAVI,"언니가 이런 영상을 업로드 해주시다니요. 처음이에요. 🤭 언니랑 너무 잘 어울리는 가방이에요!! 생일 다시한번 축하해요. 여신님💜 
마지막으로 80만 축하해요 ♡♥♡♥",17개
38,BeaKwon,she's so humble I'm in love,0개
39,NAEUNSTTYA나은스쨔,진짜 카리스마랑 매력미 고급미 다 있어요 ㅠㅠㅠ 변함없는 제 롤모델 정말 정말 사랑해요.....❤️,6개
40,유유영은,ㅎㅎㅎ축하드려요~~~!!! 너무 잘하셨어요..저도 언젠가는 제자신에게 선물할거에요~!,9개
41,AnnaPark,너어어어무 이뽀요!!진짜 잘어울려요!!!정말 늦었지만 생일 축하드려요!!💜💜,8개
42,25일2월,"가방이
언니 닮아서 고혹적이네요 매력뿜뿜!!
너무이뻐요 젤라님 !
늦었지만 생일축하해요~",8개
