,youtube_id,comment,like_num
0,ITsokay잇츠오케이,"🎉잇쬬께 10만 기원(?) 구독자 이벤트🎉
▼▼▼▼▼아래 영상을 보시고 해당 영상 좋아요! 그리고 잇츠오케이 구독!을 해주시면 랜덤 추첨을 통해 '에어팟프로'를 드립니닷💓
https://www.youtube.com/watch?v=EU5eUg55Izs
에어팟 프로 이외에도 다양한 선물이 준비되어 있으니 많이 참여해주세요!
빨리..10만 유튜바😎 되고 10어요...구독 꾸욱 한번씩 부탁드려요😍
 
앞으로 더 열심히 하는 잇츠오케이가 되겠습니다😀👌",3개
1,Clapper,"내가 정말 액션캠이 필요한가? 이게 가장 중요합니다.
필요해!!!!라면 일단 짭프로를 사세요.
그리고 알겁니다. 아 폰에 카메라달린게 정말 편리하구나",28개
2,JaeHwanKim,"스쿠버 다이버 입니다

물속 용도로는 오즈모 안됩니다 소니나 고프로 구매하시기 바랍니다

디테일이 다릅니다

물러가겠습니다.",5개
3,S2h,0:49 우와~ 많이 이쁘다~~,10개
4,테크룸,고프로 맥스 사용중인데요! 가장 아쉬운건.....아무래도 배터리 ㅜㅜ 액션캠의 고질병 같아여 ㅜㅜ,8개
5,최종인,이젠 관심있는 주제아니어도 인트로는 꼭 챙김 ㅋㅋㅋㅋ,3개
6,말프트,오늘 썸네일 존예+존귀 ㅠㅠㅠ,0개
7,루미큐브,진짜 너무 원하는 액션캠만 다 모여서 좋았습니다 ㅠㅠㅠ 오늘도 믿고보는 이쪼케!!!,3개
8,이동화,왜 나만 오징어 포켓이라 들리지,5개
9,세민채,누나 진짜 뭐 사지 고민 했는데 넘 고마워요ㅠ,1개
10,NYSON,"1:06 액ssㅕ
              ㄴ",1개
11,해라파이팅,"이젠 내용보다 인트로 기대하고
클릭하게 되네요 ㅋㅋㅋㅋ
그렇다고 내용이 가볍다는게 아닙니다!!
항상 잘 보고 잇습니다. 아 물론 인트로요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0개
12,김태균,영상 잘 보고 있어요~ ㅎㅎㅎㅎ 역시 간단하게 딱 찝어주는 잇츠오께,0개
13,교차편집채널,"이츠오케이 화이팅ㅎㅎ
저 채널도 홍보해주세여ㅎㅎ",0개
14,최태영,좋은 꿀팁과 좋은 비교 너무 잘보고갑니다 매번 좋은 영상 감사합니다~,0개
15,송유성,눈썹이...더 귀여워 지셨네,0개
16,수호,오징어가 젤 좋다는데 뭔가 했네요 ㅎㅎㅎ,0개
17,eunghyunlee,3:25 0:12 ㅋㅋㅋ,0개
18,꾸락,인트로 재밌어용 ㅋㅋㅋ 저는 이번에 고프로8 구매했는데 잘 사용하고 있어요!,1개
19,앨리스,ㅎㅎ 좋은정보 감사해용,0개
20,Ruijia루이지아,액션캠 월드커ㅓㅇ어업!!!! 꼼꼼히 비교해주셔서 도움이 되었어요!! 전 손 흔들림이 없는 게 가장 좋다고 생각해서 돈 모아서 얼른 고프로 살게요!!,0개
21,쌤띵SameThing,고프로8 갖고 있는데 밧데리가 너무 빨리 달아서 고민이에요 ㅋㅋ 안심하고 오래오래 쓸 수 있다해서 뿌듯합니다👍,0개
22,모아,무난하게는 고프로8인가여 ㅎㅎㅎ,0개
23,THO,고프로맥스는 컴퓨터로 옮길 시 용량이 어마어마합니다,0개
24,yschoi,객관적 비교 감사해요~~👍,0개
25,Gui,음성 테스트도 있었으면 좋았을텐데 ㅠㅠ 감사합니다.,0개
26,정회원,인트로때문에 팔로우 합니다 ㅎㅎ,0개
27,BonaejwoyoChamps,실버 가즈아!,0개
28,토찌sCanadaGoPro,좋은 정보 감사합니다. 원래 8 맥스로 살까 했는데 8이 더 괜찮을꺼 같네요 ㅎㅎ,0개
29,백승준,저는 지금 영상찍는 캠을 😅,1개
30,yschoi,요즘 잇츠오케이 연기가 ㆍ 전북 무안 이네요~,0개
31,SohyeonYoo,와 이거 정말 제가 궁금했던것만 잘 비교해주셨네요!!!!!!,1개
32,최설,액션캠 맛집!,1개
33,묵맨,"영상 항상 재밌게 봅니다 
혹시 안드로이드 (갤탭s6)노트쉘프 동영상도 찍어주세요 ㅠㅠ!!",0개
34,문별이,인트로맛집입니다,1개
35,지푸라기,"고맙습니다. 정보 많아서 좋습니다.
그런데.. 너무 빨라요.
말도 너무 빠르고 화면도 너무 빨리지나가버리고 .. 보라는건지..
정보부분은 좀 천천히 지나가게 편집좀 해주시지 눈돌아가는쥴..
메모할시간도 없이..",1개
36,매봉산다람쥐,잘  보고 갑니다,0개
37,자대연최태선,와! 대단한 비교 리뷰! 정말 도움 됩니다! 프로사군요!!! 감사합니다!!!,0개
38,구마고,액션캠 필요도 없는데 다봤다😆,0개
39,안유빈,여기가 인트로 맛집인가요??,0개
40,밖에서만나요,고프로를 구매하려고 했는데 인스타360 1인치로 구매했습니다... 영상 잘봤습니다~~~,1개
41,흐믓원숭이,앗농~하세요~! 이이이잇즈 오케이!👌구독자입니다!! 요즘 영상 잘보고 있습니다 ㅎㅎ 제가 방에 컴퓨터모니터형?tv를 놔둘려고 하는데 혹쉬~ 이것듀 리뷰해주실슈있나욥??,0개
42,NovaKim,늘 잘보고 있어요!,0개
43,대프리카,😊❤,0개
44,팔자갓,액션도 하셨으니 360도 카메라 비교도 해주세요.ㅋ,0개
45,썸원,현재 영상은 어떤걸로 촬영하셨는지 궁금합니다.,0개
46,StudiosMAC,소니 : 나..나는?,2개
47,서하림,드뎌 댓글,0개
48,전창헌,브이로그도 많이올려주세요 ㅋ,0개
49,서하림,내이름도 민성인데 아직12살,0개
50,NICENICE,Max no 방수..,0개
51,해보까TV,뭘 살까 고민중이었는데 고프로8 가야겠네요. 깔끔한 설명으로 쉽게 이해할 수 있어서 좋았어요. 좋은 정보 감사합니다.^^,0개
52,CHACHA,영상 감사합니다. 저의 직업 특성상 야간에 아경촬영 브이로그 목적으로 액션캠을 하나 사려고합니다. 어떤 제품이 좋을까요? 답변 부탁드립니다^^,0개
53,운전교실wer093D,액션캠이 너무 비싸요?,0개
54,김한샘,오즈모 액션 풀네임이뭐에용?,0개
55,김도미,th무스,0개
56,LeeJoseph,아~~ 고마워요. 요즘 고민 중인 주제라서... 늘 행복하세요.,0개
57,AJLEE,제가 궁금하고 알고 싶었던 기계들의 비교 리뷰가 한 영상에 다 담겨 있어 진짜 도움 많이 되었어요 ㄱㅅ ㄱㅅ,0개
58,보더로운생활,강아지 ㅊ하네스 고정 용 쓰고싶은데 추천해주실게있나요,0개
59,윤수신,🤍,0개
