,youtube_id,comment,like_num
0,남창현,진정한 허니 콤보 ㅋㅋ 맛있겠다,204개
1,뿌잉뿌잉,자체적으로 만드는 교촌허니,260개
2,ASMRcravings,"Such good meals lol, the honeycomb was 💯",3개
3,슈슈공장슈가글라이더TV,헐 이게 진정한 허니후라이드인가 ...,159개
4,브릭타임TV,뭔가 새로운 음식먹는것보단 이렇게 다양하게 조합해서 먹는게 난오히려 좋다,87개
5,Kawaiinaa,", can somebody tell me what’s the white shapes he’s eating?🤣 is it just cheese?",31개
6,MidoriGurin,3 minutes ago💁🏻‍♀️,2개
7,EatwithMako,Yummy ❤️ this food make me hungry 🤤🤤🤤,3개
8,구슬,썸네일만 보고 옆에 치즈가 아니라 무 인줄 ㅋㅋㅋㅋㅋㅋㅋㅋ,40개
9,수박씨MrWatermelon,"“그는 척하는 것보다 진짜를 좋아한다.”
역시 떵개형 리얼허니콤보를 드시네👍👍👍",104개
10,SeoGiASMR,4:22 진짜 리얼 허니콤보네욬ㅋㅋㅋ,63개
11,ilahpena,How can you eat all that food for a living and still look good as he'll what's your secret cuz god dame like HOW!!!!,1개
12,둠발롬,형 진짜 졸라 맛잇게 먹는거알아?,70개
13,기차헌터GichaHunterASMRGichaHunterEats,"첫입 START EATING
00:26 후라이드 치킨
01:20 벌집꿀
01:49 치즈
13:16 치얼스",62개
14,맛크래미,와 진짜 신선한 조합이다 ... 저 세개 한번에 드시는 분은 떵개님밖에 안계실 듯 하네용 ㅋㅋㅋ!,45개
15,엘리시아,허니 치즈 후라이드 신메뉴 개발중입니다만...,2개
16,야식먹방TV,역시~~닭다리~~소리만 들어도~~먹고싶어진다....,38개
17,,フライドチキン食べるの上手いランキング多分世界４位ぐらいだと思う。,29개
18,,ほんとに蜂蜜好きなんやなー笑,20개
19,ASMRMuKbang맛형,"I'm going to see the jam-eating shop today
Always be happy😍👏😀😘",1개
20,임세훈,소리 조합이 최강이네 ㄷㄷ,35개
21,더블브이ASMR,"벌꿀과 최고의 치킨 닭다리...
이건 안봐도 역대급 먹방입니다👍",1개
22,JiwonTM1213,와...치즈 진짜 쫜쫜해보인다...쥬르륵..,61개
23,유인UINASMR,"아..지...진짜 간신히 잘버티고있었는데...하...ㅠㅠㅠ미치겠다
치킨너무먹고싶다 진짴ㅋㅋㅋ와;;;;
치킨도치킨나름이지만 꿀 이대박이다;;",9개
24,힁때힁heeng,와 진짜 허니치킨ㅋㅋㅋㅋㅋㄱ  스케일보소,3개
25,태정태세문단속하라,11:08분 난이걸보고 배가고파..죽는ㄷ..ㅏ..(깨꼬닥),27개
26,류모씨,어떻게 오돌뼈를 저렇게 맛갈나게 먹을수가있지?,2개
27,음미하는시아SiaEnjoyEating,"이거 보고 치킨 브랜드는 반성해야한다...
""리얼""이 뭔지 제대로 보여주는 영상",6개
28,구슬,저게 진짜 허니 콤보 지 ㅋㅋㅋㅋㅋㅋㅋ,6개
29,icecreamjinheo,저녁인데   영상보고 배가.......배가!  고프다... 그 소리와 치킨....의비주얼  내가 치킨을좋아해서 먹을때 환장을하고 먹는데..... 꼭 그렇게 맞있게 먹어야 겟나요...?  너무너무. 좋아 보고많있어도 비주얼이 야식을 불러.... 어떻게ㅠ,20개
30,손상범,"타임라인 입니다. (늦어서 죄송합니다) 

0:26이팅 스타트(치킨)1닷다리~
1:20벌꿀~1:49치즈~
2:04 2닷다리~3:04벌꿀~3:22치즈~
3:34 3닷다리~4:24 4닷다리(허니콤보)~
5:33치즈~6:03 5닷다리(허니콤보)~
7:08치즈~7:22벌꿀~7:28 6닷다리~
8:21벌꿀~8:43 7닷다리~9:23치즈~
9:44 8닷다리~10:39치즈~10:51 8닷다리~
11:55 9닷다리(허니콤보)~12:51치즈~
13:15치얼스(물)~~~~13:22녹화 끝
수정 할 부분 있으면 알려주세요",41개
31,배고픈남자,1:30 나도 죽기전에 벌집 한번은 먹어보고 싶다ㅏㅏㅏ,16개
32,조개줍는뚱이,아 진짜 단짠단짠 너무 맛있어 보이자나요ㅠ,2개
33,아톰,벌집꿀도 닭다리 뜯는것처럼 드심ㅋㅋㅋ 이 분 먹방이 제일 좋아요 ㅠㅠ 대리만족최고🧡,1개
34,독박TVDokparksASMR,떵개님은 맛있게도 드시지만 소리도 넘나 좋다는..ㅜㅜ 잘 보고 갑니닷!,1개
