닉네임,댓글,좋아요수,날짜
sabriele,"I want to encourage everyone who’s thinking “oh I couldn’t pull this off because I don’t have clear skin” to just _try it_. I don’t have the best skin either; it’s actually the reason why I started watching all these makeup videos. I had hideous skin and tried to combat that by putting on foundation. The thing is... I don’t think foundation helped (it may have made my skin worse actually idk, I can’t be 100% sure about this). So one day because I was in a rush I skipped foundation and used concealer only (I use Clio’s Kill Cover Liquid Concealer - it dries quickly so you can layer more on if you haven’t achieved the coverage you need) to do “pin point correcting” — and by that I mean I would dot my scars with the concealer then use a concealer brush or beauty blender to flatten the lump of concealer and blend it into my skin. Haven’t looked back since. The results are just as good as when I used foundation and on top of that, because I don’t have a sheet of product slathered on my skin and instead only where I need it, I don’t get any tell-tale creasing either; my skin looks super “naturally” blemish free (it’s not lol). All the best everyone may you be blessed with great skin.",11개,2020. 4. 25.
summera,"“I’ll be starting with this dior toner”

...me cried in broke...",257개,2020. 4. 25.
Burgundy버건디,포니님 얼굴이라면 생얼로 다니겠습니다,719개,2020. 4. 25.
콘오알진진좌라진진잔,"피부가 포니님처럼 깨끗해야 할수있는 베이스.....
주근깨와 기미와 모공이 가득한 저는 어쩔 수 없이 오늘도 컨실러 떡칠을 합니다ㅜㅜ괜찮아요..포니님 저는 괜찮다구요. 포니님 보러 온거에요..",14개,2020. 4. 25.
LizGwon,"파데를 안쓸거 같다고 예상은 했지만,, 역시나 모공큰 사람은 쓸쓸히 포니 얼굴만 감상하고 나간다고 한다....",946개,2020. 4. 25.
HQz,"마스크 장점: 볼에 난 여드름 가려줌
마스크 단점: 접촉면에 왕뾰루지 생김",198개,2020. 4. 25.
송예은,"얼굴 피부가 파우더 바른 순간에 도자기로 변했어..
예쁜 도자기..",354개,2020. 4. 25.
SaemahBegum,"I don’t want people to take this wrong way, but her cat sounds so cute and fat. Like plush fat. It’s like imaging him or her just lounging somewhere and just being “fat.”",275개,2020. 4. 25.
ash,진짜 준비물은 깨끗하고 피부톤이 균일해야.... 저처럼 모공도 큰데 얼굴 군데군데 홍조있으면 컨실러 떡칠...,351개,2020. 4. 25.
하얀나무,"네, 여러분 이거 PPL 제품이에요 (당당) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",110개,2020. 4. 25.
ChristineJoyChavez,"When make up is life, nothing can stop you, not even mask.",404개,2020. 4. 25.
Miso미소Cho,"저는 외항사 승무원인데 비행할때 마스크를 항상 착용하다 보니, 화장도 지워지고 저는 홍조가 심해서 화장이 조금만 지워져도 얼굴이 빨개져요... 포니님 영상 보고 화장법을 바꿨더니 화장이 마스크에 묻어나지고 않고 너무 만족이에요!!! 😊😊😊 비행 준비할때 포니님 영상 틀어놓고 하는게 일상이 돼버렸는데 다음 영상도 기대할게요 감사합니다 ❤️",23개,2020. 4. 25.
BilguunEnkhbaatar,bruh her skin is so clear and smooth that i forgot that she wasn't even wearing foundation until she said that the blush shows nicely cuz she doesn't wear ANY FOUNDATION,186개,2020. 4. 25.
이가은,언니 근데 언니 피부면 굳이… 파데 안 해도… 컨실러 안 해도…,145개,2020. 4. 25.
꼴뚜기왕자님,헝... 저것도 언니처럼 피부가 맑고 깨끗해야 가능한거지 저같은 피부는...ㅠㅠㅠㅠ,354개,2020. 4. 25.
홍석천머리끈,안희 내가 봤을땐 되게 꿀팁인데 왜 댓글은 다 포니님 피부가 좋아서.. 이거 무한반복이냐구ㅠㅠㅠㅠ 내가 포니님이였음 속상했다....,50개,2020. 4. 25.
littlefloret,this tutorial is amazing but why isn't anyone talking about bamboo being so adorable???? like it's meows are so cute ??!,33개,2020. 4. 25.
KSadvlog,I swear the cat 'talking' made my day. My cats don't talk or answer when you call them,136개,2020. 4. 25.
TumpiRime,Her skills are just wow and it's so aesthetically pleasing to watch her applying makeup. 😍😍😍,123개,2020. 4. 25.
유진,포니님 얼굴이라 가능한 것..,115개,2020. 4. 25.
PAINI,You don't even need a makeup with that beautiful skin of yours,159개,2020. 4. 25.
YouGotNoJams,"""No foundation makeup look"" 
Ok i will just stay home .-.",165개,2020. 4. 25.
AreumAreum,톤업크림을 발라도 워낙 톤업된 피부라 차이가 안 보이잖아요 언니 ㅋㅋ,59개,2020. 4. 25.
maryjanecrespo,"The skincare make it look that she has foundation eventhough the reality it's just the skin.""Sana all ganyan kaclear skin"" 😂 So beautiful!💖",147개,2020. 4. 25.
박복순,헤어핀셋 궁금한 사람은 저 뿐인가요 ㅠㅠ 머리카락이 계단안생길거같아서 좋을거같아여,11개,2020. 4. 25.
김민진,그런데 저는 콧망울에 모공이 송송 뚫려 있어서 파데를 안할 수가 없어요ㅠㅠㅠ,101개,2020. 4. 25.
JLdaydream,I feel like I just watched 15 minutes of commercial lol,4개,2020. 4. 25.
윤렌지,정말 포니님은 어떤 화장을 하시든 다 너무 찰떡이에요 너무 잘 어울리세요 ㅠㅠㅠ 동양과 서양을 넘나드는 세상에 하나뿐인 얼굴이세요🥰🥰🥰,33개,2020. 4. 25.
YumYum,ㅋㅋㅋㅋㅋㅋ밤부가 할말이 많은가봐욤♥♥,36개,2020. 4. 25.
유혜,정말 축복받은 피부다 ...,32개,2020. 4. 25.
ChanelH,"When she was referring to her cat, Bamboo, I thought she meant the bamboo outside of her home... which happens to sound like a cat lol",24개,2020. 4. 25.
YoutuberSHIN과함께,이런거 너무 좋아요ㅠㅠ 마스크 벗을때마다 얼굴 화장 지워지고 마스크에는 묻어나고 너무 불편했거든요ㅠㅜ,25개,2020. 4. 25.
코코,이렇게 간단한듯한 메이크업도 이만큼 분위기가 있다니....너무 예뻐요❤,35개,2020. 4. 25.
SyanaBeauty,"This makeup is so pretty,,,, 😍 I need a current skincare routine or how to treat uneven skin tone & sunburn 😭",56개,2020. 4. 25.
김연진,헐 업로드때 바로 봐써 너무 죠하,26개,2020. 4. 25.
BalletPink,"This was, exactly what I was waiting for!! 😅💕",7개,2020. 4. 25.
,why do I exist as a woman when someone is so talented and beautiful like this😂😭,8개,2020. 4. 25.
KevinThai,Pony never fails to impress me with her beauty 😍,3개,2020. 4. 25.
ZainabHabib,"This was so good , you never fail to amaze us . Pure Talent ❤️",4개,2020. 4. 25.
hifriends,"I always back on her channel whenever I feeling ugly...I need some inspiration from her^^
but after watching, my skincare routine will always the same;
morning: face wash - toner - sun serum - lip balm
night: cleansing balm - face wash - toner - eye cream - lip balm
now, I understand why I never able to reach such perfect skin like her ~~
note: I almost never wear any makeup even if I went outside.",0개,2020. 4. 25.
,I can't remember when I was watching so early,19개,2020. 4. 25.
김팥쥐PPATJi,오 그럼 일단 포니님 피부로 다시 태어나야겠다...ㅋㅋㅋㅋ,15개,2020. 4. 25.
adelec99,pony knows what kind of makeup tutorial I want before I even know that I need it😂,14개,2020. 4. 25.
