,youtube_id,comment,like_num
0,Rossoverde,썸네일 혁준이보고 그냥 지나칠 수가 없었닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
1,외국밈전문가,말 한마디로 남자들 수천명이 젖꼭지를 만지게 할수 있는 남자... 김계란...,16개
2,김우현,"안녕하세요.
여유증 손으로 확인하다 아버지가 방문 열고 들어오더니 다시 급하게 닫고 나가셨습니다....
하트주세요.",1개
3,,혁준이 공짜 피티의 대가가 이거였나....,384개
4,StudioBlackSheep,1:34 형아... 기분이 이상해;,362개
5,,결론: 정상체중이거나 멸치인데도 불구하고 가슴이 튀어나와있다면 병원을 가야되지만 그냥 내가 돼지면서 가슴이 튀어나오면 지금 먹고있는거 내려놓고 운동이나 해라.,121개
6,량령량,ㅋㅋㅋ 계란형  이걸본 남자들  다젖꼭지 만지게 하는 초능력을 가졌구나ㅋㅋ,140개
7,설봉탕,혁준이 왈 : 나처럼 150kg 찌는것도 재능이다,101개
8,Kingster,여유증을 개선할 수 있는 운동에는 어떤 운동들이 있는지도 궁금해지네요! 관련해서  여유증 개선 운동과 운동방법에 대해 소개해주시면 정말 좋을 것 같아요!,25개
9,카카오,"아니 썸네일 진짜....내가 좋아하는 공혁준 젖탱이 강제로 봐야됩니까 진짜 화






려한 조명이 나를 감싸네",117개
10,이동훈,저 수술해주신 원장님 이시네요 ㅜㅜ 수술 전에 기도해주신게 기억에 남아요,168개
11,김태연,"1:58 들으면서 여유증이 아니라는거에 안심하는 와중에 갑자기 뼈때리시네 ㅋㅋㅋㅋ
형 너무 아프잖아요 ㅋㅋㅋㅋ",6개
12,김민혁,여유증때문에 여름되면 자동으로 허리가굽는다..얇은 티 입고 허리피고 다니는사람 진짜 개부럽,13개
13,엄격근엄준식,혁준이는 대단히 여유로운 남자군,15개
14,박지수,요약 : 양치를 잘 하자,8개
15,스티즈,저 원장 진짜 좋은 의사다  수술을 권하지 않는 의사라..,5개
16,YUSSVI유쓰비,3:24 오늘의 결론 일단 운동 시작하고 안되면 수술,93개
17,보노보노,빡형 처진살에 대해서도 다뤄주심 안대나여 ㅠㅠ,13개
18,ApplePIEqq,썸넬 미쳤넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,52개
19,기러기러가비리기리치디,"고3때 알바비 모아서 실루엣에서 영상에나온 의사선생님이 수술해주셨습니다
근데 수술후에도 붓기가있다고하여 집에와서확인해보니 전보단작아져있긴하지만 여전히 붓기를 감안하더라도 확연히 여유증인 상태였습니다
그래서 병원측에 붓기감안을 해도 수술이덜된거같다 라고말을했더니 의사스케줄이 꽉차있어서 확인이 어렵다고 되려 화를내시더라구요
350만원모아서 수술을해도 환자가 문제가있다고 여기면 당연히 병원쪽에서는 필수적으로 확인을해주기는 커녕 화를내시니까
그냥 1년째안가고있습니다 그리고 붓기가 6개월뒤쯤 다빠졌는데 주변지인이봐도 제가봐도 아직여유증남아있습니다 병원선택정말잘하셔야되요",193개
20,,썸네일 혁준이 너무 야하다 ㅗㅜㅑㅗㅜㅑ;;,3개
21,이윤규,"저는 중2인데 정상라인 맨끝부분에 있는 체중인데 그래도 정상은 정상이 잖아요..
근데 유난히 가슴이 좀 튀어나와 있더군요..음 이게 사춘기때 생긴게 아니라 초딩 후반부터 생기기시작했는데..이건 어케하저",1개
22,김병기,공혁준 백칠십만 구독자 유툽썸네일에 젖 박제ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3개
23,빵야,수많은 사람들이 찌찌를 만지작 거리게 만든 빡빡이형 당신은 대체...,1개
24,junglee,아니 썸네일 치트키 뭐냐고 ㅋㅋㅋ,2개
25,김신라,1:38 나도 피식했는데 이형도 웃네ㅋㅋㄲ 걍 갑자기 유두 만지라는게 ㅈㄴ웃기네ㅋㅋㄲ,20개
26,이슈스토리,"유두 부분을 손으로 누르면 쑥 들어가는데 , 이걸로는 여유증 판단 할수 없나요?",8개
27,요종도,9:00 좋았어~ 왜이렇게 찰지냐 ㅋㅋ,6개
28,Woo가렌,02:01  급 팩폭;;;ㅜ,1개
29,슈퍼로더SuperRoader,저도 운동 아무리해도 해결이 안돼서 수술했는데 ㅋㅋㅋ,1개
30,캡틴코리아,검사 하는데 기분이 좋아졌다... 김계란... 나쁜싸람...,1개
31,가끔씩도움되는스페인어Gados,아 진짜 혁준이 썸네일ㅋㅋㅋㅋㅋㅋㅋㅋ,0개
32,후우2,들어오지 않을 수 없는 썸네일이였다..,534개
33,얄루,섬넬 공혁준 거대 젖보고 안들어올수있는 사람 있냐고 ㅋㅋㅋㅋ,1개
34,멍페리,아닠ㅋㅋㅋㅋ 썸네일 혁준상 뭔뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
35,FookingLaserSight,혁준이의 썸네일 너무 자극이 강해ㅋㅋㅋㅋㅋㅋㅋ,0개
36,송성범,휴 그냥 살찐거였어ㅠㅠㅠㅠㅠㅜㅠ,0개
37,왕꾸르잼잼,와.. 저분.. 생업과 직결되는 질문에 저렇게 수술 안 할수록 좋다고 대답하는 게... 저분은 진짜다.,120개
38,Ping,의사선생님 정말 말도 잘해주시고 참의사분 같아서 좋네요 ㅎㅎ 오늘도 유익한 영상 잘 봤습니다~!,1개
39,fodera,"왜 젖꼭지를 만지는데 기분이 안좋아질까..
뭔가...뭔가 시무룩해지고 기분 나빠짐..",0개
40,그래좋앙좋앙,1:44 형아.. 나 딱딱해졌어.. ㅇ//ㅇ,1개
41,뚠뚠이아저씨는코가손이래,썸네일 너무 적나라 하잖아 ㅋㅋㅋㅋㅋㅋㅋㅋ,0개
42,황금잉여킹,썸네일ㅋㅋㅋㅋ이렇게 계란형이랑 상부상조하는구나ㅋㅋㅋㅋ,0개
43,SortHeap,"아는 형중에 근육질에 여유증 의심 되는 형 있는데요, 옷 입었을 때는 멋있는데, 벗으면 네모난 가슴에 젖 주위만 동그랗게 튀 나온건 좀 깨긴 하드라구요",2개
44,불끄고옷벗어,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아시밬ㅋㅋㅋㅋㅋ혁준잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜계란형 센스넘처,0개
45,으르렁왈왈멍멍,혁준이 표정 왜이렇게 다소곳해 ㄱㄱㄱㅋㅋㄱㅋㅋㄱ,0개
46,국멍,혁준상 막 갖다쓰네ㅋㅋㅋㅋㅋㅋㅋㅋ계란형은 그럴 자격 있긴 함,151개
47,MichaelC,이거 보며 첨 만져보는 나의 ㅠㄷㅜ가 ㄹㅈㄷ,0개
48,보소미베이비케어,"썸네일 노딱걸리는거 아님?
너무 야하다 ㅗㅜㅑ",0개
49,악어,여유증은 무조건 무조건 무조건 무조건 수술 하세요 진짜 무조건 수술하세요 삶이 달라 집니다 인생이 달라 집니다,35개
50,마자신있나,오우쉩 너무말랑말랑해 ㅋㅋ,1개
51,YIS,혁주니 얼굴 모자이크라도 해줘라 싯팔ㅋㅋㅋㅋㅋ,175개
52,김지홍,썸네일 보고 눈을 의심 ㅋㅋ,0개
53,CEONIKE,난 말랑말랑하군 혁준이마냥 운동이나 열심히하자,2개
54,HJLee,아하! 그냥 살이 찐거구나!ㅋㅋㅋㅋ,0개
55,Coma,이 썸네일을 어떻게 지나쳐 ㅋㅋㅋㅋ,0개
56,미친물개,ㅋㅋㅋㅋ수술안해도 되겠다ㅋㅋㅋㅋ다행이닷ㅋㅋ,0개
57,도루모마킴,혁준이 묵념짤 존나웃기네ㅜㅋㅋㅋㅋㅋㅋㅋ,0개
58,시라소니,혁준짱 ㅠㅠ,1개
59,봄빵이,혁준아 고소해라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
60,흐음맨,이 영상 보면서 유륜만지고 있는 남자들생각하면 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,217개
61,최준성,형 목소리가 저번보다 힘이 있는거 같당ㅠㅠ,0개
62,곰이한마리,의사선생님 설명 너무 잘해주시네요!,1개
63,유빈,유륜 만지니까 흥분되는데 어떻게하죠?ㅜㅜ,0개
64,C0D3Z3R0,이썸넬보고 어떻게 안들어와 ㅋㅋㅋㅋㅋㅋ,0개
65,문정식,썸넬 미쳤나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
66,최재호,계란형 유두이야기 할 때 이상한 생각하셨넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
67,sgr,썸네일 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
68,장,ㅋㅁㅋㅋㅋㅋㅋㅋ너무웃기고,0개
69,라메르,혁준이것두 만져서 확인해주세요!!,264개
70,,아니 혁준이썸네일 ㅋㅋㅋㅋ,0개
71,이인규,와.. 진짜 고맙습니다..흑흑,0개
72,GaRamBaek,김계란님 목소리도 좋앟ㅎㅎㅎ 가면속 얼굴진짜 궁금해요,0개
73,Advancedkim,지금까지 57만명의 유두를 만지게 한거야??,1개
74,DONLIFE,썸네일 와~~ 노딱 아닙니꺼,53개
75,정용신,썸네일ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
76,이민석,귀한시간 내서 영상 만들어서 고마워요 빡빡씨,0개
77,엄마,형 나 너무 힘들었어.........ㅠㅠ,1개
78,민Park,썸네일 도랐맨 ㅎㅎㅎ 저걸 보고 아떻게 영상을 안봐 ㅎㅎㅎㅎㅎ,0개
79,승로,아조씨 목소리 너무좋아..,54개
80,꺼삐딴리,1:35 어...어...어??어어어??형.. .나 기분이 이상해...,0개
81,YongjinKim,썸넬 어그로 지렸고~ 정보 유익성 지렸고~,0개
82,잠만보,혁준아!!!ㅋㅋㅋㅋㅋ,0개
83,헬식이,저는 4단계중 3단계여서 결국 수술 받았습니다ㅠㅠ,0개
84,lee,버스인데 썸네일 너무 수치스러워 혁준상...,45개
85,박은철,썸네일 미쳣다 ㅋㅋㅋ,0개
86,Limseol,저 여자인데 확인해 보니까 여유증 같아요...,1개
87,늑푸,유륜 주위 만지다...찍,1개
88,정구현,아니.인트로뭔뎈ㅋㅋㅋ,0개
89,고양이구멍,썸네일 어그로 ㅋㅋㅋㅋㅋㅋㅋ갸쩐다,0개
90,윤파워,헉 몰랐는데 ㄴㅏ도 유선조직이 있네!!,0개
91,민트초코,형 그래서 혁준이 유두를 만졌다고??,2개
92,김명규,이 썸네일을 보고 어찌 지나치냨ㅋㅋ,0개
