,youtube_id,comment,like_num
0,NOON,써니는 진짜 아이돌상임 성격도 말투도 얼굴도,207개
1,사랑,아이즈원 안유진 커버메이크업해쥬세용 !!!,99개
2,조조,"영상 마니 올라와서 넘 행복해여....
인스타스토리에 검정나시입고찍으신 메이크업도 보고싶어요 스모키한 화장!",171개
3,김희연,렌즈는 렌즈타운 글로시무드 그레이라고 하시네요!!!!!!! 더보기란에 올리시겠지만 일단 댓글 올려봐여 ㅎ0ㅎ,128개
4,은별,와 이 메이크업 진짜 대박 너무 예뻐요ㅠㅠㅠ 당장 찍으셔야 합니다... 제발요...❤️❤️❤️❤️❤️,141개
5,SUNNYJ,🌞이달의 써니템🌞이라는 이름이 뭔가 더 써니가 정말 잘 쓰는구나!! 싶고 더 써니(?)스러운 것 같아요~ 이달의 추천템도 괜찮지만 뭔가 써니가 추천한다!!!!라는 느낌..?ㅎㅎ,28개
6,YounaLee,향수 향 이름을 알려주실 수 있나여ㅜㅜ 패키징 같은 걸 못 찾겠어여 다람쥐..,12개
7,이가은,언니 있지 류진 커버메이크업 해주세요 ㅠㅠㅠ,13개
8,또밍밍,"이런거 너무조아요오!!!!! 메이크업튜토리얼과는 또다른 매력으로 제품이야기하는 영상들이 너무좋은거같아용ㅎㅎ 한국에없는 화장품 구경하는 재미도있고! 뭐 살때 참고도 너무 잘하고 써니님이 추천하는건 정말 믿고 살수잇더라고요!!! 제품얘기 추천 많이해주세용ㅎㅎㅎ이달의 추천템, 요즘 써니가 자주쓰는템, 새로산템, 이달의인생템 으로 쭉쭉쭉 다해줘라 다해줘....!!!!!💓💕",45개
9,LAN,이날 메컵 왤케 예뻐요.. 진짜 연예인 느낌 물씬나요..♥️,21개
10,면면,예전 영상 계속 안돌려봐도되고ㅠㅠ 자주봐서 너무 좋당...❤️😘,34개
11,미나바라기멋쁜이,다들 느끼셨겠지만 언니 영어 쓸 때 레알 발려요.. 엉엉,8개
12,hindnoh,아놔 이번 조명이랑 배경 개좋아;,14개
13,귀여워다둥이,써니님 렌즈는 어떤 제품 착용하신건가용?,30개
14,강현아,언니 뭔가 영상 화질이 좋아진거같아요!! 언니 자세히 볼수있어ㅓ 좋아오ㅡ💜💜,10개
15,홍아름,헐 존예❤️❤️😍😍 오늘메이크업노무이뽀용!!💕💕,13개
16,가갸거겨,힘들고 바쁘더라도 이달의 추천템 매달 올려줘여ㅠㅠ 이모가 바쁜 회사 생활을 써니영상보고ㅠ힐링받고가요~✌︎('ω')✌︎,5개
17,JaeEonJung,써니님 오빛이셨나요ㅋㅋㅋㅋㅋㅋㅋstan loona(소근),4개
