,youtube_id,comment,like_num
0,유디티TV,"안녕하세요 여러분 오늘은 제가 정말 좋아하는 아웃백이 배달이 된다고 해서 주문을 해봤습니다. 투움바파스타 1개 22900원 총 2개 갈릭서로인 스테이크 220g 1개 30900원 총2개, 베이비 백립 1개 35900원, 쿠카부라치킨 1개 19900원 카카두 김치그릴러 19900원, 이렇게 총 186200원 이였습니다. 우와..정말 가격이 생각보다 엄청 비싸다고 느껴졌습니다. 그래도 영상 인트로를 보시면 아시겠지만 빵과 사이드 ( 고구마 포테이토 볶음밥 등등) 쇼핑백 한가득 푸짐하게 와서 화면상 보이는 세팅이 전부가 아니였음을 참고해 주세요!

FIRST BITE 1:03
COKE REAL SOUND 9:27

 사실 이렇게 말해도 가격이 좀 부담이 되긴 합니다. 우리가 평상시에 고민 없이 먹기엔 좀 가격이 많이 비싼 편이지만 가끔 기념일이나 특별한날 드시면 좋을 것 같습니다^^ 가서 먹는 것과 당연히 차이가 있겠지만 전자렌즈에 2분정도씩 돌려 먹으면 거의 비슷한 맛이 나더라고요. 그럼 오늘도 여러분들 덕분에 이렇게 값비싼 음식 맛있게 잘 먹었습니다 감사합니다. 

 아 그리고 인트로 세팅할 때 나오는 배경음악을 메뉴소개에 끊지 않고 초반 한입부터 조금 함께 틀어놔 봤는데 앞으로 이렇게 배경음악을 조용히 틀어놓을까요? 요즘 거의 대부분의 먹방이 (정통ASMR) 빼고 거의 전부 약간의 배경음악과 함께 굉장히 빠르게 진행 되고 빠르게 컷컷 편집 되는 것이 많이 보이더라고요. 여러분들 의견 수렴하여 앞으로의 편집 방향성도 한번 잡아 보겟습니다. 기존의 저의 ASMR 영상처럼 배경음악없이 지금처럼 하나의 앵글로 촬영하는 것이 나을지 아니면 약간의 배경음악과 함께 조금 빠른 편집과 진행이 나을지 의견 부탁드려요^^ 그럼 다음영상에서 만나요! 빠빠~

감사합니다, Thank you very much. Cảm ơn, ขอบคุณค่ะ/ครับ, धन्यवाद,,  ありがとうございます, 谢谢,  Terima Kasih 

사랑합니다 I love you, Anh yêu em, รักนะครับ, आप से प्यार करता/करती हूँ , あいしています, 我爱你。

힘내요 Cheerup. Vui lên. がんばって. ออกแรง (किसी काम से टकराने या निरंतर करते रहने के लिए) बल बटोरना, हिम्मत .  bertenaga. 加油

www.instagram.com/semosemo77",121개
1,HilfigerKris,This made me a bit hungry 😂,9개
2,대장강,내가 다른 먹방보다 유디티 먹방을 보는이유가 입에 묻히고 와구와구 먹어서 대리만족 오짐ㅋㅋㅋㅋ마치 유치원생이 제일 좋아하는 음식 한달만에 먹는 느낌이랄까,141개
3,SuperTink,This boy genuinely enjoys his food!!! 😄,5개
4,TastyASMR,who else starving by watching this but has an empty fridge? 🙋,105개
5,혜진girl,너무 너무 너무 너무 맛있겠다 ...............,115개
6,suupriya,He really has got big mouth 😁 I just love the way he enjoys eating ❤,6개
7,StarzShineGirlz,Me:Ooh~ That pasta be looking extra saucey,8개
8,SW,"Bet ur doing these:
Laying down
Watching his videos
Went to look in the fridge
Came back mad and hungry",41개
9,ShanaLeah,My fav pasta. I get this every time I go to Outback,3개
10,KaramAhmed,How many € did he lost with that packs of food? 0:11 How many € are that?,4개
11,ASMRMuKbang맛형,1:05 Start eating,2개
12,권용재,어 뭐야 이형  구독자수 왜이래 내가 이형처음봤을때가 1만명인가 2만명이였는데  바쁜일상에 잊고살다가 간만에 보여서 들어왔는데 구독자수 미뗬누,21개
13,MikasaIloveyou,"He is a perfect mukbanger to be honest,
Not like Nickocado, he completely ruined his life",27개
14,Kadamkie,"I miss Toowoomba Pasta. That was my favorite dish there, but they dont make where I live anymore.",1개
15,더블브이ASMR,"It's been a while since I saw an outback.😋
The thick Toumba pasta and steak look so delicious.
I had a good bite today.😍",2개
16,SedevituoKeyho,"THE BEST PART 9:27
COKE COKE COKE 🤩💥",1개
17,Mryjnebb,I can't keep my eyes on his jaw 😁,1개
18,,"途中からつらそうになってきて最後もの残した上にコーラも残すのほんと草
チャンネル登録したわ",3개
19,keikoJapanese,いっぱい大好きです❤️❤️,6개
20,유노,투움바 미쳤따🐷 진짜 행복해보야서 더 좋아요😉,6개
21,,いつも見てます！美味しそうに食べる姿が可愛い！,4개
22,3진09서영완,진짜 진심 나도 왜이러는지 모르겠지만... 유디티님 왤케 개그맨 허경환님 닮으신거죠? 먹방을 보는데 자꾸 허경환님께서 겹쳐보여요ㅠ(♡)ㅠ,1개
23,심현동,"천천히 드세요.
그러다 체해요. 
너무 맛있게 드신다",3개
