Unnamed: 0,youtube_id,comment,like_num
0,TatianaMJ,"Es cierto que las chicas manejando un Jeep se ven muy modernas y con autoridad. Es elegante pero juvenil. Da fuerza, a mi personalmente me encantan. 
Por cierto, yo solo tuve que usar seis meses las pastillas para el acné y me funcionó muchísimo. Sufría de acné y cara grasosa, ahora mi cara es seca y puedo lubricarla al mismo tiempo que es muy agradecida. En mi periodo me salen uno o dos barritos, pero jamás como antes. 
Me encantan tus vídeos, y más cuando hablas en español. Un besoo",21개
1,MOONCHILD,Your boyfriend is so open minded is so refreshing to see and also you guys make a super cute couple🙌🏻🙌🏻🙌🏻,21개
2,MadeleinValencia,"Fueron varias preguntas interesantes, me gusta como piensan, se ve que tienen buena conexión ☺️ y lo del bullying creo que siempre hay y no solo a los extranjeros, realmente a mi me ha pasado que aún cuando yo llevaba alguna comida con olor, por que en México hay varias comidas igual con diferentes condimentos pues uno intenta que no huela tanto, suele ser vergonzoso, pero ya de grande no sucede igual, normalmente pasa en la adolescencia que sale el bullying.",10개
3,Jooniepop,YOU ARE SOOOOOOOO PRECIOUS AND CUTEEEEEEE,31개
4,AlexandraJimenez,"Ay que bonito dijiste ""nalgita"", que bonita pareja hacen los dos ♥️",10개
5,최지혜,남친 분이 기본 질문 외에 플러스 질문이랑 리액션 해주시는거 넘좋!!!!! 희주언니를 점점 더 알아가는 느낌이라 참 행복하네용ㅎㅎ 다음 영상도 기대할게용!,139개
6,아쁨,ㅋㅋㅋㅋ남친분 목소리랑 말투만들으면 쾌활한 아재미뿜뿜ㅎㅎ,95개
7,제인janesfilm,아닠ㅋㅋㅋ남자친구분 유재석인줄ㅋㅋㅋㅋㅋㅋ MC을 왜 이렇게 잘 보시는거에욬ㅋㅋㅋㅋㅋ 두 분 케미 체고💓,20개
8,김보나,남자나 여자나 젖꼭지 있는 건 다 똑같잖아... 내가 유스 뷰티를 좋아하는 이유!,42개
9,횹이,자존감에 대한 생각을 하지 않는 것 너무 공감돼요,15개
10,희연리,남자친구분 진짜 멋있으신거같아요 탈브라에 대해 좋은생각가지고계시고 크롭탑에대해서도 자신감을 심어주셔야할거같다 하셨을때 대리감동 ㅠㅠ 희주님도 좋은말씀해주셔서 감사합니다!!,30개
11,Milktea,Cuando crezca me voy a maquillar como tú/ When I grow up I'm going to put on makeup like you ♥️✨,4개
