,youtube_id,comment,like_num
0,헿힣핳,"살짝 계란풀고 섞은거에서 어,,,",4개
1,스코다,썸네일 김대희 인줄알고봤는데 김대희 맞잖아...?,7개
2,장수빈,"힘콩형 쌍수했어...? 
오랜만에 봤는데 어색해서;;",4개
3,민정호,조준씨 여자버전인가요 어께 점ㅋㅋㅋ,2개
4,,1:34 같은사람 맞나..?,2개
5,leskkkKing,"그냥 라면 먹고, 닭가슴살 따로먹고 ...
 합시다 ...",3개
6,정호빈,풍오겠다ㅋㅋㅋ,3개
7,MosquitoEX,다드시고나서 풀업400개라이브방송 해주세요,3개
8,곤충이,필필콩,2개
9,정다용,형님 다음에는 비빔면 해주세요!!,2개
10,,삼닭 이라길래 삼겹살+치킨인줄 알았잖아;;ㅋㅋㅋㅋㅋㅋ 그리고 콜라는 제로콜라 좀....,1개
11,귬니,제로콜라...,2개
12,우미코딩영상,"뭔가 인스타에서보다 훨씬 매력있으시네 ㅎㅎ 인스타엔 웃는 사진 거의 없는데 김대희님이랑 투닥거리는 거 너무 털털하고 귀여우시네요.
대희님 또 콜라보해주세여!!",3개
13,히팝,면을 더먹기위해 여니언님을 모셨습니다!,2개
14,강현석,5:27 형님 우리집 쫄이 특식같습니다,0개
15,양자역학돌이,칼 같다면서 물 양은 그냥 하시네여 정확히 500 해야져ㅋㅋ!!!,0개
16,강현석,2:11 형님 깜짝놀랬습니다,0개
17,브코리works,콩형...희대의 살면마같으니...,1개
18,신재민,"힘콩 방송 보면 힘콩님 라면 오지게 좋아하시네요.
그리고 방송 텐션도 그렇고 참 즐거워 보입니다😄😄😄😄",1개
19,NathanJoe,4:57 이거 쫄깃해지는게 아니라 그냥 라면이 덜 익는거래요. 농심이었나 아무튼 어디 회사 라면 개발팀 연구원 인터뷰에서 들은 내용...,0개
20,김도형,형님(?) 방금! 구독했고 사이트에서 운동기구도 구매했습니다 앞으로도 유용한 영상 많이 올려주십시오~~,0개
21,덤벨요정망키쉽게운동하자,"형 다욧중이라 힘들었는데 매주 좋은 라면레시피 고마웡!!!
그 와중에 여니언님 졸예네!ㅋㅋㅋㅋ
형 안 보여....여니언님만 보이네",0개
22,김용철,두분 잘 어울리세요ㅎㅎ,0개
23,윤대훈,고단백 고탄수 고열량라면,1개
24,이우림,아룡하세욧,1개
25,임채영,ㅎ ㅎ,1개
26,이성재,재미어트님 물어볼게 잇는데요 제가 복근운동 하고싶은데 플랭크 하면 복근이 생기나요?,3개
27,민성아,"형 고마워요. 이거 이렇게 먹고 다신 라면 생각이 안나요
국물까지 엄두도 안나는 맛...
물조절까지 실패하면 완벽",0개
28,clubWater,"흠
 .",0개
29,엄동규,형 영상 보기만했는데 배가 나온거같아요,0개
30,박민호,형 그냥 라면에 닭육수가 필요했다고 얘기해..,0개
31,영웅본섹,아 이거보고 다이어트중인데 하면먹게생겻다...,0개
32,,3:50 방심했다....,3개
33,다저씨다이어트아저씨,"저도 약간 업그레이드 하여 따라해 봤어요!!! 움하하 맛있더군요 역시~!!
https://www.youtube.com/watch?v=V-zxNG8i3a8&t=2s",0개
34,,맛있겠구만,0개
35,JW,형 나도 라면 먹으러 가도 돼?,2개
36,이재준,나이거 먹어보고싶어,0개
37,SBSP,형 라면 4개에 계란물 풀고 닭가슴살을 냄비 다채우게 다져넣고 양념게장맛 닭가슴살을 라면에 싸먹을바엔 치킨을 먹고말지 형,0개
38,Shock,2,0개
39,박진우,1,0개
40,김한수,그냥 혹시 초보자 분들이 보고 오해하실수도 있어서 말씀드리는건데 단백질을 한꺼번에 몸에 때려넣어서 단백질 혈중 농도가 지나치게 되면 근육합성에 더 방해가 될수있어요~  선수분들이 괜히 하루에 단백질을 4번이상 나눠 먹는게 아닙니다~,1개
41,BagraoKa,이젠 닭을 보기만 해도 맛 냄새 식감이 느껴짐..,0개
42,기리,아니 인스타 셀럽 어떻게 하는거임 광고처넣었겠징??,1개
43,3417양재윤,"오늘도 왔어용 힘콩씌
오늘 집에 닭가슴살이 없어서 삼겹살이랑 비빔면 먹었어요  (설레인 닭 사야겠어용  ^^)
어제 인스타 깔아서 힘콩 팔로우 완료👍👍🏼
오늘도 재미어트 해요💪🏻🤘",3개
44,이정용,힘콩님 뱃살이 조금있는데 복근운동하면 뱃살뻐지면서 복근생기나요?,2개
45,시간을달려,면을 공기중에 마찰시키는 건 쫄깃해지는 게 아니라 면이 안익는거라고 라면회사 직원이 그랬어...,3개
46,서연우,은근슬쩍 힘콩형은 탄수화물만 드시네ㅋ 그러는거 있기 없기?,1개
