닉네임,댓글,좋아요수,날짜
BaddishYall,"이분꺼는 항상 자극이 제대로 오는게 느껴져서
제대로 뻐근하고 제대로 시원하고 찢어질거같음 
이런 영상 무료로 보게 해주셔서 감사합니다",35개,2020. 4. 9.
댕민,요즘 집에만 있어서 살도 찌고 몸이 넘 무거워서 1시간 짜리 영상 너무너무 잘하고 있는데 혹시 1시간짜리 또 하나 더 제작해주실 생각은 없으실까요🙏🏻❤️,22개,2020. 4. 9.
Sssumum,미서원님 운동영상은 하나하나 알차고 자극이 💪🏻 더 더 흥해라 울언늬,3개,2020. 4. 9.
기린당나귀,"맨몸보다는 덤벨이 좋아요.
중량이 좀 있어야 효과가 보일것 같아서요.",7개,2020. 4. 9.
오수미,저 덤벨산거 어떻게 알았어여~~~~💘💘 내일 아침은 이걸로!!!,3개,2020. 4. 9.
chogiyookkboonssi,펌피읃ㅎ된다는게 아 힘들어서 타자도 ㅈㅇ엉잘 안쳐져요 펌핑된다는게 혹시 죽을것같은 그런 느낌인건가요,2개,2020. 4. 9.
윤강슬,"🏋️‍♀️(한달 도전)안오면 좋아요👍 좀 눌러주세요😂
(아령무게2kg)
5월27일/1세트o
5월28일/1세트 o
5월29일/1세트 o
5월30.31.6월1,6월2일😂x
6월3일/2세트o",1개,2020. 4. 9.
토끼꾹,"방금 따라해봤는데 팔이 후덜덜 거리네요ㅜㅜㅜ
요즘 거의 집에만 있는데 이런 운동 자주 따라해야겠어요➿",0개,2020. 4. 9.
김승미,"영상 제작해주셔서 감사합니다:)
건강하시길 바랍니당ㅎㅎ☺️",0개,2020. 4. 9.
SHJ,"그냥 잘까... 하다가 번뜩 ""그래도 운동하고 자야지!""라는 생각이 들 때가 있는데 그때마다 선생님의 영상으로 들어옵니다...",2개,2020. 4. 9.
김희영,맨몸 운동은 힘 주는게 때로는 힘들어서 덤벨이 더 좋아요. 캐나다에서  유용하게 영상들 매일 정말 잘 보고 있습니다. 지금까지 본 운동 영상들 중 소미님 운동들이 최고예요!  감사드려요! ^^,1개,2020. 4. 9.
색분홍,언니 덕분에 상체운동 잘 하고 있어요~ 옛날엔 1키로로도 힘들었는데 이젠 2키로 덤벨로 합니닷ㅎㅎ 뿌듯해용 ❤️,0개,2020. 4. 9.
Loveyourself,"홈트로 이렇게 영상틀어놓고 열씨미~~;;해보는건 첨이예요^^
혼자서도 쌤이 옆에 계신거 같은 자세한설명과 명쾌한 목소리와 좋은음악과~~~너무 좋아요^^
쌤~~멋쪄요^^~!",2개,2020. 4. 9.
SangmiPark,소미핏채널 덤벨운동 너무 재밌어요ㅠ 팔뚝살 빠질때까지 열심히 해보려구요! 감사드려요❤️❤️❤️,0개,2020. 4. 9.
유가현,오랜만에 덤벨을 들어보았어요ㅠㅠ역시 힘들지만 운동한 느낌나서 좋아요^^,0개,2020. 4. 9.
빵떡조하,항삼 감사합니다 영상 잘 보고있어요 ! 😍 1키로 아령밖에없는데 2키로도 사야겠어요 ..ㅎㅎ,0개,2020. 4. 9.
지혜S,가능하시면 맨몸운동도 부탁드려요~~^^,0개,2020. 4. 9.
EunWooKim,덤벨운동으로 영상 더 올려주세요💕💕,0개,2020. 4. 9.
치즈망고,덤벨이나 밴드 이용한 운동 많이 알려주세요!! 넘 좋아요🥰🙏,0개,2020. 4. 9.
