닉네임,댓글,좋아요수,날짜
안지안,"#보호종료아동을위한커뮤니티케어센터 안지안입니다 ㅎㅎ 좋은기회로 보호종료아동을 알릴 수 있고, 많은분들이 저희를 응원한다는 것을 알고, 힘차게 살아갈 힘을 주셔서 감사합니다❤ 새롬님과 롬앤에서 달아주신 날개로 더 힘차게 날겠습니다❣",243개,최초 공개: 2020. 5. 30.
김첨지의럭키데이,헉 이분 얼굴이 낯이 익다 싶었는데 무엇이든 물어보살 나오신 분이군요..!!!,39개,최초 공개: 2020. 5. 30.
이영은,진짜 롬앤분들이 고민많이 하셔서 캠페인 만드신게 느껴져요ㅠㅠ 너무 멋있고 저도 제품 나오면 구매할게요!,46개,최초 공개: 2020. 5. 30.
윤햇님,이 캠페인을 계기로 기부에는  재능기부를 뿐만 아니라 이로인해 정서적 지원을 할 수 있다는 것에 대해 대중들의 인식을 바꿀 수 있었음 좋겠어요!,13개,최초 공개: 2020. 5. 30.
봄봄,뷰티 회사에서 처음보는 프로젝트다,79개,최초 공개: 2020. 5. 30.
자축인묘진샤오미배터리,지안님 뭔가 낯이 익다거 생각했는데 인간극장에사 봤네요!!!! ㅠㅠㅠㅠ 반가워요,14개,최초 공개: 2020. 5. 30.
다미다,"예전에 거리의만찬 이라는 프로그램에서 보호종료아동에 대해 접하고나서 ‘보호 종료 아동’이라는 단어로 인한 편견? 그 단어로는 담을 수 없는 ‘청년’ 그 자체로서의 꿈과 가능성을 한껏 응원하고싶다는 생각을 했었는데, 이런 캠페인 진행 그리고 진정성이 가득 담긴 캠페인 소개 영상을 보니 역시 롬앤과 개코님~이라는 생각이 드네요🙆🏻‍♀️",5개,최초 공개: 2020. 5. 30.
김규리,헐 언니 왜 하루나 기다리게 해요 ㅋㅋㄹㅋㄹㅋㄹㅋ 인스타에서 봤던 그 웃픈 상황 ㅋㅋㅋㅋㅋㅋㅋㅋ 아 내일 잘 볼게요... 흐흫ㅎㅎㅎ,94개,최초 공개: 2020. 5. 30.
야호야호,캠페인 너무 좋은것같아요! 노력으로 일구신 지금의 위치를 감사하게 여겨주시고 이렇게 선한영향력 행사하려 하시는게 너무 멋있어요! 😊 저도 꼭 참여하고 제품나오면 구매하러 가야겠네용!❤,61개,최초 공개: 2020. 5. 30.
최민기와최당긴기,"이래서 롬앤을 안사랑할 수가 없어요,,, 정말 뷰티회사가 노력해서 받은 사랑을 기부로 풀어내는 회사 흔치않은데 대단하세요. 보호종료아동 주변에서는 많이 본 적이 없고 잘 몰랐던 터라 신경써서 알지 못했는데 감사합니다. 저도 물어보살 보고 인상깊었는데 인트로에 나오신 분이 지안님이신지 몰랐어요..!! 저도 슬로건 공모전 참여 해 볼게요:) 앞으로 화장품 구매할 일이 있으면 무조건 롬앤안에서 고를게요,, 물론 벌써 그래왔지만,,",62개,최초 공개: 2020. 5. 30.
박선하,대에에ㅔㅔㅔㅔ바가아ㅏㅏ,16개,최초 공개: 2020. 5. 30.
Jimimi,"취지 정말 좋아요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 이렇게 선한 영향력을 행사하고 선한 힘을 퍼트리는거 너무 좋아요 보호종료아동 많은 사람들이 아직 많이는 인식하지 못하면서도, 지나쳐서는 안될 중요한 문제 중 하나라고 생각했는데 너무 좋은거 같아요! 꼭 구매할게요 이번 시리즈를 넘어 다른 조명이 필요한 분들에게도 이어지는 지속적인 콘텐츠가 되었으면 좋겠어요 롬앤의 선한 영향력을 응원합니다!",5개,최초 공개: 2020. 5. 30.
토마토맛토,"막 사회에 첫발을 내딛기 시작한 보호종료아동에게 롬앤의 화장품들을 선물해도 좋을 것 같아요! 보호종료아동뿐만 아니라 저소득층 한부모가정(특히 아버지와 사는 자녀들), 미혼모 등 대상을 확대해도 좋을 것 같단 생각이 들었습니다:)
롬앤의 CSR 활동 앞으로 더 기대할게요💕",3개,최초 공개: 2020. 5. 30.
내매력에빠져봐,"이런 좋은 프로잭트 만드신 개코님,롬엔 관계자분들,등등 적게 일하고 많이 버세요 ㅠㅠㅠ  이런 선한 영양력 유튜버 너무 좋습니다 ㅠㅠ",3개,최초 공개: 2020. 5. 30.
써니s,지금 일요일 9시 30분인데!! 아직 85분이나 남았다능ㅋㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋ,4개,최초 공개: 2020. 5. 30.
이세상가는사람100년전,기대합니당 계정이 삭제되서 바꿨어요.....그래도 바로 찾아서 구독했어요!! 히히,5개,최초 공개: 2020. 5. 30.
지연이는얼땡중,"저도 tv에서 안지안 봤어요
보호종료아동에 기부도하고 너무착하셔요",5개,최초 공개: 2020. 5. 30.
지민,꼭 할게요 언니 !,5개,최초 공개: 2020. 5. 30.
쨍jjaeng,"정말 너무 신선한데 따뜻해서 진짜 좋은것같아요ㅠ 캠페인도 참여했고, 제품도 나오면 꼭 사겠습니다!❤🙋🏻",1개,최초 공개: 2020. 5. 30.
방울토마토,취지가 너무 좋아요 언니.. 나 이런거에 감동받네... 와엠아크라잉,3개,최초 공개: 2020. 5. 30.
김하은,"아 취지가 너무 좋아요ㅜㅜㅜㅜ 롬앤, 개코님 모두 너무 사랑해요 나오면 진짜 다 살거예요🥰❤️❤️❤️",1개,최초 공개: 2020. 5. 30.
OE,하루낰ㅋㅋㅋㅋㅋ,2개,최초 공개: 2020. 5. 30.
은빛시내,안지안님 무물보에 나오셨지않나..?,5개,최초 공개: 2020. 5. 30.
노서하,뭐죸ㅋㅋㅋㅋㅎㅎㅎㅎ💕💕💕,2개,최초 공개: 2020. 5. 30.
jeifrom,취지 너무 좋은거같아요💞 꼭 참여하겠습니다✨ 개코님 화이팅💞 롬앤 화이팅💞,15개,최초 공개: 2020. 5. 30.
주해란,"사회적 취약계층까지 함께 하는 롬앤 멋집니다^^♥
이작은 시작이 보호종료아동을 돕는 계기가 되길 바랍니다!!
롬앤화이팅^^
그리고 지안이도 화이팅!!",1개,최초 공개: 2020. 5. 30.
CHERISH,얼마전 인간극장 재방송에서 봐서 개코님 보고 꽤나 반가웠고 언제쯤 컨텐츠가 나올까싶었는데 너무도 좋은 취지의 프로젝트가 나왔네요~ 열심히 생각해봐야겠어요!!,1개,최초 공개: 2020. 5. 30.
박연서,너무 이쁜생각이네요 !! 역시 롬앤 ㅠㅠ,1개,최초 공개: 2020. 5. 30.
민아,오완전 너무 좋은것 같아용ㅠㅠ!!,1개,최초 공개: 2020. 5. 30.
손하연,보호종료아동 중요한 문제에요:) 저도 사회분과에서 사회문제 여럿 공부하다보면 늘 마주치고 요즘 중요시하게 여기는 문제더라고요. 좋은 의도의 프로젝트 너무 멋져요 롬앤 화이팅...☺☺,1개,최초 공개: 2020. 5. 30.
나미자까,헐 모야모야 하루 너무 길잖아요ㅠㅠㅠ,1개,최초 공개: 2020. 5. 30.
펀치,ㅜㅜㅜㅜ흐엉 언니 너무 멋잇어요,1개,최초 공개: 2020. 5. 30.
나연,역시 내 사랑 롬앤..........진짜 사랑훼..,0개,최초 공개: 2020. 5. 30.
빛한,진짜 멋있는 사람들이 하는 멋있는 일 이걸 롬앤이 합니다! 진짜 롬앤은 볼 때 마다 느끼는건데 멋있는 거 같아요 화장품 만드는 것도 엄청난 퀄리티로 일을 할 때도 멋있고 이런 것도 기획하시고 그래서 제가 들어가고 싶은 회사 1등 이지 않을까요??ㅎㅎㅎㅎ 열심히 롬앤에 들어가면 필요한 사람이 되기위해 공부하고 있어요 !!! 롬앤&개코님 사랑해요❤️❤️❤️,0개,최초 공개: 2020. 5. 30.
사랑해요윤지언니,"방금 참여하고 왔습니당 !!
이런 선한 캠페인을 열어주신거에 너무 감사하고 많은 노력이 담겨있는만큼 그 노력이 헛되지 않게 열심히 참여하고 관심을 가지겠습니다 💜💜 늘 노력해주셔 감사드릴다름입니다",1개,최초 공개: 2020. 5. 30.
이개미,멋져요 멋져요~ 응원하겠습니당~!!ㅋ,0개,최초 공개: 2020. 5. 30.
,헐 대박 개코님 진짜 사랑해요ㅠㅠ 앞으로도 개코님 영상 챙겨보면서 좋은 정보 얻어갈게요 !! 생일 축하드려요 !!,3개,최초 공개: 2020. 5. 30.
Cloudnwm,너무 멋져요 언니 ♡ 꼭꼭 저도 참여할게요!,0개,최초 공개: 2020. 5. 30.
3전예은,이거보고 인간극장 다시보기하러 갑니다 총총,0개,최초 공개: 2020. 5. 30.
박선하,대박대빅,2개,최초 공개: 2020. 5. 30.
너굴너굴,진짜 고심많이 한 프로젝트인게 느껴지네요!! 그런데 보호종료 아동을 지원하는게 아니라 인식개선을 위해 기부금을 쓴다니 생소하네요 세부적으로 어떻게 쓰일지 궁금해요~!,1개,최초 공개: 2020. 5. 30.
지니어스애플,언니 여름 맞이 체리립 바르는 영상좀 보여주시면 안돼나요? 여쿨인데 체리립 바르는 영상 보고싶어서요ㅜㅠ,0개,최초 공개: 2020. 5. 30.
노가리곰,역시 재밌어요...,0개,최초 공개: 2020. 5. 30.
조영팔,너무 좋네요 롬앤,0개,최초 공개: 2020. 5. 30.
윤STYLE지,왕 !! 3뽜,2개,최초 공개: 2020. 5. 30.
구름빵,너무 멋있어요 응원해요,0개,최초 공개: 2020. 5. 30.
미남좋아,"언니 생일 축하해요! 언니는 제가 태어나서 처음 구독해본 뷰티블로거이자, 유일하게 챙겨보는 뷰티유튜버에요. 8년 전 언니 블로그를 처음 들어갔을 때 화장은 저렇게 하는 거구나, 세상엔 저렇게 많은 종류의 화장품이 있구나, 하고 감탄했던 제가 생각나요. 그리고 언니의 일상포스팅을 보며 나도 저런 멋진 대학생이 돼야지! 했지만...현실 속 대학생은 평범 그 자체더라구요ㅋㅋㅋㅋ지금도 종종 블로그 들어가서 옛날 포스팅을 보곤 해요. 언니 블로그는 입시에 찌든 고딩이 쉴 수있는 유일한 공간이였거든요. 그때 게시물을 읽으면 저때의 난 저랬었지~하는 생각이나서 왠지 아련해진달까....ㅋㅋㅋ 뭔가 오래 간직해온 보물상자 열어보는 느낌이에요. 이런 예쁜 보물상자를 선물해줘서 정말 고마워요 언니. 5글거리는 말이지만 그냥 언니의 존재 자체는 저에게 큰 위안이 된다는 것만 알아주세요!!ㅋㅋㅋㅋㅋ생일 완전축하드리고 결혼하고 맞는 첫 생일인 만큼 최고의 날을 보내시길 바랄게요!",17개,최초 공개: 2020. 5. 30.
장소현,너무 아름답다,0개,최초 공개: 2020. 5. 30.
고소미소미,언니 나 오늘 못 잘듯 궁금해 죽어,0개,최초 공개: 2020. 5. 30.
양홍원빵사왕,어허허허허허허허허헣ㅎ,0개,최초 공개: 2020. 5. 30.
deugeu드그,"흠 편집자님이거나 저번에 공지에 올리셨던 거 아닐까아 ,,",5개,최초 공개: 2020. 5. 30.
6시내고환,언니 모야모야모야모야,0개,최초 공개: 2020. 5. 30.
자비,모모모모모모야모야모야,1개,최초 공개: 2020. 5. 30.
옌향,참여는 어디서하나요??,0개,최초 공개: 2020. 5. 30.
Youtube쏘니아,"취지 너무 좋은것같아요ㅜㅜ
프로젝트 참여할게요..  롬앤 완전 제 최애브랜드됬어요ㅜㅜ",1개,최초 공개: 2020. 5. 30.
박선하,오오오,1개,최초 공개: 2020. 5. 30.
이다영,롬앤 진짜 칭찬해💜🙆‍♀️💜,0개,최초 공개: 2020. 5. 30.
이름없,꺙,0개,최초 공개: 2020. 5. 30.
DeenahBaig,Love you and your makeup skills so much 💕,3개,최초 공개: 2020. 5. 30.
미월드스트리밍채널또,.,0개,최초 공개: 2020. 5. 30.
HQz,😍😍😍😍😍😍😍,0개,최초 공개: 2020. 5. 30.
봄희,"먹고 살기도 힘든 판국에 누가 누굴 도와줘.. ㅋㅋㅋ 고아원 애들도 지들이 자립 할 때 되면 지들이 알아서 해야지.. 부모가 있어도 부모 그늘에서 살지 못하고만..
돈 아깝다..",0개,최초 공개: 2020. 5. 30.
,"هايي🙂💙


Hi🙂💙",2개,최초 공개: 2020. 5. 30.
