닉네임,댓글,좋아요수,날짜
노을빛창가,0:10 서티는 30,2개,2020. 5. 31.
아름다운갤워치액티브,아냐 안찾았어 다시 들어가 내눈썩어,2개,2020. 5. 31.
웰시코기,아 내누 아..내눈..아ㅏㅏㅏㅏㅏㅏ내눈!,1개,2020. 5. 31.
월리,13에서 포트 싹다 없앤다는 말이 계속 들려서 불안....,1개,2020. 5. 31.
이정호,네이비블루 되게 고급스럽고 이쁜거같아용,1개,2020. 5. 31.
물똥,12...11월달 말이되냐...이건아니지~!~!!!,1개,2020. 5. 31.
송회장,개같솔,1개,2020. 5. 31.
배형천,12미니 뒤판은 유리로나오는건가요?,2개,2020. 5. 31.
jang2014,1빠,1개,2020. 5. 31.
조현성,네이비블루 은은하게 고급스러운데 듣기로는 네이비블루에 약간의 보라빛이 감돌아 상당히 이쁘다던거같아요 물론 나와봐야 정확한 색상을 알겟지만 네이비블루톤에 약간의 보라빛이 감돌면 존예로울듯 합니다 어쨋든 저는 무조건 네이비블루로 살려구요!,0개,2020. 5. 31.
jang2014,노말 모델: 삼성 max모델:LG & BOE pro & pro max 모델:삼성,2개,2020. 5. 21.
옴테크Ohmtech,비오이는 좀... 그래...,3개,2020. 5. 21.
월리,제발 BOE만 아니여라......,3개,2020. 5. 21.
jang2014,아이폰에 boe가 탑재되려면 애플의 검수를 통과해야함 탑재되도 걱정없음,1개,2020. 5. 21.
할께없네,add-on이렁 Integrated랑 차이가 뭐죠? 둘중 머가 더 좋은건가요..?,1개,2020. 5. 21.
물똥,한국의 디스플래이를 애플도 인정한것이여,1개,2020. 5. 21.
휴지,애플워치나 에어팟은 얼굴형에 따라 달라보이진 않는데 애플글래스는.. 앱등이의 영역이 아니라 얼굴형이 받쳐줘야될듯..,1개,2020. 5. 21.
아름다운갤워치액티브,"iPhone 12: SAMSUNG
iPhone 12 Max: SAMSUNG,LG(BOE)
iPhone 12 Pro:SAMSUNG
iPhone 12 Pro Max:SAMSUNG",0개,2020. 5. 21.
월리,"애플 글래스는 구글 글래스처럼 일반 소비자들에게 어필하지 못할지, 소비자들에게 진짜 스마트 안경을 정의해줄지 궁금하네요",2개,2020. 5. 20.
비됴메이커,처음에 ㄷㄷㄷㅈ ㅋㅋㅋㅋㅋ,2개,2020. 5. 20.
물똥,ㄷㄷㄷㅈ 타이밍ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ깜짝이여,1개,2020. 5. 20.
서성우,2:10분에 배터리 로고가 사과 모양이 있고 없고 차이가 있네요 ㅎㅎ,1개,2020. 5. 20.
